Date, Game, Inning, Pitcher, Hand, Batter, Stand, AB_ID, Result, AB_Total, AB_Count, Pfx_ID, Play_ID, Balls, Strikes, Outs, Code, Pdes, Type, Zone, Con, SZ_Top, SZ_Bot, Start_Speed, End_Speed, Nasty_Factor, X0, Y0, Z0, PX, PZ, PfxX, PfxZ, VX0, VY0, VZ0, AX, AY, AZ, Break_Angle, Break_Length, Break_Y, Spin_Rate, Spin_Direction, Runner 1B, Runner 2B, Runner 3B, End 1B, End 2B, End 3B, Runs, Outs On Play, Run Diff, Half
2018-06-03,530290,8,607968,R,502671,R,64,Flyout,2,1,180603_223834,37fe9a55-85c7-4fd7-bff9-790396b06257,0,0,2,B,Ball,FF,12,2.0,3.59,1.61,94.4,85.8,53.08,-2.26,50.0,5.51,0.11,3.73,-4.89,9.56,8.11,-137.22,-2.23,-9.29,31.69,-14.03,27.6,3.6,24.0,2056,202,,,,,,,0,1,-6,bottom
2018-06-03,530290,8,607968,R,502671,R,64,Flyout,2,2,180603_223854,9c521b95-1712-4317-accd-807b0487eb7b,1,0,2,X,In play- out(s),FF,12,2.0,3.25,1.37,94.6,86.1,50.72,-2.2,50.0,5.45,0.71,3.0,-5.27,9.86,9.72,-137.39,-4.17,-10.04,31.29,-13.39,28.8,3.6,24.0,2074,203,,,,,,,0,1,-6,bottom
2018-06-07,530326,5,607968,R,542303,R,47,Forceout,1,1,180607_021409,4408fb12-3a54-4ef3-8257-f9f3c6f17249,0,0,1,X,In play- out(s),FC,9,2.0,3.44,1.41,90.9,84.0,55.77,-2.47,50.0,5.65,0.67,2.08,-0.28,6.2,8.31,-132.13,-5.31,-0.5,25.86,-21.12,2.4,4.8,24.0,2125,173,500874,502054,,,,502054,0,1,4,bottom
2018-06-07,530326,5,607968,R,425877,R,48,Strikeout,7,1,180607_021505,3b4257fa-1ae7-467c-b63c-31ddfe953ecd,0,0,2,S,Foul,FC,12,2.0,3.34,1.4,90.3,83.5,27.4,-2.42,50.0,5.67,1.3,2.38,0.02,4.11,9.68,-131.29,-3.74,0.04,25.8,-24.94,3.6,6.0,24.0,2065,163,,,502054,,,,0,1,4,bottom
2018-06-07,530326,5,607968,R,425877,R,48,Strikeout,7,2,180607_021529,ae21be48-f43f-494c-a1ce-78a63e4bf30f,0,1,2,S,Swinging Strike,FF,14,2.0,3.34,1.4,94.1,87.4,40.32,-2.14,50.0,5.65,1.27,2.26,-5.6,8.26,11.27,-136.69,-6.19,-10.78,25.32,-16.29,26.4,3.6,24.0,1984,210,,,502054,,,,0,1,4,bottom
2018-06-07,530326,5,607968,R,425877,R,48,Strikeout,7,3,180607_021558,4e3feeb4-cc8c-411e-907b-bc1aec0d979a,0,1,2,S,Foul,FF,3,2.0,3.34,1.4,94.6,87.7,44.27,-2.19,50.0,5.76,0.53,3.05,-5.23,8.07,9.31,-137.59,-4.4,-10.18,26.07,-16.46,26.4,3.6,24.0,1905,209,,,502054,,,,0,1,4,bottom
2018-06-07,530326,5,607968,R,425877,R,48,Strikeout,7,4,180607_021625,78b411ac-ab04-438c-9c7a-3b93559b73d8,0,2,2,B,Ball,FF,12,2.0,3.41,1.67,93.5,85.7,32.51,-2.18,50.0,5.81,1.33,3.79,-5.44,8.16,11.32,-135.75,-2.3,-10.2,28.56,-16.88,24.0,3.6,24.0,2048,207,,,502054,,,,0,1,4,bottom
2018-06-07,530326,5,607968,R,425877,R,48,Strikeout,7,5,180607_021654,edca2a04-c7ef-4623-ba04-5ced025c1e88,1,1,2,S,Foul,CH,4,2.0,3.34,1.4,85.7,78.7,28.84,-2.27,50.0,5.82,-0.49,2.44,-5.8,5.17,6.26,-124.62,-3.47,-9.14,24.48,-24.02,18.0,7.2,24.0,,225,,,502054,,,,0,1,4,bottom
2018-06-07,530326,5,607968,R,425877,R,48,Strikeout,7,6,180607_021730,aa1e6b38-a3b8-431f-8c2f-59f4703e2fd8,1,1,2,S,Foul,FF,12,2.0,3.34,1.4,94.3,86.3,16.24,-2.33,50.0,5.73,0.01,4.07,-6.48,9.71,8.64,-137.23,-1.99,-12.4,29.53,-13.61,37.2,3.6,24.0,1946,209,,,502054,,,,0,1,4,bottom
2018-06-07,530326,5,607968,R,425877,R,48,Strikeout,7,7,180607_021753,2363888b-e324-4fd9-b1a6-f114b4679612,1,2,2,S,Swinging Strike,FC,12,2.0,3.34,1.4,91.2,84.4,64.51,-2.38,50.0,5.76,0.89,3.74,-0.35,3.45,8.73,-132.66,-0.38,-0.63,25.16,-25.96,2.4,6.0,24.0,2023,170,,,502054,,,,0,1,4,bottom
2018-06-07,530326,6,607968,R,576397,R,56,Groundout,2,1,180607_023747,eb8c1416-9c33-4198-970d-6f0f89c9bfd9,0,0,0,B,Ball,FF,12,2.0,3.09,1.38,92.5,85.2,60.86,-2.35,50.0,5.63,1.02,2.33,-5.4,8.79,10.84,-134.3,-5.78,-9.94,26.97,-15.99,24.0,3.6,24.0,2078,207,,,,,,,0,1,6,bottom
