Date,Game,Inning,Pitcher,Hand,Batter,Stand,AB_ID,Result,AB_Total,AB_Count,Pfx_ID,Play_ID,Balls,Strikes,Outs,Code,Pdes,Type,Zone,Con,SZ_Top,SZ_Bot,Start_Speed,End_Speed,Nasty_Factor,X0,Y0,Z0,PX,PZ,PfxX,PfxZ,VX0,VY0,VZ0,AX,AY,AZ,Break_Angle,Break_Length,Break_Y,Spin_Rate,Spin_Direction,Runner 1B,Runner 2B,Runner 3B,End 1B,End 2B,End 3B,Runs,Outs On Play,Run Diff,Half
2018-06-23,530548,9,622098,R,457759,R,72,Groundout,2,1,180624_015945,64518618-6817-4d51-90a0-0252276fd6a2,0,0,0,B,Ball,FF,9,2.0,3.54,1.53,94.9,86.3,69.35,-2.52,50.0,5.36,0.67,1.57,-3.0,9.37,9.69,-137.54,-7.6,-5.72,32.21,-14.33,12.0,3.6,24.0,2192,191,,,,,,,0,1,-5,top
2018-06-23,530548,9,622098,R,457759,R,72,Groundout,2,2,180624_020001,a6fb2c8e-820c-4094-971c-86ed4b844589,1,0,0,X,In play- out(s),FT,4,2.0,3.49,1.62,94.1,85.4,45.32,-2.61,50.0,5.43,-0.6,2.26,-6.66,8.77,7.73,-136.52,-5.6,-12.51,31.62,-15.71,32.4,4.8,24.0,2306,214,,,,,,,0,1,-5,top
2018-06-23,530548,9,622098,R,641355,L,73,Walk,4,1,180624_020035,ba01991f-efda-454e-8843-9dee26730a6d,0,0,1,B,Ball,FT,11,2.0,3.55,1.63,96.2,87.0,60.88,-2.38,50.0,5.67,-0.83,3.15,-7.52,8.85,6.94,-139.65,-4.24,-14.72,33.97,-14.85,39.6,4.8,24.0,2313,218,,,,641355,,,0,0,-5,top
2018-06-23,530548,9,622098,R,641355,L,73,Walk,4,2,180624_020050,2e5995ce-9f75-4ff8-b46c-392da95902fc,1,0,1,B,Ball,CH,13,2.0,3.48,1.52,85.9,78.7,24.5,-2.43,50.0,5.34,-0.4,0.92,-5.04,8.48,6.62,-124.81,-7.05,-7.93,25.6,-18.82,18.0,6.0,24.0,1671,208,,,,641355,,,0,0,-5,top
2018-06-23,530548,9,622098,R,641355,L,73,Walk,4,3,180624_020106,4a874f90-16c8-4bf8-9702-e2791309cc7c,2,0,1,B,Ball,FF,6,2.0,3.53,1.65,95.5,86.4,43.91,-2.41,50.0,5.5,0.7,2.35,-2.77,10.71,9.43,-138.49,-6.44,-5.31,33.95,-11.58,13.2,2.4,24.0,2364,188,,,,641355,,,0,0,-5,top
2018-06-23,530548,9,622098,R,641355,L,73,Walk,4,4,180624_020125,a7f862e1-cdec-4411-a2c1-d5116dd802d9,3,0,1,B,Ball,FF,11,2.0,3.53,1.6,93.9,85.1,58.64,-2.66,50.0,5.68,-1.24,3.52,-5.16,8.58,5.61,-136.43,-2.79,-9.65,32.23,-16.13,26.4,3.6,24.0,2391,207,,,,641355,,,0,0,-5,top
2018-06-23,530548,9,622098,R,624577,R,74,Strikeout,6,1,180624_020200,dc536a0d-51ae-4413-83e4-37dfa55cffb7,0,0,1,B,Ball,FT,12,2.0,3.48,1.62,95.7,86.5,44.52,-2.33,50.0,5.68,0.07,3.72,-7.25,8.98,9.13,-138.85,-2.64,-14.03,33.56,-14.8,37.2,3.6,24.0,2374,214,641355,,,641355,,,0,1,-5,top
2018-06-23,530548,9,622098,R,624577,R,74,Strikeout,6,2,180624_020221,39154967-28e0-4b70-bdda-462542ea38d3,1,1,1,F,Foul,FT,2,2.0,3.5,1.64,94.7,85.8,38.41,-2.26,50.0,5.63,-0.22,3.06,-7.88,8.22,8.29,-137.47,-3.9,-14.97,32.47,-16.55,37.2,4.8,24.0,2343,220,641355,,,641355,,,0,1,-5,top
2018-06-23,530548,9,622098,R,624577,R,74,Strikeout,6,3,180624_020248,2d04797f-9663-4f01-a5c4-5a471d1e0226,1,1,1,B,Ball,FF,11,2.0,3.52,1.66,95.0,86.9,44.87,-2.43,50.0,5.73,-1.03,4.32,-3.19,7.62,4.97,-138.31,-0.67,-6.2,30.31,-17.39,16.8,3.6,24.0,2312,198,641355,,,641355,,,0,1,-5,top
2018-06-23,530548,9,622098,R,624577,R,74,Strikeout,6,4,180624_020307,eefb6943-45cf-4f6f-9da9-d1d32a4d089e,2,1,1,B,Ball,FF,11,2.0,3.45,1.64,94.5,86.4,45.65,-2.42,50.0,5.69,-0.38,3.82,-4.0,8.46,6.94,-137.43,-2.13,-7.66,29.81,-15.95,20.4,3.6,24.0,2217,201,641355,,,641355,,,0,1,-5,top
2018-06-23,530548,9,622098,R,624577,R,74,Strikeout,6,5,180624_020327,e15385bc-d740-498c-95b5-ab79d02afd70,3,2,1,F,Foul,FF,9,2.0,3.41,1.62,94.7,86.6,31.16,-2.3,50.0,5.51,0.34,2.21,-3.79,10.25,8.49,-137.53,-6.68,-7.26,30.18,-12.51,21.6,3.6,24.0,2360,196,641355,,,641355,,,0,1,-5,top
2018-06-23,530548,9,622098,R,624577,R,74,Strikeout,6,6,180624_020348,d0497c1c-ed3d-4c2b-a274-e77f9c7c6eff,3,2,1,S,Swinging Strike,FF,3,2.0,3.39,1.6,94.8,87.1,43.61,-2.27,50.0,5.55,0.4,3.34,-3.68,9.13,8.59,-137.76,-3.36,-7.11,28.51,-14.5,19.2,3.6,24.0,2280,197,641355,,,641355,,,0,1,-5,top
2018-06-23,530548,9,622098,R,518735,L,75,Walk,6,1,180624_020419,2bb3dbee-250a-4e5c-85df-d8aad6d888af,0,0,2,B,Ball,FF,14,2.0,3.16,1.41,95.3,86.7,34.23,-2.1,50.0,5.42,2.17,2.06,-6.05,11.62,13.75,-137.85,-7.32,-11.62,31.36,-9.87,36.0,3.6,24.0,2390,202,641355,,,518735,641355,,0,0,-5,top
2018-06-23,530548,9,622098,R,518735,L,75,Walk,6,2,180624_020436,0805c51a-9200-4a71-8330-5f86a8cba23a,1,0,2,S,Swinging Strike,CH,7,2.0,3.01,1.37,85.1,77.7,40.89,-2.44,50.0,5.45,-0.59,1.71,-8.23,7.97,7.11,-123.58,-5.03,-12.7,25.2,-19.88,28.8,6.0,24.0,1709,224,641355,,,518735,641355,,0,0,-5,top
2018-06-23,530548,9,622098,R,518735,L,75,Walk,6,3,180624_020453,39764a37-db74-41fe-9422-9e65c29162e2,1,1,2,B,Ball,CH,11,2.0,3.04,1.3,84.3,76.8,12.96,-2.62,50.0,5.61,-2.5,4.31,-5.8,8.12,2.12,-122.77,0.97,-8.82,25.24,-19.83,22.8,6.0,24.0,1863,213,641355,,,518735,641355,,0,0,-5,top
2018-06-23,530548,9,622098,R,518735,L,75,Walk,6,4,180624_020512,d15d053f-b844-4da7-b906-f1eb903ff9e9,2,1,2,S,Swinging Strike,FF,11,2.0,3.08,1.35,95.2,86.5,35.79,-2.35,50.0,5.62,-0.58,3.73,-5.89,10.92,6.9,-138.37,-3.13,-11.37,32.04,-11.09,39.6,3.6,24.0,2386,205,641355,,,518735,641355,,0,0,-5,top
2018-06-23,530548,9,622098,R,518735,L,75,Walk,6,5,180624_020532,77583fff-9081-472c-bbcf-22b8feb6035a,3,2,2,*B,Ball In Dirt,CH,13,2.0,3.01,1.39,86.1,79.0,32.28,-2.38,50.0,5.23,-0.62,0.22,-7.15,8.73,6.62,-124.9,-8.63,-11.29,25.1,-18.38,26.4,6.0,24.0,1729,218,641355,,,518735,641355,,0,0,-5,top
2018-06-23,530548,9,622098,R,518735,L,75,Walk,6,6,180624_020554,e0cab462-b1d7-4a70-a20e-2b49aba9a634,3,2,2,B,Ball,FF,12,2.0,3.17,1.45,94.4,85.7,16.49,-2.41,50.0,5.66,0.02,4.37,-2.58,9.56,7.47,-137.11,-0.88,-4.9,31.59,-14.06,13.2,3.6,24.0,2275,189,641355,,,518735,641355,,0,0,-5,top
2018-06-23,530548,9,622098,R,571771,R,76,Groundout,4,1,180624_020627,58de933b-07fe-4b29-b041-80d277faa61e,0,1,2,C,Called Strike,FF,3,2.0,3.24,1.47,94.2,85.8,57.37,-2.18,50.0,5.63,0.54,2.83,-4.09,9.72,8.78,-136.75,-5.01,-7.73,30.87,-13.81,21.6,3.6,24.0,2366,198,518735,641355,,,,,0,1,-5,top
2018-06-23,530548,9,622098,R,571771,R,76,Groundout,4,2,180624_020648,8c030fb0-77ca-4b7e-9c6d-3a34f4e1d43f,0,1,2,B,Ball,CU,11,2.0,3.16,1.45,80.1,73.4,30.07,-2.39,50.0,5.86,-0.23,3.49,6.63,-4.08,2.96,-116.39,2.79,9.06,22.71,-37.75,14.4,12.0,24.0,2598,63,518735,641355,,,,,0,1,-5,top
2018-06-23,530548,9,622098,R,571771,R,76,Groundout,4,3,180624_020712,818f4e5f-6ebd-40ee-b5b1-ca081b8b45f4,1,1,2,S,Swinging Strike,FF,12,2.0,3.11,1.43,93.6,85.2,35.2,-2.26,50.0,5.63,0.15,3.31,-2.05,9.33,7.17,-135.93,-3.46,-3.83,30.77,-14.78,8.4,3.6,24.0,2366,187,518735,641355,,,,,0,1,-5,top
2018-06-23,530548,9,622098,R,571771,R,76,Groundout,4,4,180624_020740,2e3cdfec-446d-4d89-8129-b6204ed66f43,1,2,2,X,In play- out(s),FF,11,2.0,3.17,1.43,94.4,86.1,39.95,-2.3,50.0,5.59,-0.22,3.53,-4.08,7.51,7.08,-137.15,-2.26,-7.76,30.53,-17.87,19.2,3.6,24.0,2387,203,518735,641355,,,,,0,1,-5,top
2018-06-24,530563,10,622098,R,571970,L,77,Bunt Groundout,3,1,180624_202150,4c46abbf-cc0d-48bc-964b-93ed019e2992,0,0,0,B,Ball,FF,11,2.0,3.15,1.36,94.6,87.1,30.49,-2.64,50.0,5.46,-1.39,2.28,-4.39,8.27,4.98,-137.57,-5.68,-8.48,28.29,-16.21,22.8,3.6,24.0,2405,206,,,,,,,0,1,0,top
2018-06-24,530563,10,622098,R,571970,L,77,Bunt Groundout,3,2,180624_202205,5fa8f583-998a-425c-9927-2aafb5aeb603,1,0,0,S,Swinging Strike,FF,1,2.0,3.17,1.31,94.5,87.0,32.79,-2.42,50.0,5.57,-0.31,2.69,-3.3,8.68,6.92,-137.38,-4.99,-6.36,28.06,-15.45,16.8,3.6,24.0,2437,197,,,,,,,0,1,0,top
2018-06-24,530563,10,622098,R,571970,L,77,Bunt Groundout,3,3,180624_202230,b2e4b53a-c66c-4ee8-a066-80254621fa59,1,1,0,X,In play- out(s),CH,14,2.0,3.17,1.31,86.5,79.5,46.5,-2.38,50.0,5.38,0.77,1.73,-5.61,7.49,9.61,-125.6,-5.01,-9.0,24.72,-20.18,19.2,6.0,24.0,1819,212,,,,,,,0,1,0,top
2018-06-24,530563,10,622098,R,400284,L,78,Single,5,1,180624_202329,776bef91-5346-4d06-8c60-681c9b032106,0,0,1,B,Ball,FF,12,2.0,3.47,1.62,95.1,87.3,40.16,-2.33,50.0,5.69,0.3,4.15,-3.76,8.52,8.53,-138.24,-1.39,-7.32,28.89,-15.58,19.2,3.6,24.0,2478,198,,,,400284,,,0,0,0,top
2018-06-24,530563,10,622098,R,400284,L,78,Single,5,2,180624_202347,63357707-29b4-4fb5-8432-c4167b1df896,1,0,1,B,Ball,FF,11,2.0,3.56,1.62,94.7,86.8,48.99,-2.48,50.0,5.61,-0.48,3.92,-3.17,8.51,6.56,-137.74,-1.71,-6.11,29.38,-15.76,16.8,3.6,24.0,2411,196,,,,400284,,,0,0,0,top
2018-06-24,530563,10,622098,R,400284,L,78,Single,5,3,180624_202413,92b8d31d-50fa-4b02-9430-8f3368ef2ce2,2,1,1,F,Foul,FF,1,2.0,3.32,1.36,94.8,86.7,48.46,-2.44,50.0,5.57,-0.55,3.23,-2.65,9.13,6.08,-137.77,-3.69,-5.1,30.13,-14.59,14.4,3.6,24.0,2403,192,,,,400284,,,0,0,0,top
