Date,Game,Inning,Pitcher,Hand,Batter,Stand,AB_ID,Result,AB_Total,AB_Count,Pfx_ID,Play_ID,Balls,Strikes,Outs,Code,Pdes,Type,Zone,Con,SZ_Top,SZ_Bot,Start_Speed,End_Speed,Nasty_Factor,X0,Y0,Z0,PX,PZ,PfxX,PfxZ,VX0,VY0,VZ0,AX,AY,AZ,Break_Angle,Break_Length,Break_Y,Spin_Rate,Spin_Direction,Runner 1B,Runner 2B,Runner 3B,End 1B,End 2B,End 3B,Runs,Outs On Play,Run Diff,Half
2018-03-30,529417,8,572403,R,624428,L,62,Single,4,1,180330_194108,45a9cfeb-984f-4fe3-b67f-23abe33f94a2,0,1,0,C,Called Strike,FT,5,2.0,3.27,1.47,93.5,85.7,31.23,-1.47,50.0,6.22,0.12,2.6,-7.8,7.65,6.99,-135.95,-6.38,-14.62,29.49,-17.83,34.8,4.8,24.0,2305,224,,,,624428,,,0,0,2,top
2018-03-30,529417,8,572403,R,624428,L,62,Single,4,2,180330_194124,013dddc1-a48d-4f4a-930a-9266a38c0e1c,0,1,0,S,Swinging Strike,FT,7,2.0,3.2,1.3,94.1,86.6,41.47,-1.43,50.0,6.33,-0.41,1.93,-6.91,9.74,5.21,-136.72,-9.39,-13.16,28.53,-13.63,38.4,3.6,24.0,2200,215,,,,624428,,,0,0,2,top
2018-03-30,529417,8,572403,R,624428,L,62,Single,4,3,180330_194144,6f15aa80-5f48-4748-b441-36582be087d9,0,2,0,B,Ball,FT,13,2.0,3.08,1.44,94.7,87.1,46.46,-1.53,50.0,6.06,-0.72,0.57,-8.39,6.36,5.18,-137.57,-11.24,-16.09,30.23,-19.98,33.6,6.0,24.0,2370,236,,,,624428,,,0,0,2,top
2018-03-30,529417,8,572403,R,624428,L,62,Single,4,4,180330_194209,7cd6e046-1fae-466f-8b97-5f691be05993,1,2,0,D,In play- no out,FT,9,2.0,3.2,1.3,93.9,86.7,43.99,-1.09,50.0,6.13,0.39,1.76,-7.9,6.63,6.78,-136.46,-8.17,-15.01,27.77,-19.58,32.4,4.8,24.0,2322,230,,,,624428,,,0,0,2,top
2018-03-30,529417,8,572403,R,543281,R,63,Walk,7,1,180330_194249,4c5f4c38-1c4d-4410-9d22-70b20fe1413a,0,0,0,B,Ball,SL,14,2.0,3.48,1.6,85.2,79.0,68.49,-1.56,50.0,6.43,1.01,1.12,2.76,-0.18,5.41,-123.75,-6.37,4.3,23.99,-32.45,8.4,8.4,24.0,,76,624428,,,543281,624428,,0,0,2,top
2018-03-30,529417,8,572403,R,543281,R,63,Walk,7,2,180330_194310,e5cba256-75cf-494a-bbf9-c7b263ab620f,1,0,0,B,Ball,FT,14,2.0,3.48,1.6,93.9,86.2,33.55,-1.48,50.0,6.13,1.35,1.65,-8.61,6.89,10.63,-136.14,-8.49,-16.21,29.14,-19.22,33.6,6.0,24.0,2404,230,624428,,,543281,624428,,0,0,2,top
2018-03-30,529417,8,572403,R,543281,R,63,Walk,7,3,180330_194356,79c3749a-ba1d-4dcb-aefb-d59985583b53,2,0,0,B,Ball,SL,12,2.0,3.47,1.59,86.4,79.2,41.05,-1.64,50.0,6.72,0.3,3.77,2.86,0.23,3.87,-125.57,-0.88,4.56,25.68,-31.81,9.6,8.4,24.0,2361,95,624428,,,543281,624428,,0,0,2,top
2018-03-30,529417,8,572403,R,543281,R,63,Walk,7,4,180330_194417,d436bf0a-1721-4337-9195-3d84ab30f85f,3,1,0,F,Foul,FT,13,2.0,3.45,1.43,91.8,83.6,51.92,-1.81,50.0,6.24,-0.79,2.01,-10.05,6.36,6.1,-133.36,-7.12,-17.97,30.6,-20.8,37.2,6.0,24.0,2403,238,624428,,,543281,624428,,0,0,2,top
2018-03-30,529417,8,572403,R,543281,R,63,Walk,7,5,180330_194440,bf4834dd-42ee-4e30-8e86-8f9364c43a7f,3,2,0,F,Foul,FT,8,2.0,3.45,1.43,93.4,85.9,38.54,-1.74,50.0,6.15,0.23,1.93,-8.57,7.31,8.28,-135.66,-7.88,-16.04,28.5,-18.49,36.0,4.8,24.0,2369,229,624428,,,543281,624428,,0,0,2,top
2018-03-30,529417,8,572403,R,543281,R,63,Walk,7,6,180330_194508,69872b90-ca70-4f46-a4bb-62b9c999fa76,3,2,0,B,Ball,FT,12,2.0,3.48,1.6,91.9,83.2,52.56,-1.56,50.0,6.35,0.34,3.79,-6.1,8.72,7.06,-133.64,-3.58,-10.92,31.48,-16.56,27.6,4.8,24.0,2292,211,624428,,,543281,624428,,0,0,2,top
2018-04-01,529441,6,572403,R,446481,R,45,Strikeout,6,1,180401_235913,33cecc1d-7ad0-49bc-8d6c-337c4e13f9da,0,1,0,F,Foul,FT,3,2.0,3.36,1.42,94.5,86.1,47.45,-1.5,50.0,6.24,0.35,3.11,-7.22,6.97,7.54,-137.2,-4.97,-13.71,31.33,-18.94,31.2,4.8,24.0,2316,224,,,,,,,0,1,-5,top
2018-04-01,529441,6,572403,R,446481,R,45,Strikeout,6,2,180401_235933,782bc0b0-c773-4357-8856-28f0c30e44f2,0,1,0,B,Ball,CU,11,2.0,3.48,1.59,78.4,71.5,39.27,-1.34,50.0,6.87,-0.91,2.9,4.56,-9.43,-0.35,-114.06,1.07,5.9,24.45,-44.38,7.2,14.4,24.0,2260,26,,,,,,,0,1,-5,top
2018-04-01,529441,6,572403,R,446481,R,45,Strikeout,6,3,180401_235954,b168643a-5a07-4980-b5f2-28d4000fb914,1,1,0,B,Ball,CU,14,2.0,3.56,1.59,79.1,72.3,3.82,-1.11,50.0,6.63,2.18,0.82,5.3,-8.2,5.84,-114.78,-3.48,6.9,26.03,-42.85,10.8,14.4,24.0,2534,36,,,,,,,0,1,-5,top
2018-04-01,529441,6,572403,R,446481,R,45,Strikeout,6,4,180402_000012,6b1b1e53-0c33-488b-8001-53a7ee85ede8,2,1,0,B,Ball,FT,11,2.0,3.53,1.61,94.0,86.1,61.95,-1.6,50.0,6.36,-0.8,3.76,-7.79,4.88,4.89,-136.79,-2.78,-14.77,29.83,-22.92,30.0,6.0,24.0,2322,236,,,,,,,0,1,-5,top
2018-04-01,529441,6,572403,R,446481,R,45,Strikeout,6,5,180402_000029,0a3e8eb5-7dab-4cd1-a67b-89887cbb73c5,3,2,0,F,Foul,FT,5,2.0,3.36,1.42,93.2,85.2,29.7,-1.75,50.0,6.18,-0.11,2.16,-8.49,5.19,7.32,-135.45,-6.51,-15.73,30.31,-22.56,30.0,6.0,24.0,2284,239,,,,,,,0,1,-5,top
2018-04-01,529441,6,572403,R,446481,R,45,Strikeout,6,6,180402_000102,421021c8-7ebb-47e3-a73e-aaf1f17a445a,3,3,0,C,Called Strike,FT,6,2.0,3.51,1.61,93.3,84.2,42.99,-1.3,50.0,6.27,0.46,2.85,-8.4,7.03,7.6,-135.58,-5.46,-15.39,33.99,-19.29,33.6,6.0,24.0,2221,228,,,,,,,0,1,-5,top
2018-04-01,529441,6,572403,R,553869,R,46,Strikeout,5,1,180402_000137,1b53358e-f7e4-4c8e-8dc3-1699179f9cb1,0,1,1,C,Called Strike,CU,7,2.0,3.49,1.58,78.8,71.2,83.61,-1.4,50.0,6.8,-0.58,1.8,7.98,-8.13,-0.48,-114.39,-1.6,10.25,27.11,-42.62,13.2,14.4,24.0,2389,44,,,,,,,0,1,-5,top
