Date,Game,Inning,Pitcher,Hand,Batter,Stand,AB_ID,Result,AB_Total,AB_Count,Pfx_ID,Play_ID,Balls,Strikes,Outs,Code,Pdes,Type,Zone,Con,SZ_Top,SZ_Bot,Start_Speed,End_Speed,Nasty_Factor,X0,Y0,Z0,PX,PZ,PfxX,PfxZ,VX0,VY0,VZ0,AX,AY,AZ,Break_Angle,Break_Length,Break_Y,Spin_Rate,Spin_Direction,Runner 1B,Runner 2B,Runner 3B,End 1B,End 2B,End 3B,Runs,Outs On Play,Run Diff,Half
2017-04-14,490242,1,592229,R,572821,R,4,Single,3,1,170415_005903,63f62fc9-9166-4000-9b4a-f552d04de9ef,0,1,0,F,Foul,FF,5,2.0,2.93,1.37,92.7,85.5,41.98,-1.47,50.0,6.13,0.14,2.32,-1.55,11.93,4.84,-134.46,-8.29,-2.88,25.81,-10.07,9.6,2.4,24.0,2185,185,,,,572821,,,0,0,0,bottom
2017-04-14,490242,1,592229,R,572821,R,4,Single,3,2,170415_005924,83a4c412-66fe-46c8-a3e4-2bb46ea76b5b,0,1,0,B,Ball,SL,14,2.0,3.04,1.4,88.6,81.7,17.89,-1.4,50.0,5.9,1.58,-0.05,1.66,7.87,7.02,-128.13,-11.33,2.77,25.47,-19.04,10.8,4.8,24.0,2357,156,,,,572821,,,0,0,0,bottom
2017-04-14,490242,1,592229,R,572821,R,4,Single,3,3,170415_005944,8fc65f69-8da7-4e7d-b21b-8c08e55c0d8a,1,1,0,D,In play- no out,FF,6,2.0,2.91,1.32,93.8,85.2,45.39,-1.58,50.0,6.1,0.6,2.41,0.66,13.48,5.6,-135.92,-8.57,1.22,31.15,-7.07,15.6,2.4,24.0,2203,173,,,,572821,,,0,0,0,bottom
2017-04-14,490242,1,592229,R,543257,L,5,Walk,6,1,170415_010029,4bd3e60a-1e49-4d05-9ad4-e4ff8028ce25,1,0,0,*B,Ball In Dirt,FF,14,2.0,3.32,1.55,94.1,86.1,41.65,-1.38,50.0,5.89,1.81,0.48,0.73,11.42,8.33,-135.99,-12.51,1.37,29.87,-10.8,13.2,2.4,24.0,2228,169,572821,,,543257,572821,,0,0,0,bottom
2017-04-14,490242,1,592229,R,543257,L,5,Walk,6,2,170415_010116,5142fa6a-e4df-4f38-ade4-234a38bb515f,1,0,0,B,Ball,FT,11,2.0,3.34,1.59,92.9,83.7,27.65,-1.69,50.0,6.11,-1.41,2.44,-8.85,10.09,3.77,-134.66,-7.07,-16.03,32.97,-13.9,44.4,4.8,24.0,2049,225,572821,,,543257,572821,,0,0,0,bottom
2017-04-14,490242,1,592229,R,543257,L,5,Walk,6,3,170415_010155,53844384-bac2-46c3-a59b-675df72ee073,2,0,0,B,Ball,FT,11,2.0,3.22,1.54,92.1,83.5,38.58,-1.81,50.0,6.07,-1.6,3.01,-8.92,5.84,3.59,-133.59,-3.89,-15.99,31.04,-21.71,33.6,6.0,24.0,2074,241,572821,,,543257,572821,,0,0,0,bottom
2017-04-14,490242,1,592229,R,543257,L,5,Walk,6,4,170415_010239,6b6b5e02-b25b-45a4-a149-a5c9b450f390,3,1,0,C,Called Strike,FT,7,2.0,3.35,1.56,93.6,85.3,55.61,-1.7,50.0,6.0,-0.57,1.96,-8.16,7.05,5.85,-135.65,-7.24,-15.17,30.45,-19.08,33.6,6.0,24.0,2012,233,572821,,,543257,572821,,0,0,0,bottom
2017-04-14,490242,1,592229,R,543257,L,5,Walk,6,5,170415_010304,1b315feb-cd09-4987-85f7-be5a362c718c,3,2,0,C,Called Strike,FF,1,2.0,3.34,1.53,94.0,85.1,49.03,-1.51,50.0,6.2,-0.35,3.25,-6.54,11.18,5.4,-136.31,-5.79,-12.23,31.81,-11.28,40.8,3.6,24.0,2020,211,572821,,,543257,572821,,0,0,0,bottom
2017-04-14,490242,1,592229,R,543257,L,5,Walk,6,6,170415_010356,2a02c358-2f60-4efa-950b-e26dfddd166f,3,2,0,B,Ball,FT,8,2.0,3.42,1.87,93.6,84.9,43.7,-1.52,50.0,5.97,0.12,1.65,-9.04,10.47,7.51,-135.35,-9.11,-16.68,30.87,-12.84,45.6,4.8,24.0,2083,223,572821,,,543257,572821,,0,0,0,bottom
2017-04-14,490242,1,592229,R,408045,L,6,Grounded Into DP,6,1,170415_010446,f85b98a2-9caa-4425-91f5-d204e782c302,0,1,0,C,Called Strike,FF,4,2.0,3.41,1.72,92.3,83.0,52.78,-1.66,50.0,6.13,-0.5,2.63,-5.96,10.49,5.06,-133.62,-6.6,-10.63,32.63,-13.47,32.4,3.6,24.0,1993,211,543257,572821,,,,572821,0,2,0,bottom
2017-04-14,490242,1,592229,R,408045,L,6,Grounded Into DP,6,2,170415_010523,537b66f7-fb3f-4f43-b463-d068d3b38d56,0,1,0,B,Ball,CU,11,2.0,3.47,1.73,78.6,72.1,37.06,-1.74,50.0,6.43,-1.12,4.79,3.98,-4.84,0.23,-114.02,4.85,5.26,20.38,-38.56,8.4,12.0,24.0,2463,38,543257,572821,,,,572821,0,2,0,bottom
2017-04-14,490242,1,592229,R,408045,L,6,Grounded Into DP,6,3,170415_010552,4bd35a0f-f043-414f-a51b-cd153cc7db7f,1,2,0,C,Called Strike,CH,1,2.0,3.37,1.49,85.3,77.9,40.62,-1.79,50.0,6.08,-0.43,3.27,-2.09,6.63,3.98,-123.79,-2.37,-3.24,24.76,-21.88,6.0,6.0,24.0,1142,195,543257,572821,,,,572821,0,2,0,bottom
2017-04-14,490242,1,592229,R,408045,L,6,Grounded Into DP,6,4,170415_010621,c50ea0f8-52e3-48c5-8d72-72188af314a2,1,2,0,F,Foul,FT,13,2.0,3.49,1.71,93.7,85.9,58.28,-1.83,50.0,5.96,-0.82,2.49,-6.41,7.25,4.94,-136.06,-5.88,-12.05,29.0,-18.55,28.8,4.8,24.0,2080,224,543257,572821,,,,572821,0,2,0,bottom
2017-04-14,490242,1,592229,R,408045,L,6,Grounded Into DP,6,5,170415_010654,049e227a-1adc-46e5-8d7d-7d8fdabea269,1,2,0,B,Ball,FT,13,2.0,3.4,1.64,92.5,85.1,64.25,-1.7,50.0,5.98,-1.21,2.13,-4.84,6.73,3.0,-134.3,-6.5,-8.89,27.16,-19.79,21.6,4.8,24.0,2224,219,543257,572821,,,,572821,0,2,0,bottom
2017-04-14,490242,1,592229,R,408045,L,6,Grounded Into DP,6,6,170415_010724,73c4dc96-24f3-4844-bdde-d1c753db728d,2,2,0,X,In play- out(s),FF,8,2.0,3.39,1.6,95.0,86.6,28.43,-1.48,50.0,6.02,0.11,2.16,0.2,11.36,4.24,-137.71,-8.58,0.38,30.73,-10.38,6.0,2.4,24.0,2120,175,543257,572821,,,,572821,0,2,0,bottom
2017-04-14,490242,1,592229,R,593934,R,7,Pop Out,3,1,170415_010814,99c6e58a-a109-49db-8f7c-36e5ab62fe22,0,0,2,B,Ball,SL,14,2.0,3.65,1.73,86.0,79.2,93.16,-1.46,50.0,5.93,1.11,1.4,1.81,7.47,5.75,-124.64,-7.05,2.87,23.75,-20.36,9.6,6.0,24.0,2360,156,,,572821,,,,0,1,0,bottom
