Date, Game, Inning, Pitcher, Hand, Batter, Stand, AB_ID, Result, AB_Total, AB_Count, Pfx_ID, Play_ID, Balls, Strikes, Outs, Code, Pdes, Type, Zone, Con, SZ_Top, SZ_Bot, Start_Speed, End_Speed, Nasty_Factor, X0, Y0, Z0, PX, PZ, PfxX, PfxZ, VX0, VY0, VZ0, AX, AY, AZ, Break_Angle, Break_Length, Break_Y, Spin_Rate, Spin_Direction, Runner 1B, Runner 2B, Runner 3B, End 1B, End 2B, End 3B, Runs, Outs On Play, Run Diff, Half
2017-06-10,491027,5,650828,R,400085,L,40,Groundout,2,1,170610_213902,5c0609ea-79d2-4318-a1e7-12d49a37466b,0,0,0,S,Called Strike,SI,9,2.0,3.5,1.6,95.0,87.8,54.33,-1.53,50.0,5.94,0.38,2.05,-9.25,4.95,8.52,-137.8,-6.53,-18.03,26.88,-22.54,34.8,6.0,24.0,2197,246,,,,,,,0,1,-1,top
2017-06-10,491027,5,650828,R,400085,L,40,Groundout,2,2,170610_213927,2bd78030-6ad1-4052-a836-13a3d959d54b,0,1,0,X,In play- out(s),SI,4,2.0,3.26,1.31,96.4,88.9,38.14,-1.55,50.0,5.92,-0.37,2.32,-9.66,6.03,6.75,-139.88,-6.37,-19.34,28.47,-20.11,39.6,6.0,24.0,2335,241,,,,,,,0,1,-1,top
2017-06-10,491027,5,650828,R,592885,L,41,Strikeout,4,1,170610_214011,eff0551e-c9a7-45ce-8c16-bce080bfe24b,0,0,1,S,Called Strike,SI,4,2.0,3.59,1.76,95.3,87.9,57.89,-1.6,50.0,5.78,-0.64,2.47,-8.31,7.47,5.6,-138.43,-5.89,-16.31,27.54,-17.51,39.6,4.8,24.0,2273,230,,,,,,,0,1,-1,top
2017-06-10,491027,5,650828,R,592885,L,41,Strikeout,4,2,170610_214027,141b5a75-9cd5-42e4-94eb-bfaf7098914d,0,1,1,B,Ball,SL,14,2.0,3.52,1.63,85.6,79.1,16.44,-1.28,50.0,5.98,2.3,0.57,-1.49,1.92,9.26,-123.9,-7.28,-2.33,23.87,-29.17,1.2,8.4,24.0,2290,228,,,,,,,0,1,-1,top
2017-06-10,491027,5,650828,R,592885,L,41,Strikeout,4,3,170610_214050,a02c1640-3b96-412b-a9c5-a860ea6e061d,1,1,1,S,Swinging Strike,SI,13,2.0,3.42,1.57,96.1,88.9,67.22,-1.62,50.0,5.83,-0.85,1.69,-8.86,5.16,5.34,-139.56,-7.52,-17.67,28.08,-21.87,36.0,6.0,24.0,2263,245,,,,,,,0,1,-1,top
2017-06-10,491027,5,650828,R,592885,L,41,Strikeout,4,4,170610_214111,8f200d17-4e5d-42ad-b663-012c8de1e218,1,2,1,S,Swinging Strike (Blocked),SL,14,2.0,3.42,1.57,88.2,81.3,41.68,-1.41,50.0,5.94,1.02,0.56,-1.94,3.34,6.77,-127.8,-8.33,-3.21,25.62,-26.64,3.6,7.2,24.0,2259,213,,,,,,,0,1,-1,top
2017-06-10,491027,5,650828,R,542303,R,42,Double,2,1,170610_214151,7874a755-705a-4292-96db-2ba073d153d6,0,0,2,S,Foul,SI,11,2.0,3.48,1.45,96.5,87.4,60.02,-1.45,50.0,5.92,-0.76,2.55,-9.98,8.5,5.44,-139.81,-6.44,-19.61,33.75,-15.47,46.8,4.8,24.0,2291,232,,,,,542303,,0,0,-1,top
2017-06-10,491027,5,650828,R,542303,R,42,Double,2,2,170610_214220,2b5d25fa-f153-4896-a3c0-98b1c4381ce4,0,1,2,X,In play- no out,SL,5,2.0,3.48,1.45,86.8,79.2,20.0,-1.47,50.0,6.18,0.21,2.43,0.87,0.19,3.89,-125.82,-2.87,1.39,26.97,-31.86,3.6,8.4,24.0,2033,56,,,,,542303,,0,0,-1,top
2017-06-10,491027,5,650828,R,592663,R,43,Double,6,1,170610_214309,e0a6541c-b6b0-4b8c-be48-757bd7fbae17,0,0,2,B,Ball,SL,11,2.0,3.64,1.65,85.4,77.2,70.49,-1.63,50.0,6.39,-0.23,4.05,0.22,-0.38,3.35,-123.66,1.06,0.34,27.0,-32.75,2.4,8.4,24.0,2139,31,,542303,,,592663,,1,0,-1,top
2017-06-10,491027,5,650828,R,592663,R,43,Double,6,2,170610_214331,8077d7cb-2235-46a6-83a3-5810d726943f,1,0,2,S,Called Strike,SL,1,2.0,3.56,1.7,84.5,77.1,29.97,-1.67,50.0,6.24,-0.27,3.08,0.14,-1.63,3.32,-122.64,-0.46,0.22,25.63,-34.64,1.2,9.6,24.0,2292,13,,542303,,,592663,,1,0,-1,top
