Date, Game, Inning, Pitcher, Hand, Batter, Stand, AB_ID, Result, AB_Total, AB_Count, Pfx_ID, Play_ID, Balls, Strikes, Outs, Code, Pdes, Type, Zone, Con, SZ_Top, SZ_Bot, Start_Speed, End_Speed, Nasty_Factor, X0, Y0, Z0, PX, PZ, PfxX, PfxZ, VX0, VY0, VZ0, AX, AY, AZ, Break_Angle, Break_Length, Break_Y, Spin_Rate, Spin_Direction, Runner 1B, Runner 2B, Runner 3B, End 1B, End 2B, End 3B, Runs, Outs On Play, Run Diff, Half
2017-04-03,490105,1,450172,R,607208,R,3,Double,6,1,170403_171426,54caf3d6-5c78-438e-9a03-f074f549881e,0,0,0,B,Ball,FF,3,2.0,3.67,1.92,93.6,85.5,59.16,-1.53,50.0,5.6,0.26,3.5,0.43,11.74,4.66,-136.29,-3.78,0.81,30.22,-10.11,9.6,2.4,24.0,2208,175,,,,,607208,,0,0,0,bottom
2017-04-03,490105,1,450172,R,607208,R,3,Double,6,2,170403_171447,0a92faf1-4284-4b89-9f14-a768c72611f5,1,0,0,B,Ball,SI,14,2.0,3.9,1.94,94.1,86.3,61.13,-1.37,50.0,5.55,0.52,1.5,-9.79,9.49,8.55,-136.63,-8.31,-18.56,29.18,-14.18,46.8,4.8,24.0,2243,225,,,,,607208,,0,0,0,bottom
2017-04-03,490105,1,450172,R,607208,R,3,Double,6,3,170403_171508,9727b90c-b84f-4f8c-94ea-9f306acc3d0c,2,0,0,B,Ball,FF,14,2.0,4.02,2.02,95.1,86.8,47.28,-1.34,50.0,5.48,0.8,0.8,-8.33,13.78,8.75,-137.84,-11.7,-16.02,30.97,-5.7,60.0,3.6,24.0,2285,210,,,,,607208,,0,0,0,bottom
2017-04-03,490105,1,450172,R,607208,R,3,Double,6,4,170403_171535,5e17b0ea-7e1b-4417-86a9-b2e69a811677,3,0,0,S,Called Strike,FF,7,2.0,3.9,1.84,93.5,85.6,48.63,-1.61,50.0,5.56,-0.67,2.33,-6.37,10.23,4.76,-136.12,-6.28,-11.96,29.61,-12.96,37.2,3.6,24.0,2268,211,,,,,607208,,0,0,0,bottom
2017-04-03,490105,1,450172,R,607208,R,3,Double,6,5,170403_171551,9e88efca-7fef-4fcb-88a6-f5cf1fcca192,3,1,0,S,Foul,SI,5,2.0,3.9,1.65,94.5,86.3,30.43,-1.36,50.0,5.57,0.14,2.57,-9.96,9.78,7.58,-137.5,-5.65,-19.04,31.0,-13.48,49.2,4.8,24.0,2216,224,,,,,607208,,0,0,0,bottom
2017-04-03,490105,1,450172,R,607208,R,3,Double,6,6,170403_171616,497127bc-5156-48bf-b726-15dfc7bed36b,3,2,0,X,In play- no out,SI,11,2.0,3.9,1.65,93.7,85.9,68.63,-1.42,50.0,5.61,-1.1,3.52,-9.21,7.77,4.09,-136.62,-2.41,-17.44,29.73,-17.47,43.2,4.8,24.0,2132,229,,,,,607208,,0,0,0,bottom
2017-04-03,490105,1,450172,R,594809,L,4,Walk,4,1,170403_171710,176c0aca-5b2f-472a-b5e1-346871b6222b,0,0,0,B,Ball,FF,13,2.0,3.67,1.87,94.8,85.9,42.87,-1.45,50.0,5.38,-0.21,0.23,-8.85,10.98,6.43,-137.4,-11.8,-16.73,33.65,-11.43,46.8,4.8,24.0,2356,219,,607208,,594809,,,0,0,0,bottom
2017-04-03,490105,1,450172,R,594809,L,4,Walk,4,2,170403_171758,0467b597-55f4-471a-9895-44928ecaa548,1,0,0,B,Ball,KC,11,2.0,3.13,1.52,79.7,73.5,60.1,-1.62,50.0,5.58,-0.85,2.5,6.07,-0.59,-0.04,-116.14,0.12,8.31,21.41,-32.98,14.4,9.6,24.0,2638,86,,607208,,594809,,,0,0,0,bottom
2017-04-03,490105,1,450172,R,594809,L,4,Walk,4,3,170403_171827,9805aa96-1448-4f12-a197-31a2a488f7a7,2,0,0,B,Ball,CH,11,2.0,3.34,1.6,79.6,72.8,21.02,-1.58,50.0,5.47,-1.36,3.68,-2.81,5.63,1.32,-116.1,1.26,-3.82,22.32,-24.52,8.4,7.2,24.0,1398,203,,607208,,594809,,,0,0,0,bottom
2017-04-03,490105,1,450172,R,594809,L,4,Walk,4,4,170403_171907,e6c38d97-75fe-4194-8689-0c36cdf4c09d,3,0,0,B,Ball,FF,11,2.0,3.63,1.86,93.2,84.7,67.46,-1.57,50.0,5.63,-1.28,3.17,-5.02,11.14,2.51,-135.7,-4.41,-9.3,31.66,-11.55,34.8,3.6,24.0,2287,203,,607208,,594809,,,0,0,0,bottom
2017-04-03,490105,1,450172,R,547180,L,5,Strikeout,3,1,170403_172005,cdf57e8c-cf8f-41dd-801a-87639ff89d7f,0,0,0,S,Foul,SI,5,2.0,3.48,1.41,94.4,86.7,39.22,-1.37,50.0,5.45,-0.16,2.42,-7.22,7.75,5.84,-137.44,-5.04,-13.85,29.49,-17.29,34.8,4.8,24.0,2246,221,594809,,,,,,0,1,0,bottom
2017-04-03,490105,1,450172,R,547180,L,5,Strikeout,3,2,170403_172114,71079903-23fe-438d-bde8-886e28f789a4,0,1,0,S,Foul,KC,9,2.0,3.48,1.41,82.1,75.8,49.01,-1.42,50.0,5.55,0.45,1.95,5.58,-2.67,2.7,-119.54,-0.89,8.08,22.86,-36.05,13.2,10.8,24.0,2868,66,594809,,,,,,0,1,0,bottom
2017-04-03,490105,1,450172,R,547180,L,5,Strikeout,3,3,170403_172157,db1cc28f-6878-4af6-8022-6d2fa6443071,0,2,0,S,Swinging Strike (Blocked),CH,13,2.0,3.48,1.41,84.8,77.9,20.3,-1.35,50.0,5.24,-0.11,0.93,-9.79,4.37,6.12,-123.63,-5.28,-15.09,25.63,-25.44,27.6,8.4,24.0,1322,247,594809,,,,,,0,1,0,bottom
2017-04-03,490105,1,450172,R,502517,L,6,Strikeout,4,1,170403_172243,a44a1eca-5d57-476a-913e-efb75b2cf87d,0,0,1,S,Called Strike,KC,8,2.0,3.51,1.81,80.4,74.0,61.36,-1.59,50.0,5.51,0.2,2.12,5.74,-2.02,2.41,-117.09,-0.27,7.95,22.54,-34.97,13.2,10.8,24.0,2815,72,,,,,594809,607208,0,1,0,bottom
2017-04-03,490105,1,450172,R,502517,L,6,Strikeout,4,2,170403_172410,d4580a49-f6f3-4999-8c86-3812db96a21c,0,1,1,B,Ball,CH,14,2.0,3.66,1.89,82.8,76.2,54.18,-1.5,50.0,5.13,0.54,1.34,-6.12,4.5,6.76,-120.57,-3.66,-9.02,23.32,-25.55,16.8,7.2,24.0,1248,231,,,,,594809,607208,0,1,0,bottom
2017-04-03,490105,1,450172,R,502517,L,6,Strikeout,4,3,170403_172435,8aaba93e-444f-478d-8389-72af7091a751,1,1,1,S,Swinging Strike,FF,9,2.0,3.5,1.52,93.7,86.0,57.48,-1.34,50.0,5.39,0.67,1.82,-6.92,9.87,7.83,-136.25,-7.09,-13.05,29.05,-13.56,37.2,3.6,24.0,2257,213,,,,,594809,607208,0,1,0,bottom
2017-04-03,490105,1,450172,R,502517,L,6,Strikeout,4,4,170403_172510,1cba65e0-851b-454b-9ee8-acabff33479d,1,2,1,S,Swinging Strike (Blocked),KC,14,2.0,3.5,1.52,82.6,76.2,40.77,-1.49,50.0,5.46,0.44,1.04,4.32,-2.06,3.24,-120.24,-3.05,6.3,24.04,-35.18,10.8,9.6,24.0,2888,64,,,,,594809,607208,0,1,0,bottom
2017-04-03,490105,1,450172,R,475582,R,7,Strikeout,4,1,170403_172553,2f13cb65-afdf-48f3-a4a8-d355aa22acb2,0,0,2,S,Called Strike,FF,5,2.0,3.8,1.9,95.5,87.2,43.49,-1.36,50.0,5.56,-0.1,2.98,-7.88,10.47,6.26,-139.07,-4.93,-15.42,31.47,-11.68,48.0,3.6,24.0,2226,215,,594809,607208,,,,0,1,0,bottom
2017-04-03,490105,1,450172,R,475582,R,7,Strikeout,4,2,170403_172616,2a80c5fc-1d86-4f15-adac-e8e79488c2b4,0,1,2,B,Ball In Dirt,SI,13,2.0,3.87,2.02,95.7,87.2,30.24,-1.19,50.0,5.33,-1.48,0.2,-11.02,12.5,3.11,-138.88,-12.6,-21.41,32.77,-7.9,62.4,4.8,24.0,2290,223,,594809,607208,,,,0,1,0,bottom
2017-04-03,490105,1,450172,R,475582,R,7,Strikeout,4,3,170403_172652,5367bccf-5ea1-40c4-9098-2495397419a6,1,1,2,S,Foul,CH,8,2.0,3.67,1.57,82.6,76.0,29.2,-1.51,50.0,5.09,-0.04,1.96,-3.62,3.23,4.63,-120.46,-1.67,-5.32,23.37,-27.43,9.6,7.2,24.0,1404,223,,594809,607208,,,,0,1,0,bottom
2017-04-03,490105,1,450172,R,475582,R,7,Strikeout,4,4,170403_172759,ec85dbf9-05b0-436b-a4d7-4e4638635bbd,1,2,2,S,Foul Tip,FF,5,2.0,3.67,1.57,96.6,87.6,26.23,-1.3,50.0,5.47,-0.0,3.0,-4.1,12.58,5.07,-140.59,-5.52,-8.14,34.2,-7.18,39.6,2.4,24.0,2435,196,,594809,607208,,,,0,1,0,bottom
2017-04-03,490105,2,450172,R,150029,R,11,Strikeout,3,1,170403_173631,85ecb052-a425-4068-9aeb-42f9fdadd4e0,0,0,0,S,Called Strike,SI,8,2.0,4.16,1.9,93.4,84.9,47.23,-1.4,50.0,5.51,-0.09,1.97,-9.25,8.29,6.71,-135.83,-6.31,-17.14,32.09,-16.82,40.8,4.8,24.0,2337,227,,,,,,,0,1,0,bottom
2017-04-03,490105,2,450172,R,150029,R,11,Strikeout,3,2,170403_173706,c7cad9c2-7b22-41ae-82bc-59dd2125e381,0,1,0,S,Called Strike,CH,9,2.0,4.03,1.88,83.4,76.1,49.6,-1.26,50.0,5.11,0.68,1.97,-6.96,6.79,6.78,-121.39,-2.88,-10.32,25.16,-22.1,21.6,7.2,24.0,1275,222,,,,,,,0,1,0,bottom
2017-04-03,490105,2,450172,R,150029,R,11,Strikeout,3,3,170403_173728,dab39ee1-caca-48dd-b2c9-bf94bc1ac13b,0,2,0,S,Swinging Strike,CH,13,2.0,4.06,1.66,85.8,78.4,45.27,-1.45,50.0,5.29,-1.06,0.97,-9.39,1.59,3.95,-124.9,-4.56,-14.69,27.41,-29.68,24.0,8.4,24.0,1341,262,,,,,,,0,1,0,bottom
2017-04-03,490105,2,450172,R,452220,L,12,Groundout,3,1,170403_173802,a5e0f70d-c404-488a-a510-81b63316e440,0,0,1,B,Ball,KC,11,2.0,3.54,1.66,79.1,72.7,79.2,-1.64,50.0,5.69,-1.14,2.63,6.67,-7.32,-0.84,-115.04,2.31,8.91,21.96,-41.95,12.0,13.2,24.0,2904,43,,,,,,,0,1,0,bottom
2017-04-03,490105,2,450172,R,452220,L,12,Groundout,3,2,170403_173818,9d85c653-e9ce-4110-98bf-209207f7fd8c,1,0,1,S,Called Strike,FF,3,2.0,3.7,1.69,94.1,84.8,37.67,-1.37,50.0,5.58,0.27,2.95,-8.92,12.32,7.5,-136.74,-5.34,-16.65,34.02,-9.16,55.2,3.6,24.0,2276,213,,,,,,,0,1,0,bottom
2017-04-03,490105,2,450172,R,452220,L,12,Groundout,3,3,170403_173837,6bfbab5c-858e-49ce-9b6c-9ae751880579,1,1,1,X,In play- out(s),CH,7,2.0,4.06,1.66,84.3,76.5,37.35,-1.45,50.0,5.31,-0.42,2.09,-3.26,10.66,3.51,-122.81,-4.44,-4.92,27.02,-16.09,13.2,4.8,24.0,1305,195,,,,,,,0,1,0,bottom
2017-04-03,490105,2,450172,R,446308,L,13,Groundout,4,1,170403_173924,395492bf-de74-4989-927e-a536f7e6ddcc,0,0,2,B,Ball,KC,13,2.0,4.02,2.01,80.9,73.6,79.2,-1.53,50.0,5.59,-1.06,2.55,6.18,-2.18,-0.76,-117.69,0.61,8.56,25.09,-35.19,13.2,10.8,24.0,2904,72,,,,,,,0,1,0,bottom
2017-04-03,490105,2,450172,R,446308,L,13,Groundout,4,2,170403_173941,ff5074ca-d104-4633-a83e-f34477259b5c,1,0,2,B,Ball,FF,14,2.0,3.78,1.93,94.5,85.7,23.97,-1.01,50.0,5.3,1.95,0.97,-9.45,12.33,11.3,-136.97,-10.0,-17.8,32.54,-8.94,52.8,3.6,24.0,2349,215,,,,,,,0,1,0,bottom
2017-04-03,490105,2,450172,R,446308,L,13,Groundout,4,3,170403_174004,d7c21050-348e-4982-9cd2-a8603451df47,2,0,2,S,Called Strike,SI,8,2.0,3.89,1.93,94.6,86.1,37.58,-1.29,50.0,5.3,-0.0,1.98,-9.52,10.84,6.86,-137.63,-6.88,-18.17,32.05,-11.5,51.6,4.8,24.0,2278,220,,,,,,,0,1,0,bottom
