Date, Game, Inning, Pitcher, Hand, Batter, Stand, AB_ID, Result, AB_Total, AB_Count, Pfx_ID, Play_ID, Balls, Strikes, Outs, Code, Pdes, Type, Zone, Con, SZ_Top, SZ_Bot, Start_Speed, End_Speed, Nasty_Factor, X0, Y0, Z0, PX, PZ, PfxX, PfxZ, VX0, VY0, VZ0, AX, AY, AZ, Break_Angle, Break_Length, Break_Y, Spin_Rate, Spin_Direction, Runner 1B, Runner 2B, Runner 3B, End 1B, End 2B, End 3B, Runs, Outs On Play, Run Diff, Half
2018-04-11,529565,8,622161,R,608336,L,76,Flyout,3,1,180411_030004,4db8436d-b12a-4f99-93d3-aa16962b43d3,0,0,0,B,Ball,FF,12,2.0,3.59,1.54,92.5,82.7,68.22,-2.52,50.0,5.44,1.0,3.1,-7.01,8.99,11.58,-133.66,-3.01,-12.44,33.89,-16.23,28.8,4.8,24.0,2328,211,,,,,,,0,1,10,bottom
2018-04-11,529565,8,622161,R,608336,L,76,Flyout,3,2,180411_030019,442e9355-8c8d-46c9-a2d9-9872f244f283,1,0,0,B,Ball,FF,14,2.0,3.45,1.44,92.5,83.3,23.36,-2.47,50.0,5.3,1.34,1.89,-8.51,9.72,12.89,-133.66,-6.12,-15.2,32.28,-14.81,37.2,4.8,24.0,2355,216,,,,,,,0,1,10,bottom
2018-04-11,529565,8,622161,R,608336,L,76,Flyout,3,3,180411_030035,e37d8426-191b-4d77-a217-545005077621,2,0,0,X,In play- out(s),FF,2,2.0,3.42,1.43,92.4,83.3,29.05,-2.73,50.0,5.41,-0.21,2.88,-6.49,9.3,8.83,-133.81,-3.71,-11.63,31.81,-15.49,30.0,4.8,24.0,2297,210,,,,,,,0,1,10,bottom
2018-04-11,529565,8,622161,R,607387,R,77,Flyout,3,1,180411_030113,b919b9c1-5ffc-41e5-b041-ceb89799bbfb,0,0,1,S,Called Strike,FF,3,2.0,3.44,1.56,92.8,84.4,62.42,-2.64,50.0,5.27,0.67,3.03,-8.27,8.42,11.62,-134.38,-2.79,-15.09,29.45,-16.8,36.0,4.8,24.0,2379,219,,,,,,,0,1,10,bottom
2018-04-11,529565,8,622161,R,607387,R,77,Flyout,3,2,180411_030126,f7ca78c1-fc6d-4ba4-99be-d2824fbec76d,0,1,1,B,Ball,SL,14,2.0,3.42,1.46,82.6,76.7,52.85,-2.47,50.0,5.61,1.09,1.47,2.38,-3.14,7.72,-119.97,-2.07,3.48,21.97,-36.78,7.2,10.8,24.0,2494,46,,,,,,,0,1,10,bottom
2018-04-11,529565,8,622161,R,607387,R,77,Flyout,3,3,180411_030148,733971b0-d779-433e-a883-a4982379115d,1,1,1,X,In play- out(s),SL,7,2.0,3.42,1.37,84.2,77.2,32.76,-2.85,50.0,5.4,-0.47,1.82,1.91,-0.65,5.15,-122.29,-1.76,2.88,24.91,-33.15,6.0,9.6,24.0,2525,75,,,,,,,0,1,10,bottom
2018-04-11,529565,8,622161,R,592685,L,78,Strikeout,6,1,180411_030216,92bfcc83-432a-41ed-9c88-11180d61dc79,0,0,2,S,Called Strike,FF,4,2.0,3.52,1.73,93.2,84.5,48.21,-2.66,50.0,5.37,-0.53,2.61,-7.52,10.2,8.27,-135.14,-4.82,-13.82,30.97,-13.41,39.6,3.6,24.0,2428,213,,,,,,,0,1,10,bottom
2018-04-11,529565,8,622161,R,592685,L,78,Strikeout,6,2,180411_030230,299feef4-3412-4b06-ac14-889031f5480a,0,1,2,S,Swinging Strike,SL,13,2.0,3.56,1.33,83.4,77.1,51.64,-2.69,50.0,5.61,-0.71,1.16,0.83,-2.74,4.49,-121.2,-3.09,1.24,23.24,-36.26,3.6,9.6,24.0,2514,25,,,,,,,0,1,10,bottom
2018-04-11,529565,8,622161,R,592685,L,78,Strikeout,6,3,180411_030300,8e52891c-2c14-4104-9db8-aa2d1debcb50,0,2,2,B,Ball,FF,12,2.0,3.56,1.47,93.2,83.8,56.8,-2.36,50.0,5.43,0.9,3.44,-7.14,10.27,11.08,-134.83,-2.74,-12.99,32.68,-13.5,36.0,3.6,24.0,2432,209,,,,,,,0,1,10,bottom
2018-04-11,529565,8,622161,R,592685,L,78,Strikeout,6,4,180411_030318,5dad4da7-8839-4a4c-af8d-4306e57395aa,1,2,2,B,Ball,CH,13,2.0,3.56,1.52,83.3,75.3,21.46,-3.15,50.0,5.07,-2.76,1.91,-10.69,3.08,4.22,-120.84,-1.66,-15.58,26.7,-27.68,27.6,8.4,24.0,1705,253,,,,,,,0,1,10,bottom
2018-04-11,529565,8,622161,R,592685,L,78,Strikeout,6,5,180411_030333,0a0bee06-c8b2-4efc-b71d-195433692ef4,2,1,2,S,Foul,FF,4,2.0,3.56,1.33,93.6,84.6,30.61,-2.68,50.0,5.32,-0.36,2.28,-7.39,9.76,8.75,-135.72,-5.46,-13.65,32.49,-14.16,37.2,4.8,24.0,2470,214,,,,,,,0,1,10,bottom
2018-04-11,529565,8,622161,R,592685,L,78,Strikeout,6,6,180411_030355,f57231a1-1f1d-4e54-90de-fcb8a29273ad,2,2,2,S,Swinging Strike,FF,11,2.0,3.56,1.33,93.7,85.2,53.02,-2.65,50.0,5.42,-0.74,3.33,-5.7,7.91,7.12,-136.01,-2.36,-10.66,30.47,-17.4,26.4,4.8,24.0,2324,211,,,,,,,0,1,10,bottom
2018-04-11,529565,9,622161,R,425783,L,82,Flyout,6,1,180411_031146,f41f92a5-268c-42cf-96d6-34ff1bc2c460,0,0,0,B,Ball,FF,11,2.0,3.24,1.52,92.4,83.5,44.87,-2.75,50.0,5.37,-1.54,3.15,-6.68,9.13,5.48,-134.02,-2.88,-12.03,31.46,-15.72,33.6,4.8,24.0,2261,213,,,,,,,0,1,10,bottom
2018-04-11,529565,9,622161,R,425783,L,82,Flyout,6,2,180411_031200,e12e4f5f-89f7-43d8-88b0-a1d1762d1b97,1,0,0,B,Ball,FF,12,2.0,3.24,1.38,93.9,84.5,14.1,-2.55,50.0,5.59,0.01,3.81,-6.68,8.92,9.14,-136.02,-1.82,-12.38,32.97,-15.64,32.4,3.6,24.0,2264,211,,,,,,,0,1,10,bottom
2018-04-11,529565,9,622161,R,425783,L,82,Flyout,6,3,180411_031213,1731480d-e87d-4f10-8be7-086f19cb8c4f,2,0,0,S,Called Strike,FF,6,2.0,3.39,1.33,93.4,84.5,27.81,-2.7,50.0,5.15,0.4,2.35,-7.39,7.91,10.8,-135.18,-4.13,-13.56,31.61,-17.65,31.2,4.8,24.0,2294,218,,,,,,,0,1,10,bottom
2018-04-11,529565,9,622161,R,425783,L,82,Flyout,6,4,180411_031229,b2bfca2d-c920-4667-ae6a-badb6188d9e4,2,1,0,B,Ball,SL,13,2.0,3.24,1.43,84.0,77.0,13.04,-3.02,50.0,5.43,-1.77,2.03,1.71,-0.71,2.47,-122.13,-1.3,2.57,24.75,-33.24,4.8,9.6,24.0,2462,71,,,,,,,0,1,10,bottom
2018-04-11,529565,9,622161,R,425783,L,82,Flyout,6,5,180411_031242,e11becab-9b39-4074-9a03-f6ec6eef37cb,3,1,0,S,Foul,FF,4,2.0,2.92,1.19,92.7,83.8,30.21,-2.87,50.0,5.24,-0.44,2.23,-6.66,8.56,8.68,-134.41,-4.81,-12.05,32.03,-16.68,28.8,4.8,24.0,2258,214,,,,,,,0,1,10,bottom
2018-04-11,529565,9,622161,R,425783,L,82,Flyout,6,6,180411_031309,ee686112-03c0-4b6f-831a-6d33c5aa44bf,3,2,0,X,In play- out(s),FF,5,2.0,2.92,1.19,93.7,84.8,22.24,-2.47,50.0,5.36,0.19,2.15,-5.4,9.85,8.99,-135.77,-5.98,-9.99,32.09,-13.94,27.6,3.6,24.0,2334,204,,,,,,,0,1,10,bottom
2018-04-11,529565,9,622161,R,595777,L,83,Pop Out,3,1,180411_031342,ab448b4d-ffb9-49c0-aca6-177cf7d24988,0,0,1,B,Ball,FF,11,2.0,3.26,1.56,94.5,85.1,58.07,-2.84,50.0,5.35,-1.18,3.82,-6.49,7.97,6.73,-137.04,-0.93,-12.2,33.67,-17.2,31.2,4.8,24.0,2418,214,,,,,,,0,1,10,bottom
2018-04-11,529565,9,622161,R,595777,L,83,Pop Out,3,2,180411_031355,a4b638f5-b080-4149-8aa7-e5eb5eae484d,1,0,1,B,Ball,FF,11,2.0,3.22,1.41,93.6,84.2,19.53,-2.64,50.0,5.41,-0.16,3.95,-6.56,8.22,8.86,-135.66,-0.67,-12.07,33.3,-17.05,30.0,4.8,24.0,2417,212,,,,,,,0,1,10,bottom
2018-04-11,529565,9,622161,R,595777,L,83,Pop Out,3,3,180411_031412,b7a74a4a-e44e-49f9-a595-42fb0873c57d,2,0,1,X,In play- out(s),FF,4,2.0,3.0,1.28,93.4,84.5,26.77,-2.79,50.0,5.09,-0.28,2.3,-7.55,7.56,9.28,-135.29,-4.0,-13.89,31.52,-18.27,31.2,4.8,24.0,2482,221,,,,,,,0,1,10,bottom
