Date, Game, Inning, Pitcher, Hand, Batter, Stand, AB_ID, Result, AB_Total, AB_Count, Pfx_ID, Play_ID, Balls, Strikes, Outs, Code, Pdes, Type, Zone, Con, SZ_Top, SZ_Bot, Start_Speed, End_Speed, Nasty_Factor, X0, Y0, Z0, PX, PZ, PfxX, PfxZ, VX0, VY0, VZ0, AX, AY, AZ, Break_Angle, Break_Length, Break_Y, Spin_Rate, Spin_Direction, Runner 1B, Runner 2B, Runner 3B, End 1B, End 2B, End 3B, Runs, Outs On Play, Run Diff, Half
2017-06-07,490988,7,429719,R,570256,L,53,Single,4,1,170608_012108,a1243808-f0b7-456d-b541-fd580bd9038c,0,0,0,B,Ball,FT,14,2.0,4.17,2.0,91.9,84.2,39.05,-1.82,50.0,5.8,0.32,1.09,-9.14,7.72,8.74,-133.11,-8.89,-16.42,28.11,-18.3,36.0,6.0,24.0,2203,233,,,,570256,,,0,0,-3,top
2017-06-07,490988,7,429719,R,570256,L,53,Single,4,2,170608_012128,78e494bb-82f5-4240-b9a0-946ed6a2fef1,1,0,0,S,Foul,FT,8,2.0,3.69,1.61,93.8,86.0,37.01,-1.77,50.0,5.82,0.03,2.13,-8.26,7.75,7.72,-135.89,-6.63,-15.53,28.31,-17.6,36.0,4.8,24.0,2378,229,,,,570256,,,0,0,-3,top
2017-06-07,490988,7,429719,R,570256,L,53,Single,4,3,170608_012147,71d18d94-3859-4938-b5f6-8915fe9d3930,1,1,0,B,Ball,FF,14,2.0,4.19,1.9,92.4,84.2,39.58,-1.81,50.0,5.59,0.54,0.46,-1.91,5.65,6.83,-133.73,-9.32,-3.43,30.78,-22.01,4.8,6.0,24.0,2441,195,,,,570256,,,0,0,-3,top
2017-06-07,490988,7,429719,R,570256,L,53,Single,4,4,170608_012212,be277586-29c5-4a58-bf16-1f8645bf9f48,2,1,0,X,In play- no out,FT,5,2.0,3.69,1.61,92.0,84.1,30.25,-1.7,50.0,5.83,0.02,2.39,-10.76,4.28,8.21,-133.36,-4.43,-19.4,28.41,-24.47,34.8,7.2,24.0,1958,252,,,,570256,,,0,0,-3,top
2017-06-07,490988,7,429719,R,501896,R,54,Flyout,1,1,170608_012306,f0b6cd9d-eeb7-4456-b070-090e4bcb8c1a,0,0,0,X,In play- out(s),FF,4,2.0,3.3,1.36,90.3,82.6,51.37,-2.28,50.0,5.77,-0.45,2.35,-3.02,8.05,5.75,-130.95,-5.32,-5.26,27.26,-18.18,12.0,4.8,24.0,2173,199,570256,,,,,,0,1,-3,top
2017-06-07,490988,7,429719,R,591741,R,55,Home Run,2,1,170608_012348,e8c9167a-aa88-413d-ba17-35e0ac1b80e7,0,0,1,S,Called Strike,FT,2,2.0,3.51,1.57,90.0,82.7,38.49,-1.88,50.0,5.89,0.08,2.96,-4.65,7.5,6.65,-130.69,-3.89,-8.1,25.75,-19.11,19.2,4.8,24.0,2194,211,,,,,,,2,0,-3,top
2017-06-07,490988,7,429719,R,591741,R,55,Home Run,2,2,170608_012416,d7c13af0-4a68-4cea-bf7b-964d813b5632,0,1,1,X,In play- run(s),SL,5,2.0,3.64,1.38,86.3,78.8,27.33,-1.91,50.0,5.87,-0.2,2.71,-3.37,1.36,5.29,-125.23,-1.73,-5.33,26.12,-30.03,8.4,8.4,24.0,2206,262,,,,,,,2,0,-3,top
2017-06-07,490988,7,429719,R,457705,R,56,Flyout,3,1,170608_012458,72aa05c9-c749-4646-9605-00b78c37eeef,0,0,1,B,Ball,FF,11,2.0,3.63,1.71,91.9,84.1,76.5,-2.0,50.0,5.9,-1.18,3.4,-2.83,7.27,3.13,-133.55,-3.01,-5.12,28.02,-19.0,13.2,4.8,24.0,2116,201,,,,,,,0,1,-5,top
2017-06-07,490988,7,429719,R,457705,R,56,Flyout,3,2,170608_012511,30b0dbd0-5976-4f1a-85d1-67eafa68b849,1,0,1,S,Called Strike,FF,7,2.0,3.63,1.73,90.1,82.3,48.27,-1.99,50.0,5.73,-0.61,2.23,-1.06,5.84,3.92,-130.67,-4.74,-1.84,27.66,-22.08,2.4,6.0,24.0,2186,187,,,,,,,0,1,-5,top
2017-06-07,490988,7,429719,R,457705,R,56,Flyout,3,3,170608_012540,39bd7da2-4227-48be-b7eb-97ee183fbd34,1,1,1,X,In play- out(s),FF,4,2.0,3.33,1.4,92.1,84.1,34.87,-1.85,50.0,5.73,-0.36,2.53,-5.43,9.48,5.78,-133.57,-5.6,-9.83,28.23,-15.01,27.6,3.6,24.0,2234,210,,,,,,,0,1,-5,top
