Date, Game, Inning, Pitcher, Hand, Batter, Stand, AB_ID, Result, AB_Total, AB_Count, Pfx_ID, Play_ID, Balls, Strikes, Outs, Code, Pdes, Type, Zone, Con, SZ_Top, SZ_Bot, Start_Speed, End_Speed, Nasty_Factor, X0, Y0, Z0, PX, PZ, PfxX, PfxZ, VX0, VY0, VZ0, AX, AY, AZ, Break_Angle, Break_Length, Break_Y, Spin_Rate, Spin_Direction, Runner 1B, Runner 2B, Runner 3B, End 1B, End 2B, End 3B, Runs, Outs On Play, Run Diff, Half
2019-09-12,566825,5,661403,R,641525,R,39,Flyout,2,1,190804_204649,e61bcb1c-de88-4163-8184-f2c744ebeca1,0,0,1,B,Ball,FC,14,2.0,3.37,1.65,99.7,91.8,,-0.66,50.0,5.63,1.03,2.0,0.75,6.54,4.59,-145.13,-7.27,1.6,32.35,-18.16,7.2,3.6,24.0,2646,168,408234,,,,,592348,0,1,-1,top
2019-09-12,566825,5,661403,R,641525,R,39,Flyout,2,2,190804_204733,160707cb-1aa8-4cbb-b4e8-4110f9959180,1,0,1,X,In play- out(s),FF,5,2.0,3.43,1.69,99.7,91.6,,-0.67,50.0,5.68,0.06,2.32,-2.0,5.48,2.86,-145.14,-6.08,-4.28,32.91,-20.45,9.6,3.6,24.0,2662,198,408234,,,,,592348,0,1,-1,top
2019-09-12,566825,5,661403,R,600869,L,40,Groundout,2,1,190804_204818,75ae2b8f-fab4-4c7c-9326-1b71e40076b6,0,0,2,S,Swinging Strike,FC,14,2.0,3.43,1.69,101.1,93.1,,-0.54,50.0,5.72,1.45,2.29,0.72,6.1,5.52,-147.2,-6.79,1.6,33.37,-18.72,8.4,3.6,24.0,2630,166,,,592348,,,,0,1,-1,top
2019-09-12,566825,5,661403,R,600869,L,40,Groundout,2,2,190804_204845,def32de0-bc00-464b-ae72-b3b438dfe8b9,0,1,2,X,In play- out(s),FC,2,2.0,3.5,1.56,100.9,93.0,,-0.62,50.0,5.79,0.16,3.42,-0.38,6.27,2.42,-147.01,-3.75,-0.85,32.14,-18.33,1.2,3.6,24.0,2563,181,,,592348,,,,0,1,-1,top
2019-09-12,566825,6,661403,R,641513,R,46,Groundout,6,1,190804_210147,c5f94faa-21db-4b9d-8725-5414e72ea2de,0,0,0,S,Called Strike,FC,5,2.0,3.73,1.72,98.4,90.6,,-0.61,50.0,5.77,0.0,2.57,0.51,4.2,1.56,-143.41,-4.95,1.06,31.85,-23.39,3.6,4.8,24.0,2410,169,,,,,,,0,1,1,top
2019-09-12,566825,6,661403,R,641513,R,46,Groundout,6,2,190804_210207,01a3610f-3bf4-49cf-8e99-a7a93e736e2e,0,1,0,S,Called Strike,SL,7,2.0,3.65,1.59,92.1,84.9,,-0.41,50.0,5.78,-0.37,1.81,2.31,-2.33,-0.69,-134.06,-3.62,4.22,28.5,-36.43,6.0,8.4,24.0,2717,40,,,,,,,0,1,1,top
2019-09-12,566825,6,661403,R,641513,R,46,Groundout,6,3,190804_210230,91335afc-decc-49f3-9688-84e336a69fd5,0,2,0,B,Ball,FC,12,2.0,3.6,1.59,100.0,91.9,,-0.51,50.0,5.9,0.44,3.92,1.42,4.87,2.2,-145.73,-1.95,3.08,32.59,-21.64,9.6,3.6,24.0,2670,160,,,,,,,0,1,1,top
2019-09-12,566825,6,661403,R,641513,R,46,Groundout,6,4,190804_210256,946775c9-f4e6-42f5-b30c-587d5201d656,1,2,0,B,Ball,SL,14,2.0,3.65,1.67,91.2,84.3,,-0.38,50.0,5.62,0.84,0.03,0.7,-2.85,2.94,-132.68,-7.53,1.25,28.72,-37.25,2.4,8.4,24.0,2706,16,,,,,,,0,1,1,top
2019-09-12,566825,6,661403,R,641513,R,46,Groundout,6,5,190804_210326,b0651261-a3dc-4868-abad-9024553d09ff,2,2,0,B,Ball,SL,11,2.0,3.63,1.64,88.9,81.9,,-0.58,50.0,5.92,-1.16,2.94,1.67,-3.16,-2.04,-129.4,-0.29,2.84,26.06,-37.56,3.6,8.4,24.0,2733,25,,,,,,,0,1,1,top
2019-09-12,566825,6,661403,R,641513,R,46,Groundout,6,6,190804_210354,25186997-4173-4f21-801c-52781a3006c8,3,2,0,X,In play- out(s),FC,9,2.0,3.5,1.56,100.4,93.1,,-0.53,50.0,5.67,0.57,1.74,2.55,5.74,2.24,-146.2,-8.04,5.6,30.45,-19.6,15.6,3.6,24.0,2686,151,,,,,,,0,1,1,top
2019-09-12,566825,6,661403,R,622682,L,47,Groundout,6,1,190804_210431,1c242ae1-4c93-4126-ab3b-9c3e39c6224e,0,0,1,S,Called Strike,FC,4,2.0,3.76,1.89,100.1,92.3,,-0.58,50.0,5.82,-0.58,2.91,0.98,6.0,-0.36,-145.79,-5.09,2.13,31.51,-19.15,6.0,3.6,24.0,2719,170,,,,,,,0,1,1,top
2019-09-12,566825,6,661403,R,622682,L,47,Groundout,6,2,190804_210452,10d0a3a7-27bd-405b-90d4-61290dc87708,0,1,1,B,Ball,FC,11,2.0,3.59,1.78,100.0,92.5,,-0.51,50.0,5.87,-0.45,3.64,0.95,4.87,-0.19,-145.82,-2.71,2.07,30.63,-21.58,4.8,3.6,24.0,2684,168,,,,,,,0,1,1,top
2019-09-12,566825,6,661403,R,622682,L,47,Groundout,6,3,190804_210517,f99dfe47-72e6-4ac3-976c-9b2259f4f0b8,1,1,1,B,Ball,FC,12,2.0,3.61,1.71,99.0,91.3,,-0.39,50.0,5.9,0.4,4.22,0.18,4.54,2.2,-144.35,-0.87,0.38,30.55,-22.51,2.4,4.8,24.0,2656,175,,,,,,,0,1,1,top
2019-09-12,566825,6,661403,R,622682,L,47,Groundout,6,4,190804_210541,8ec3fd8a-3d76-41b7-a032-0f3193e978ff,2,1,1,S,Foul,FC,12,2.0,3.61,1.71,100.1,92.4,,-0.35,50.0,5.8,1.03,3.08,1.72,6.06,3.34,-145.86,-4.56,3.73,31.55,-19.01,12.0,3.6,24.0,2647,160,,,,,,,0,1,1,top
2019-09-12,566825,6,661403,R,622682,L,47,Groundout,6,5,190804_210610,66a29e31-487d-4223-9347-dedbdaac70ee,2,1,1,S,Foul,FC,3,2.0,3.61,1.71,99.2,91.0,,-0.61,50.0,5.78,0.59,3.39,1.87,4.36,2.71,-144.44,-2.81,3.97,32.73,-22.94,10.8,4.8,24.0,2556,152,,,,,,,0,1,1,top
2019-09-12,566825,6,661403,R,622682,L,47,Groundout,6,6,190804_210647,ccb9af26-38df-42b8-8ef4-d954fb217cf8,2,2,1,X,In play- out(s),FC,6,2.0,3.43,1.57,98.4,91.0,,-0.45,50.0,5.74,0.48,2.81,1.3,3.9,2.16,-143.44,-4.13,2.73,30.3,-23.97,7.2,4.8,24.0,2537,157,,,,,,,0,1,1,top
2019-09-12,566825,6,661403,R,543308,R,48,Walk,6,1,190804_210722,b4bff812-2419-4e6d-a145-3af11d1c57a5,0,0,2,B,Ball,SL,13,2.0,3.43,1.57,91.7,85.3,,-0.58,50.0,5.69,-0.51,1.26,3.01,-1.21,-0.84,-133.62,-5.24,5.5,25.92,-34.39,8.4,8.4,24.0,,60,,,,543308,,,0,0,1,top
2019-09-12,566825,6,661403,R,543308,R,48,Walk,6,2,190804_210740,d183fa02-f3d1-4ef8-a20e-279d34118faa,1,0,2,B,Ball,FC,2,2.0,3.27,1.66,98.7,91.3,,-0.55,50.0,5.73,-0.09,3.37,2.88,3.79,0.24,-143.87,-2.51,6.12,29.58,-24.14,14.4,4.8,24.0,2620,141,,,,543308,,,0,0,1,top
