Date, Game, Inning, Pitcher, Hand, Batter, Stand, AB_ID, Result, AB_Total, AB_Count, Pfx_ID, Play_ID, Balls, Strikes, Outs, Code, Pdes, Type, Zone, Con, SZ_Top, SZ_Bot, Start_Speed, End_Speed, Nasty_Factor, X0, Y0, Z0, PX, PZ, PfxX, PfxZ, VX0, VY0, VZ0, AX, AY, AZ, Break_Angle, Break_Length, Break_Y, Spin_Rate, Spin_Direction, Runner 1B, Runner 2B, Runner 3B, End 1B, End 2B, End 3B, Runs, Outs On Play, Run Diff, Half
2017-04-05,490127,7,544836,L,518618,L,52,Hit By Pitch,1,1,170406_011259,24c3b8ec-3660-4006-a80c-db2e01cd77a5,0,0,0,B,Hit By Pitch,FF,12,2.0,3.75,1.53,97.6,89.3,54.03,0.84,50.0,6.53,1.68,3.88,5.15,12.13,0.48,-142.03,-6.14,10.54,32.23,-7.36,50.4,2.4,24.0,2500,155,,,,518618,,,0,0,4,top
2017-04-05,490127,7,544836,L,588751,R,53,Single,4,1,170406_011435,81ff9bca-127f-4840-b798-f905235bdfcb,0,0,0,S,Called Strike,SL,11,2.0,3.63,1.54,91.9,83.6,83.51,0.85,50.0,6.5,-0.54,3.51,3.54,9.41,-4.85,-133.53,-4.97,6.36,30.08,-15.27,18.0,3.6,24.0,2399,161,518618,,,588751,518618,,0,0,4,top
2017-04-05,490127,7,544836,L,588751,R,53,Single,4,2,170406_011453,2cbbbb60-739f-42ee-b35e-6a1913f1308e,0,1,0,S,Foul,FF,4,2.0,3.75,1.53,97.2,88.4,41.73,0.42,50.0,6.44,-0.66,2.45,2.57,12.15,-3.93,-141.11,-9.7,5.15,33.61,-7.79,22.8,2.4,24.0,2374,169,518618,,,588751,518618,,0,0,4,top
2017-04-05,490127,7,544836,L,588751,R,53,Single,4,3,170406_011517,7f22d5c3-f846-45ad-b349-1e29c5b22aba,0,2,0,B,Ball,FF,11,2.0,3.84,1.66,94.2,85.8,34.43,0.36,50.0,6.64,-1.59,3.16,3.33,7.57,-6.41,-136.79,-6.04,6.29,31.35,-17.9,14.4,4.8,24.0,2535,159,518618,,,588751,518618,,0,0,4,top
2017-04-05,490127,7,544836,L,588751,R,53,Single,4,4,170406_011537,25d81ce4-871b-465c-90fa-5bcbc31b88c6,1,2,0,X,In play- no out,FF,3,2.0,3.75,1.53,97.9,88.6,48.16,0.53,50.0,6.55,0.36,3.23,7.0,11.58,-3.01,-142.12,-7.73,14.19,35.17,-8.69,51.6,3.6,24.0,2480,148,518618,,,588751,518618,,0,0,4,top
2017-04-05,490127,7,544836,L,500743,R,54,Grounded Into DP,2,1,170406_011622,6da9d182-ec30-489e-81da-39488de85fac,0,0,0,S,Foul,FF,6,2.0,3.84,1.59,98.1,88.1,49.04,0.64,50.0,6.41,0.27,2.81,6.48,12.48,-3.35,-142.24,-8.79,13.05,37.72,-7.03,52.8,3.6,24.0,2466,152,588751,518618,,,,518618,0,2,4,top
2017-04-05,490127,7,544836,L,500743,R,54,Grounded Into DP,2,2,170406_011653,7e05f8e6-deba-4998-b218-0fc34ec74651,0,1,0,X,In play- out(s),FF,4,2.0,3.48,1.71,94.6,86.5,34.06,0.64,50.0,6.47,-0.35,2.73,3.82,10.4,-4.0,-137.34,-7.82,7.23,30.19,-12.49,24.0,3.6,24.0,,160,588751,518618,,,,518618,0,2,4,top
2017-04-05,490127,7,544836,L,543829,L,55,Strikeout,4,1,170406_011735,2884fbe5-36fb-417f-8f8c-df57249f8ec7,0,0,2,S,Foul,SL,5,2.0,3.7,1.58,91.8,84.2,57.04,0.98,50.0,6.29,0.21,2.19,-1.5,6.74,-1.52,-133.49,-7.01,-2.7,28.85,-20.02,8.4,4.8,24.0,2350,195,,,518618,,,,0,1,4,top
2017-04-05,490127,7,544836,L,543829,L,55,Strikeout,4,2,170406_011755,82683f85-e1b2-45de-b1b1-0a331045584b,0,1,2,S,Foul Tip,FF,6,2.0,3.69,1.51,98.1,89.6,37.15,0.52,50.0,6.4,0.49,2.28,4.32,11.21,-1.65,-142.47,-9.96,8.86,33.17,-9.16,36.0,2.4,24.0,2368,157,,,518618,,,,0,1,4,top
2017-04-05,490127,7,544836,L,543829,L,55,Strikeout,4,3,170406_011818,897cdba2-c35f-4a13-8368-8bbfe7cee1a8,0,1,2,S,Foul,FF,1,2.0,3.69,1.51,99.4,90.4,37.71,0.4,50.0,6.47,-0.3,2.86,3.37,13.87,-3.25,-144.35,-9.76,7.08,34.66,-3.01,49.2,1.2,24.0,2396,166,,,518618,,,,0,1,4,top
2017-04-05,490127,7,544836,L,543829,L,55,Strikeout,4,4,170406_011841,8a41f6dc-cbcd-438a-96ad-fc3b9ff89c5c,0,2,2,S,Swinging Strike,SL,2,2.0,3.55,1.66,89.2,82.4,32.74,0.85,50.0,6.51,0.23,3.1,-2.08,2.9,-0.9,-129.88,-3.5,-3.59,25.36,-27.19,7.2,7.2,24.0,2565,219,,,518618,,,,0,1,4,top
2017-04-05,490127,8,544836,L,592663,R,60,Home Run,4,1,170406_013017,d710279b-38bc-4ba7-9db9-53893842f7e8,0,0,0,B,Ball,SL,11,2.0,3.91,1.89,86.9,80.6,82.91,0.98,50.0,6.63,-0.6,3.82,-1.36,4.97,-3.52,-126.48,-2.25,-2.23,22.51,-24.02,6.0,6.0,24.0,,199,,,,,,,1,0,4,top
2017-04-05,490127,8,544836,L,592663,R,60,Home Run,4,2,170406_013034,0339ceaa-a426-43df-889b-b0c5dda1642c,1,0,0,S,Called Strike,SL,13,2.0,3.61,1.57,84.4,78.6,52.53,0.99,50.0,6.45,-0.83,2.14,-1.89,3.34,-3.83,-122.83,-4.97,-2.93,21.39,-27.0,7.2,7.2,24.0,,218,,,,,,,1,0,4,top
2017-04-05,490127,8,544836,L,592663,R,60,Home Run,4,3,170406_013054,ef9becb5-9721-4afb-b142-a78b49dcc048,1,1,0,B,Ball,SL,14,2.0,3.79,1.81,91.0,84.3,43.61,1.06,50.0,6.42,1.1,2.69,1.94,5.93,-0.55,-132.51,-5.71,3.5,25.19,-21.51,8.4,4.8,24.0,2386,160,,,,,,,1,0,4,top
2017-04-05,490127,8,544836,L,592663,R,60,Home Run,4,4,170406_013111,af2df233-e92f-42b3-a5ab-f568757c1d6b,2,1,0,X,In play- run(s),SL,5,2.0,3.79,1.56,90.4,83.8,18.72,0.81,50.0,6.4,-0.13,2.89,3.7,5.88,-3.69,-131.55,-4.99,6.56,24.49,-21.73,14.4,4.8,24.0,2302,148,,,,,,,1,0,4,top
2017-04-05,490127,8,544836,L,592885,L,61,Single,5,1,170406_013155,019a25b1-042f-4203-ad39-213a0ad02268,0,0,0,B,Ball,SL,12,2.0,3.64,1.86,86.6,79.8,93.56,1.19,50.0,6.57,0.85,3.74,-0.96,1.87,-0.52,-126.03,-1.21,-1.56,24.35,-29.14,3.6,7.2,24.0,,208,,,,592885,,,0,0,3,top
2017-04-05,490127,8,544836,L,592885,L,61,Single,5,2,170406_013212,c12142d4-0560-46c3-8eb0-bbd631228b61,1,0,0,S,Foul,FF,5,2.0,3.87,1.6,97.6,88.9,23.13,0.54,50.0,6.46,-0.13,2.77,3.07,13.39,-2.98,-141.73,-9.42,6.23,33.27,-5.01,37.2,2.4,24.0,2241,167,,,,592885,,,0,0,3,top
2017-04-05,490127,8,544836,L,592885,L,61,Single,5,3,170406_013237,d1f6a6f1-81ba-4b24-b842-b9c1478ee27b,1,1,0,S,Swinging Strike,SL,14,2.0,3.58,1.81,90.9,84.1,51.57,1.0,50.0,6.25,0.55,1.55,0.54,6.84,-1.35,-132.06,-8.45,0.94,25.46,-20.22,2.4,4.8,24.0,,176,,,,592885,,,0,0,3,top
2017-04-05,490127,8,544836,L,592885,L,61,Single,5,4,170406_013302,fc32b13c-3078-4fb0-8a0a-c1aca748130d,1,2,0,B,Ball,SL,11,2.0,3.87,1.79,90.8,84.0,41.27,0.82,50.0,6.47,-1.14,2.71,0.38,4.1,-5.26,-132.09,-5.09,0.68,25.85,-24.86,0.0,6.0,24.0,2498,183,,,,592885,,,0,0,3,top
2017-04-05,490127,8,544836,L,592885,L,61,Single,5,5,170406_013322,78fd6a5f-3e6c-4fc5-be63-99dc40a730e8,2,2,0,X,In play- no out,FF,12,2.0,3.87,1.6,97.7,88.8,42.11,0.52,50.0,6.47,0.16,3.83,4.9,12.34,-2.79,-142.0,-6.12,9.96,33.64,-7.06,48.0,2.4,24.0,2322,158,,,,592885,,,0,0,3,top
2017-04-07,490162,8,544836,L,435062,R,66,Single,3,1,170407_220739,6e86feda-425e-48f1-af92-ae6af07aae32,0,0,0,B,Ball,FF,13,2.0,3.44,1.46,94.6,86.8,44.36,0.85,50.0,6.02,-1.66,1.0,5.21,12.05,-8.64,-136.93,-11.91,9.94,28.84,-9.18,34.8,3.6,24.0,2267,158,,,,435062,,,0,0,3,bottom
2017-04-07,490162,8,544836,L,435062,R,66,Single,3,2,170407_220755,de457c8f-0d65-480b-967a-c7befb8a5193,1,0,0,S,Called Strike,FF,13,2.0,3.41,1.5,95.1,86.6,61.82,0.98,50.0,6.05,-0.75,1.45,6.52,11.22,-7.0,-137.84,-10.52,12.5,31.73,-10.67,39.6,3.6,24.0,2292,150,,,,435062,,,0,0,3,bottom
2017-04-07,490162,8,544836,L,435062,R,66,Single,3,3,170407_220816,def6494a-45d3-4504-9632-59a42a46077f,1,1,0,X,In play- no out,FF,1,2.0,3.27,1.44,96.8,87.7,42.5,0.78,50.0,6.16,-0.47,2.71,4.89,11.0,-5.2,-140.36,-7.65,9.69,33.7,-10.37,34.8,3.6,24.0,2261,157,,,,435062,,,0,0,3,bottom
2017-04-07,490162,8,544836,L,546318,L,67,Walk,7,1,170407_220920,8432f43f-76d1-4ac0-99e0-b07fbf61c772,0,0,0,B,Ball,FF,13,2.0,3.19,1.51,96.3,87.7,64.1,0.87,50.0,6.12,-0.83,1.1,4.6,11.44,-6.32,-139.49,-12.02,9.02,32.68,-9.74,31.2,3.6,24.0,2208,159,435062,,,546318,435062,,0,0,3,bottom
2017-04-07,490162,8,544836,L,546318,L,67,Walk,7,2,170407_220950,2df6fae4-52a3-4c5b-98f2-1f375e62b49d,1,0,0,S,Swinging Strike,SL,7,2.0,3.29,1.51,91.1,83.0,43.03,1.16,50.0,6.09,-0.62,1.99,1.91,7.1,-5.28,-132.27,-6.89,3.36,29.81,-19.67,6.0,4.8,24.0,2312,169,435062,,,546318,435062,,0,0,3,bottom
2017-04-07,490162,8,544836,L,546318,L,67,Walk,7,3,170407_221023,4a874852-587c-4656-83f1-728f4714988d,1,1,0,S,Foul,FF,7,2.0,3.33,1.51,96.5,86.1,41.05,0.75,50.0,6.17,-0.37,1.86,5.15,11.62,-4.9,-139.64,-9.97,9.93,38.53,-9.8,34.8,3.6,24.0,2197,156,435062,,,546318,435062,,0,0,3,bottom
2017-04-07,490162,8,544836,L,546318,L,67,Walk,7,4,170407_221101,20fd51a0-4fd5-4185-b77e-b3ae43de4db2,1,2,0,B,Ball,FF,12,2.0,3.08,1.51,96.1,86.3,48.15,1.15,50.0,6.27,1.11,2.42,4.36,12.84,-1.66,-139.38,-9.18,8.42,36.7,-7.37,39.6,2.4,24.0,2183,160,435062,,,546318,435062,,0,0,3,bottom
2017-04-07,490162,8,544836,L,546318,L,67,Walk,7,5,170407_221136,6c4eba71-eb9a-421c-9f00-7dd191589b23,2,1,0,S,Foul,SL,13,2.0,3.09,1.54,92.7,84.9,46.6,0.98,50.0,6.02,-0.78,2.09,0.12,7.19,-4.73,-134.66,-6.88,0.22,29.23,-18.98,2.4,4.8,24.0,2333,183,435062,,,546318,435062,,0,0,3,bottom
2017-04-07,490162,8,544836,L,546318,L,67,Walk,7,6,170407_221258,b0b546bd-b40f-4669-89ef-f0f07a08b1fc,2,2,0,B,Ball,FF,13,2.0,3.06,1.62,98.3,88.5,57.61,0.63,50.0,6.07,-0.71,1.62,5.11,13.38,-5.6,-142.22,-11.49,10.34,36.71,-5.14,48.0,2.4,24.0,2318,159,435062,,,546318,435062,,0,0,3,bottom
2017-04-07,490162,8,544836,L,546318,L,67,Walk,7,7,170407_221343,f9657d13-3574-4059-a35f-9e700ea2dccc,3,2,0,B,Ball,SL,13,2.0,3.26,1.54,91.2,83.1,17.69,0.81,50.0,6.01,-1.99,0.95,2.48,6.62,-8.14,-132.12,-9.22,4.35,30.21,-20.56,7.2,4.8,24.0,2333,165,435062,,,546318,435062,,0,0,3,bottom
2017-04-08,490177,1,544836,L,596748,R,17,Double,1,1,170408_234920,8f82d6fe-e0e3-4df7-ae16-0e692b1f649d,0,0,2,X,In play- run(s),FF,5,2.0,3.79,1.56,95.4,86.9,42.87,0.83,50.0,6.26,0.13,2.85,5.35,12.69,-3.81,-138.58,-7.93,10.37,31.82,-7.57,45.6,2.4,24.0,2393,157,546318,,,,596748,,1,0,-9,bottom
2017-04-08,490177,1,544836,L,459431,L,18,Double,7,1,170408_235021,eff02904-e395-43ef-b0d1-31e444527843,0,0,2,S,Swinging Strike,FF,12,2.0,3.79,1.56,97.7,88.4,76.68,0.86,50.0,6.32,1.1,3.47,6.47,13.41,-1.69,-141.81,-7.04,13.06,34.95,-5.1,61.2,2.4,24.0,2420,153,,596748,,,459431,,1,0,-10,bottom
