Date, Game, Inning, Pitcher, Hand, Batter, Stand, AB_ID, Result, AB_Total, AB_Count, Pfx_ID, Play_ID, Balls, Strikes, Outs, Code, Pdes, Type, Zone, Con, SZ_Top, SZ_Bot, Start_Speed, End_Speed, Nasty_Factor, X0, Y0, Z0, PX, PZ, PfxX, PfxZ, VX0, VY0, VZ0, AX, AY, AZ, Break_Angle, Break_Length, Break_Y, Spin_Rate, Spin_Direction, Runner 1B, Runner 2B, Runner 3B, End 1B, End 2B, End 3B, Runs, Outs On Play, Run Diff, Half
2018-04-26,529767,7,657770,L,592885,L,51,Strikeout,3,1,180426_020823,f69f93cb-50d3-470f-ad9e-630fadcf610d,0,0,2,S,Called Strike,FF,13,2.0,3.49,1.63,93.1,84.9,65.68,1.91,50.0,5.49,-0.8,2.09,5.88,8.77,-9.24,-134.98,-6.05,10.83,29.68,-16.02,27.6,4.8,24.0,2352,149,,542340,,,,,0,1,-2,top
2018-04-26,529767,7,657770,L,592885,L,51,Strikeout,3,2,180426_020850,bb1629e0-ef64-45dd-b951-b9bf66fc154d,0,1,2,S,Foul,SL,7,2.0,3.33,1.48,84.3,77.8,29.79,2.26,50.0,5.4,-0.4,1.92,0.76,1.65,-6.68,-122.56,-2.34,1.16,23.05,-29.65,0.0,8.4,24.0,2141,182,,542340,,,,,0,1,-2,top
2018-04-26,529767,7,657770,L,592885,L,51,Strikeout,3,3,180426_020936,93c2b8d3-f471-4bd0-932c-ca4a939a3800,0,2,2,S,Swinging Strike,FF,11,2.0,3.33,1.48,93.9,85.9,46.13,1.86,50.0,5.64,-0.77,2.84,7.32,9.88,-9.66,-136.13,-5.01,13.81,28.53,-13.55,39.6,3.6,24.0,2400,146,,542340,,,,,0,1,-2,top
2018-04-26,529767,8,657770,L,460075,R,55,Double,4,1,180426_021952,449771f5-5bdc-4e48-8912-e2053fda0a32,0,0,0,B,Ball,CH,12,2.0,3.79,1.64,84.2,77.2,69.93,2.23,50.0,5.48,1.05,3.2,8.91,2.03,-5.66,-122.44,0.49,13.56,23.56,-29.09,22.8,8.4,24.0,1409,105,,,,,460075,,0,0,-2,top
2018-04-26,529767,8,657770,L,460075,R,55,Double,4,2,180426_022009,5fe23a8f-856e-4f91-8d9a-6fcd781f935e,1,0,0,S,Called Strike,FT,4,2.0,3.76,1.72,90.8,82.9,35.66,2.01,50.0,5.55,-0.39,2.73,9.43,7.34,-9.43,-131.73,-3.63,16.59,27.72,-19.27,36.0,6.0,24.0,2015,130,,,,,460075,,0,0,-2,top
2018-04-26,529767,8,657770,L,460075,R,55,Double,4,3,180426_022032,bf04fc66-b75a-42f5-bf5c-223410434d22,1,1,0,S,Foul,FT,14,2.0,3.43,1.46,90.8,83.2,24.95,2.18,50.0,5.48,1.43,2.26,9.64,5.87,-5.22,-131.88,-4.2,17.02,27.49,-21.81,34.8,6.0,24.0,2064,121,,,,,460075,,0,0,-2,top
2018-04-26,529767,8,657770,L,460075,R,55,Double,4,4,180426_022057,270c9d43-7093-42f8-8f0b-bb4ba8e296cf,1,2,0,X,In play- no out,SL,1,2.0,3.43,1.46,83.0,75.8,35.11,2.12,50.0,5.59,-0.37,3.05,-2.94,3.25,-5.03,-120.6,-0.27,-4.31,24.28,-27.41,10.8,7.2,24.0,,226,,,,,460075,,0,0,-2,top
2018-04-26,529767,8,657770,L,543768,L,56,Groundout,1,1,180426_022142,48c04517-b792-4579-a4f2-aee5948cbc58,0,0,0,X,In play- out(s),SL,1,2.0,3.44,1.47,83.3,75.7,66.11,2.21,50.0,5.59,-0.53,2.95,-2.86,0.2,-5.64,-120.93,0.43,-4.18,25.85,-31.87,9.6,8.4,24.0,2316,262,,460075,,,,460075,0,1,-2,top
2018-04-26,529767,8,657770,L,570267,R,57,Walk,5,1,180426_022230,d744eba5-8422-4a67-9e7d-1214beae817d,0,0,1,S,Called Strike,FT,8,2.0,3.87,1.71,91.3,83.9,45.79,1.98,50.0,5.49,0.2,1.78,8.18,6.51,-7.44,-132.51,-5.81,14.62,26.94,-20.53,31.2,6.0,24.0,2161,129,,,460075,570267,,,0,0,-2,top
2018-04-26,529767,8,657770,L,570267,R,57,Walk,5,2,180426_022244,d520adf4-5a48-48f2-908a-38c36020dee9,0,1,1,B,Ball,FF,11,2.0,3.88,1.76,90.7,82.8,24.94,1.98,50.0,5.77,-0.27,4.63,6.04,8.14,-7.89,-131.71,0.46,10.63,27.4,-17.84,26.4,4.8,24.0,2179,148,,,460075,570267,,,0,0,-2,top
2018-04-26,529767,8,657770,L,570267,R,57,Walk,5,3,180426_022259,648bf89d-93cf-4b62-a51f-0d970f7a3d58,1,1,1,B,Ball,CH,14,2.0,3.88,1.81,85.3,78.6,13.12,2.29,50.0,5.26,1.5,1.05,9.24,3.03,-4.87,-124.0,-4.74,14.44,24.01,-27.44,25.2,8.4,24.0,1592,106,,,460075,570267,,,0,0,-2,top
