Date, Game, Inning, Pitcher, Hand, Batter, Stand, AB_ID, Result, AB_Total, AB_Count, Pfx_ID, Play_ID, Balls, Strikes, Outs, Code, Pdes, Type, Zone, Con, SZ_Top, SZ_Bot, Start_Speed, End_Speed, Nasty_Factor, X0, Y0, Z0, PX, PZ, PfxX, PfxZ, VX0, VY0, VZ0, AX, AY, AZ, Break_Angle, Break_Length, Break_Y, Spin_Rate, Spin_Direction, Runner 1B, Runner 2B, Runner 3B, End 1B, End 2B, End 3B, Runs, Outs On Play, Run Diff, Half
2019-09-14,565287,3,642233,R,669222,R,20,Field Error,1,1,190821_173307,4d32e890-5a02-4532-9be7-d728834a6148,0,0,0,X,In play- no out,SI,13,2.0,3.25,1.58,85.3,78.8,,-2.59,50.0,2.64,-0.93,1.71,-7.97,-3.42,6.62,-123.96,5.35,-12.58,21.61,-37.58,16.8,9.6,24.0,1934,290,,,,669222,669222,,0,0,1,bottom
2019-09-14,565287,3,642233,R,578428,R,21,Sac Bunt,2,1,190821_173350,e61a3f1e-5586-4e2d-8e82-df5c611e3db9,0,0,0,S,Called Strike,SI,6,2.0,2.82,1.45,86.5,79.5,,-2.41,50.0,2.71,0.42,2.0,-8.65,-5.84,9.84,-125.36,6.58,-13.89,23.1,-41.55,16.8,10.8,24.0,2052,303,669222,669222,,,,669222,0,1,1,bottom
2019-09-14,565287,3,642233,R,578428,R,21,Sac Bunt,2,2,190821_173410,8db54859-0ff5-458f-806d-d9de762826cd,0,1,0,X,In play- out(s),CU,2,2.0,2.9,1.45,70.8,64.8,,-2.76,50.0,2.59,-0.03,2.99,7.0,5.16,3.68,-102.63,7.37,7.5,16.27,-26.64,18.0,9.6,24.0,2624,130,669222,669222,,,,669222,0,1,1,bottom
2019-09-14,565287,3,642233,R,553993,R,22,Single,1,1,190821_173453,ece3c84f-fa73-4537-a24c-bbf9410a627c,0,0,1,X,In play- run(s),SI,5,2.0,3.39,1.61,86.5,79.3,,-2.47,50.0,2.78,-0.01,2.56,-8.31,-5.36,8.78,-125.3,7.65,-13.33,23.26,-40.76,16.8,10.8,24.0,1893,300,,,669222,553993,,,1,0,1,bottom
2019-09-14,565287,3,642233,R,606157,R,23,Walk,7,1,190821_173533,9608c582-979e-4d89-8647-bc2d116bdb28,0,0,1,S,Swinging Strike,CU,9,2.0,3.63,1.77,71.9,66.9,,-2.62,50.0,2.54,0.52,1.86,9.0,4.0,4.09,-104.5,5.25,10.12,14.9,-27.68,21.6,10.8,24.0,2788,117,553993,,,606157,553993,,0,0,0,bottom
2019-09-14,565287,3,642233,R,606157,R,23,Walk,7,2,190821_173607,1542c825-9ed2-47c7-ab9f-a307ac53ef67,0,1,1,S,Swinging Strike,CU,14,2.0,3.71,1.77,72.3,66.3,,-2.71,50.0,2.63,0.9,2.44,9.68,4.0,4.87,-104.82,6.29,10.79,17.28,-27.71,24.0,10.8,24.0,2886,116,553993,,,606157,553993,,0,0,0,bottom
2019-09-14,565287,3,642233,R,606157,R,23,Walk,7,3,190821_173630,cabbc600-07ee-448b-b05a-a95909717d29,0,2,1,B,Ball,CU,14,2.0,3.69,1.77,72.8,66.6,,-2.59,50.0,2.36,1.94,1.49,7.04,4.66,7.51,-105.59,4.64,7.92,18.59,-26.93,19.2,9.6,24.0,2838,124,553993,,,606157,553993,,0,0,0,bottom
2019-09-14,565287,3,642233,R,606157,R,23,Walk,7,4,190821_173654,0c4574f3-5650-4861-9c73-0d674ebe761d,1,2,1,B,Ball,CU,14,2.0,3.69,1.77,72.5,66.0,,-2.63,50.0,2.53,1.52,2.25,8.53,5.59,6.31,-105.09,5.7,9.47,18.99,-25.96,22.8,9.6,24.0,3014,125,553993,,,606157,553993,,0,0,0,bottom
2019-09-14,565287,3,642233,R,606157,R,23,Walk,7,5,190821_173713,2222947b-168d-49c0-8b8b-6dfc2ad04116,2,2,1,B,Ball,SI,14,2.0,3.71,1.77,86.3,79.3,,-2.5,50.0,2.64,0.87,1.47,-9.73,-4.34,11.48,-125.02,4.98,-15.54,22.97,-39.1,19.2,10.8,24.0,2206,293,553993,,,606157,553993,,0,0,0,bottom
2019-09-14,565287,3,642233,R,606157,R,23,Walk,7,6,190821_173735,fe8af44f-df98-4ea4-800f-6c84fe77532b,3,2,1,B,Ball,SI,13,2.0,3.71,1.77,86.5,79.6,,-2.68,50.0,2.63,-0.47,1.33,-10.34,-5.08,8.84,-125.5,4.86,-16.64,23.2,-40.35,20.4,10.8,24.0,2225,295,553993,,,606157,553993,,0,0,0,bottom
