Date, Game, Inning, Pitcher, Hand, Batter, Stand, AB_ID, Result, AB_Total, AB_Count, Pfx_ID, Play_ID, Balls, Strikes, Outs, Code, Pdes, Type, Zone, Con, SZ_Top, SZ_Bot, Start_Speed, End_Speed, Nasty_Factor, X0, Y0, Z0, PX, PZ, PfxX, PfxZ, VX0, VY0, VZ0, AX, AY, AZ, Break_Angle, Break_Length, Break_Y, Spin_Rate, Spin_Direction, Runner 1B, Runner 2B, Runner 3B, End 1B, End 2B, End 3B, Runs, Outs On Play, Run Diff, Half
2019-08-17,567267,1,429722,R,640457,L,0,Single,3,1,190409_181024,7a54a27f-70dd-487a-b7a9-b5113868f179,0,0,0,B,Ball,FF,11,2.0,3.36,1.45,89.4,82.0,,-0.64,50.0,6.22,-1.08,2.67,-4.69,8.9,0.44,-130.01,-5.83,-8.03,26.79,-16.9,24.0,4.8,24.0,1980,209,,,,640457,,,0,0,0,top
2019-08-17,567267,1,429722,R,640457,L,0,Single,3,2,190409_181037,455b998d-de04-4f2c-83bf-9b281424cf31,1,0,0,B,Ball,FF,11,2.0,3.46,1.55,91.4,84.0,,-0.72,50.0,6.16,-1.32,2.65,-4.41,9.18,-0.07,-132.95,-6.25,-7.93,27.25,-15.67,25.2,4.8,24.0,2058,207,,,,640457,,,0,0,0,top
2019-08-17,567267,1,429722,R,640457,L,0,Single,3,3,190409_181059,d99cb28a-9528-430e-b04f-c5fae65f81a6,2,0,0,X,In play- no out,FF,5,2.0,3.41,1.56,90.7,83.3,,-0.55,50.0,6.16,-0.1,2.74,-4.33,8.35,2.65,-131.89,-5.58,-7.65,27.11,-17.42,21.6,4.8,24.0,2084,207,,,,640457,,,0,0,0,top
2019-08-17,567267,1,429722,R,502054,R,1,Flyout,8,1,190409_181134,2139a418-b0a4-4e80-8d55-a8458e2a852e,0,0,0,B,Ball,FT,2,2.0,3.22,1.33,90.6,82.5,,-0.46,50.0,6.25,0.07,3.34,-5.17,8.17,3.14,-131.76,-4.12,-9.06,29.1,-17.88,24.0,4.8,24.0,2290,211,640457,,,,,640457,0,1,0,top
2019-08-17,567267,1,429722,R,502054,R,1,Flyout,8,2,190409_181216,f23dbae0-5e02-484d-852d-237acff43278,1,0,0,B,Ball,SL,14,2.0,3.31,1.51,83.2,76.3,,-0.49,50.0,6.12,1.76,1.42,1.91,4.43,4.77,-120.86,-5.81,2.81,24.56,-25.66,7.2,7.2,24.0,2329,146,640457,,,,,640457,0,1,0,top
2019-08-17,567267,1,429722,R,502054,R,1,Flyout,8,3,190409_181239,a4d74349-1461-4ce4-9700-012495905de2,2,0,0,S,Called Strike,FF,4,2.0,3.41,1.5,90.4,82.8,,-0.64,50.0,6.13,-0.6,2.8,-2.91,7.55,1.09,-131.48,-5.0,-5.1,27.82,-18.95,13.2,4.8,24.0,2227,201,640457,,,,,640457,0,1,0,top
2019-08-17,567267,1,429722,R,502054,R,1,Flyout,8,4,190409_181325,afab0266-82fc-4901-af5e-d1af2dfb934c,2,1,0,S,Swinging Strike,SL,14,2.0,3.41,1.56,84.4,77.6,,-0.54,50.0,6.21,1.21,1.39,1.87,2.43,3.63,-122.67,-5.75,2.84,25.01,-28.49,7.2,8.4,24.0,2441,128,640457,,,,,640457,0,1,0,top
2019-08-17,567267,1,429722,R,502054,R,1,Flyout,8,5,190409_181410,9ff8e372-3bf3-4118-9fff-b2c3b8963c65,2,2,0,B,Ball In Dirt,SL,14,2.0,3.24,1.42,84.2,77.4,,-0.54,50.0,6.07,0.03,0.87,0.29,3.64,1.27,-122.33,-7.03,0.44,24.66,-26.68,1.2,7.2,24.0,2316,170,640457,,,,,640457,0,1,0,top
2019-08-17,567267,1,429722,R,502054,R,1,Flyout,8,6,190409_181449,22f949f2-3ef0-4dd9-af18-0e53334f3d8a,3,2,0,X,In play- out(s),SL,4,2.0,3.41,1.56,83.5,77.3,,-0.75,50.0,6.2,-0.57,2.38,1.69,2.27,-0.1,-121.48,-3.2,2.54,22.03,-28.76,4.8,8.4,24.0,2311,140,640457,,,,,640457,0,1,0,top
2019-08-17,567267,1,429722,R,596847,L,2,Walk,6,1,190409_181531,7d78e8f7-8208-440e-b633-ab4cd5ecff73,0,0,1,B,Ball,SL,14,2.0,3.29,1.57,82.8,76.8,,-0.6,50.0,6.08,0.7,1.12,2.34,2.05,2.37,-120.34,-5.7,3.46,22.01,-29.15,7.2,8.4,24.0,2348,120,,,640457,596847,,,0,0,0,top
