Date, Game, Inning, Pitcher, Hand, Batter, Stand, AB_ID, Result, AB_Total, AB_Count, Pfx_ID, Play_ID, Balls, Strikes, Outs, Code, Pdes, Type, Zone, Con, SZ_Top, SZ_Bot, Start_Speed, End_Speed, Nasty_Factor, X0, Y0, Z0, PX, PZ, PfxX, PfxZ, VX0, VY0, VZ0, AX, AY, AZ, Break_Angle, Break_Length, Break_Y, Spin_Rate, Spin_Direction, Runner 1B, Runner 2B, Runner 3B, End 1B, End 2B, End 3B, Runs, Outs On Play, Run Diff, Half
2019-09-18,567277,4,605359,R,542340,L,34,Groundout,4,1,190501_214427,d503447b-9495-4cc7-8254-5078040e3f5e,0,0,2,B,Ball,FF,14,2.0,3.37,1.67,91.7,84.2,,-1.99,50.0,5.79,1.23,2.15,-7.29,9.63,10.95,-132.81,-6.75,-13.11,26.46,-14.84,34.8,4.8,24.0,2373,213,,621006,,,,,0,1,1,top
2019-09-18,567277,4,605359,R,542340,L,34,Groundout,4,2,190501_214450,bd16d0aa-9bea-4230-82f6-57a6fb0f3f46,1,0,2,S,Called Strike,CH,11,2.0,3.3,1.63,83.9,78.0,,-2.25,50.0,5.81,-0.84,2.94,-7.04,0.07,5.64,-122.1,-0.35,-10.8,20.47,-32.06,16.8,8.4,24.0,1528,268,,621006,,,,,0,1,1,top
2019-09-18,567277,4,605359,R,542340,L,34,Groundout,4,3,190501_214515,f1ba4df3-d278-4f31-b936-4fca3651c306,1,1,2,S,Foul Tip,FF,6,2.0,3.37,1.65,92.6,85.6,,-2.0,50.0,5.76,0.52,2.36,-7.84,8.89,9.45,-134.45,-6.12,-14.55,25.34,-15.67,37.2,4.8,24.0,2367,219,,621006,,,,,0,1,1,top
2019-09-18,567277,4,605359,R,542340,L,34,Groundout,4,4,190501_214553,61ff8855-5d28-4f59-95aa-75f0d16ff403,1,2,2,X,In play- out(s),CH,13,2.0,3.37,1.65,85.4,79.6,,-2.23,50.0,5.62,-0.86,1.62,-8.98,2.59,6.26,-124.19,-4.17,-14.25,21.11,-28.07,25.2,8.4,24.0,1487,254,,621006,,,,,0,1,1,top
2019-09-18,567277,5,605359,R,641820,R,39,Lineout,1,1,190501_215658,7ac979aa-4b4d-4a53-837d-7e883fb7f6b1,0,0,0,X,In play- out(s),SL,4,2.0,3.45,1.65,79.6,74.6,,-2.22,50.0,6.16,-0.44,2.73,4.51,-5.19,2.74,-115.88,0.62,6.24,17.93,-39.36,9.6,12.0,24.0,2777,44,,,,,,,0,1,1,top
2019-09-18,567277,5,605359,R,600524,R,40,Lineout,3,1,190501_215729,7a69a47f-e598-48ef-a544-cb33db8ac5e3,0,0,1,B,Ball,FF,14,2.0,3.62,1.72,93.2,85.6,,-2.03,50.0,5.56,0.82,1.16,-9.22,9.15,10.81,-134.98,-8.92,-17.12,27.57,-15.19,42.0,4.8,24.0,2478,224,,,,,,,0,1,1,top
2019-09-18,567277,5,605359,R,600524,R,40,Lineout,3,2,190501_215748,92cef5e8-2146-4bab-83ad-7c48bbec0626,1,0,1,S,Foul,FT,14,2.0,3.45,1.65,92.7,86.3,,-2.0,50.0,5.57,0.37,1.35,-10.84,5.71,10.13,-134.65,-7.29,-20.25,24.37,-21.51,39.6,6.0,24.0,2305,242,,,,,,,0,1,1,top
2019-09-18,567277,5,605359,R,600524,R,40,Lineout,3,3,190501_215825,bdaaeed9-6c2e-47e8-8cf3-67f81d90e92d,1,1,1,X,In play- out(s),FT,8,2.0,3.49,1.58,93.3,86.8,,-2.07,50.0,5.63,-0.02,1.85,-9.72,5.69,8.95,-135.61,-6.23,-18.42,24.59,-21.39,37.2,6.0,24.0,2226,239,,,,,,,0,1,1,top
2019-09-18,567277,5,605359,R,596105,L,41,Lineout,2,1,190501_215857,ebd4e8cc-b146-4a8b-85ca-82dde5343a43,0,0,2,S,Called Strike,SL,6,2.0,3.61,1.67,80.1,73.8,,-2.18,50.0,6.01,0.32,2.59,6.72,-4.16,3.72,-116.37,0.39,9.2,22.18,-37.87,14.4,12.0,24.0,2612,61,,,,,,,0,1,1,top
2019-09-18,567277,5,605359,R,596105,L,41,Lineout,2,2,190501_215928,e760c594-6913-44bc-b15e-a78efede058c,0,1,2,X,In play- out(s),FF,12,2.0,3.48,1.59,92.9,85.8,,-2.22,50.0,5.67,0.75,3.06,-5.72,7.73,9.96,-134.92,-3.66,-10.68,25.81,-17.75,25.2,4.8,24.0,2394,212,,,,,,,0,1,1,top
2019-09-18,567278,7,605359,R,605141,R,53,Single,8,1,190503_023904,f86d221a-4a04-4f69-9188-41d1cee1074c,0,0,0,B,Ball,FT,11,2.0,3.16,1.51,92.2,84.9,,-2.17,50.0,5.81,-1.14,2.7,-9.68,4.19,6.08,-134.15,-3.65,-17.75,27.42,-24.49,33.6,7.2,24.0,2160,246,643217,,,605141,,643217,0,0,0,top
2019-09-18,567278,7,605359,R,605141,R,53,Single,8,2,190503_023929,a2755d20-6e39-44aa-a2c1-5d7fa489d484,1,0,0,B,Ball,FT,13,2.0,3.1,1.49,92.6,85.1,,-2.49,50.0,5.59,-1.9,2.12,-9.65,4.83,4.92,-134.62,-4.87,-17.78,28.04,-23.27,34.8,6.0,24.0,2144,244,643217,,,605141,,643217,0,0,0,top
2019-09-18,567278,7,605359,R,605141,R,53,Single,8,3,190503_023956,4834d4bc-14bf-4970-810b-37b6ccf10e6a,2,0,0,S,Called Strike,FT,6,2.0,3.07,1.51,93.5,86.1,,-2.07,50.0,5.66,0.57,2.31,-10.41,4.88,10.75,-135.72,-4.74,-19.58,27.45,-23.01,36.0,6.0,24.0,2206,244,643217,,,605141,,643217,0,0,0,top
2019-09-18,567278,7,605359,R,605141,R,53,Single,8,4,190503_024022,cef69249-7bf4-4efa-b454-5708e1c80d51,2,1,0,S,Swinging Strike,CH,13,2.0,3.23,1.51,86.5,80.2,,-2.15,50.0,5.6,-0.27,1.49,-9.37,0.11,7.71,-125.82,-3.85,-15.14,23.56,-32.0,22.8,8.4,24.0,1608,271,643217,,,605141,,643217,0,0,0,top
2019-09-18,567278,7,605359,R,605141,R,53,Single,8,5,190503_024048,98da731a-8a27-4957-80f9-cfa020811db5,2,2,0,B,Ball,CH,14,2.0,3.03,1.41,86.1,80.2,,-2.07,50.0,5.5,0.71,0.76,-8.65,0.71,9.7,-125.02,-5.49,-13.88,22.11,-31.04,21.6,8.4,24.0,1564,268,643217,,,605141,,643217,0,0,0,top
2019-09-18,567278,7,605359,R,605141,R,53,Single,8,6,190503_024146,586c6d14-5eef-4be1-9668-dcbbae27f232,3,2,0,X,In play- no out,FT,4,2.0,3.23,1.51,94.3,86.6,,-2.11,50.0,5.65,-0.34,2.47,-10.08,6.31,8.34,-136.97,-4.93,-19.26,28.77,-20.13,39.6,6.0,24.0,2206,237,643217,,,605141,,643217,0,0,0,top
2019-09-18,567278,7,605359,R,502110,R,54,Forceout,4,1,190503_024314,3eea91bd-7182-4a37-915f-2ba25eb37e14,0,0,0,B,Ball,FF,13,2.0,3.63,1.76,93.0,85.3,,-2.3,50.0,5.58,-1.29,1.65,-11.03,7.83,6.51,-135.16,-7.19,-20.46,28.77,-17.65,44.4,6.0,24.0,2469,235,605141,,643217,,,,1,1,0,top
2019-09-18,567278,7,605359,R,502110,R,54,Forceout,4,2,190503_024335,ba5a39b4-f907-4c36-85e4-2fb4f1047b72,1,0,0,S,Called Strike,CH,9,2.0,3.62,1.67,86.5,80.4,,-2.17,50.0,5.65,0.36,1.85,-8.7,3.06,9.14,-125.72,-4.05,-14.14,21.8,-27.2,24.0,7.2,24.0,1638,250,605141,,643217,,,,1,1,0,top
