Date,Game,Inning,Pitcher,Hand,Batter,Stand,AB_ID,Result,AB_Total,AB_Count,Pfx_ID,Play_ID,Balls,Strikes,Outs,Code,Pdes,Type,Zone,Con,SZ_Top,SZ_Bot,Start_Speed,End_Speed,Nasty_Factor,X0,Y0,Z0,PX,PZ,PfxX,PfxZ,VX0,VY0,VZ0,AX,AY,AZ,Break_Angle,Break_Length,Break_Y,Spin_Rate,Spin_Direction,Runner 1B,Runner 2B,Runner 3B,End 1B,End 2B,End 3B,Runs,Outs On Play,Run Diff,Half
2017-04-03,490108,7,553878,L,506702,R,56,Single,5,1,170403_202631,15b41b52-c5ec-47c6-96be-3f4eeffb16f0,0,0,0,B,Ball,FF,12,2.0,3.69,1.71,97.0,88.4,78.56,2.41,50.0,5.28,1.24,3.28,5.03,10.13,-5.08,-141.03,-3.44,10.11,32.44,-11.81,36.0,3.6,24.0,2369,155,,,,506702,,,0,0,-2,bottom
2017-04-03,490108,7,553878,L,506702,R,56,Single,5,2,170403_202648,eb8b2f67-b3b9-41b5-b3dd-dd4aa91f4889,1,0,0,B,Ball,FF,12,2.0,3.48,1.78,96.0,87.5,41.09,2.23,50.0,5.41,0.06,3.59,5.54,8.94,-7.96,-139.52,-2.36,10.92,31.71,-14.57,31.2,3.6,24.0,2351,152,,,,506702,,,0,0,-2,bottom
2017-04-03,490108,7,553878,L,506702,R,56,Single,5,3,170403_202702,65b922a9-7549-4612-8cae-af191f878065,2,0,0,B,Ball,FF,12,2.0,3.56,1.77,96.9,88.4,67.21,2.38,50.0,5.31,0.83,3.51,6.0,9.05,-6.51,-140.96,-2.51,12.06,32.06,-13.96,36.0,3.6,24.0,2332,149,,,,506702,,,0,0,-2,bottom
2017-04-03,490108,7,553878,L,506702,R,56,Single,5,4,170403_202728,0587d1ec-61a8-41cb-a4b1-d75d783b1af7,3,1,0,C,Called Strike,FF,6,2.0,3.6,1.75,96.9,88.3,46.54,1.94,50.0,5.48,0.67,2.22,6.95,8.04,-6.01,-140.74,-6.15,13.9,32.64,-16.08,36.0,4.8,24.0,2359,140,,,,506702,,,0,0,-2,bottom
2017-04-03,490108,7,553878,L,506702,R,56,Single,5,5,170403_202739,a2083143-0319-4d11-835a-92b276e18c0a,3,1,0,D,In play- no out,FF,3,2.0,3.9,1.55,96.6,87.8,49.62,1.9,50.0,5.59,0.6,2.97,6.81,9.22,-6.03,-140.4,-4.75,13.53,33.08,-13.84,39.6,3.6,24.0,2340,145,,,,506702,,,0,0,-2,bottom
2017-04-03,490108,7,553878,L,456030,R,57,Strikeout,7,1,170403_202814,77e84f33-0ce4-4a18-9082-91d79fcf6cd8,0,0,0,B,Ball,FF,11,2.0,3.67,1.81,97.9,89.5,70.89,1.92,50.0,5.42,-1.06,2.72,5.15,9.48,-10.24,-142.11,-5.3,10.55,31.79,-12.74,31.2,3.6,24.0,1194,155,506702,,,506702,,,0,1,-2,bottom
2017-04-03,490108,7,553878,L,456030,R,57,Strikeout,7,2,170403_202833,0a8a6d24-d99d-4710-8583-9e6b8d51edd4,1,1,0,C,Called Strike,CH,4,2.0,3.57,1.68,88.2,81.1,34.0,2.14,50.0,5.25,-0.49,2.41,8.38,0.24,-9.41,-127.92,-0.91,13.98,24.83,-31.78,20.4,8.4,24.0,2025,92,506702,,,506702,,,0,1,-2,bottom
2017-04-03,490108,7,553878,L,456030,R,57,Strikeout,7,3,170403_202853,39ee2212-782e-413a-a3bf-f51e3c8d4a94,1,1,0,S,Swinging Strike,CH,5,2.0,3.9,1.55,87.1,79.5,28.27,2.11,50.0,5.18,-0.22,2.6,9.42,1.86,-8.87,-126.35,-0.59,15.21,25.9,-29.17,25.2,8.4,24.0,1885,103,506702,,,506702,,,0,1,-2,bottom
2017-04-03,490108,7,553878,L,456030,R,57,Strikeout,7,4,170403_202916,30343a7b-3b65-4c86-ab41-97b8625d1071,1,2,0,B,Ball,CU,12,2.0,3.31,1.55,79.4,71.5,18.23,2.51,50.0,5.58,1.64,2.78,-10.7,-5.36,1.16,-115.18,2.41,-14.03,26.06,-39.21,19.2,13.2,24.0,2756,294,506702,,,506702,,,0,1,-2,bottom
2017-04-03,490108,7,553878,L,456030,R,57,Strikeout,7,5,170403_202941,368c844c-e03a-472f-a6a6-36a92f804c5d,2,2,0,F,Foul,CH,6,2.0,3.5,1.55,86.9,78.2,36.54,2.16,50.0,5.2,0.58,2.26,10.83,-2.11,-7.37,-126.15,-0.07,17.1,30.38,-35.5,24.0,9.6,24.0,1849,78,506702,,,506702,,,0,1,-2,bottom
