Date, Game, Inning, Pitcher, Hand, Batter, Stand, AB_ID, Result, AB_Total, AB_Count, Pfx_ID, Play_ID, Balls, Strikes, Outs, Code, Pdes, Type, Zone, Con, SZ_Top, SZ_Bot, Start_Speed, End_Speed, Nasty_Factor, X0, Y0, Z0, PX, PZ, PfxX, PfxZ, VX0, VY0, VZ0, AX, AY, AZ, Break_Angle, Break_Length, Break_Y, Spin_Rate, Spin_Direction, Runner 1B, Runner 2B, Runner 3B, End 1B, End 2B, End 3B, Runs, Outs On Play, Run Diff, Half
2017-04-02,490110,9,407845,R,605412,L,66,Triple,5,1,170402_230217,f86caafc-ea98-4ac4-969c-41ba63622469,0,0,0,S,Called Strike,FT,1,2.0,3.27,1.57,92.1,83.8,55.03,-2.45,50.0,5.8,-0.45,2.8,-11.93,7.0,9.36,-133.45,-4.19,-21.49,29.14,-19.57,43.2,6.0,24.0,2027,241,,,,,,605412,0,0,0,top
2017-04-02,490110,9,407845,R,605412,L,66,Triple,5,2,170402_230234,d627e59c-f1d2-4ebe-85e2-b0c0a7bd39fb,0,1,0,B,Ball,CH,11,2.0,3.46,1.57,81.4,74.9,18.12,-2.53,50.0,5.74,-1.86,2.3,-11.18,1.97,4.94,-118.31,-1.76,-15.89,22.05,-29.37,26.4,9.6,24.0,1727,265,,,,,,605412,0,0,0,top
2017-04-02,490110,9,407845,R,605412,L,66,Triple,5,3,170402_230251,1308b2cc-e0ae-40af-9a68-7ddff43707d3,1,1,0,B,Ball,CH,11,2.0,3.53,1.57,82.5,75.5,50.89,-2.32,50.0,5.78,-1.28,2.56,-12.34,1.95,6.23,-119.57,-1.38,-17.87,22.95,-29.35,30.0,9.6,24.0,1674,265,,,,,,605412,0,0,0,top
2017-04-02,490110,9,407845,R,605412,L,66,Triple,5,4,170402_230310,f153a5db-429e-475b-bd62-b77cb1d01887,2,1,0,B,Ball,CH,11,2.0,3.53,1.57,81.6,74.9,57.51,-2.18,50.0,5.88,-1.24,2.88,-12.78,3.54,6.07,-118.45,-1.23,-18.2,22.01,-27.13,32.4,9.6,24.0,1627,258,,,,,,605412,0,0,0,top
2017-04-02,490110,9,407845,R,605412,L,66,Triple,5,5,170402_230329,6452057c-5975-4486-93c7-ce8e3abf6009,3,1,0,X,In play- no out,FT,4,2.0,3.79,1.56,93.0,86.0,55.98,-2.29,50.0,5.49,-0.66,2.5,-11.96,4.24,8.55,-135.06,-3.5,-22.39,25.73,-24.23,39.6,7.2,24.0,1966,253,,,,,,605412,0,0,0,top
2017-04-02,490110,9,407845,R,543216,L,67,Sac Fly,2,1,170402_230451,a219c5c2-d4f1-41e6-b8fc-8f5715f2db60,0,0,0,B,Ball,CH,11,2.0,3.44,1.78,82.6,75.8,75.68,-2.16,50.0,6.05,-0.53,3.63,-13.71,1.65,8.09,-119.78,0.55,-20.03,21.94,-29.77,32.4,9.6,24.0,1697,266,,,605412,,,,1,1,0,top
2017-04-02,490110,9,407845,R,543216,L,67,Sac Fly,2,2,170402_230513,8b448243-6d90-4902-b8e8-bac9c1aeeee9,1,0,0,X,In play- run(s),CH,7,2.0,3.92,1.63,84.1,77.6,47.42,-1.99,50.0,5.82,-0.59,1.92,-13.5,7.67,7.65,-121.93,-5.18,-20.55,21.57,-20.5,42.0,7.2,24.0,1751,243,,,605412,,,,1,1,0,top
2017-04-02,490110,9,407845,R,452655,L,68,Single,1,1,170402_230552,0a6f7893-e6a5-4d3f-8ba8-12a11af08edc,0,0,1,X,In play- no out,FT,7,2.0,3.75,1.53,93.3,86.1,54.67,-2.01,50.0,5.64,-0.53,1.97,-14.45,5.0,9.04,-135.44,-5.61,-27.11,26.73,-22.8,46.8,7.2,24.0,1981,254,,,,452655,,,0,0,-1,top
2017-04-02,490110,9,407845,R,474832,L,69,Walk,10,1,170402_230702,c9e69592-d67f-489a-9966-eed3e39c71e5,0,0,1,B,Ball,FF,14,2.0,3.63,1.48,95.0,86.2,39.06,-1.73,50.0,5.62,1.9,2.18,-8.08,10.49,12.68,-137.24,-7.03,-15.37,31.16,-12.23,42.0,3.6,24.0,2247,216,452655,,,474832,452655,,0,0,-1,top
2017-04-02,490110,9,407845,R,474832,L,69,Walk,10,2,170402_230729,f60d717f-e594-4fb7-a73d-1f0be1c4b41d,1,0,1,S,Called Strike,FT,9,2.0,3.45,1.7,95.2,86.6,52.16,-1.89,50.0,5.69,0.36,1.64,-10.56,10.25,9.85,-137.68,-8.7,-20.25,30.89,-12.52,51.6,4.8,24.0,2233,227,452655,,,474832,452655,,0,0,-1,top
2017-04-02,490110,9,407845,R,474832,L,69,Walk,10,3,170402_230814,0a799a44-d793-47b7-9c19-396fced923e2,1,1,1,B,Ball,FF,14,2.0,3.52,1.6,95.0,86.3,28.19,-1.71,50.0,5.75,1.42,2.02,-8.03,9.73,11.3,-137.29,-7.57,-15.3,31.09,-13.66,39.6,4.8,24.0,2056,219,452655,,,474832,452655,,0,0,-1,top
2017-04-02,490110,9,407845,R,474832,L,69,Walk,10,4,170402_230859,79036276-52fe-4b1f-b497-ae651bfda6ba,2,1,1,B,Ball,FT,14,2.0,3.51,1.48,94.0,85.0,32.16,-1.72,50.0,5.6,1.51,0.3,-14.34,6.07,13.57,-135.45,-10.17,-26.38,32.23,-21.0,44.4,7.2,24.0,1953,252,452655,,,474832,452655,,0,0,-1,top
2017-04-02,490110,9,407845,R,474832,L,69,Walk,10,5,170402_230948,bd966c0e-5959-4d84-817d-221a018ab4f6,3,1,1,S,Swinging Strike,CH,7,2.0,3.63,1.48,85.1,76.5,34.75,-1.96,50.0,5.88,-0.35,2.06,-12.21,5.2,7.71,-123.19,-4.17,-18.43,28.62,-24.33,33.6,8.4,24.0,1848,252,452655,,,474832,452655,,0,0,-1,top
2017-04-02,490110,9,407845,R,474832,L,69,Walk,10,6,170402_231014,649a54db-16f2-4e64-8f08-abcc1bc00ee3,3,1,1,S,Foul,CH,13,2.0,3.63,1.48,85.0,76.3,22.36,-2.04,50.0,5.93,-1.36,2.08,-12.19,7.57,5.45,-123.03,-4.97,-18.31,28.95,-20.81,38.4,7.2,24.0,1768,242,452655,,,474832,452655,,0,0,-1,top
2017-04-02,490110,9,407845,R,474832,L,69,Walk,10,7,170402_231047,329c97c9-9ccb-4189-a32a-14946c5c27b2,3,2,1,B,Ball,FF,14,2.0,3.47,1.54,97.0,87.4,71.04,-1.81,50.0,5.57,0.92,1.33,-8.04,12.03,10.4,-140.16,-10.13,-15.82,34.98,-8.51,50.4,3.6,24.0,2349,213,452655,,,474832,452655,,0,0,-1,top
2017-04-02,490110,9,407845,R,452254,R,70,Walk,8,1,170402_231135,f8b4b610-7988-408e-80eb-af65ae473b4e,0,0,1,S,Called Strike,FT,14,2.0,3.75,1.91,96.4,87.3,48.57,-2.1,50.0,5.59,0.03,1.33,-14.61,6.14,11.05,-139.3,-8.0,-28.52,33.32,-20.2,49.2,7.2,24.0,2174,251,474832,452655,,452254,474832,452655,0,0,-1,top
