Date, Game, Inning, Pitcher, Hand, Batter, Stand, AB_ID, Result, AB_Total, AB_Count, Pfx_ID, Play_ID, Balls, Strikes, Outs, Code, Pdes, Type, Zone, Con, SZ_Top, SZ_Bot, Start_Speed, End_Speed, Nasty_Factor, X0, Y0, Z0, PX, PZ, PfxX, PfxZ, VX0, VY0, VZ0, AX, AY, AZ, Break_Angle, Break_Length, Break_Y, Spin_Rate, Spin_Direction, Runner 1B, Runner 2B, Runner 3B, End 1B, End 2B, End 3B, Runs, Outs On Play, Run Diff, Half
2019-08-27,566767,6,664285,L,608597,L,57,Strikeout,5,1,190403_023803,1d3bc666-cfd7-4b99-8a8e-bcf07f404d62,0,0,0,S,Swinging Strike,FF,4,2.0,3.53,1.82,93.9,86.8,,0.82,50.0,5.92,-0.4,2.42,4.87,7.43,-5.03,-136.52,-6.16,9.3,26.89,-17.99,24.0,4.8,24.0,2129,147,,,,,,,0,1,0,bottom
2019-08-27,566767,6,664285,L,608597,L,57,Strikeout,5,2,190403_023821,b9d61cf7-3732-4f69-bacf-23b6cf0e1a69,0,1,0,B,Ball,FF,12,2.0,3.54,1.82,94.4,86.6,,0.69,50.0,6.02,1.06,3.12,3.78,7.26,-0.33,-137.36,-4.48,7.23,29.63,-18.27,20.4,4.8,24.0,2202,151,,,,,,,0,1,0,bottom
2019-08-27,566767,6,664285,L,608597,L,57,Strikeout,5,3,190403_023839,872b2d4d-fc4c-4990-9d93-0ba75e04ae6c,1,1,0,B,Ball,CU,13,2.0,3.53,1.86,78.8,72.2,,1.07,50.0,5.85,-1.22,1.97,-6.23,-7.13,-3.32,-114.36,0.51,-8.17,23.02,-41.52,12.0,13.2,24.0,2774,315,,,,,,,0,1,0,bottom
2019-08-27,566767,6,664285,L,608597,L,57,Strikeout,5,4,190403_023859,bf6d2e94-d77f-4007-af0f-235df8afbb3e,2,1,0,S,Foul,FF,5,2.0,3.5,1.73,92.3,84.6,,0.96,50.0,5.88,0.13,2.84,4.65,8.81,-3.79,-134.35,-5.03,8.52,28.47,-16.04,24.0,3.6,24.0,2142,153,,,,,,,0,1,0,bottom
2019-08-27,566767,6,664285,L,608597,L,57,Strikeout,5,5,190403_023923,7aad5ba5-4d74-4d0d-8761-e695d66f63c1,2,2,0,S,Called Strike,CU,9,2.0,3.53,1.81,80.2,73.9,,1.01,50.0,5.89,0.39,1.73,-6.92,-6.42,0.65,-116.7,-0.67,-9.5,22.9,-40.99,13.2,12.0,24.0,3006,312,,,,,,,0,1,0,bottom
2019-08-27,566767,6,664285,L,425772,R,58,Groundout,3,1,190403_023956,82bee35b-117a-4444-b9ad-66c16833d3fa,0,0,1,B,Ball,FT,13,2.0,3.2,1.56,93.2,85.2,,0.99,50.0,5.7,-0.57,0.95,9.52,4.32,-7.44,-135.3,-8.13,17.58,30.72,-24.2,31.2,7.2,24.0,2214,111,,,,,,,0,1,0,bottom
2019-08-27,566767,6,664285,L,425772,R,58,Groundout,3,2,190403_024012,deb2dbaa-3fa1-4755-9e6c-1bb3ac3b60da,1,0,1,S,Called Strike,CU,13,2.0,3.1,1.41,79.0,72.1,,1.35,50.0,5.78,-0.53,1.3,-9.05,-7.43,-1.6,-114.91,-0.78,-11.87,25.03,-41.92,15.6,13.2,24.0,3032,308,,,,,,,0,1,0,bottom
2019-08-27,566767,6,664285,L,425772,R,58,Groundout,3,3,190403_024033,d9e2a717-5b7c-425c-9d91-b5b87c5b1a9d,1,1,1,X,In play- out(s),FF,13,2.0,3.18,1.49,93.9,85.6,,0.79,50.0,5.81,-0.62,1.36,3.34,9.69,-4.95,-136.28,-9.35,6.24,31.23,-14.04,18.0,3.6,24.0,2323,162,,,,,,,0,1,0,bottom
2019-08-27,566767,6,664285,L,592261,R,59,Walk,4,1,190403_024118,cb078f7b-46e6-4252-95cf-b198be9c3a41,0,0,2,B,Ball,FT,14,2.0,3.25,1.6,92.7,84.8,,1.33,50.0,5.84,1.48,2.32,9.31,3.52,-2.8,-134.7,-4.52,17.07,29.69,-25.71,31.2,7.2,24.0,2068,109,,,,592261,,,0,0,0,bottom
2019-08-27,566767,6,664285,L,592261,R,59,Walk,4,2,190403_024137,e8657b93-80b7-4c23-987e-d9d5296a5383,1,0,2,B,Ball,FT,1,2.0,3.18,1.53,92.0,84.3,,1.03,50.0,5.99,-0.41,3.26,6.44,4.25,-6.03,-133.71,-2.57,11.68,28.15,-24.46,22.8,6.0,24.0,2202,125,,,,592261,,,0,0,0,bottom
