Date, Game, Inning, Pitcher, Hand, Batter, Stand, AB_ID, Result, AB_Total, AB_Count, Pfx_ID, Play_ID, Balls, Strikes, Outs, Code, Pdes, Type, Zone, Con, SZ_Top, SZ_Bot, Start_Speed, End_Speed, Nasty_Factor, X0, Y0, Z0, PX, PZ, PfxX, PfxZ, VX0, VY0, VZ0, AX, AY, AZ, Break_Angle, Break_Length, Break_Y, Spin_Rate, Spin_Direction, Runner 1B, Runner 2B, Runner 3B, End 1B, End 2B, End 3B, Runs, Outs On Play, Run Diff, Half
2019-09-28,566180,7,434538,L,572761,L,54,Walk,6,1,190401_192821,7771027b-1878-49c3-83e3-38236010a371,0,0,0,S,Called Strike,FT,4,2.0,3.51,1.69,91.4,83.9,,1.59,50.0,5.59,-0.26,2.35,8.09,6.13,-7.63,-132.94,-4.49,14.5,27.86,-21.18,30.0,6.0,24.0,1972,128,641933,664056,,572761,641933,664056,0,0,2,top
2019-09-28,566180,7,434538,L,572761,L,54,Walk,6,2,190401_192908,fcbb8f93-20df-4dce-b584-f94028cbb6fa,0,1,0,B,Ball,FT,14,2.0,3.54,1.72,92.2,84.7,,1.53,50.0,5.49,0.12,1.5,8.23,7.04,-6.56,-133.97,-6.92,15.01,27.97,-19.33,33.6,6.0,24.0,1932,130,641933,664056,,572761,641933,664056,0,0,2,top
2019-09-28,566180,7,434538,L,572761,L,54,Walk,6,3,190401_192936,207336c2-0d91-4178-9b2e-fb5bdfe220cd,1,1,0,S,Called Strike,FT,7,2.0,3.5,1.7,93.2,85.6,,1.52,50.0,5.53,-0.63,1.8,9.35,7.0,-9.02,-135.42,-6.42,17.45,28.31,-19.11,37.2,6.0,24.0,1946,127,641933,664056,,572761,641933,664056,0,0,2,top
2019-09-28,566180,7,434538,L,572761,L,54,Walk,6,4,190401_193009,2a4ce1bc-3b31-42db-ba0a-60e95ba9cd16,1,2,0,B,Ball,SL,13,2.0,3.32,1.6,88.4,81.7,,1.87,50.0,5.54,-0.23,1.13,-1.13,4.75,-4.97,-128.62,-6.45,-1.9,25.57,-24.18,6.0,6.0,24.0,2196,202,641933,664056,,572761,641933,664056,0,0,2,top
2019-09-28,566180,7,434538,L,572761,L,54,Walk,6,5,190401_193056,79d015c9-6c60-4164-a0b4-37c0283f57b5,2,2,0,B,Ball In Dirt,SL,13,2.0,3.28,1.6,88.3,82.1,,1.48,50.0,5.48,-2.5,0.15,-0.49,5.58,-9.95,-128.11,-9.03,-0.82,24.12,-22.81,6.0,6.0,24.0,2240,198,641933,664056,,572761,641933,664056,0,0,2,top
2019-09-28,566180,7,434538,L,572761,L,54,Walk,6,6,190401_193137,511cdf1e-b477-421f-b3bf-052a304a32c3,3,2,0,B,Ball,SL,13,2.0,3.41,1.62,88.7,82.4,,1.57,50.0,5.51,-0.32,0.79,-0.42,5.19,-4.71,-128.99,-7.52,-0.72,23.87,-23.33,3.6,6.0,24.0,2275,191,641933,664056,,572761,641933,664056,0,0,2,top
2019-09-28,566181,10,434538,L,572761,L,74,Flyout,1,1,190404_021332,a41948be-d963-4052-ac2f-cbf8173780a2,0,0,0,X,In play- out(s),FT,3,2.0,3.52,1.69,93.1,84.5,,1.54,50.0,5.6,0.42,3.14,8.31,7.18,-5.85,-135.29,-3.01,15.3,31.32,-18.95,36.0,4.8,24.0,2144,132,641933,664056,,,,,0,1,-1,top
2019-09-28,566181,10,434538,L,502671,R,75,Walk,4,1,190404_021416,7bf33b97-65f4-4fed-8752-f337debf9c1a,0,0,1,B,Ball,CH,13,2.0,3.31,1.65,86.1,78.4,,0.63,50.0,5.56,-0.98,1.25,9.28,6.62,-6.92,-125.2,-6.19,14.59,27.55,-21.76,30.0,7.2,24.0,1765,125,,,,502671,641933,664056,0,0,-1,top
2019-09-28,566181,10,434538,L,502671,R,75,Walk,4,2,190404_021436,aec93e44-d81d-4f09-b98f-3a5cd7390c68,1,0,1,B,Ball,CH,14,2.0,3.53,1.64,85.8,78.6,,0.69,50.0,5.62,1.43,1.21,8.75,4.94,-0.98,-124.79,-5.86,13.72,26.39,-24.43,27.6,7.2,24.0,1849,116,,,,502671,641933,664056,0,0,-1,top
2019-09-28,566181,10,434538,L,502671,R,75,Walk,4,3,190404_021502,44755388-38ea-4aed-b1b4-698df2fb2add,2,0,1,B,Ball,SL,14,2.0,3.53,1.64,86.0,79.1,,0.75,50.0,5.56,0.73,1.2,0.26,4.87,-0.14,-125.11,-5.82,0.41,25.16,-24.45,1.2,6.0,24.0,2270,176,,,,502671,641933,664056,0,0,-1,top
2019-09-28,566181,10,434538,L,502671,R,75,Walk,4,4,190404_021520,20bb3648-0b8b-48f5-a8e4-58cbc4e02e85,3,0,1,B,Ball,SL,13,2.0,3.48,1.64,85.8,78.6,,0.65,50.0,5.62,-0.02,1.03,-0.87,3.28,-1.37,-124.81,-5.8,-1.37,26.45,-27.02,3.6,7.2,24.0,2231,201,,,,502671,641933,664056,0,0,-1,top
2019-09-28,566181,10,434538,L,657557,R,76,Strikeout,5,1,190404_021554,96f70cdf-151f-49b6-a16d-45dae3137309,0,0,1,B,Ball,FT,12,2.0,3.49,1.68,92.9,84.2,,0.7,50.0,5.67,1.19,3.65,7.7,7.08,-1.34,-135.13,-1.75,14.1,32.08,-19.21,34.8,4.8,24.0,2157,132,502671,641933,664056,,502671,641933,1,1,-1,top
2019-09-28,566181,10,434538,L,657557,R,76,Strikeout,5,2,190404_021610,a6d3dd64-aaeb-465d-acbf-979e9276e829,1,0,1,B,Ball In Dirt,SL,13,2.0,3.44,1.56,84.7,78.4,,0.31,50.0,5.61,-1.73,0.27,-1.05,2.12,-4.61,-123.13,-7.04,-1.62,24.02,-28.91,4.8,8.4,24.0,2372,229,502671,641933,664056,,502671,641933,1,1,-1,top
2019-09-28,566181,10,434538,L,657557,R,76,Strikeout,5,3,190404_021633,f790c617-cff8-4ac0-a0c5-58fb28e5e5ee,2,0,1,S,Foul,FT,2,2.0,3.44,1.56,92.8,84.4,,0.31,50.0,5.66,-0.05,2.82,9.22,7.07,-4.14,-134.99,-3.91,16.9,31.15,-19.21,38.4,6.0,24.0,2078,127,502671,641933,664056,,502671,641933,1,1,-1,top
