Date, Game, Inning, Pitcher, Hand, Batter, Stand, AB_ID, Result, AB_Total, AB_Count, Pfx_ID, Play_ID, Balls, Strikes, Outs, Code, Pdes, Type, Zone, Con, SZ_Top, SZ_Bot, Start_Speed, End_Speed, Nasty_Factor, X0, Y0, Z0, PX, PZ, PfxX, PfxZ, VX0, VY0, VZ0, AX, AY, AZ, Break_Angle, Break_Length, Break_Y, Spin_Rate, Spin_Direction, Runner 1B, Runner 2B, Runner 3B, End 1B, End 2B, End 3B, Runs, Outs On Play, Run Diff, Half
2017-09-13,492267,9,622382,L,500208,R,73,Groundout,2,1,170913_030325,1f6d39c9-6b51-4517-a3a6-1f370e51309f,0,0,0,S,Called Strike,FF,6,2.0,3.58,1.59,92.1,84.4,61.34,0.78,50.0,5.12,0.59,2.26,6.87,12.65,-2.88,-133.79,-5.86,12.52,27.51,-9.14,49.2,3.6,24.0,2218,149,,,,,,,0,1,16,top
2017-09-13,492267,9,622382,L,500208,R,73,Groundout,2,2,170913_030349,be5fe6f6-793b-4e42-a79f-b41ca1a22917,0,1,0,X,In play- out(s),CH,14,2.0,3.05,1.25,82.1,75.3,49.33,1.07,50.0,5.25,1.24,1.9,8.29,9.19,-2.14,-119.4,-3.91,11.97,22.79,-18.89,30.0,6.0,24.0,1308,134,,,,,,,0,1,16,top
2017-09-13,492267,9,622382,L,571976,R,74,Walk,5,1,170913_030433,969da9d4-7cd4-4df0-accd-78f213504f69,0,0,1,B,Ball,CH,13,2.0,3.38,1.56,81.0,74.1,80.89,0.67,50.0,5.14,-0.66,1.32,6.97,6.6,-5.18,-117.61,-3.92,9.74,22.83,-22.95,20.4,7.2,24.0,1239,129,,,,571976,,,0,0,16,top
2017-09-13,492267,9,622382,L,571976,R,74,Walk,5,2,170913_030450,0482cd4a-b8bc-4bf5-99ec-036ec63fa525,1,0,1,S,Foul,CH,5,2.0,3.38,1.36,78.4,71.9,20.79,0.94,50.0,5.25,-0.12,2.38,9.23,4.72,-5.08,-113.96,-0.7,12.15,20.79,-25.97,22.8,8.4,24.0,1174,113,,,,571976,,,0,0,16,top
2017-09-13,492267,9,622382,L,571976,R,74,Walk,5,3,170913_030518,71e7d123-3afd-4c7f-9c98-be7ac64f337a,1,1,1,B,Ball,CH,14,2.0,3.38,1.56,79.5,74.0,53.79,0.98,50.0,4.95,0.52,1.38,4.67,3.74,-2.45,-115.81,-2.33,6.42,18.94,-27.03,12.0,8.4,24.0,1142,121,,,,571976,,,0,0,16,top
2017-09-13,492267,9,622382,L,571976,R,74,Walk,5,4,170913_030540,8c4aa690-e446-4d95-b645-3dee4918aa68,2,1,1,B,Ball,CH,14,2.0,3.42,1.56,77.3,71.7,51.16,1.14,50.0,4.98,0.46,1.44,4.81,4.35,-2.9,-112.49,-1.93,6.23,18.33,-26.53,12.0,8.4,24.0,1093,126,,,,571976,,,0,0,16,top
2017-09-13,492267,9,622382,L,571976,R,74,Walk,5,5,170913_030559,209b2264-ab49-4e8d-b913-f26af44e9e2c,3,1,1,B,Ball,FF,12,2.0,3.39,1.57,90.7,83.9,25.98,1.05,50.0,4.93,1.53,2.73,4.86,9.93,-0.39,-132.03,-3.02,8.69,24.52,-14.41,30.0,3.6,24.0,2238,151,,,,571976,,,0,0,16,top
2017-09-13,492267,9,622382,L,605486,L,75,Flyout,3,1,170913_030634,8d426e7f-a4c2-451c-a3a6-20a43915c808,0,0,1,S,Foul,FF,12,2.0,2.91,1.16,90.1,82.6,78.72,0.84,50.0,5.02,1.15,2.81,8.37,12.89,-2.01,-131.11,-3.9,14.64,26.47,-9.63,54.0,3.6,24.0,2092,145,571976,,,,,,0,1,16,top
2017-09-13,492267,9,622382,L,605486,L,75,Flyout,3,2,170913_030707,eb0d17af-7c0a-4192-a629-9f8afdbfa779,0,1,1,B,Ball,SL,13,2.0,3.34,1.44,82.2,75.8,13.29,0.88,50.0,5.02,-1.43,2.36,2.18,3.01,-6.14,-119.38,-0.41,3.17,21.07,-27.79,4.8,7.2,24.0,1931,146,571976,,,,,,0,1,16,top
2017-09-13,492267,9,622382,L,605486,L,75,Flyout,3,3,170913_030732,00fe7458-d6f6-402d-b353-1f78b1473e12,1,1,1,X,In play- out(s),FF,3,2.0,2.91,1.16,89.8,81.9,38.45,0.94,50.0,4.95,0.41,2.41,8.54,10.47,-4.22,-130.53,-3.81,14.72,27.7,-14.12,43.2,4.8,24.0,2089,139,571976,,,,,,0,1,16,top
