Date,Game,Inning,Pitcher,Hand,Batter,Stand,AB_ID,Result,AB_Total,AB_Count,Pfx_ID,Play_ID,Balls,Strikes,Outs,Code,Pdes,Type,Zone,Con,SZ_Top,SZ_Bot,Start_Speed,End_Speed,Nasty_Factor,X0,Y0,Z0,PX,PZ,PfxX,PfxZ,VX0,VY0,VZ0,AX,AY,AZ,Break_Angle,Break_Length,Break_Y,Spin_Rate,Spin_Direction,Runner 1B,Runner 2B,Runner 3B,End 1B,End 2B,End 3B,Runs,Outs On Play,Run Diff,Half
2017-04-05,490126,1,572070,R,459964,L,3,Single,4,1,170406_021411,68fa5cd9-ad37-4ce8-8183-db06ceb1a674,0,1,0,C,Called Strike,FF,7,2.0,3.38,1.66,97.0,89.7,69.92,-2.09,50.0,5.77,-0.68,1.85,-1.08,9.7,4.35,-141.03,-8.73,-2.21,28.35,-12.4,6.0,2.4,24.0,2762,184,,,,459964,,,0,0,0,bottom
2017-04-05,490126,1,572070,R,459964,L,3,Single,4,2,170406_021427,59713564-bcc7-489f-b465-7625ea57250e,0,1,0,B,Ball,FF,13,2.0,3.42,1.72,97.4,89.9,36.8,-1.97,50.0,5.62,-0.51,0.43,-1.87,9.94,4.79,-141.37,-12.41,-3.81,29.55,-11.87,10.8,2.4,24.0,2675,188,,,,459964,,,0,0,0,bottom
2017-04-05,490126,1,572070,R,459964,L,3,Single,4,3,170406_021449,5df0a9c1-f92e-4ffe-b82a-2db7c74f4c9a,1,2,0,C,Called Strike,FF,14,2.0,3.27,1.66,96.9,89.3,50.28,-1.9,50.0,5.61,0.34,1.45,-1.7,10.61,6.86,-140.67,-9.67,-3.43,29.34,-10.74,9.6,2.4,24.0,2641,185,,,,459964,,,0,0,0,bottom
2017-04-05,490126,1,572070,R,459964,L,3,Single,4,4,170406_021511,ee5a34da-faa1-40b9-a8d0-1ee0c2518d9a,1,2,0,D,In play- no out,FF,9,2.0,3.73,1.66,97.6,89.5,48.79,-1.88,50.0,5.63,0.37,1.59,-1.2,11.2,6.73,-141.6,-9.66,-2.44,31.19,-9.35,4.8,2.4,24.0,2655,182,,,,459964,,,0,0,0,bottom
2017-04-05,490126,1,572070,R,476704,L,4,Forceout,5,1,170406_021556,f15fc262-821f-43ba-81be-d9012a021355,0,1,0,F,Foul,FT,5,2.0,3.39,1.58,97.0,88.6,33.24,-1.7,50.0,5.77,-0.03,2.27,-6.55,9.07,6.94,-140.72,-7.12,-12.79,31.74,-14.47,34.8,3.6,24.0,,214,459964,,,476704,,,0,1,0,bottom
2017-04-05,490126,1,572070,R,476704,L,4,Forceout,5,2,170406_021633,8f7db477-7781-4ec9-b897-fdcce7b018b7,0,1,0,B,Ball,FT,13,2.0,3.64,1.78,97.1,88.5,47.34,-1.74,50.0,5.7,-1.59,1.39,-8.16,9.14,3.35,-141.08,-9.5,-16.38,33.52,-13.84,44.4,4.8,24.0,2651,223,459964,,,476704,,,0,1,0,bottom
2017-04-05,490126,1,572070,R,476704,L,4,Forceout,5,3,170406_021704,3dd3aa70-a4b9-46ef-b832-134d650c6fec,1,2,0,F,Foul,FF,3,2.0,3.75,1.53,96.9,89.0,42.08,-1.64,50.0,5.85,0.25,3.15,-2.03,8.88,5.99,-140.88,-4.98,-4.1,30.08,-14.22,10.8,3.6,24.0,2444,189,459964,,,476704,,,0,1,0,bottom
2017-04-05,490126,1,572070,R,476704,L,4,Forceout,5,4,170406_021745,e16b713f-19a3-4585-9dd9-96810f2a4aa8,1,2,0,B,Ball,SL,14,2.0,3.64,1.79,91.3,84.6,34.11,-1.69,50.0,5.75,0.63,0.79,1.03,-0.21,5.74,-132.72,-6.82,1.85,26.91,-32.56,4.8,7.2,24.0,3008,63,459964,,,476704,,,0,1,0,bottom
2017-04-05,490126,1,572070,R,476704,L,4,Forceout,5,5,170406_021814,ff03bb40-d401-4fec-8254-2d9d6af47307,2,2,0,X,In play- out(s),SL,14,2.0,3.75,1.53,92.1,85.2,53.33,-1.66,50.0,5.74,0.62,1.38,1.66,-0.02,5.46,-133.81,-5.47,3.03,27.23,-32.21,7.2,7.2,24.0,2895,78,459964,,,476704,,,0,1,0,bottom
2017-04-05,490126,1,572070,R,592387,R,5,Strikeout,4,1,170406_021915,a22be9a4-a013-44f7-b78d-a2f4ea49473b,0,0,1,B,Ball,SL,14,2.0,3.75,1.73,91.2,84.7,50.23,-1.73,50.0,5.72,0.16,0.9,1.79,-1.78,4.36,-132.62,-5.92,3.2,26.43,-35.37,6.0,8.4,24.0,3027,44,476704,,,476704,,,0,1,0,bottom
2017-04-05,490126,1,572070,R,592387,R,5,Strikeout,4,2,170406_021940,a2bf6871-21fd-48e2-87d5-e506dae74c23,1,0,1,S,Swinging Strike,FF,1,2.0,3.85,1.57,97.1,89.2,54.11,-1.81,50.0,5.76,-0.67,3.41,0.39,7.69,3.04,-141.33,-3.63,0.8,30.43,-16.53,4.8,3.6,24.0,2693,174,476704,,,476704,,,0,1,0,bottom
2017-04-05,490126,1,572070,R,592387,R,5,Strikeout,4,3,170406_022012,c01e06ba-c979-4771-ba0b-9b1d535e8050,1,2,1,F,Foul,FF,14,2.0,3.85,1.57,97.8,90.1,46.02,-1.68,50.0,5.61,0.27,1.63,-1.66,10.73,6.09,-142.07,-9.42,-3.43,30.17,-10.07,10.8,2.4,24.0,2741,185,476704,,,476704,,,0,1,0,bottom
2017-04-05,490126,1,572070,R,592387,R,5,Strikeout,4,4,170406_022048,9500b55b-e462-4175-80c0-a33c035708a0,1,2,1,S,Swinging Strike,SL,14,2.0,3.71,1.75,91.4,85.2,24.81,-1.66,50.0,5.78,0.36,1.01,2.04,-0.47,4.61,-132.97,-6.33,3.69,25.46,-33.02,7.2,7.2,24.0,2919,68,476704,,,476704,,,0,1,0,bottom
2017-04-05,490126,1,572070,R,501981,R,6,Walk,7,1,170406_022130,de95ccb6-ae8c-4d37-afd5-d2ad646c0678,0,1,2,C,Called Strike,FT,13,2.0,3.61,1.83,96.9,89.3,71.99,-1.63,50.0,5.67,-0.78,1.63,-4.82,8.82,4.15,-140.9,-8.71,-9.77,29.56,-14.31,28.8,3.6,24.0,2611,208,476704,,,501981,476704,,0,0,0,bottom
2017-04-05,490126,1,572070,R,501981,R,6,Walk,7,2,170406_022157,0f5b36cc-cd7a-42b6-9b61-1c1d93e971d7,0,2,2,C,Called Strike,FT,13,2.0,3.59,1.68,97.7,90.1,76.28,-1.82,50.0,5.61,-1.06,1.47,-5.61,8.84,4.17,-142.01,-9.16,-11.56,29.81,-13.97,33.6,3.6,24.0,2700,212,476704,,,501981,476704,,0,0,0,bottom
2017-04-05,490126,1,572070,R,501981,R,6,Walk,7,3,170406_022228,6e2cb0c9-ea09-47f5-8899-bfa85d93563b,1,2,2,*B,Ball In Dirt,SL,14,2.0,3.82,1.78,92.2,85.7,22.37,-1.68,50.0,5.61,0.15,0.07,1.18,2.22,4.46,-133.87,-9.4,2.17,26.13,-28.1,6.0,7.2,24.0,,129,476704,,,501981,476704,,0,0,0,bottom
2017-04-05,490126,1,572070,R,501981,R,6,Walk,7,4,170406_022306,60bb0df6-5a38-4f43-8b50-aa93a5dfff69,1,2,2,B,Ball,SL,14,2.0,3.77,1.72,90.1,83.2,40.55,-1.49,50.0,5.76,1.15,0.79,0.26,0.36,6.72,-130.83,-6.75,0.45,26.91,-31.54,2.4,7.2,24.0,3111,75,476704,,,501981,476704,,0,0,0,bottom
2017-04-05,490126,1,572070,R,501981,R,6,Walk,7,5,170406_022339,92edc95f-4fa7-49a4-aa8a-ed50861ea673,2,2,2,F,Foul,FF,5,2.0,3.85,1.57,96.1,88.7,23.58,-1.85,50.0,5.65,-0.08,2.4,1.82,5.42,4.23,-139.83,-5.15,3.62,29.21,-21.36,10.8,4.8,24.0,2717,155,476704,,,501981,476704,,0,0,0,bottom
2017-04-05,490126,1,572070,R,501981,R,6,Walk,7,6,170406_022430,26cf0c71-34f7-4b0e-986f-abeb5888fc07,2,2,2,B,Ball,FT,13,2.0,3.73,1.74,96.8,88.6,31.83,-1.78,50.0,5.59,-1.44,1.11,-5.04,8.29,2.77,-140.61,-9.62,-10.08,32.01,-15.59,27.6,3.6,24.0,2721,212,476704,,,501981,476704,,0,0,0,bottom
2017-04-05,490126,1,572070,R,501981,R,6,Walk,7,7,170406_022503,95c1a8d8-937c-4c01-b6c7-6c472ac4dc0c,4,2,2,*B,Ball In Dirt,SL,14,2.0,3.75,1.74,90.8,84.2,45.5,-1.61,50.0,5.52,1.13,-1.15,0.82,1.4,6.85,-131.54,-11.63,1.45,27.15,-29.72,4.8,7.2,24.0,,96,476704,,,501981,476704,,0,0,0,bottom
2017-04-05,490126,1,572070,R,519390,L,7,Groundout,4,1,170406_022605,f04cf69c-cfe1-4dbf-9707-549b4aae38ea,0,0,2,B,Ball,FT,11,2.0,3.56,1.65,95.9,87.8,29.34,-1.87,50.0,5.76,-1.86,2.51,-4.06,9.37,1.49,-139.52,-6.47,-8.01,31.18,-13.69,26.4,3.6,24.0,2766,203,501981,476704,,,,,0,1,0,bottom
2017-04-05,490126,1,572070,R,519390,L,7,Groundout,4,2,170406_022631,8b011fd6-58eb-4c4e-b7da-6567e40d7f89,1,0,2,B,Ball,FT,13,2.0,3.55,1.77,96.6,89.2,34.51,-1.62,50.0,5.54,-0.21,0.16,-4.27,7.19,5.46,-140.13,-11.73,-8.56,29.38,-17.76,20.4,4.8,24.0,2660,211,501981,476704,,,,,0,1,0,bottom
2017-04-05,490126,1,572070,R,519390,L,7,Groundout,4,3,170406_022723,e34a7548-a3b0-4939-9fdc-cd7ee9da57e0,2,1,2,C,Called Strike,FF,8,2.0,3.49,1.72,97.3,89.2,39.92,-1.79,50.0,5.65,-0.09,1.63,0.94,8.67,4.39,-141.42,-8.63,1.91,31.74,-14.58,9.6,3.6,24.0,2690,169,501981,476704,,,,,0,1,0,bottom
2017-04-05,490126,1,572070,R,519390,L,7,Groundout,4,4,170406_022801,2a14ac67-1861-4c06-a3cd-e557559e34aa,2,1,2,X,In play- out(s),FF,7,2.0,3.75,1.53,96.8,88.5,45.24,-1.77,50.0,5.64,-0.36,1.73,-0.05,10.03,3.94,-140.69,-8.68,-0.1,32.2,-12.09,3.6,2.4,24.0,2578,177,501981,476704,,,,,0,1,0,bottom
2017-04-05,490126,2,572070,R,461858,R,15,Strikeout,4,1,170406_024641,dfce84bf-ed76-43c5-8e3e-e6bbea4e1bc6,0,1,0,C,Called Strike,FF,13,2.0,3.06,1.43,95.5,88.2,71.88,-2.01,50.0,5.76,-0.82,2.0,-1.45,7.5,3.8,-139.0,-7.23,-2.85,28.53,-17.38,6.0,3.6,24.0,2406,188,,,,,,,0,1,3,bottom
2017-04-05,490126,2,572070,R,461858,R,15,Strikeout,4,2,170406_024657,e761ee7c-f506-43d3-98d0-23a51fb0b99e,0,1,0,S,Swinging Strike,FF,13,2.0,3.83,1.57,95.5,88.7,20.12,-1.96,50.0,5.78,-1.3,2.42,-2.12,7.03,2.6,-139.09,-6.01,-4.21,26.41,-18.18,10.8,3.6,24.0,2638,195,,,,,,,0,1,3,bottom
2017-04-05,490126,2,572070,R,461858,R,15,Strikeout,4,3,170406_024717,52981c55-03ac-4a5f-b1e4-570df7bbf6f6,0,2,0,B,Ball,CU,11,2.0,2.99,1.39,80.6,72.4,12.62,-1.83,50.0,6.5,-1.31,3.99,3.61,-12.14,0.13,-116.72,4.91,4.86,26.83,-48.53,6.0,14.4,24.0,3022,18,,,,,,,0,1,3,bottom
2017-04-05,490126,2,572070,R,461858,R,15,Strikeout,4,4,170406_024735,84616cb8-33d8-4e4a-9e3f-87526a0e5c04,1,2,0,S,Swinging Strike,SL,14,2.0,3.83,1.57,90.0,82.7,38.38,-1.79,50.0,5.79,0.23,1.24,1.39,1.58,4.75,-130.71,-6.03,2.4,27.95,-29.45,6.0,7.2,24.0,2823,117,,,,,,,0,1,3,bottom
2017-04-05,490126,2,572070,R,475174,L,16,Strikeout,7,1,170406_024817,429c2ff3-db21-4e11-9bad-23cf3691b135,0,0,1,B,Ball,FF,11,2.0,3.35,1.48,96.6,89.2,37.73,-1.93,50.0,5.77,-1.4,2.54,-1.38,9.24,2.0,-140.58,-6.61,-2.79,28.65,-13.48,9.6,3.6,24.0,2565,187,,,,,,,0,1,3,bottom
2017-04-05,490126,2,572070,R,475174,L,16,Strikeout,7,2,170406_024832,5be1ddbe-6ad2-42e0-a28b-86bb4f0801be,1,1,1,C,Called Strike,FF,1,2.0,3.28,1.48,94.8,88.2,46.0,-1.84,50.0,5.71,-0.56,2.82,-0.7,4.87,3.77,-138.08,-3.82,-1.37,25.57,-22.6,1.2,4.8,24.0,2595,184,,,,,,,0,1,3,bottom
2017-04-05,490126,2,572070,R,475174,L,16,Strikeout,7,3,170406_024849,1e2a8a11-0018-4025-a870-5d253bc8027e,1,2,1,F,Foul,FF,5,2.0,3.79,1.48,96.6,89.5,31.15,-1.79,50.0,5.61,0.21,2.16,0.23,8.42,5.49,-140.51,-6.91,0.46,27.66,-15.11,4.8,3.6,24.0,2660,174,,,,,,,0,1,3,bottom
2017-04-05,490126,2,572070,R,475174,L,16,Strikeout,7,4,170406_024925,d87a41b4-1761-443c-9055-b5980793d06c,1,2,1,F,Foul,SL,1,2.0,3.79,1.48,89.3,82.4,31.86,-1.76,50.0,5.92,-0.34,2.83,1.18,-2.18,3.24,-129.88,-0.96,2.03,25.74,-35.91,3.6,8.4,24.0,2947,36,,,,,,,0,1,3,bottom
2017-04-05,490126,2,572070,R,475174,L,16,Strikeout,7,5,170406_024952,f3246ce1-2f41-4681-8303-80c26c7358ad,1,2,1,B,Ball,SL,14,2.0,3.39,1.48,91.6,85.2,40.06,-1.74,50.0,5.59,1.25,-0.55,0.81,1.01,7.56,-132.81,-10.36,1.47,26.6,-30.36,4.8,7.2,24.0,,90,,,,,,,0,1,3,bottom
2017-04-05,490126,2,572070,R,475174,L,16,Strikeout,7,6,170406_025022,1c7adc11-6d96-4cf8-a88c-2eef74a9ab75,2,2,1,F,Foul,FT,7,2.0,3.79,1.48,97.2,89.5,47.23,-1.79,50.0,5.67,-0.4,1.82,-3.01,6.96,4.99,-141.34,-7.53,-6.13,30.55,-18.02,14.4,3.6,24.0,2570,201,,,,,,,0,1,3,bottom
2017-04-05,490126,2,572070,R,475174,L,16,Strikeout,7,7,170406_025054,73d61817-369d-42c3-b103-fb812baac3a0,2,2,1,S,Swinging Strike,FF,2,2.0,3.79,1.48,96.6,88.5,41.63,-1.84,50.0,5.78,-0.16,3.21,0.98,9.87,4.29,-140.5,-4.88,1.96,31.11,-12.4,12.0,2.4,24.0,2610,171,,,,,,,0,1,3,bottom
