Date, Game, Inning, Pitcher, Hand, Batter, Stand, AB_ID, Result, AB_Total, AB_Count, Pfx_ID, Play_ID, Balls, Strikes, Outs, Code, Pdes, Type, Zone, Con, SZ_Top, SZ_Bot, Start_Speed, End_Speed, Nasty_Factor, X0, Y0, Z0, PX, PZ, PfxX, PfxZ, VX0, VY0, VZ0, AX, AY, AZ, Break_Angle, Break_Length, Break_Y, Spin_Rate, Spin_Direction, Runner 1B, Runner 2B, Runner 3B, End 1B, End 2B, End 3B, Runs, Outs On Play, Run Diff, Half
2019-09-23,567088,1,650893,L,457705,R,4,Walk,4,1,190530_005154,4086ea1c-0472-4b92-befe-9da8e79ee432,0,0,0,B,Ball,FF,12,2.0,3.35,1.59,95.4,87.2,,1.76,50.0,5.76,0.91,3.05,6.23,8.97,-4.55,-138.73,-4.76,12.15,30.75,-14.67,34.8,3.6,24.0,2160,146,,,,457705,,,0,0,0,bottom
2019-09-23,567088,1,650893,L,457705,R,4,Walk,4,2,190530_005208,9355e7d2-074a-437a-b3b0-60398379deef,1,0,0,B,Ball,FF,11,2.0,3.46,1.73,95.0,87.0,,1.22,50.0,5.87,-1.19,3.25,5.85,10.2,-8.63,-137.91,-4.86,11.32,29.29,-12.44,34.8,3.6,24.0,2204,153,,,,457705,,,0,0,0,bottom
2019-09-23,567088,1,650893,L,457705,R,4,Walk,4,3,190530_005220,d7a41c0f-1209-4f2e-a8bb-fd18fdf13dae,2,0,0,B,Ball,CH,13,2.0,3.48,1.66,88.1,81.0,,1.48,50.0,5.64,-0.44,1.5,8.21,8.99,-7.53,-127.83,-7.06,13.65,25.1,-17.23,33.6,6.0,24.0,1726,138,,,,457705,,,0,0,0,bottom
2019-09-23,567088,1,650893,L,457705,R,4,Walk,4,4,190530_005233,0d101f3c-75f8-47b8-acee-059baba6d1a1,3,0,0,B,Ball,FF,12,2.0,3.31,1.52,96.3,87.9,,1.36,50.0,5.85,0.11,3.93,5.69,10.13,-5.5,-139.98,-3.14,11.3,31.26,-12.05,38.4,3.6,24.0,2263,152,,,,457705,,,0,0,0,bottom
2019-09-23,567088,1,650893,L,516416,R,5,Strikeout,3,1,190530_005309,f63d078f-10cc-43f7-b306-3d0fde893004,0,0,0,S,Called Strike,FF,2,2.0,3.1,1.51,94.9,86.9,,1.29,50.0,5.77,-0.1,2.98,6.67,9.59,-6.16,-137.99,-5.11,12.89,29.86,-13.63,38.4,3.6,24.0,2290,146,457705,,,,,,0,1,0,bottom
2019-09-23,567088,1,650893,L,516416,R,5,Strikeout,3,2,190530_005328,a5701510-ebfe-40a1-8bce-601c1e86be6b,0,1,0,S,Foul,SL,13,2.0,3.11,1.51,81.7,76.2,,1.04,50.0,5.95,-0.58,1.4,-0.57,-4.89,-3.65,-118.94,-2.41,-0.82,20.9,-39.25,2.4,10.8,24.0,2456,348,457705,,,,,,0,1,0,bottom
2019-09-23,567088,1,650893,L,516416,R,5,Strikeout,3,3,190530_005355,edb88c41-28f0-4c7e-b32d-ed5b9f8ebc73,0,2,0,S,Called Strike,FF,11,2.0,3.18,1.45,97.2,88.9,,1.03,50.0,5.78,-0.53,3.31,6.74,8.62,-6.78,-141.28,-4.27,13.67,31.28,-14.71,38.4,3.6,24.0,2363,144,457705,,,,,,0,1,0,bottom
2019-09-23,567088,1,650893,L,547180,L,6,Single,4,1,190530_005446,a123ec6c-1275-4917-8d2d-488ee6fb86a4,0,0,1,S,Foul,FF,3,2.0,3.49,1.6,97.7,88.9,,1.22,50.0,5.84,0.44,3.19,4.96,11.03,-3.97,-142.05,-5.68,10.1,33.67,-9.72,39.6,2.4,24.0,2277,156,,,,547180,457705,,0,0,0,bottom
2019-09-23,567088,1,650893,L,547180,L,6,Single,4,2,190530_005516,44138f06-a425-4fba-8ee1-7bce8292813e,0,1,1,B,Ball,FF,13,2.0,3.44,1.65,97.7,89.0,,0.88,50.0,5.76,-2.37,2.36,5.35,10.79,-11.04,-141.68,-7.67,10.86,32.94,-10.27,34.8,2.4,24.0,2319,157,,,,547180,457705,,0,0,0,bottom
2019-09-23,567088,1,650893,L,547180,L,6,Single,4,3,190530_005614,83521cf8-24fe-4bea-a165-6bb14cea2259,1,1,1,B,Ball,FF,11,2.0,3.42,1.59,97.4,88.6,,1.0,50.0,5.9,-1.0,3.54,6.39,9.44,-7.9,-141.45,-4.22,12.91,33.14,-13.1,38.4,3.6,24.0,2292,148,,,,547180,457705,,0,0,0,bottom
