Date, Game, Inning, Pitcher, Hand, Batter, Stand, AB_ID, Result, AB_Total, AB_Count, Pfx_ID, Play_ID, Balls, Strikes, Outs, Code, Pdes, Type, Zone, Con, SZ_Top, SZ_Bot, Start_Speed, End_Speed, Nasty_Factor, X0, Y0, Z0, PX, PZ, PfxX, PfxZ, VX0, VY0, VZ0, AX, AY, AZ, Break_Angle, Break_Length, Break_Y, Spin_Rate, Spin_Direction, Runner 1B, Runner 2B, Runner 3B, End 1B, End 2B, End 3B, Runs, Outs On Play, Run Diff, Half
2018-05-23,530126,7,606149,R,608336,L,59,Flyout,2,1,180523_023717,2bb6567e-6bb3-4b15-8ab6-3827eaf03f71,0,0,0,B,Ball,SL,11,2.0,3.86,1.85,84.1,78.0,84.71,-2.15,50.0,6.73,-0.76,4.13,-0.96,-1.77,3.68,-122.29,0.86,-1.48,21.28,-34.89,1.2,9.6,24.0,1971,339,,,,,,,0,1,-4,bottom
2018-05-23,530126,7,606149,R,608336,L,59,Flyout,2,2,180523_023735,c3132f57-b86a-4a39-9ad1-9bae761dc790,1,0,0,X,In play- out(s),FF,4,2.0,3.5,1.51,94.0,85.7,36.42,-2.18,50.0,6.28,-0.56,2.82,-4.89,11.08,6.07,-136.36,-7.2,-9.21,30.15,-11.33,31.2,3.6,24.0,2388,201,,,,,,,0,1,-4,bottom
2018-05-23,530126,7,606149,R,596059,L,60,Single,1,1,180523_023827,b1e212de-efdf-44ee-826b-280f1211d5f1,0,0,1,X,In play- no out,FF,4,2.0,2.92,1.17,94.8,86.4,55.86,-2.07,50.0,6.27,-0.65,2.24,-7.26,9.1,6.42,-137.56,-8.22,-13.86,31.55,-14.8,37.2,4.8,24.0,2403,218,,,,596059,,,0,0,-4,bottom
2018-05-23,530126,7,606149,R,455139,R,61,Strikeout Double Play,8,1,180523_023907,e0698976-24f3-4c70-9f76-c987f1f9cfac,0,0,1,S,Foul,FF,12,2.0,2.9,1.22,94.7,85.3,50.82,-1.93,50.0,6.33,0.07,2.99,-5.93,10.99,7.46,-137.21,-6.87,-11.16,34.1,-11.5,34.8,3.6,24.0,2457,205,596059,,,,,,0,2,-4,bottom
2018-05-23,530126,7,606149,R,455139,R,61,Strikeout Double Play,8,2,180523_023939,1596ab03-0359-4b4d-b4cf-534b0845eec0,0,1,1,S,Foul,FF,1,2.0,2.9,1.22,94.8,86.5,53.8,-1.89,50.0,6.38,-0.68,2.9,-6.73,10.57,5.67,-137.63,-7.26,-12.9,30.8,-11.92,40.8,3.6,24.0,2384,211,596059,,,,,,0,2,-4,bottom
2018-05-23,530126,7,606149,R,455139,R,61,Strikeout Double Play,8,3,180523_024005,bb75f31b-2450-455d-a1fd-b76834855467,0,1,1,S,Foul,SL,5,2.0,2.9,1.22,86.0,78.1,16.96,-2.14,50.0,6.4,0.19,2.22,-0.86,1.93,5.99,-124.79,-4.29,-1.34,28.24,-29.17,0.0,8.4,24.0,2236,179,596059,,,,,,0,2,-4,bottom
2018-05-23,530126,7,606149,R,455139,R,61,Strikeout Double Play,8,4,180523_024041,ab24757d-d10c-49b1-b3af-c57a0b6241c6,0,2,1,B,Ball,FF,11,2.0,3.28,1.56,93.6,85.2,24.3,-1.9,50.0,6.63,-0.37,5.1,-6.53,8.54,6.39,-135.91,-1.09,-12.21,29.96,-16.21,33.6,4.8,24.0,2380,213,596059,,,,,,0,2,-4,bottom
2018-05-23,530126,7,606149,R,455139,R,61,Strikeout Double Play,8,5,180523_024131,60470595-99d9-44fb-ad14-327c7e42ab70,1,1,1,S,Foul,SL,9,2.0,2.9,1.22,87.3,78.6,30.43,-2.04,50.0,6.3,0.34,1.48,-0.23,1.24,5.95,-126.48,-5.83,-0.36,31.46,-30.21,1.2,8.4,24.0,2291,128,596059,,,,,,0,2,-4,bottom
2018-05-23,530126,7,606149,R,455139,R,61,Strikeout Double Play,8,6,180523_024206,6c4d63c8-ceac-4c60-baf4-ac95340ea20f,1,2,1,B,Ball,FF,12,2.0,3.19,1.51,93.6,85.4,18.9,-1.9,50.0,6.55,0.21,4.67,-5.49,9.27,7.59,-135.92,-2.3,-10.29,29.36,-14.8,30.0,3.6,24.0,2342,206,596059,,,,,,0,2,-4,bottom
2018-05-23,530126,7,606149,R,455139,R,61,Strikeout Double Play,8,7,180523_024234,63abbc30-52ba-452a-aa28-ae47868fbc4f,2,2,1,S,Swinging Strike,SL,13,2.0,2.9,1.22,85.7,79.3,31.52,-2.12,50.0,6.3,-0.13,1.02,1.08,-1.41,4.55,-124.45,-5.98,1.7,24.5,-34.39,3.6,9.6,24.0,2249,40,596059,,,,,,0,2,-4,bottom
