Date, Game, Inning, Pitcher, Hand, Batter, Stand, AB_ID, Result, AB_Total, AB_Count, Pfx_ID, Play_ID, Balls, Strikes, Outs, Code, Pdes, Type, Zone, Con, SZ_Top, SZ_Bot, Start_Speed, End_Speed, Nasty_Factor, X0, Y0, Z0, PX, PZ, PfxX, PfxZ, VX0, VY0, VZ0, AX, AY, AZ, Break_Angle, Break_Length, Break_Y, Spin_Rate, Spin_Direction, Runner 1B, Runner 2B, Runner 3B, End 1B, End 2B, End 3B, Runs, Outs On Play, Run Diff, Half
2017-06-30,491294,11,642098,R,571918,R,96,Single,7,1,170701_033024,1148dc84-6d9d-4769-a8be-f551779adb3e,0,0,1,S,Called Strike,FF,6,2.0,3.41,1.61,94.5,85.2,59.38,-2.48,50.0,5.63,0.63,2.39,-5.91,10.19,10.42,-136.7,-6.25,-11.05,33.43,-13.12,30.0,3.6,24.0,2299,207,593428,598265,,571918,571918,,2,0,-1,top
2017-06-30,491294,11,642098,R,571918,R,96,Single,7,2,170701_033048,6c2e1c38-c49e-4617-b2bf-3d0708444636,0,1,1,B,Ball In Dirt,SL,14,2.0,3.39,1.58,87.6,80.4,25.82,-2.86,50.0,5.59,0.37,1.09,-2.09,5.09,8.79,-126.98,-6.53,-3.42,25.91,-23.86,3.6,6.0,24.0,2247,195,593428,598265,,571918,571918,,2,0,-1,top
2017-06-30,491294,11,642098,R,571918,R,96,Single,7,3,170701_033126,7c1ea818-54d6-4232-9115-fec7ac5a2439,1,1,1,S,Foul,SL,1,2.0,3.31,1.43,86.5,79.4,33.18,-2.85,50.0,5.81,-0.32,2.92,-1.33,1.55,6.72,-125.63,-1.2,-2.13,24.88,-29.68,1.2,7.2,24.0,2240,217,593428,598265,,571918,571918,,2,0,-1,top
2017-06-30,491294,11,642098,R,571918,R,96,Single,7,4,170701_033158,c1c76d18-20c8-438e-ae54-b564ada3335b,1,2,1,B,Ball,SL,14,2.0,3.37,1.62,85.9,78.6,29.91,-2.69,50.0,5.55,0.51,1.06,-1.16,3.04,8.21,-124.51,-5.42,-1.81,26.32,-27.43,0.0,7.2,24.0,2197,181,593428,598265,,571918,571918,,2,0,-1,top
2017-06-30,491294,11,642098,R,571918,R,96,Single,7,5,170701_033223,83343dea-c667-425b-9921-f13c1ad30294,2,1,1,S,Foul,FF,2,2.0,3.31,1.43,94.9,86.1,32.3,-2.55,50.0,5.59,0.2,2.82,-4.98,11.5,9.18,-137.53,-5.62,-9.5,31.61,-10.24,32.4,2.4,24.0,2257,200,593428,598265,,571918,571918,,2,0,-1,top
2017-06-30,491294,11,642098,R,571918,R,96,Single,7,6,170701_033257,55105503-ef42-4148-bf85-e38eb07e73cf,2,1,1,S,Foul,FF,11,2.0,3.31,1.43,94.8,85.5,67.5,-2.66,50.0,5.65,-1.18,3.46,-6.65,10.74,6.31,-137.36,-3.7,-12.59,32.91,-11.84,40.8,3.6,24.0,2173,211,593428,598265,,571918,571918,,2,0,-1,top
2017-06-30,491294,11,642098,R,571918,R,96,Single,7,7,170701_033337,2450c29e-cbc6-41b9-a36d-a823c9798d81,2,2,1,X,In play- run(s),SL,11,2.0,3.31,1.43,85.6,77.1,44.79,-2.74,50.0,5.78,-0.36,3.5,-0.39,1.73,5.91,-124.12,0.5,-0.6,28.67,-29.53,1.2,8.4,24.0,2031,150,593428,598265,,571918,571918,,2,0,-1,top
2017-06-30,491294,11,642098,R,605141,R,97,Single,5,1,170701_033432,029a4c37-3a26-4821-8e54-65b5c098dad7,0,0,1,S,Called Strike,FF,1,2.0,3.19,1.5,94.0,85.1,60.99,-2.4,50.0,5.74,-0.28,3.15,-6.41,11.89,7.92,-136.28,-5.09,-11.98,31.89,-9.96,42.0,3.6,24.0,2250,207,571918,571918,,605141,,571918,0,0,-3,top
2017-06-30,491294,11,642098,R,605141,R,97,Single,5,2,170701_033457,36845c0d-d079-400e-a325-a5b9d1241f6c,0,1,1,B,Ball,FF,11,2.0,3.16,1.42,93.4,84.5,47.51,-2.69,50.0,5.72,-1.21,3.94,-6.7,11.56,6.25,-135.56,-2.71,-12.39,31.5,-10.81,43.2,3.6,24.0,2332,209,571918,571918,,605141,,571918,0,0,-3,top
2017-06-30,491294,11,642098,R,605141,R,97,Single,5,3,170701_033522,b4350acd-886b-4624-8375-b124f25f1659,1,1,1,S,Called Strike,SL,12,2.0,3.33,1.49,86.9,80.0,49.94,-2.81,50.0,5.54,0.82,2.9,-1.53,3.75,9.54,-126.06,-1.36,-2.48,24.07,-26.11,1.2,6.0,24.0,2364,188,571918,571918,,605141,,571918,0,0,-3,top
