Date, Game, Inning, Pitcher, Hand, Batter, Stand, AB_ID, Result, AB_Total, AB_Count, Pfx_ID, Play_ID, Balls, Strikes, Outs, Code, Pdes, Type, Zone, Con, SZ_Top, SZ_Bot, Start_Speed, End_Speed, Nasty_Factor, X0, Y0, Z0, PX, PZ, PfxX, PfxZ, VX0, VY0, VZ0, AX, AY, AZ, Break_Angle, Break_Length, Break_Y, Spin_Rate, Spin_Direction, Runner 1B, Runner 2B, Runner 3B, End 1B, End 2B, End 3B, Runs, Outs On Play, Run Diff, Half
2017-04-05,490117,9,594795,L,595978,R,60,Pop Out,6,1,170405_043522,0e707b81-dcb2-42a7-a945-de298a224046,0,0,0,B,Ball,CU,13,2.0,3.52,1.62,72.6,67.6,83.94,2.65,50.0,5.5,-1.2,-1.93,4.97,-0.9,-9.31,-104.97,-7.37,5.53,18.29,-33.17,7.2,12.0,24.0,2475,50,,,,,,,0,1,-4,top
2017-04-05,490117,9,594795,L,595978,R,60,Pop Out,6,2,170405_043548,25b8b0d7-e43d-4ea6-b994-483e6ea53737,1,0,0,B,Ball,FF,11,2.0,3.41,1.56,88.2,80.2,60.44,2.67,50.0,5.49,-1.09,3.34,5.58,12.38,-11.28,-127.6,-3.09,9.2,26.24,-11.76,28.8,3.6,24.0,2063,159,,,,,,,0,1,-4,top
2017-04-05,490117,9,594795,L,595978,R,60,Pop Out,6,3,170405_043608,bbd47359-374d-4fd5-8119-432597b76c08,2,0,0,S,Foul,FF,6,2.0,3.41,1.56,90.7,82.1,34.27,2.73,50.0,5.63,0.34,2.66,9.48,14.68,-9.38,-131.31,-6.39,16.48,28.99,-6.66,61.2,3.6,24.0,2193,147,,,,,,,0,1,-4,top
2017-04-05,490117,9,594795,L,595978,R,60,Pop Out,6,4,170405_043658,6e50e3c3-6254-465e-8b86-83e7e9439dad,3,1,0,S,Foul,FF,2,2.0,3.41,1.56,90.2,81.4,37.97,2.72,50.0,5.7,-0.12,3.26,8.7,15.75,-10.18,-130.51,-5.25,14.88,29.47,-5.23,63.6,3.6,24.0,2217,152,,,,,,,0,1,-4,top
2017-04-05,490117,9,594795,L,595978,R,60,Pop Out,6,5,170405_043725,051b124e-b17a-4a39-8459-9ed5d942ff61,3,2,0,X,In play- out(s),FF,6,2.0,3.41,1.56,91.2,83.4,47.31,2.77,50.0,5.58,0.65,2.78,9.14,13.62,-8.64,-132.2,-5.8,16.27,26.61,-7.94,57.6,3.6,24.0,2085,146,,,,,,,0,1,-4,top
2017-04-05,490117,9,594795,L,430947,R,61,Single,3,1,170405_043829,150fb602-ebaa-470b-b90c-300c85fc29b2,0,1,1,B,Ball,CU,13,2.0,3.3,1.5,75.2,70.2,60.76,2.86,50.0,5.47,-0.14,0.09,3.87,-3.4,-7.59,-109.15,-3.23,4.71,17.83,-36.31,6.0,12.0,24.0,2428,31,,,,430947,,,0,0,-4,top
2017-04-05,490117,9,594795,L,430947,R,61,Single,3,2,170405_043858,0e074315-f4e5-4153-a6e5-34ff3ee20c3f,1,1,1,X,In play- no out,FF,13,2.0,3.3,1.5,92.3,83.7,49.78,2.52,50.0,5.55,-1.01,2.17,7.03,13.48,-11.68,-133.48,-7.38,12.63,29.89,-7.96,46.8,3.6,24.0,2252,154,,,,430947,,,0,0,-4,top
2017-04-05,490117,9,594795,L,516949,R,62,Pop Out,11,1,170405_043956,866fe017-b38a-4ef4-9d37-5251528686bf,0,0,1,S,Swinging Strike,FF,6,2.0,3.81,1.84,90.5,82.4,55.15,2.83,50.0,5.66,0.5,2.97,7.67,13.37,-8.64,-131.2,-5.26,13.38,27.62,-8.86,49.2,3.6,24.0,2231,150,430947,,,,,,0,1,-4,top
2017-04-05,490117,9,594795,L,516949,R,62,Pop Out,11,2,170405_044043,0e6e7af3-2c14-439a-8da4-d5c174456eb5,0,1,1,S,Foul,FF,11,2.0,3.81,1.84,91.2,82.7,40.36,2.65,50.0,5.71,-0.03,4.02,6.73,14.44,-9.26,-132.21,-3.13,11.88,28.89,-6.68,52.8,2.4,24.0,2294,157,430947,,,,,,0,1,-4,top
2017-04-05,490117,9,594795,L,516949,R,62,Pop Out,11,3,170405_044252,e9250bc6-2843-434a-a8ae-a136662cde09,1,1,1,S,Foul,FF,9,2.0,3.81,1.84,90.9,82.4,57.11,2.77,50.0,5.62,0.34,2.26,8.93,13.61,-9.32,-131.63,-7.11,15.6,29.05,-8.39,54.0,3.6,24.0,2354,147,430947,,,,,,0,1,-4,top
2017-04-05,490117,9,594795,L,516949,R,62,Pop Out,11,4,170405_044321,e10d49ab-e98c-4e47-8f34-8e97919c2cd7,1,2,1,B,Ball,FF,11,2.0,3.81,1.84,90.3,81.6,49.17,2.71,50.0,5.59,-0.32,4.18,7.33,11.36,-10.24,-130.69,-1.15,12.6,29.16,-12.65,38.4,3.6,24.0,2273,149,430947,,,,,,0,1,-4,top
2017-04-05,490117,9,594795,L,516949,R,62,Pop Out,11,5,170405_044504,51a3735f-fa52-4c41-b2d4-356b4f61971f,2,2,1,X,In play- out(s),FF,1,2.0,3.81,1.84,92.1,83.3,65.93,2.8,50.0,5.64,-0.43,3.72,8.24,12.59,-11.3,-133.31,-3.2,14.74,30.06,-9.63,49.2,3.6,24.0,2187,149,430947,,,,,,0,1,-4,top
2017-04-05,490117,9,594795,L,608671,L,63,Strikeout,5,1,170405_044618,14f227be-ee03-4629-89cc-f74c10fd0599,1,0,2,S,Foul,FF,3,2.0,3.47,1.59,91.1,82.4,57.86,2.7,50.0,5.65,0.28,3.22,8.82,14.11,-9.26,-131.88,-4.9,15.44,29.47,-7.47,57.6,3.6,24.0,2204,149,,,,,,,0,1,-4,top
2017-04-05,490117,9,594795,L,608671,L,63,Strikeout,5,2,170405_044648,43aef98b-bc95-4cb2-b736-d6f3376a4af6,1,1,2,B,Ball,FT,12,2.0,3.47,1.59,91.2,82.9,58.04,2.71,50.0,5.42,0.4,3.79,9.11,8.54,-9.11,-132.21,-0.99,16.09,28.6,-17.08,39.6,4.8,24.0,2174,133,,,,,,,0,1,-4,top
2017-04-05,490117,9,594795,L,608671,L,63,Strikeout,5,3,170405_044742,73243911-da1a-419a-b83e-2da6ae65fa00,2,2,2,S,Called Strike,FF,7,2.0,3.47,1.59,92.0,83.6,54.64,2.54,50.0,5.53,-0.34,2.12,8.75,13.9,-10.55,-133.09,-7.57,15.68,28.82,-7.27,56.4,3.6,24.0,2195,148,,,,,,,0,1,-4,top
2017-04-07,490154,7,594795,L,572863,R,53,Strikeout,6,1,170407_223000,c6d4a853-05c9-43d9-af17-8f4b2afaf38d,0,0,0,B,Ball,CU,13,2.0,3.38,1.55,72.6,68.1,68.46,2.77,50.0,5.5,-0.37,0.92,0.55,-1.65,-6.73,-105.41,-1.46,0.63,15.21,-34.06,0.0,12.0,24.0,2400,353,,,,,,,0,1,-1,bottom
2017-04-07,490154,7,594795,L,572863,R,53,Strikeout,6,2,170407_223022,b64b1249-0111-4406-b744-2deefb7a1c5a,1,0,0,B,Ball,FF,13,2.0,3.28,1.63,90.0,83.3,56.94,2.54,50.0,5.34,-1.21,1.82,9.01,11.19,-12.74,-130.3,-6.68,15.75,22.87,-12.6,44.4,4.8,24.0,2181,141,,,,,,,0,1,-1,bottom
2017-04-07,490154,7,594795,L,572863,R,53,Strikeout,6,3,170407_223046,4d7a228d-e4d0-4807-9bb0-a951f9049613,2,0,0,S,Foul,FF,5,2.0,3.73,1.53,90.1,83.2,25.88,2.72,50.0,5.43,0.13,2.52,5.91,11.13,-8.72,-130.72,-5.12,10.37,23.92,-12.64,33.6,3.6,24.0,2291,153,,,,,,,0,1,-1,bottom
2017-04-07,490154,7,594795,L,572863,R,53,Strikeout,6,4,170407_223116,c80384e0-e3d8-4548-bddf-f5c3c7a21092,2,1,0,S,Foul,FF,6,2.0,3.73,1.53,91.4,83.9,39.64,2.69,50.0,5.5,0.54,2.74,6.63,12.32,-7.91,-132.62,-5.33,11.91,26.26,-10.06,43.2,3.6,24.0,2243,152,,,,,,,0,1,-1,bottom
2017-04-07,490154,7,594795,L,572863,R,53,Strikeout,6,5,170407_223148,33f887fc-d213-4deb-b7c6-2d7854010539,2,2,0,B,Ball,FF,12,2.0,3.34,1.73,92.5,84.8,43.6,2.68,50.0,5.51,0.12,3.51,6.07,10.23,-8.9,-134.22,-2.8,11.15,27.17,-13.39,33.6,3.6,24.0,2199,151,,,,,,,0,1,-1,bottom
2017-04-07,490154,7,594795,L,572863,R,53,Strikeout,6,6,170407_223213,a5da14ca-5f3f-4109-bf3a-ad822dca1b4e,3,2,0,S,Foul Tip,FF,14,2.0,3.73,1.53,91.1,84.3,55.33,2.78,50.0,5.35,0.88,2.26,6.61,9.01,-7.27,-132.35,-5.08,11.89,24.29,-15.95,32.4,4.8,24.0,2308,143,,,,,,,0,1,-1,bottom
2017-04-07,490154,7,594795,L,467827,L,54,Lineout,2,1,170407_223300,e7c4b159-f9c5-423f-84ce-808ee2cbbb2c,0,0,1,B,Ball,CU,13,2.0,3.4,1.68,73.1,68.0,100.0,2.66,50.0,5.5,-0.93,1.37,1.86,-1.89,-8.05,-106.03,-0.49,2.14,16.68,-34.34,2.4,12.0,24.0,2369,14,,,,,,,0,1,-1,bottom
2017-04-07,490154,7,594795,L,467827,L,54,Lineout,2,2,170407_223322,11baff4a-42cd-4ff3-99de-9f97c0199de3,1,0,1,X,In play- out(s),FF,8,2.0,3.92,1.63,91.7,84.4,31.9,2.64,50.0,5.49,0.12,2.0,6.47,11.29,-8.87,-133.05,-6.97,11.72,25.91,-11.74,37.2,3.6,24.0,2324,150,,,,,,,0,1,-1,bottom
2017-04-07,490154,7,594795,L,453568,L,55,Groundout,6,1,170407_223409,a4c1fdb9-ace1-41f6-9fa7-d2e5f6df2664,0,0,2,S,Called Strike,FF,6,2.0,3.35,1.6,92.7,84.5,54.64,2.62,50.0,5.44,0.46,2.3,6.16,9.62,-7.87,-134.35,-5.59,11.26,29.18,-14.6,31.2,3.6,24.0,2431,147,,,,,,,0,1,-1,bottom
2017-04-07,490154,7,594795,L,453568,L,55,Groundout,6,2,170407_223430,5f098c46-5ec2-45bc-93f1-11ecaf0e1504,0,1,2,S,Swinging Strike,CU,13,2.0,3.87,1.6,77.0,71.2,36.43,2.64,50.0,5.35,-1.19,0.12,3.49,-1.29,-9.43,-111.47,-3.84,4.39,20.1,-33.79,4.8,10.8,24.0,2515,38,,,,,,,0,1,-1,bottom
2017-04-07,490154,7,594795,L,453568,L,55,Groundout,6,3,170407_223502,efa18320-4f9e-4094-b477-517f7196a89e,0,2,2,B,Ball,FF,11,2.0,3.45,1.74,92.0,84.6,55.66,2.44,50.0,5.56,-0.81,3.19,8.5,12.3,-11.52,-133.25,-4.4,15.47,25.38,-9.79,51.6,3.6,24.0,2204,146,,,,,,,0,1,-1,bottom
2017-04-07,490154,7,594795,L,453568,L,55,Groundout,6,4,170407_223526,df05ab6d-5114-432e-bd5e-46d396cb92b4,1,1,2,S,Foul,FF,1,2.0,3.87,1.6,91.9,84.7,45.46,2.6,50.0,5.38,-0.57,3.16,7.09,9.44,-10.83,-133.32,-3.05,12.93,25.17,-14.96,34.8,4.8,24.0,2175,144,,,,,,,0,1,-1,bottom
2017-04-07,490154,7,594795,L,453568,L,55,Groundout,6,5,170407_223556,34a34d19-8c9e-4dc4-b137-dffa58d3a9cf,1,2,2,B,Ball,CU,13,2.0,3.52,1.6,77.2,71.7,11.95,2.63,50.0,5.21,-1.49,-0.1,6.08,-3.4,-10.86,-111.75,-3.49,7.72,19.29,-36.49,9.6,12.0,24.0,2409,44,,,,,,,0,1,-1,bottom
