Date,Game,Inning,Pitcher,Hand,Batter,Stand,AB_ID,Result,AB_Total,AB_Count,Pfx_ID,Play_ID,Balls,Strikes,Outs,Code,Pdes,Type,Zone,Con,SZ_Top,SZ_Bot,Start_Speed,End_Speed,Nasty_Factor,X0,Y0,Z0,PX,PZ,PfxX,PfxZ,VX0,VY0,VZ0,AX,AY,AZ,Break_Angle,Break_Length,Break_Y,Spin_Rate,Spin_Direction,Runner 1B,Runner 2B,Runner 3B,End 1B,End 2B,End 3B,Runs,Outs On Play,Run Diff,Half
2018-03-29,529408,7,500872,R,444876,R,63,Groundout,5,1,180329_224418,573a6f7d-6111-4d0c-87da-18f79b337a6b,0,0,0,B,Ball,FF,13,0.86,3.54,1.58,92.6,84.7,39.52,-1.04,50.0,5.61,-0.28,0.39,-4.65,8.67,3.6,-134.47,-10.73,-8.47,30.37,-16.38,22.8,4.8,24.0,1957,209,,,,,,,0,1,7,bottom
2018-03-29,529408,7,500872,R,444876,R,63,Groundout,5,2,180329_224435,e0d50073-718a-40f5-8e14-e18827236d50,1,1,0,C,Called Strike,FF,4,0.88,3.44,1.56,92.7,85.1,25.6,-1.04,50.0,5.69,-0.34,2.5,-3.76,9.87,3.18,-134.96,-5.89,-6.96,28.44,-13.91,22.8,3.6,24.0,1983,200,,,,,,,0,1,7,bottom
2018-03-29,529408,7,500872,R,444876,R,63,Groundout,5,3,180329_224454,ae3525d4-66af-4338-af10-d8136fa96106,1,1,0,B,Ball,CU,13,0.91,3.44,1.7,81.1,75.0,31.32,-1.27,50.0,5.8,-0.82,0.35,4.69,-6.02,-0.38,-117.97,-3.91,6.58,23.61,-40.61,8.4,12.0,24.0,2648,36,,,,,,,0,1,7,bottom
2018-03-29,529408,7,500872,R,444876,R,63,Groundout,5,4,180329_224516,2382b3de-39a1-4443-8b98-76196c8727e2,2,1,0,B,Ball,FF,14,0.85,3.49,1.68,93.4,86.0,12.53,-0.94,50.0,5.59,1.49,1.24,-3.22,9.32,7.64,-135.67,-8.96,-6.04,28.0,-14.7,15.6,3.6,24.0,2090,195,,,,,,,0,1,7,bottom
2018-03-29,529408,7,500872,R,444876,R,63,Groundout,5,5,180329_224540,6e4cd72b-81d6-44aa-ab2b-7843abc5a043,3,1,0,X,In play- out(s),FF,11,0.88,3.15,1.29,92.9,85.2,46.73,-1.09,50.0,5.74,-0.71,2.69,-2.22,8.93,1.79,-135.16,-5.23,-4.13,28.4,-15.59,13.2,3.6,24.0,2030,193,,,,,,,0,1,7,bottom
2018-03-29,529408,7,500872,R,460077,R,64,Double,8,1,180329_224621,5163feeb-9ee5-4d7c-83e0-ce0d779df5a9,0,0,1,B,Ball,FF,13,0.88,3.24,1.47,93.0,85.0,76.21,-1.08,50.0,5.63,-0.8,1.11,-5.12,9.56,2.51,-135.14,-9.31,-9.44,30.1,-14.53,28.8,3.6,24.0,2079,209,,,,,460077,,0,0,7,bottom
2018-03-29,529408,7,500872,R,460077,R,64,Double,8,2,180329_224644,9da17b2a-842f-43cb-a7d6-61177560e872,1,1,1,F,Foul,FF,4,0.84,3.01,1.19,91.8,83.5,28.41,-1.01,50.0,5.75,-0.28,1.84,-4.77,9.25,3.53,-133.39,-7.28,-8.53,30.63,-15.62,24.0,4.8,24.0,2053,206,,,,,460077,,0,0,7,bottom
2018-03-29,529408,7,500872,R,460077,R,64,Double,8,3,180329_224720,60dc1ed0-8092-4425-9e95-1abf9d028b48,1,2,1,C,Called Strike,SL,14,0.92,3.27,1.5,86.8,80.2,26.57,-1.39,50.0,5.71,0.06,1.47,3.52,0.83,2.48,-126.38,-4.41,5.7,25.12,-30.83,10.8,8.4,24.0,2489,96,,,,,460077,,0,0,7,bottom
2018-03-29,529408,7,500872,R,460077,R,64,Double,8,4,180329_224736,1c60c5ed-f06d-4c6c-946b-4694502746f3,1,2,1,B,Ball,CU,14,0.85,3.09,1.33,82.5,75.3,26.04,-0.95,50.0,5.68,0.69,0.64,1.09,2.42,3.53,-119.9,-5.78,1.57,26.07,-28.69,4.8,8.4,24.0,1580,137,,,,,460077,,0,0,7,bottom
2018-03-29,529408,7,500872,R,460077,R,64,Double,8,5,180329_224801,7d885558-566d-4372-ac4a-49d7d4c47a4c,2,2,1,F,Foul,FF,7,0.88,3.01,1.19,93.4,84.9,30.89,-1.03,50.0,5.69,-0.37,1.68,-4.62,8.96,3.37,-135.7,-7.79,-8.54,31.78,-15.59,24.0,3.6,24.0,2050,207,,,,,460077,,0,0,7,bottom
2018-03-29,529408,7,500872,R,460077,R,64,Double,8,6,180329_224830,c9f348b0-a0f1-4b08-a80d-36caaf167590,2,2,1,F,Foul,FF,4,0.89,3.01,1.19,93.4,85.4,33.98,-0.86,50.0,5.68,-0.58,2.1,-5.05,8.62,2.49,-135.91,-6.62,-9.42,30.38,-16.08,26.4,4.8,24.0,1962,210,,,,,460077,,0,0,7,bottom
2018-03-29,529408,7,500872,R,460077,R,64,Double,8,7,180329_224855,efe84d85-3cb6-43a4-adbb-4f98f3771c96,2,2,1,B,Ball,SL,14,0.8,3.12,1.42,83.9,77.2,30.87,-1.24,50.0,5.74,0.12,1.19,2.72,-1.47,2.43,-122.07,-3.82,4.08,24.84,-34.38,7.2,9.6,24.0,2524,59,,,,,460077,,0,0,7,bottom
2018-03-29,529408,7,500872,R,460077,R,64,Double,8,8,180329_224933,61061200-fae1-4b9e-9874-02941d0c2099,3,2,1,D,In play- no out,FF,13,0.83,3.01,1.19,91.1,83.1,44.13,-1.08,50.0,5.72,-0.9,1.97,-3.07,8.51,1.51,-132.48,-6.51,-5.44,29.49,-17.12,15.6,4.8,24.0,1760,200,,,,,460077,,0,0,7,bottom
2018-03-29,529408,7,500872,R,445055,L,65,Groundout,3,1,180329_225022,737e3aea-8ca6-4ab2-802c-41755e15e572,0,1,1,C,Called Strike,CU,14,0.92,3.5,1.55,80.6,73.4,81.28,-1.52,50.0,5.86,0.76,2.25,4.34,-3.83,3.95,-117.07,-0.15,5.95,24.92,-37.42,9.6,10.8,24.0,2594,53,,460077,,,460077,,0,1,7,bottom
2018-03-29,529408,7,500872,R,445055,L,65,Groundout,3,2,180329_225051,58790379-31df-462a-8e21-efe5ef0c67a2,0,2,1,F,Foul,FF,3,0.85,3.26,1.34,92.6,84.2,33.37,-1.18,50.0,5.76,0.5,2.63,-3.23,9.26,5.56,-134.59,-5.39,-5.9,30.86,-15.3,15.6,3.6,24.0,1952,196,,460077,,,460077,,0,1,7,bottom
2018-03-29,529408,7,500872,R,445055,L,65,Groundout,3,3,180329_225129,e4d55441-2918-46d8-8169-ff129551daf8,0,2,1,X,In play- out(s),FF,11,0.85,3.26,1.34,91.7,83.7,44.75,-1.33,50.0,5.76,-0.36,3.35,-2.35,9.59,3.38,-133.61,-3.52,-4.24,29.34,-14.88,13.2,3.6,24.0,2009,191,,460077,,,460077,,0,1,7,bottom
2018-03-29,529408,7,500872,R,593160,R,66,Flyout,2,1,180329_225212,95e0dcf7-6416-4f65-9cda-1179e9951644,0,1,2,C,Called Strike,CU,4,0.91,3.35,1.58,80.3,73.7,66.6,-1.4,50.0,5.94,-0.33,2.21,6.34,-6.84,0.58,-116.74,0.46,8.69,23.29,-41.56,12.0,12.0,24.0,2517,44,,460077,,,,,0,1,7,bottom
2018-03-29,529408,7,500872,R,593160,R,66,Flyout,2,2,180329_225243,357dabad-3521-4829-b8fa-f1f7faf1125e,0,1,2,X,In play- out(s),CU,7,0.92,3.22,1.31,83.3,76.5,27.63,-1.26,50.0,5.79,-0.27,1.41,5.98,-3.55,0.52,-121.14,-2.6,8.82,25.08,-37.42,13.2,10.8,24.0,2521,58,,460077,,,,,0,1,7,bottom
2018-04-03,529474,8,500872,R,518626,R,73,Walk,6,1,180404_020122,8f3b2d38-cdfa-4aba-98e8-21041ac721ea,0,1,1,C,Called Strike,SL,6,0.91,3.47,1.59,88.2,81.0,53.34,-1.44,50.0,5.84,0.28,2.79,3.42,-0.45,3.22,-128.33,-1.23,5.7,26.7,-32.93,10.8,8.4,24.0,2586,83,,434158,,518626,434158,,0,0,-3,bottom
2018-04-03,529474,8,500872,R,518626,R,73,Walk,6,2,180404_020149,f29eb594-f200-4e8c-939c-b26b3f224dc6,0,2,1,W,Swinging Strike (Blocked),SL,14,0.92,3.31,1.41,86.9,80.1,18.51,-1.21,50.0,5.58,0.33,0.33,3.18,-0.44,2.81,-126.38,-6.48,5.13,26.64,-32.88,9.6,8.4,24.0,,72,,434158,,518626,434158,,0,0,-3,bottom
2018-04-03,529474,8,500872,R,518626,R,73,Walk,6,3,180404_020227,0e280e8e-4015-4250-93ac-ec8df6597529,1,2,1,*B,Ball In Dirt,SL,13,0.92,3.48,1.64,87.2,80.7,23.63,-1.25,50.0,5.61,-0.48,-0.75,0.76,0.03,1.67,-126.68,-9.48,1.23,26.0,-32.12,2.4,8.4,24.0,2650,43,,434158,,518626,434158,,0,0,-3,bottom
2018-04-03,529474,8,500872,R,518626,R,73,Walk,6,4,180404_020308,55e4cd12-25a9-4e09-b389-99ecd5206670,2,2,1,*B,Ball In Dirt,FF,14,0.9,3.46,1.61,96.2,87.3,40.73,-0.87,50.0,5.54,1.04,0.7,-1.57,11.16,5.8,-139.49,-11.39,-3.06,34.24,-10.4,7.2,2.4,24.0,2077,184,,434158,,518626,434158,,0,0,-3,bottom
2018-04-03,529474,8,500872,R,518626,R,73,Walk,6,5,180404_020345,1c99bd35-7820-4132-935d-da783cc8e437,2,2,1,B,Ball,FF,13,0.91,3.53,1.72,97.2,89.5,48.74,-1.08,50.0,5.57,-0.49,1.65,-4.53,9.4,3.31,-141.48,-8.65,-9.23,30.54,-13.0,30.0,3.6,24.0,2225,205,,434158,,518626,434158,,0,0,-3,bottom
2018-04-03,529474,8,500872,R,518626,R,73,Walk,6,6,180404_020427,9ae6e433-bc9f-4992-9539-9d5c3e601855,3,2,1,B,Ball,FF,14,0.9,3.59,1.66,94.1,86.7,14.05,-0.98,50.0,5.54,0.0,0.88,-4.72,10.38,4.31,-136.85,-10.34,-8.99,28.74,-12.38,28.8,3.6,24.0,2086,204,,434158,,518626,434158,,0,0,-3,bottom
2018-04-03,529474,8,500872,R,475253,L,74,Double,5,1,180404_020510,b60659c0-46ae-4f27-8702-580a4f0ac928,0,1,1,F,Foul,FF,2,0.9,3.36,1.51,94.9,87.0,52.59,-1.11,50.0,5.75,-0.23,3.24,-4.56,9.02,4.02,-138.15,-4.16,-8.84,29.92,-14.69,27.6,3.6,24.0,2106,205,518626,434158,,,475253,518626,1,0,-3,bottom
2018-04-03,529474,8,500872,R,475253,L,74,Double,5,2,180404_020541,7219f49c-c7b1-4643-b88b-ed2c7b7a5b81,0,1,1,B,Ball,CH,13,0.7,3.64,1.73,85.6,78.5,13.49,-1.25,50.0,5.72,-2.26,2.54,-4.76,4.44,-0.98,-124.55,-2.68,-7.47,25.15,-25.21,16.8,7.2,24.0,1661,228,518626,434158,,,475253,518626,1,0,-3,bottom
2018-04-03,529474,8,500872,R,475253,L,74,Double,5,3,180404_020612,14eb3ae3-6464-47eb-96db-a3e17d3a62a4,1,2,1,F,Foul,FF,12,0.88,3.36,1.51,93.7,85.3,45.51,-0.99,50.0,5.57,1.08,2.49,-3.11,10.23,6.64,-136.4,-5.86,-5.82,31.64,-13.01,16.8,3.6,24.0,2196,193,518626,434158,,,475253,518626,1,0,-3,bottom
2018-04-03,529474,8,500872,R,475253,L,74,Double,5,4,180404_020658,673d96c2-e84e-4267-8b56-ea1323b0e329,1,2,1,B,Ball,FF,13,0.89,3.55,1.59,93.7,85.8,40.21,-1.33,50.0,5.74,-0.74,2.51,-2.74,8.19,2.54,-136.26,-5.55,-5.16,29.71,-16.77,14.4,3.6,24.0,2102,197,518626,434158,,,475253,518626,1,0,-3,bottom
2018-04-03,529474,8,500872,R,475253,L,74,Double,5,5,180404_020803,b69c169a-e2b6-43f8-ac5c-288c03c538e0,2,2,1,E,In play- run(s),FF,5,0.9,3.28,1.43,94.6,86.2,23.98,-1.04,50.0,5.6,0.22,2.5,-3.45,9.64,4.62,-137.58,-5.87,-6.58,31.75,-13.78,20.4,3.6,24.0,2135,197,518626,434158,,,475253,518626,1,0,-3,bottom
2018-04-03,529474,8,500872,R,545341,R,76,Sac Fly,4,1,180404_020931,cf273cdb-ed9f-4fc9-83aa-5f9884402967,0,0,1,B,Ball,FF,12,0.89,3.24,1.44,94.7,87.2,30.79,-0.81,50.0,5.77,1.55,2.39,-3.07,9.36,7.52,-137.71,-6.64,-5.94,28.46,-14.07,15.6,3.6,24.0,2194,194,500208,475253,518626,500208,,475253,1,1,-4,bottom
2018-04-03,529474,8,500872,R,545341,R,76,Sac Fly,4,2,180404_020957,ada85d6d-c930-4afc-841b-48af0936c9e5,1,0,1,B,Ball,FF,12,0.88,2.93,1.37,93.3,85.7,59.7,-0.86,50.0,5.74,0.76,3.16,-2.89,9.4,5.36,-135.73,-4.23,-5.42,27.99,-14.53,15.6,3.6,24.0,2091,194,500208,475253,518626,500208,,475253,1,1,-4,bottom
