Date, Game, Inning, Pitcher, Hand, Batter, Stand, AB_ID, Result, AB_Total, AB_Count, Pfx_ID, Play_ID, Balls, Strikes, Outs, Code, Pdes, Type, Zone, Con, SZ_Top, SZ_Bot, Start_Speed, End_Speed, Nasty_Factor, X0, Y0, Z0, PX, PZ, PfxX, PfxZ, VX0, VY0, VZ0, AX, AY, AZ, Break_Angle, Break_Length, Break_Y, Spin_Rate, Spin_Direction, Runner 1B, Runner 2B, Runner 3B, End 1B, End 2B, End 3B, Runs, Outs On Play, Run Diff, Half
2018-04-01,529445,1,584171,R,452655,L,4,Lineout,7,1,180401_172349,c94aaeb0-3e58-4d51-bbb5-34bb03feb086,0,0,0,S,Called Strike,FF,1,2.0,3.29,1.72,89.4,81.7,51.78,-1.35,50.0,5.66,-0.29,3.08,-6.04,9.07,4.73,-130.2,-3.4,-10.35,27.67,-16.63,28.8,4.8,24.0,1993,211,,,,,,,0,1,0,bottom
2018-04-01,529445,1,584171,R,452655,L,4,Lineout,7,2,180401_172406,36b98bff-26f4-480c-8f6b-8f39078434bf,0,1,0,S,Called Strike,FF,6,2.0,3.34,1.64,90.7,82.9,37.71,-1.16,50.0,5.51,0.66,2.55,-5.84,9.36,6.7,-131.94,-4.7,-10.29,28.15,-15.67,27.6,4.8,24.0,2060,209,,,,,,,0,1,0,bottom
2018-04-01,529445,1,584171,R,452655,L,4,Lineout,7,3,180401_172425,8e5bb3da-278a-457a-b182-db6ff7a46c27,0,2,0,B,Ball,FF,11,2.0,3.36,1.6,91.1,82.8,25.71,-1.34,50.0,5.81,-0.34,5.31,-5.59,8.2,4.5,-132.57,2.05,-9.9,29.38,-17.64,27.6,4.8,24.0,2154,210,,,,,,,0,1,0,bottom
2018-04-01,529445,1,584171,R,452655,L,4,Lineout,7,4,180401_172444,677bf636-38f2-4cae-9771-dead9eb875b9,1,1,0,S,Foul,FF,12,2.0,3.2,1.5,91.6,83.5,33.43,-1.34,50.0,5.55,0.02,3.3,-6.42,8.7,5.79,-133.29,-2.75,-11.52,29.47,-16.57,31.2,4.8,24.0,2098,213,,,,,,,0,1,0,bottom
2018-04-01,529445,1,584171,R,452655,L,4,Lineout,7,5,180401_172510,e2265955-d322-4a8e-90b5-26d947ed4dc3,1,1,0,S,Foul,FF,2,2.0,3.2,1.5,91.9,83.9,34.87,-1.24,50.0,5.57,0.13,3.19,-6.24,7.23,5.75,-133.79,-2.65,-11.3,29.37,-19.09,27.6,4.8,24.0,1949,218,,,,,,,0,1,0,bottom
2018-04-01,529445,1,584171,R,452655,L,4,Lineout,7,6,180401_172539,f36efc22-353d-4015-aaa1-d66de2263577,1,2,0,B,Ball,FF,11,2.0,3.36,1.68,92.7,84.8,38.11,-1.16,50.0,5.6,-0.71,3.9,-4.94,9.76,2.91,-134.98,-1.9,-9.14,28.79,-14.12,30.0,3.6,24.0,2137,205,,,,,,,0,1,0,bottom
2018-04-01,529445,1,584171,R,452655,L,4,Lineout,7,7,180401_172606,bfe31c11-16d9-42c1-bbff-9d9b2a69c6fa,2,2,0,X,In play- out(s),CH,13,2.0,3.2,1.5,84.9,78.9,26.8,-1.27,50.0,5.43,-0.46,1.0,-5.51,2.0,3.73,-123.66,-4.94,-8.6,22.58,-29.05,14.4,8.4,24.0,1475,252,,,,,,,0,1,0,bottom
2018-04-01,529445,1,584171,R,595281,L,5,Flyout,1,1,180401_172652,58af6836-7113-4ab5-b1e8-32593edbe4c6,0,0,1,X,In play- out(s),CH,4,2.0,3.4,1.52,85.0,78.5,43.73,-1.24,50.0,5.65,-0.24,2.59,-5.78,3.17,4.29,-123.81,-1.94,-9.03,23.26,-27.22,16.8,7.2,24.0,1332,239,,,,,,,0,1,0,bottom
2018-04-01,529445,1,584171,R,460576,R,6,Groundout,1,1,180401_172736,b0dd2b32-9d06-46f9-b2c3-2ee3ff69e8a6,0,0,2,X,In play- out(s),SI,4,2.0,3.52,1.53,90.4,83.0,50.33,-1.32,50.0,5.52,-0.69,2.51,-9.52,5.26,4.86,-131.69,-3.41,-16.75,27.57,-22.92,33.6,6.0,24.0,2034,240,,,,,,,0,1,0,bottom
2018-04-01,529445,2,584171,R,543543,L,12,Home Run,1,1,180401_174317,0b0480ce-e0c7-4ef9-b02e-f6ce647f008b,0,0,0,X,In play- run(s),FF,12,2.0,3.28,1.43,90.8,83.4,64.88,-1.25,50.0,5.67,0.73,2.9,-6.41,8.95,7.35,-132.15,-4.11,-11.38,26.97,-16.27,30.0,4.8,24.0,2018,212,,,,,,,1,0,0,bottom
2018-04-01,529445,2,584171,R,622110,R,13,Single,1,1,180401_174403,b5bfaba9-2179-4821-8385-8786df96f93a,0,0,0,X,In play- no out,SI,8,2.0,3.47,1.59,88.9,81.4,39.25,-1.24,50.0,5.48,-0.1,2.03,-8.93,5.76,5.87,-129.34,-4.41,-15.11,27.26,-22.43,31.2,6.0,24.0,1998,236,,,,622110,,,0,0,-1,bottom
2018-04-01,529445,2,584171,R,621563,L,14,Pop Out,2,1,180401_174440,cbf798a1-bc67-4b85-bf6a-74a4c3cbbe63,0,0,0,B,Ball,CH,13,2.0,3.28,1.55,85.1,77.8,44.65,-1.14,50.0,5.55,-0.34,0.88,-8.74,-0.85,4.72,-123.71,-4.47,-13.4,26.98,-33.48,20.4,9.6,24.0,1221,279,622110,,,,,,0,1,-1,bottom
2018-04-01,529445,2,584171,R,621563,L,14,Pop Out,2,2,180401_174501,1d66ddab-64a5-48ef-9634-8cdbb9b69339,1,0,0,X,In play- out(s),SI,6,2.0,3.19,1.45,90.7,82.9,36.52,-1.06,50.0,5.53,0.35,2.09,-9.79,4.43,6.97,-131.9,-4.26,-17.2,28.79,-24.4,32.4,7.2,24.0,2128,245,622110,,,,,,0,1,-1,bottom
2018-04-01,529445,2,584171,R,467092,R,15,Single,4,1,180401_174549,c497b02d-8375-4bb0-9072-e2600c9655bd,0,0,1,B,Ball,SI,11,2.0,3.44,1.55,90.7,82.5,30.76,-1.51,50.0,5.42,-1.39,2.73,-10.47,2.77,3.84,-131.98,-1.73,-18.32,30.21,-27.33,32.4,7.2,24.0,2048,254,,,,467092,622110,,0,0,-1,bottom
2018-04-01,529445,2,584171,R,467092,R,15,Single,4,2,180401_174614,94580e7d-3370-4601-80aa-8342c1432fa5,1,0,1,S,Swinging Strike,SI,13,2.0,3.36,1.41,88.5,81.1,60.39,-1.21,50.0,5.51,-0.64,1.29,-10.04,3.5,4.76,-128.74,-5.54,-16.78,27.7,-26.32,30.0,7.2,24.0,1959,252,,,,467092,622110,,0,0,-1,bottom
