Date,Game,Inning,Pitcher,Hand,Batter,Stand,AB_ID,Result,AB_Total,AB_Count,Pfx_ID,Play_ID,Balls,Strikes,Outs,Code,Pdes,Type,Zone,Con,SZ_Top,SZ_Bot,Start_Speed,End_Speed,Nasty_Factor,X0,Y0,Z0,PX,PZ,PfxX,PfxZ,VX0,VY0,VZ0,AX,AY,AZ,Break_Angle,Break_Length,Break_Y,Spin_Rate,Spin_Direction,Runner 1B,Runner 2B,Runner 3B,End 1B,End 2B,End 3B,Runs,Outs On Play,Run Diff,Half
2018-03-29,529416,6,571948,L,518692,L,47,Home Run,7,1,180329_220737,5998d2fd-078f-4fb7-830d-29b608a37779,0,1,1,F,Foul,SI,12,2.0,3.5,1.56,89.5,81.1,64.64,3.27,50.0,4.91,0.87,3.0,11.33,4.16,-9.9,-129.85,0.05,19.2,29.05,-25.13,33.6,7.2,24.0,2060,113,,542255,,,,,2,0,5,bottom
2018-03-29,529416,6,571948,L,518692,L,47,Home Run,7,2,180329_220802,f586ce89-7114-4b24-a963-9dc5a139bfc9,0,2,1,F,Foul,SI,3,2.0,3.5,1.56,89.1,80.4,46.08,3.38,50.0,4.8,0.53,3.03,11.94,7.22,-11.18,-129.16,-0.55,19.96,29.42,-20.1,40.8,6.0,24.0,2162,125,,542255,,,,,2,0,5,bottom
2018-03-29,529416,6,571948,L,518692,L,47,Home Run,7,3,180329_220823,a949ab1e-99bb-42b3-a6d0-938937f79f87,1,2,1,*B,Ball In Dirt,CU,13,2.0,3.5,1.56,78.4,72.9,4.53,3.24,50.0,4.57,-3.14,0.56,-3.36,-2.14,-13.34,-113.56,-1.19,-4.4,20.46,-34.97,10.8,10.8,24.0,1997,292,,542255,,,,,2,0,5,bottom
2018-03-29,529416,6,571948,L,518692,L,47,Home Run,7,4,180329_220853,3e1d05f6-9627-45af-bc70-10ca253c6a0e,1,2,1,F,Foul,SI,3,2.0,3.5,1.56,89.4,81.7,34.04,3.31,50.0,4.82,0.42,3.3,7.97,3.15,-10.07,-129.78,1.34,13.61,26.71,-26.78,24.0,7.2,24.0,2171,117,,542255,,,,,2,0,5,bottom
2018-03-29,529416,6,571948,L,518692,L,47,Home Run,7,5,180329_220913,3f23dba0-6aac-4aad-9313-838c69c348db,2,2,1,*B,Ball In Dirt,CU,13,2.0,3.5,1.7,77.7,71.6,4.53,3.26,50.0,4.14,-4.46,-0.39,-3.26,-4.0,-16.06,-112.13,-1.51,-4.09,22.74,-37.2,9.6,12.0,24.0,1957,304,,542255,,,,,2,0,5,bottom
2018-03-29,529416,6,571948,L,518692,L,47,Home Run,7,6,180329_220939,c16cf86e-3293-4fa0-8612-5d7dc0ee7fc0,3,2,1,*B,Ball In Dirt,CU,13,2.0,3.32,1.56,77.2,71.5,20.95,3.58,50.0,4.59,-0.52,0.6,-6.46,-4.27,-7.22,-112.25,-0.34,-8.22,20.89,-37.6,14.4,12.0,24.0,1963,298,,542255,,,,,2,0,5,bottom
2018-03-29,529416,6,571948,L,518692,L,47,Home Run,7,7,180329_221005,510d39b3-532e-4feb-9fa8-5d3f0dbe16b0,3,2,1,E,In play- run(s),SI,6,2.0,3.5,1.56,90.6,83.8,20.69,3.34,50.0,4.81,0.4,2.47,7.1,5.66,-10.1,-131.72,-1.88,12.64,24.53,-22.1,25.2,6.0,24.0,2152,132,,542255,,,,,2,0,5,bottom
2018-03-29,529416,6,571948,L,455976,L,48,Groundout,1,1,180329_221055,e99c4aef-07f3-46a7-9a87-c6982d2e3233,0,0,1,X,In play- out(s),SI,5,2.0,3.5,1.56,90.3,81.8,29.44,3.38,50.0,4.84,-0.03,2.43,9.65,3.1,-11.99,-130.94,-0.99,16.6,30.01,-26.85,27.6,7.2,24.0,2206,111,,,,,,,0,1,3,bottom
2018-03-30,529428,5,571948,L,518692,L,42,Walk,5,1,180331_012023,5884f709-3a9b-40e3-ad2b-d27e18a07f29,0,1,2,F,Foul,CU,13,2.0,3.5,1.56,75.7,70.1,87.71,3.41,50.0,4.9,-0.83,2.04,-9.14,-1.66,-6.64,-110.15,1.64,-11.23,19.5,-34.22,19.2,12.0,24.0,1883,276,,,,518692,,,0,0,0,bottom
2018-03-30,529428,5,571948,L,518692,L,42,Walk,5,2,180331_012042,12796137-a0f5-4fa7-8909-6f7d1a170247,0,1,2,B,Ball,SI,11,2.0,3.55,1.7,88.7,80.7,49.4,3.25,50.0,4.86,-0.95,3.39,7.04,7.7,-12.97,-128.48,0.06,11.75,26.83,-19.31,25.2,4.8,24.0,2042,145,,,,518692,,,0,0,0,bottom
2018-03-30,529428,5,571948,L,518692,L,42,Walk,5,3,180331_012107,b01c3b96-18bf-4e60-8bb6-7ba358efc552,1,1,2,B,Ball,SI,12,2.0,3.61,1.72,88.3,81.1,38.85,3.34,50.0,4.87,0.57,4.15,8.33,4.93,-9.78,-128.27,2.87,14.0,24.38,-23.89,27.6,6.0,24.0,2010,126,,,,518692,,,0,0,0,bottom
2018-03-30,529428,5,571948,L,518692,L,42,Walk,5,4,180331_012120,9b94341a-aa0d-421c-845a-db650c268b72,2,1,2,B,Ball,CU,13,2.0,3.57,1.75,77.2,71.9,22.45,3.25,50.0,4.69,-2.41,1.66,-5.54,-0.23,-10.95,-111.96,0.6,-7.08,18.71,-32.46,14.4,10.8,24.0,1965,269,,,,518692,,,0,0,0,bottom
2018-03-30,529428,5,571948,L,518692,L,42,Walk,5,5,180331_012139,4983cc89-127c-425d-866a-5a0dea85ccda,3,1,2,B,Ball,SI,13,2.0,3.59,1.82,89.1,82.0,38.36,3.34,50.0,4.81,-1.0,2.54,8.74,5.95,-14.02,-129.19,-1.51,14.9,24.83,-22.03,28.8,6.0,24.0,2018,129,,,,518692,,,0,0,0,bottom
2018-03-30,529428,5,571948,L,455976,L,43,Flyout,1,1,180331_012229,bdc9e84c-acde-4b8b-a735-2ee466bac716,0,0,2,X,In play- out(s),SI,14,2.0,3.5,1.56,88.4,81.5,66.78,3.31,50.0,4.85,0.87,1.95,10.25,1.09,-9.59,-128.39,-1.41,17.25,24.56,-30.34,26.4,8.4,24.0,1906,96,518692,,,,,,0,1,0,bottom
2018-03-31,529440,3,571948,L,518692,L,35,Field Error,4,1,180401_003335,fff1634d-3b4e-4cf1-8c04-5bd782ab93ea,0,0,2,B,Ball,SI,14,2.0,3.5,1.69,88.2,80.2,28.74,3.32,50.0,4.89,1.97,2.48,11.2,0.14,-7.09,-128.15,0.25,18.5,28.07,-31.95,27.6,8.4,24.0,1964,91,542255,435221,,518692,542255,435221,0,0,-3,bottom
2018-03-31,529440,3,571948,L,518692,L,35,Field Error,4,2,180401_003357,72964644-03ad-4f7d-a1ff-f63f2293b4db,1,1,2,C,Called Strike,SI,2,2.0,3.58,1.75,88.0,80.0,36.71,3.29,50.0,4.96,0.2,3.24,12.1,1.35,-11.73,-127.55,1.64,19.86,27.1,-29.96,30.0,8.4,24.0,2030,99,542255,435221,,518692,542255,435221,0,0,-3,bottom
2018-03-31,529440,3,571948,L,518692,L,35,Field Error,4,3,180401_003416,d18d26c0-e768-4ad9-a487-3fcbc1775943,1,2,2,F,Foul,SI,6,2.0,3.5,1.56,88.5,80.8,37.86,3.36,50.0,4.93,0.5,2.61,11.46,1.83,-11.01,-128.5,-0.13,19.13,27.07,-29.13,30.0,8.4,24.0,1991,100,542255,435221,,518692,542255,435221,0,0,-3,bottom
2018-03-31,529440,3,571948,L,518692,L,35,Field Error,4,4,180401_003439,cf847342-7778-4d5a-9e7f-ead6d4a468e6,1,2,2,D,In play- no out,SI,12,2.0,3.5,1.56,89.4,81.0,56.34,3.23,50.0,4.94,1.25,3.06,11.99,1.64,-9.03,-129.76,0.97,20.27,29.27,-29.4,32.4,8.4,24.0,1985,100,542255,435221,,518692,542255,435221,0,0,-3,bottom
2018-03-31,529440,3,571948,L,455976,L,36,Single,1,1,180401_003535,f5552499-0702-4219-b236-a5abc8bdb350,0,0,2,E,In play- run(s),SI,12,2.0,3.5,1.56,88.0,80.8,59.35,3.36,50.0,5.0,1.13,2.77,11.23,2.21,-9.35,-127.84,0.0,18.68,25.05,-28.49,31.2,8.4,24.0,2082,103,518692,542255,435221,455976,,518692,2,0,-3,bottom
2018-03-31,529440,3,571948,L,605512,L,37,Groundout,5,1,180401_003623,f46202b7-9d4b-40d6-92b8-5e600cbd6054,0,1,2,F,Foul,SI,9,2.0,3.24,1.41,89.9,82.5,50.27,3.36,50.0,4.82,0.3,1.61,11.43,1.13,-11.7,-130.36,-2.43,19.74,26.35,-30.23,30.0,8.4,24.0,2103,95,455976,,518692,,,,0,1,-5,bottom
