Date, Game, Inning, Pitcher, Hand, Batter, Stand, AB_ID, Result, AB_Total, AB_Count, Pfx_ID, Play_ID, Balls, Strikes, Outs, Code, Pdes, Type, Zone, Con, SZ_Top, SZ_Bot, Start_Speed, End_Speed, Nasty_Factor, X0, Y0, Z0, PX, PZ, PfxX, PfxZ, VX0, VY0, VZ0, AX, AY, AZ, Break_Angle, Break_Length, Break_Y, Spin_Rate, Spin_Direction, Runner 1B, Runner 2B, Runner 3B, End 1B, End 2B, End 3B, Runs, Outs On Play, Run Diff, Half
2017-04-02,490110,8,519326,R,630111,R,65,Groundout,4,1,170402_225749,805cb36a-fe0c-46a3-9491-f771c2641091,0,0,2,S,Swinging Strike,SL,14,2.0,4.0,1.58,84.0,76.7,93.63,-2.77,50.0,5.89,0.9,1.59,1.1,-1.0,8.42,-121.71,-3.28,1.64,26.02,-33.67,4.8,9.6,24.0,2720,44,,,572008,,,,0,1,0,bottom
2017-04-02,490110,8,519326,R,630111,R,65,Groundout,4,2,170402_225811,f2166079-1bcb-4369-b4c9-989124cfe657,0,1,2,S,Swinging Strike,SL,14,2.0,4.0,1.58,83.3,76.1,34.76,-2.69,50.0,5.86,0.65,1.05,1.44,-1.36,7.48,-120.66,-4.2,2.09,25.96,-34.15,6.0,9.6,24.0,2847,41,,,572008,,,,0,1,0,bottom
2017-04-02,490110,8,519326,R,630111,R,65,Groundout,4,3,170402_225836,41d8a20c-e316-4614-9743-c0ab7435a3f8,0,2,2,B,Ball In Dirt,SL,14,2.0,3.87,1.69,82.7,76.2,40.96,-2.63,50.0,5.75,1.18,0.88,3.89,-2.98,7.8,-119.95,-3.78,5.63,24.55,-36.49,10.8,10.8,24.0,2723,49,,,572008,,,,0,1,0,bottom
2017-04-02,490110,8,519326,R,630111,R,65,Groundout,4,4,170402_225908,a0462d45-300e-4611-8bd6-8af4c85e1354,1,2,2,X,In play- out(s),FT,14,2.0,3.9,1.77,98.1,89.7,46.88,-2.44,50.0,5.74,0.15,1.61,-6.33,8.81,9.57,-142.06,-9.07,-12.95,32.03,-14.15,33.6,3.6,24.0,2443,216,,,572008,,,,0,1,0,bottom
2017-04-05,490118,9,519326,R,543302,L,82,Groundout,2,1,170405_045743,3434ed9c-1abc-4aa4-953a-5c8006927fa8,0,0,0,B,Ball,FF,13,2.0,3.91,1.83,97.1,88.7,67.69,-2.57,50.0,5.93,-1.28,2.59,-3.23,10.4,4.77,-141.18,-7.3,-6.52,32.24,-11.18,22.8,2.4,24.0,2274,195,,,,,,,0,1,4,bottom
2017-04-05,490118,9,519326,R,543302,L,82,Groundout,2,2,170405_045804,84014ed1-80ca-43b7-87ef-16e42ba4546f,1,0,0,X,In play- out(s),FT,8,2.0,3.97,1.56,96.7,88.6,40.98,-2.44,50.0,5.8,0.06,1.84,-8.14,8.98,9.88,-140.36,-8.42,-16.3,30.85,-14.21,42.0,4.8,24.0,2270,220,,,,,,,0,1,4,bottom
2017-04-05,490118,9,519326,R,571757,L,83,Walk,8,1,170405_045846,e71d2102-2179-4521-991b-f2c1d823f6d3,0,0,1,S,Called Strike,FT,13,2.0,3.57,1.73,96.5,87.9,64.05,-2.45,50.0,5.82,-1.17,2.24,-7.48,10.65,6.21,-140.17,-7.91,-14.83,32.71,-11.06,45.6,3.6,24.0,2270,214,,,,571757,,,0,0,4,bottom
2017-04-05,490118,9,519326,R,571757,L,83,Walk,8,2,170405_045905,300e27f3-79de-47d8-a436-6813395bf959,0,1,1,S,Swinging Strike,CH,7,2.0,3.81,1.56,90.2,82.4,45.25,-2.45,50.0,6.0,-0.55,2.07,-10.59,5.84,8.45,-130.86,-5.88,-18.33,28.18,-22.07,36.0,7.2,24.0,1523,241,,,,571757,,,0,0,4,bottom
2017-04-05,490118,9,519326,R,571757,L,83,Walk,8,3,170405_045927,82db0569-2c96-4c05-9c1b-0336b847fb2d,0,2,1,B,Ball,SL,14,2.0,3.58,1.78,84.4,77.5,39.59,-2.79,50.0,5.65,0.73,0.07,-0.49,-0.62,8.62,-122.33,-6.56,-0.73,25.94,-33.1,1.2,9.6,24.0,,28,,,,571757,,,0,0,4,bottom
2017-04-05,490118,9,519326,R,571757,L,83,Walk,8,4,170405_045958,9e3bd999-baca-4ef0-baf0-883cf4ec3827,1,1,1,S,Foul,FT,7,2.0,3.81,1.56,95.7,87.4,45.4,-2.44,50.0,5.81,-0.34,2.01,-8.94,9.31,8.92,-138.87,-7.86,-17.47,31.07,-13.99,44.4,4.8,24.0,2409,222,,,,571757,,,0,0,4,bottom
2017-04-05,490118,9,519326,R,571757,L,83,Walk,8,5,170405_050027,8fab8d82-09ca-426c-a281-1c3274a2c2c7,1,2,1,B,Ball,CH,14,2.0,3.61,1.83,91.4,84.0,25.84,-2.3,50.0,5.83,0.26,0.69,-9.73,9.68,10.03,-132.4,-10.62,-17.34,27.16,-14.93,42.0,4.8,24.0,1725,224,,,,571757,,,0,0,4,bottom
2017-04-05,490118,9,519326,R,571757,L,83,Walk,8,6,170405_050050,46a14821-4752-4fca-9967-182a1ba58774,2,1,1,S,Foul,SL,13,2.0,3.81,1.56,83.1,75.9,48.33,-2.94,50.0,5.85,-0.43,1.22,1.75,1.99,5.41,-120.7,-4.79,2.55,26.01,-29.27,7.2,8.4,24.0,2653,120,,,,571757,,,0,0,4,bottom
