Date,Game,Inning,Pitcher,Hand,Batter,Stand,AB_ID,Result,AB_Total,AB_Count,Pfx_ID,Play_ID,Balls,Strikes,Outs,Code,Pdes,Type,Zone,Con,SZ_Top,SZ_Bot,Start_Speed,End_Speed,Nasty_Factor,X0,Y0,Z0,PX,PZ,PfxX,PfxZ,VX0,VY0,VZ0,AX,AY,AZ,Break_Angle,Break_Length,Break_Y,Spin_Rate,Spin_Direction,Runner 1B,Runner 2B,Runner 3B,End 1B,End 2B,End 3B,Runs,Outs On Play,Run Diff,Half
2017-04-07,490154,1,547943,L,453568,L,6,Strikeout,3,1,170407_202636,32892105-81c6-4465-82e1-b4ad7299c743,0,1,0,C,Called Strike,FF,4,2.0,3.63,1.74,89.2,82.3,51.98,2.12,50.0,5.9,-0.38,2.49,6.36,9.42,-8.55,-129.48,-5.63,10.92,24.14,-16.0,28.8,4.8,24.0,2106,146,,,,453568,,,0,0,0,bottom
2017-04-07,490154,1,547943,L,453568,L,6,Strikeout,3,2,170407_202655,4948f536-384e-44bb-998b-cd9531795796,0,2,0,C,Called Strike,FF,7,2.0,3.57,1.76,90.2,83.6,55.17,1.99,50.0,5.73,-0.71,2.05,6.93,8.81,-9.36,-130.84,-6.36,12.2,23.48,-16.66,31.2,4.8,24.0,2156,141,,,,453568,,,0,0,0,bottom
2017-04-07,490154,1,547943,L,453568,L,6,Strikeout,3,3,170407_202718,d187be72-2b9f-4e9e-91a3-191716e9d543,0,2,0,S,Swinging Strike,FC,13,2.0,3.87,1.6,87.8,81.2,51.42,1.99,50.0,5.71,-0.93,0.58,2.69,5.52,-8.25,-127.26,-8.35,4.45,24.23,-23.05,7.2,6.0,24.0,2151,155,,,,453568,,,0,0,0,bottom
2017-04-07,490154,1,547943,L,518934,R,7,Single,2,1,170407_202806,c115fd3e-b8c2-46ce-a1ad-49f6fde99392,0,1,0,C,Called Strike,FF,8,2.0,4.01,2.06,89.2,82.3,50.64,2.17,50.0,5.75,-0.13,2.43,5.77,8.79,-7.82,-129.45,-5.22,9.9,24.19,-17.09,25.2,4.8,24.0,2098,146,453568,,,518934,,,0,1,0,bottom
2017-04-07,490154,1,547943,L,518934,R,7,Single,2,2,170407_202841,38f07c89-62f9-43fc-a293-82cf6f98b6c9,0,1,0,D,In play- no out,FT,7,2.0,3.87,1.6,90.4,83.7,55.37,2.11,50.0,5.68,-0.42,1.71,7.39,8.15,-9.11,-131.17,-6.9,13.05,24.21,-17.78,31.2,4.8,24.0,2105,136,453568,,,518934,,,0,1,0,bottom
2017-04-07,490154,1,547943,L,471865,L,8,Single,2,1,170407_202937,2401e1fa-c856-4ef9-8b3c-84721cf748b7,0,0,1,B,Ball,FT,11,2.0,3.53,1.96,88.3,82.0,51.93,2.4,50.0,5.81,-0.13,3.77,6.65,7.24,-8.67,-128.28,-1.32,11.31,21.41,-19.86,26.4,4.8,24.0,2054,138,518934,,,471865,518934,,0,0,0,bottom
2017-04-07,490154,1,547943,L,471865,L,8,Single,2,2,170407_203003,70fe97df-5c9a-47aa-ad0e-9cfedfb47708,1,0,1,D,In play- no out,FF,6,2.0,3.79,1.56,90.1,83.8,41.12,2.29,50.0,5.71,0.52,2.54,4.87,8.29,-6.28,-131.05,-4.91,8.62,22.85,-17.5,22.8,4.8,24.0,2165,149,518934,,,471865,518934,,0,0,0,bottom
2017-04-07,490154,1,547943,L,571448,R,9,Double,2,1,170407_203119,c68e74a9-891b-47e0-9815-e75fccccbe1e,0,0,1,B,Ball,FC,14,2.0,3.95,2.13,86.0,80.4,41.01,2.24,50.0,5.89,1.61,2.58,-1.02,3.14,-1.23,-125.32,-2.85,-1.66,20.45,-27.08,3.6,7.2,24.0,2146,207,471865,518934,,,571448,471865,1,0,0,bottom
2017-04-07,490154,1,547943,L,571448,R,9,Double,2,2,170407_203142,44b95d3f-cd16-45fd-bb70-7b14d8b0bc1b,1,0,1,E,In play- run(s),FF,5,2.0,3.79,1.56,91.1,84.3,19.71,2.23,50.0,5.63,0.06,2.59,4.82,8.06,-7.36,-132.43,-4.63,8.68,24.5,-17.66,21.6,4.8,24.0,2149,149,471865,518934,,,571448,471865,1,0,0,bottom
2017-04-07,490154,1,547943,L,596115,R,10,Pop Out,2,1,170407_203250,2dc90811-cbd7-4643-9439-e98c7f613a11,0,0,1,B,Ball,FF,13,2.0,3.87,2.08,90.5,83.8,64.56,1.99,50.0,5.71,-0.74,2.78,7.51,8.84,-9.68,-131.31,-4.51,13.35,23.28,-16.47,33.6,4.8,24.0,2143,139,,571448,471865,,571448,471865,0,1,-1,bottom
2017-04-07,490154,1,547943,L,596115,R,10,Pop Out,2,2,170407_203313,afb61b06-407b-4205-8374-9534b2576b0c,1,0,1,X,In play- out(s),CH,6,2.0,3.79,1.56,82.2,76.3,32.06,2.28,50.0,5.71,0.29,2.33,5.59,8.24,-6.43,-119.51,-3.8,8.21,19.73,-20.08,19.2,6.0,24.0,1477,145,,571448,471865,,571448,471865,0,1,-1,bottom
2017-04-07,490154,1,547943,L,448602,R,11,Strikeout,4,1,170407_203355,342bed3e-840b-4a85-8dcd-988fc72199d4,0,1,2,C,Called Strike,CU,5,2.0,3.9,1.99,72.0,67.0,65.86,2.04,50.0,6.08,0.19,2.76,-5.68,-3.68,-2.3,-104.65,1.88,-6.36,16.19,-36.29,10.8,13.2,24.0,2429,306,,571448,471865,,,,0,1,-1,bottom
2017-04-07,490154,1,547943,L,448602,R,11,Strikeout,4,2,170407_203417,efc3eb2a-f578-4bfb-99d4-8b77c98f89dc,0,1,2,S,Swinging Strike,FF,12,2.0,3.79,1.56,91.8,84.3,50.24,2.26,50.0,5.75,0.45,3.87,6.25,10.03,-6.92,-133.42,-2.32,11.36,26.37,-13.93,34.8,3.6,24.0,2167,148,,571448,471865,,,,0,1,-1,bottom
2017-04-07,490154,1,547943,L,448602,R,11,Strikeout,4,3,170407_203441,cedf2601-c7f7-4972-b1fe-613554d9eaaf,0,2,2,F,Foul,CH,14,2.0,3.79,1.56,82.1,76.6,40.02,2.16,50.0,5.46,0.13,1.26,6.36,3.48,-6.78,-119.49,-4.28,9.33,19.76,-27.06,16.8,8.4,24.0,1453,112,,571448,471865,,,,0,1,-1,bottom
2017-04-07,490154,1,547943,L,448602,R,11,Strikeout,4,4,170407_203508,2e67ed69-c5bc-4439-be9b-5f9961ef10a7,0,2,2,S,Swinging Strike,FF,11,2.0,3.79,1.56,91.2,83.5,45.64,2.14,50.0,5.71,-0.15,3.9,7.25,9.88,-8.47,-132.34,-1.97,12.94,26.53,-14.54,37.2,4.8,24.0,2136,144,,571448,471865,,,,0,1,-1,bottom
2017-04-07,490154,2,547943,L,506924,R,15,Field Error,5,1,170407_204430,84754527-a3e2-4a26-ab7a-259d256580c0,0,1,0,C,Called Strike,FF,14,2.0,3.61,1.93,89.5,83.6,62.9,2.23,50.0,5.75,0.26,1.82,4.01,6.16,-6.47,-130.13,-6.06,7.02,21.81,-21.39,15.6,4.8,24.0,2108,145,,,,506924,,,0,0,-1,bottom
2017-04-07,490154,2,547943,L,506924,R,15,Field Error,5,2,170407_204450,cacef648-33d0-4143-9a28-3dcfd7490593,0,1,0,S,Swinging Strike,FC,14,2.0,3.39,1.88,80.2,75.1,68.51,2.44,50.0,5.64,1.27,1.75,3.62,5.22,-3.83,-116.8,-3.71,5.1,17.75,-24.81,10.8,7.2,24.0,1493,141,,,,506924,,,0,0,-1,bottom
2017-04-07,490154,2,547943,L,506924,R,15,Field Error,5,3,170407_204513,7966e418-93c0-452d-9a78-24b91bb81350,0,2,0,B,Ball,FF,12,2.0,3.42,1.76,88.7,82.4,31.81,2.29,50.0,5.87,0.45,4.3,4.54,7.47,-6.23,-129.04,-0.26,7.81,21.93,-19.33,19.2,4.8,24.0,2102,150,,,,506924,,,0,0,-1,bottom
2017-04-07,490154,2,547943,L,506924,R,15,Field Error,5,4,170407_204532,9cc2ae33-a494-4538-93ed-e81fe269fd4a,1,2,0,F,Foul,FF,1,2.0,3.75,1.53,90.1,83.6,35.77,2.06,50.0,5.74,-0.28,3.07,5.33,7.04,-7.89,-130.97,-3.15,9.43,23.13,-19.73,21.6,4.8,24.0,2143,143,,,,506924,,,0,0,-1,bottom
2017-04-07,490154,2,547943,L,506924,R,15,Field Error,5,5,170407_204558,e616b073-a135-4cc9-ada1-b4d6f9557663,1,2,0,D,In play- no out,CH,14,2.0,3.75,1.53,81.5,76.0,34.87,2.33,50.0,5.49,0.54,0.82,6.04,4.08,-6.05,-118.53,-5.41,8.71,19.75,-26.29,15.6,8.4,24.0,1608,116,,,,506924,,,0,0,-1,bottom
2017-04-07,490154,2,547943,L,572863,R,16,Flyout,3,1,170407_204650,4ee285c5-b937-4bd0-be84-34085cdbfe90,0,1,0,C,Called Strike,CH,9,2.0,3.69,1.96,81.5,75.2,70.07,2.25,50.0,5.73,0.49,2.08,7.3,6.47,-6.35,-118.56,-3.67,10.45,21.33,-22.91,21.6,7.2,24.0,1615,128,506924,,,506924,,,0,1,-1,bottom
