Date, Game, Inning, Pitcher, Hand, Batter, Stand, AB_ID, Result, AB_Total, AB_Count, Pfx_ID, Play_ID, Balls, Strikes, Outs, Code, Pdes, Type, Zone, Con, SZ_Top, SZ_Bot, Start_Speed, End_Speed, Nasty_Factor, X0, Y0, Z0, PX, PZ, PfxX, PfxZ, VX0, VY0, VZ0, AX, AY, AZ, Break_Angle, Break_Length, Break_Y, Spin_Rate, Spin_Direction, Runner 1B, Runner 2B, Runner 3B, End 1B, End 2B, End 3B, Runs, Outs On Play, Run Diff, Half
2019-08-18,564973,8,664139,R,547004,L,72,Pop Out,1,1,190713_013230,5c497eb1-866d-47d2-9e91-94e3983ed927,0,0,0,X,In play- out(s),FF,12,,3.46,1.63,96.5,88.8,,-0.12,50.0,6.03,0.79,3.16,-1.11,10.13,2.93,-140.62,-5.88,-2.23,30.15,-11.77,7.2,2.4,24.0,2057,184,,,,,,,0,1,14,bottom
2019-08-18,564973,8,664139,R,621006,R,73,Strikeout,6,1,190713_013309,b337c9b8-ed95-4fa8-b93e-a9898f4f78d6,0,0,1,B,Ball,FF,11,,3.43,1.53,95.9,88.1,,-0.12,50.0,5.94,-0.8,2.57,-2.36,9.5,-1.01,-139.61,-6.89,-4.67,30.25,-13.35,18.0,3.6,24.0,1965,195,,,,,,,0,1,14,bottom
2019-08-18,564973,8,664139,R,621006,R,73,Strikeout,6,2,190713_013322,bee81cb5-be68-46d7-863a-96ced990ba06,1,0,1,S,Foul,FF,2,,3.37,1.57,96.1,88.0,,-0.26,50.0,6.03,0.01,3.07,-1.21,9.26,1.19,-139.98,-5.7,-2.41,31.21,-13.77,8.4,3.6,24.0,2089,187,,,,,,,0,1,14,bottom
2019-08-18,564973,8,664139,R,621006,R,73,Strikeout,6,3,190713_013344,4b2103f2-180b-4b68-a8ab-95fa269e299e,1,1,1,B,Ball,SL,13,,3.37,1.58,87.3,80.9,,-0.84,50.0,6.02,-2.34,1.59,4.66,-0.75,-5.28,-127.03,-4.49,7.66,24.57,-33.4,10.8,8.4,24.0,,74,,,,,,,0,1,14,bottom
2019-08-18,564973,8,664139,R,621006,R,73,Strikeout,6,4,190713_013406,65402c3e-2966-422d-a1b1-2b7634d759a7,2,1,1,S,Foul,FF,11,,3.37,1.57,96.3,88.6,,-0.39,50.0,5.96,-0.9,2.7,-2.11,11.17,-0.67,-140.18,-7.28,-4.23,29.88,-9.81,21.6,2.4,24.0,2145,191,,,,,,,0,1,14,bottom
2019-08-18,564973,8,664139,R,621006,R,73,Strikeout,6,5,190713_013433,cfcba1f8-fe8d-4540-998f-8f0f4aa855b3,2,1,1,S,Foul,FF,1,,3.37,1.57,97.2,89.3,,-0.11,50.0,6.04,-0.61,3.19,-2.79,11.63,-0.39,-141.61,-6.49,-5.69,30.79,-8.43,30.0,2.4,24.0,2031,194,,,,,,,0,1,14,bottom
2019-08-18,564973,8,664139,R,621006,R,73,Strikeout,6,6,190713_013451,af340440-404d-4d74-9f2b-fcd11085598e,2,2,1,S,Swinging Strike,SL,13,,3.37,1.57,86.8,80.2,,-0.79,50.0,5.95,-0.76,1.57,3.57,-1.6,-1.1,-126.37,-3.99,5.78,25.1,-34.76,8.4,8.4,24.0,,60,,,,,,,0,1,14,bottom
2019-08-18,564973,8,664139,R,596105,L,74,Groundout,1,1,190713_013530,74887bad-fb5f-4b2e-ab4f-b1058dd83567,0,0,2,X,In play- out(s),FF,5,,3.51,1.67,96.0,89.0,,-0.22,50.0,5.96,-0.23,2.57,-2.28,8.63,0.8,-139.94,-6.75,-4.58,27.51,-14.82,15.6,3.6,24.0,2043,195,,,,,,,0,1,14,bottom
2019-08-18,564973,9,664139,R,542979,R,78,Walk,6,1,190713_014258,d059cc9e-eb7d-463e-a6d9-1d4783631577,0,0,0,S,Called Strike,FF,1,,3.51,1.65,94.6,87.0,,-0.33,50.0,6.07,-0.5,3.48,-1.88,10.17,0.19,-137.89,-4.77,-3.64,29.13,-12.49,14.4,2.4,24.0,2065,190,,,,542979,,,0,0,14,bottom
2019-08-18,564973,9,664139,R,542979,R,78,Walk,6,2,190713_014314,1416b878-2441-4149-923f-89dcce2c5801,0,1,0,B,Ball,SL,13,,3.74,1.69,86.4,80.2,,-0.43,50.0,5.85,-0.66,0.86,2.28,-0.25,-1.31,-125.81,-5.9,3.67,24.04,-32.58,6.0,8.4,24.0,2408,69,,,,542979,,,0,0,14,bottom
