Date,Game,Inning,Pitcher,Hand,Batter,Stand,AB_ID,Result,AB_Total,AB_Count,Pfx_ID,Play_ID,Balls,Strikes,Outs,Code,Pdes,Type,Zone,Con,SZ_Top,SZ_Bot,Start_Speed,End_Speed,Nasty_Factor,X0,Y0,Z0,PX,PZ,PfxX,PfxZ,VX0,VY0,VZ0,AX,AY,AZ,Break_Angle,Break_Length,Break_Y,Spin_Rate,Spin_Direction,Runner 1B,Runner 2B,Runner 3B,End 1B,End 2B,End 3B,Runs,Outs On Play,Run Diff,Half
2017-04-07,490148,1,467100,R,542255,L,0,Single,5,1,170407_170812,e40a063b-671b-41c9-89e7-6ae1a4b4063a,0,1,0,C,Called Strike,FF,2,2.0,3.48,1.58,91.3,82.3,54.08,-2.41,50.0,6.16,-0.16,2.96,-10.01,10.38,9.21,-132.35,-5.62,-17.54,31.61,-14.0,45.6,4.8,24.0,2192,221,,,,542255,,,0,0,0,top
2017-04-07,490148,1,467100,R,542255,L,0,Single,5,2,170407_170826,12cf2fb8-be14-404c-990e-5bcbff1555be,0,2,0,L,Foul Bunt,FT,5,2.0,3.77,1.69,91.6,82.9,30.19,-2.08,50.0,6.1,-0.14,2.28,-12.94,5.46,9.44,-132.57,-5.62,-22.82,30.69,-22.55,40.8,7.2,24.0,2113,247,,,,542255,,,0,0,0,top
2017-04-07,490148,1,467100,R,542255,L,0,Single,5,3,170407_170849,5779d73b-2a0b-4267-bd58-a7441d762f02,0,2,0,B,Ball,FT,12,2.0,3.7,1.6,91.1,82.4,68.17,-2.09,50.0,6.24,1.27,2.96,-11.75,5.99,12.64,-131.69,-4.31,-20.48,29.99,-21.74,38.4,7.2,24.0,2216,240,,,,542255,,,0,0,0,top
2017-04-07,490148,1,467100,R,542255,L,0,Single,5,4,170407_170903,2de2fe97-da98-498e-9321-db2f87cf6185,1,2,0,B,Ball,CU,14,2.0,3.44,1.67,80.5,73.6,10.92,-2.15,50.0,6.14,2.23,0.4,-0.55,-0.84,10.18,-116.53,-5.83,-0.75,25.22,-33.31,2.4,10.8,24.0,2230,35,,,,542255,,,0,0,0,top
2017-04-07,490148,1,467100,R,542255,L,0,Single,5,5,170407_170928,1e623041-02c7-49fc-bfbd-a72f13339690,2,2,0,D,In play- no out,FT,7,2.0,3.45,1.65,92.9,84.5,55.71,-2.36,50.0,6.04,-0.68,1.65,-13.34,5.37,9.06,-134.61,-7.42,-24.32,30.89,-22.38,43.2,7.2,24.0,2164,249,,,,542255,,,0,0,0,top
2017-04-07,490148,1,467100,R,621020,R,1,Flyout,3,1,170407_171011,68160475-a3c1-4556-8a56-1b90e5443214,0,0,0,B,Ball,FF,14,2.0,3.73,1.77,90.5,81.3,64.72,-1.96,50.0,6.0,1.03,1.2,-11.85,9.82,11.58,-130.67,-9.27,-20.13,32.14,-15.5,44.4,6.0,24.0,2155,229,542255,,,542255,,,0,1,0,top
2017-04-07,490148,1,467100,R,621020,R,1,Flyout,3,2,170407_171111,45f0166f-bccb-4f04-897d-1e949a775266,1,0,0,X,In play- out(s),FT,11,2.0,3.69,1.72,89.6,81.1,58.67,-2.15,50.0,6.22,-0.9,2.82,-12.36,7.03,7.28,-129.96,-4.71,-20.9,29.98,-20.28,42.0,7.2,24.0,2123,239,542255,,,542255,,,0,1,0,top
2017-04-07,490148,1,467100,R,518692,L,2,Strikeout,6,1,170407_171206,5e2a283f-a5ee-4931-8f78-e65c71a760c4,0,1,1,F,Foul,FT,8,2.0,3.75,1.94,91.6,82.6,45.48,-1.95,50.0,6.24,0.14,1.94,-11.13,8.3,9.21,-132.53,-7.81,-19.53,31.83,-17.6,42.0,6.0,24.0,2173,233,542255,,,542255,,,0,1,0,top
2017-04-07,490148,1,467100,R,518692,L,2,Strikeout,6,2,170407_171235,4c99e9f1-1f61-4dd2-97ef-965921bb0cac,0,1,1,B,Ball,FF,11,2.0,3.78,1.91,92.3,83.7,49.24,-2.07,50.0,6.37,-0.81,4.44,-10.29,8.63,6.85,-134.02,-1.96,-18.61,30.33,-16.55,45.6,6.0,24.0,2297,227,542255,,,542255,,,0,1,0,top
2017-04-07,490148,1,467100,R,518692,L,2,Strikeout,6,3,170407_171260,c1d0c966-e0d5-4c13-a323-f043dda4a515,1,1,1,B,Ball,FT,13,2.0,3.79,1.86,92.1,84.4,31.23,-2.08,50.0,6.22,-1.54,2.28,-12.09,5.33,5.57,-133.73,-6.14,-21.91,28.58,-22.51,40.8,7.2,24.0,2134,247,542255,,,542255,,,0,1,0,top
