Date, Game, Inning, Pitcher, Hand, Batter, Stand, AB_ID, Result, AB_Total, AB_Count, Pfx_ID, Play_ID, Balls, Strikes, Outs, Code, Pdes, Type, Zone, Con, SZ_Top, SZ_Bot, Start_Speed, End_Speed, Nasty_Factor, X0, Y0, Z0, PX, PZ, PfxX, PfxZ, VX0, VY0, VZ0, AX, AY, AZ, Break_Angle, Break_Length, Break_Y, Spin_Rate, Spin_Direction, Runner 1B, Runner 2B, Runner 3B, End 1B, End 2B, End 3B, Runs, Outs On Play, Run Diff, Half
2018-03-30,529417,1,467100,R,547982,L,4,Walk,4,1,180330_172045,4c4a752c-ba88-426f-8d4e-f972df304739,0,0,0,B,Ball,FT,11,2.0,3.41,1.55,90.6,82.2,36.73,-2.58,50.0,6.19,-1.51,3.25,-11.68,5.29,6.68,-131.66,-3.16,-20.31,30.26,-22.96,38.4,7.2,24.0,2098,244,,,,547982,,,0,0,0,bottom
2018-03-30,529417,1,467100,R,547982,L,4,Walk,4,2,180330_172103,6a766bd2-3b06-4da5-997a-1e0446899abe,1,0,0,B,Ball,FT,13,2.0,3.32,1.59,91.3,82.8,40.42,-2.65,50.0,5.92,-1.3,1.2,-12.13,5.58,7.59,-132.27,-7.95,-21.27,30.96,-22.39,39.6,7.2,24.0,2208,247,,,,547982,,,0,0,0,bottom
2018-03-30,529417,1,467100,R,547982,L,4,Walk,4,3,180330_172121,6d6e973e-189c-49a0-8763-236567aa22ec,2,0,0,B,Ball,FT,11,2.0,3.27,1.55,91.4,82.7,41.01,-2.65,50.0,6.24,-1.42,3.56,-12.26,3.61,7.36,-132.69,-2.03,-21.61,31.29,-25.82,37.2,7.2,24.0,2206,252,,,,547982,,,0,0,0,bottom
2018-03-30,529417,1,467100,R,547982,L,4,Walk,4,4,180330_172143,f088d027-fa23-4040-b207-a63d9d7245ce,3,0,0,B,Ball,FF,14,2.0,3.24,1.56,91.7,83.0,59.03,-2.45,50.0,5.94,0.71,1.24,-9.76,9.09,11.51,-132.52,-9.15,-17.18,30.93,-16.17,38.4,4.8,24.0,2244,225,,,,547982,,,0,0,0,bottom
2018-03-30,529417,1,467100,R,600869,L,5,Single,4,1,180330_172226,d9d9bb92-d9bc-454c-b8c1-2865b77b5544,0,0,0,B,Ball,FF,14,2.0,3.32,1.69,92.6,83.7,47.2,-2.28,50.0,5.91,0.5,1.26,-10.17,8.77,10.79,-133.94,-9.1,-18.26,31.97,-16.41,40.8,6.0,24.0,2306,228,547982,,,600869,547982,,0,0,0,bottom
2018-03-30,529417,1,467100,R,600869,L,5,Single,4,2,180330_172256,1bfae3f2-e4de-42dc-94b5-0a7cde2b3d56,1,0,0,B,Ball,FF,11,2.0,3.41,1.56,92.4,83.9,62.02,-2.6,50.0,6.1,-1.1,3.66,-7.96,6.46,6.7,-134.31,-2.6,-14.45,30.81,-20.46,31.2,6.0,24.0,2209,228,547982,,,600869,547982,,0,0,0,bottom
2018-03-30,529417,1,467100,R,600869,L,5,Single,4,3,180330_172322,064921d8-9762-4fb8-911b-cb82c22d0e07,2,0,0,S,Called Strike,FF,5,2.0,3.4,1.69,92.9,84.3,21.06,-2.46,50.0,5.96,-0.19,2.51,-9.3,7.11,9.21,-134.71,-5.53,-16.97,31.26,-19.21,36.0,6.0,24.0,2234,231,547982,,,600869,547982,,0,0,0,bottom
2018-03-30,529417,1,467100,R,600869,L,5,Single,4,4,180330_172347,835c3db4-caa0-4ab0-854a-03119f7300d4,2,1,0,X,In play- no out,FT,8,2.0,3.6,1.54,91.9,83.7,30.0,-2.35,50.0,5.97,-0.13,2.21,-11.6,3.2,9.78,-133.26,-4.85,-20.77,29.87,-26.45,33.6,7.2,24.0,2032,255,547982,,,600869,547982,,0,0,0,bottom
2018-03-30,529417,1,467100,R,408234,R,6,Walk,5,1,180330_172444,e67bd3f0-b4e2-42f3-9c9e-a0f16be47958,0,0,0,B,Ball,FT,11,2.0,3.59,1.78,94.2,85.7,41.11,-2.38,50.0,6.21,-1.55,3.98,-11.94,3.24,6.41,-136.84,-1.19,-22.53,31.46,-26.05,38.4,7.2,24.0,2226,253,600869,547982,,408234,600869,547982,0,0,0,bottom
2018-03-30,529417,1,467100,R,408234,R,6,Walk,5,2,180330_172517,3a915595-e625-494e-89c4-5da51d712b35,1,0,0,B,Ball,FT,11,2.0,3.59,1.78,92.6,84.0,67.75,-2.38,50.0,6.08,-1.03,3.58,-11.86,3.73,7.64,-134.5,-1.81,-21.55,31.37,-25.4,37.2,7.2,24.0,2221,251,600869,547982,,408234,600869,547982,0,0,0,bottom
2018-03-30,529417,1,467100,R,408234,R,6,Walk,5,3,180330_172544,0145dc23-2aab-473a-9612-4c126a241219,2,0,0,B,Ball,FF,14,2.0,3.59,1.79,93.0,84.4,51.18,-2.21,50.0,6.05,1.08,2.34,-7.97,8.79,11.45,-134.69,-6.79,-14.55,30.91,-16.13,34.8,4.8,24.0,2336,218,600869,547982,,408234,600869,547982,0,0,0,bottom
2018-03-30,529417,1,467100,R,408234,R,6,Walk,5,4,180330_172610,d4667d1a-6336-4166-83c1-2621d8eaa978,3,0,0,S,Called Strike,FF,5,2.0,3.59,1.79,92.5,83.0,21.97,-2.31,50.0,6.06,0.08,2.98,-8.42,7.8,9.12,-134.02,-4.63,-15.05,33.72,-18.23,33.6,4.8,24.0,2225,224,600869,547982,,408234,600869,547982,0,0,0,bottom
2018-03-30,529417,1,467100,R,408234,R,6,Walk,5,5,180330_172637,f40eaad3-7f13-48e7-8888-e52b7c4147b6,3,1,0,B,Ball,FT,11,2.0,3.59,1.78,92.5,83.5,37.89,-2.44,50.0,6.19,-1.49,3.66,-11.52,4.75,6.46,-134.25,-2.17,-20.77,32.47,-23.62,38.4,7.2,24.0,2147,246,600869,547982,,408234,600869,547982,0,0,0,bottom
