Date, Game, Inning, Pitcher, Hand, Batter, Stand, AB_ID, Result, AB_Total, AB_Count, Pfx_ID, Play_ID, Balls, Strikes, Outs, Code, Pdes, Type, Zone, Con, SZ_Top, SZ_Bot, Start_Speed, End_Speed, Nasty_Factor, X0, Y0, Z0, PX, PZ, PfxX, PfxZ, VX0, VY0, VZ0, AX, AY, AZ, Break_Angle, Break_Length, Break_Y, Spin_Rate, Spin_Direction, Runner 1B, Runner 2B, Runner 3B, End 1B, End 2B, End 3B, Runs, Outs On Play, Run Diff, Half
2018-07-21,530871,9,605525,R,460026,R,65,Strikeout,6,1,180721_041611,4d4a90be-5920-4e57-9a29-e5033fe637fc,0,0,1,B,Ball,FF,12,2.0,3.53,1.79,95.0,86.5,37.52,-2.33,50.0,5.93,2.25,3.05,-4.82,8.51,14.11,-137.48,-4.88,-9.22,31.06,-15.92,19.2,3.6,24.0,2413,201,,,,,,,0,1,-4,top
2018-07-21,530871,9,605525,R,460026,R,65,Strikeout,6,2,180721_041633,757a1435-2525-48d4-9bf4-5281d4f25f8e,1,0,1,S,Foul,FF,8,2.0,3.53,1.71,93.8,85.9,26.74,-2.62,50.0,5.81,0.11,2.12,-4.59,9.22,8.93,-136.03,-7.14,-8.61,29.18,-14.86,22.8,3.6,24.0,2428,202,,,,,,,0,1,-4,top
2018-07-21,530871,9,605525,R,460026,R,65,Strikeout,6,3,180721_041704,cb67f28f-f170-49d9-9649-001257605b4a,1,1,1,B,Ball,FF,14,2.0,3.53,1.69,95.6,87.6,40.26,-2.53,50.0,5.83,0.23,1.29,-5.11,10.23,9.37,-138.5,-10.18,-9.95,30.25,-12.25,28.8,3.6,24.0,2592,203,,,,,,,0,1,-4,top
2018-07-21,530871,9,605525,R,460026,R,65,Strikeout,6,4,180721_041727,ebc5b7b2-1ce8-4765-8c15-12f60b06fb8a,2,1,1,B,Ball,FF,14,2.0,3.45,1.69,95.3,86.7,58.7,-2.43,50.0,5.64,0.75,1.37,-5.62,11.16,10.65,-137.95,-9.63,-10.79,31.85,-10.76,32.4,3.6,24.0,2490,203,,,,,,,0,1,-4,top
2018-07-21,530871,9,605525,R,460026,R,65,Strikeout,6,5,180721_041755,eceff2ce-41be-493c-9773-33c7259301cc,3,1,1,S,Foul,FF,8,2.0,3.51,1.67,95.5,87.2,28.34,-2.54,50.0,5.81,0.04,1.88,-6.35,10.5,9.31,-138.47,-8.58,-12.31,31.13,-11.81,37.2,3.6,24.0,2568,208,,,,,,,0,1,-4,top
2018-07-21,530871,9,605525,R,460026,R,65,Strikeout,6,6,180721_041825,29f4973d-b867-4e53-8ba5-6517c7c32d7f,3,2,1,S,Swinging Strike,FF,1,2.0,3.47,1.65,95.9,88.2,49.27,-2.67,50.0,5.88,-0.55,3.44,-5.14,9.23,7.69,-139.41,-4.25,-10.2,28.68,-13.84,30.0,3.6,24.0,2390,205,,,,,,,0,1,-4,top
2018-07-21,530871,9,605525,R,491676,R,66,Groundout,1,1,180721_041915,913469c9-b093-4ce7-a96f-400908509899,0,0,2,X,In play- out(s),FF,7,2.0,3.46,1.72,94.7,86.9,63.98,-2.71,50.0,5.72,-0.62,1.92,-4.61,9.3,7.33,-137.59,-7.7,-8.87,29.56,-14.28,25.2,3.6,24.0,2482,203,,,,,,,0,1,-4,top
2018-07-24,530911,8,605525,R,643396,R,75,Single,4,1,180724_030251,116de612-da69-4f37-97a7-3cef6b51cd77,0,0,0,B,Ball,FF,12,2.0,3.3,1.5,94.9,87.5,32.27,-2.32,50.0,5.64,1.37,2.53,-6.57,7.29,12.39,-137.63,-5.2,-12.75,27.39,-18.03,28.8,4.8,24.0,2344,217,,,,643396,,,0,0,12,bottom
2018-07-24,530911,8,605525,R,643396,R,75,Single,4,2,180724_030309,21ce7231-030a-47bd-a7f1-54197b538da2,1,0,0,S,Foul,FF,12,2.0,3.3,1.5,94.2,86.6,61.92,-2.46,50.0,5.77,0.9,3.37,-3.28,9.37,10.28,-136.71,-3.87,-6.27,27.8,-14.29,15.6,3.6,24.0,2479,193,,,,643396,,,0,0,12,bottom
2018-07-24,530911,8,605525,R,643396,R,75,Single,4,3,180724_030341,24e7fbba-8562-48c4-8630-b70457b780ac,1,1,0,S,Foul,FF,11,2.0,3.3,1.5,95.5,87.7,49.64,-2.62,50.0,5.79,-0.5,3.39,-4.86,8.36,7.56,-138.9,-3.73,-9.55,29.35,-15.75,25.2,3.6,24.0,2398,206,,,,643396,,,0,0,12,bottom
2018-07-24,530911,8,605525,R,643396,R,75,Single,4,4,180724_030409,cb6d8acc-8699-43fa-be10-23e5608f9ca0,1,2,0,X,In play- no out,CU,3,2.0,3.3,1.5,82.1,76.6,27.72,-2.61,50.0,5.98,0.39,3.0,4.27,-5.84,5.79,-119.5,1.52,6.24,20.49,-40.72,9.6,10.8,24.0,2436,41,,,,643396,,,0,0,12,bottom
2018-07-24,530911,8,605525,R,134181,R,76,Groundout,3,1,180724_030454,e0c8cda5-17e0-4d83-8e9d-261c8fc45cf7,0,0,0,S,Called Strike,FF,14,2.0,3.32,1.51,96.3,89.3,65.71,-2.54,50.0,5.65,0.82,2.01,-4.84,8.36,11.09,-139.72,-7.34,-9.74,26.48,-15.37,25.2,3.6,24.0,2382,206,643396,,,,643396,,0,1,12,bottom
2018-07-24,530911,8,605525,R,134181,R,76,Groundout,3,2,180724_030516,e827d8b3-1e55-465e-96e9-6d6f0cecadcb,0,1,0,S,Called Strike,CU,7,2.0,3.32,1.51,78.9,72.7,23.38,-2.65,50.0,5.93,-0.28,1.85,2.07,-9.3,4.73,-114.68,0.63,2.74,22.55,-44.48,4.8,13.2,24.0,2595,17,643396,,,,643396,,0,1,12,bottom
2018-07-24,530911,8,605525,R,134181,R,76,Groundout,3,3,180724_030543,426cab8a-1567-48e4-bd2c-01742b0354dd,0,2,0,X,In play- out(s),CU,14,2.0,3.32,1.51,80.1,74.2,47.26,-2.49,50.0,5.9,0.73,1.2,4.97,-5.75,5.91,-116.4,-2.07,6.8,22.44,-40.03,10.8,12.0,24.0,2497,44,643396,,,,643396,,0,1,12,bottom
2018-07-24,530911,8,605525,R,595777,L,77,Lineout,1,1,180724_030640,f604c4d4-6325-4dde-96dd-297e8c751b92,0,0,1,X,In play- out(s),FF,2,2.0,3.37,1.53,95.2,88.4,41.16,-2.62,50.0,5.72,0.0,3.05,-3.75,7.5,8.57,-138.41,-4.19,-7.41,25.61,-17.36,18.0,3.6,24.0,2465,202,,643396,,,,,0,1,12,bottom
2018-07-24,530911,8,605525,R,607387,R,78,Strikeout,6,1,180724_030713,3593dd16-3366-463c-bc48-3988ea151a54,0,0,2,B,Ball,FF,13,2.0,3.67,1.63,96.0,88.9,30.9,-2.79,50.0,5.61,-1.61,2.59,-4.24,8.44,4.81,-139.73,-5.65,-8.51,27.11,-15.23,25.2,3.6,24.0,2348,205,,,,,,,0,1,12,bottom
2018-07-24,530911,8,605525,R,607387,R,78,Strikeout,6,2,180724_030735,a5773454-29e3-4d16-b8f2-a7fef15aa1dd,1,0,2,S,Foul,FF,9,2.0,3.67,1.63,95.6,88.8,37.75,-2.56,50.0,5.62,0.3,1.84,-3.36,9.11,9.08,-138.88,-7.9,-6.67,26.08,-14.07,18.0,3.6,24.0,2477,196,,,,,,,0,1,12,bottom
2018-07-24,530911,8,605525,R,607387,R,78,Strikeout,6,3,180724_030808,d11c9192-5e41-4c3f-acbb-1cd1d52be457,1,1,2,S,Foul,FF,4,2.0,3.67,1.63,96.8,89.2,35.39,-2.55,50.0,5.69,-0.48,2.94,-4.4,9.02,7.37,-140.87,-5.2,-8.92,29.46,-13.89,26.4,3.6,24.0,2414,202,,,,,,,0,1,12,bottom
2018-07-24,530911,8,605525,R,607387,R,78,Strikeout,6,4,180724_030837,df7ab24b-3474-4341-9f2c-66fdaf99bc59,1,1,2,S,Foul,CU,13,2.0,3.67,1.63,81.1,74.4,30.99,-2.5,50.0,5.98,-0.28,1.57,3.03,-6.65,4.24,-117.85,-1.28,4.22,24.44,-41.44,7.2,12.0,24.0,2593,28,,,,,,,0,1,12,bottom
