Date, Game, Inning, Pitcher, Hand, Batter, Stand, AB_ID, Result, AB_Total, AB_Count, Pfx_ID, Play_ID, Balls, Strikes, Outs, Code, Pdes, Type, Zone, Con, SZ_Top, SZ_Bot, Start_Speed, End_Speed, Nasty_Factor, X0, Y0, Z0, PX, PZ, PfxX, PfxZ, VX0, VY0, VZ0, AX, AY, AZ, Break_Angle, Break_Length, Break_Y, Spin_Rate, Spin_Direction, Runner 1B, Runner 2B, Runner 3B, End 1B, End 2B, End 3B, Runs, Outs On Play, Run Diff, Half
2019-09-09,567580,6,670456,R,592885,L,47,Lineout,9,1,190526_201117,82a1c46a-4c16-451e-acc3-137e6b253240,0,0,0,B,Ball,SL,12,2.0,2.96,1.68,82.1,75.9,,-1.81,50.0,6.14,0.28,4.22,2.12,-0.57,4.3,-119.44,2.41,3.09,21.07,-33.0,7.2,9.6,24.0,,87,,,,,,,0,1,-6,bottom
2019-09-09,567580,6,670456,R,592885,L,47,Lineout,9,2,190526_201136,04f31884-d004-49e3-ae20-efa64bbe8d59,1,0,0,S,Foul,FF,8,2.0,3.05,1.68,94.6,87.2,,-1.76,50.0,5.88,-0.23,1.99,-8.19,7.96,7.06,-137.41,-7.53,-15.8,27.8,-16.8,38.4,4.8,24.0,2116,225,,,,,,,0,1,-6,bottom
2019-09-09,567580,6,670456,R,592885,L,47,Lineout,9,3,190526_201159,28d6f755-4f32-47d5-aea7-d7bf85b96704,1,1,0,S,Swinging Strike,SL,14,2.0,3.04,1.68,83.2,77.4,,-1.77,50.0,5.89,1.22,1.53,1.61,-1.14,6.67,-120.97,-3.39,2.4,21.78,-33.87,6.0,9.6,24.0,,60,,,,,,,0,1,-6,bottom
2019-09-09,567580,6,670456,R,592885,L,47,Lineout,9,4,190526_201229,8397fae4-4f16-44d4-b7b8-a56b63f8d344,1,1,0,S,Foul,FF,1,2.0,3.22,1.78,96.1,88.1,,-1.78,50.0,6.0,-0.59,3.17,-6.78,8.77,5.74,-139.72,-5.14,-13.47,30.24,-14.77,37.2,3.6,24.0,2174,216,,,,,,,0,1,-6,bottom
2019-09-09,567580,6,670456,R,592885,L,47,Lineout,9,5,190526_201246,8463971b-33a2-4cd8-915c-b823717ab312,1,2,0,B,Ball,SL,13,2.0,3.03,1.68,84.1,78.5,,-2.07,50.0,5.82,-1.03,1.19,2.05,-0.97,1.87,-122.46,-4.33,3.15,21.26,-33.67,6.0,9.6,24.0,,60,,,,,,,0,1,-6,bottom
2019-09-09,567580,6,670456,R,592885,L,47,Lineout,9,6,190526_201308,28d700cf-b440-40c8-8d61-10b4ca5036f3,2,2,0,B,Ball,SL,14,2.0,3.04,1.68,84.2,78.4,,-1.73,50.0,5.93,1.28,1.88,2.14,0.83,6.64,-122.5,-3.5,3.29,21.64,-30.9,7.2,8.4,24.0,2536,101,,,,,,,0,1,-6,bottom
2019-09-09,567580,6,670456,R,592885,L,47,Lineout,9,7,190526_201331,5944710a-d11b-43bf-a630-d923e4daf6c2,3,1,0,S,Foul,FF,2,2.0,3.09,1.68,95.6,88.3,,-1.68,50.0,5.96,0.08,2.84,-7.09,9.56,7.41,-139.04,-6.2,-14.04,27.8,-13.24,40.8,3.6,24.0,2345,215,,,,,,,0,1,-6,bottom
2019-09-09,567580,6,670456,R,592885,L,47,Lineout,9,8,190526_201405,7249f1e2-cc90-4fec-b1f2-53e175d5ab20,3,1,0,S,Foul,FF,13,2.0,3.06,1.68,95.2,87.5,,-1.72,50.0,5.85,-0.39,1.48,-6.56,8.42,5.96,-138.22,-9.05,-12.75,29.6,-15.82,33.6,4.8,24.0,2116,218,,,,,,,0,1,-6,bottom
2019-09-09,567580,6,670456,R,592885,L,47,Lineout,9,9,190526_201442,3dabf637-47a8-4297-bf7a-755e46253d33,3,2,0,X,In play- out(s),SL,11,2.0,3.08,1.68,83.9,77.6,,-1.84,50.0,6.06,-0.02,3.62,1.88,0.24,3.8,-122.06,0.68,2.86,22.03,-31.81,6.0,8.4,24.0,2436,101,,,,,,,0,1,-6,bottom
2019-09-09,567580,6,670456,R,460075,R,48,Flyout,5,1,190526_201515,20dfd246-8abe-40a7-932d-098f234d2cd5,0,0,1,B,Ball,FF,14,2.0,3.46,1.73,94.9,88.0,,-1.65,50.0,5.88,1.46,1.74,-6.38,10.74,10.78,-137.67,-9.29,-12.45,25.85,-11.23,39.6,3.6,24.0,2304,208,,,,,,,0,1,-6,bottom
