Date, Game, Inning, Pitcher, Hand, Batter, Stand, AB_ID, Result, AB_Total, AB_Count, Pfx_ID, Play_ID, Balls, Strikes, Outs, Code, Pdes, Type, Zone, Con, SZ_Top, SZ_Bot, Start_Speed, End_Speed, Nasty_Factor, X0, Y0, Z0, PX, PZ, PfxX, PfxZ, VX0, VY0, VZ0, AX, AY, AZ, Break_Angle, Break_Length, Break_Y, Spin_Rate, Spin_Direction, Runner 1B, Runner 2B, Runner 3B, End 1B, End 2B, End 3B, Runs, Outs On Play, Run Diff, Half
2019-09-28,567167,9,657097,R,430945,R,82,Double,2,1,190417_024501,f6c6d8db-9654-4259-ab91-b3a0e14beb8d,0,0,2,S,Swinging Strike,FF,11,2.0,3.5,1.64,95.7,86.8,,-1.25,50.0,5.29,-0.03,3.73,-7.68,9.08,6.07,-139.06,-1.64,-14.97,32.6,-14.48,42.0,3.6,24.0,2469,217,571974,,,,430945,,2,0,-1,top
2019-09-28,567167,9,657097,R,430945,R,82,Double,2,2,190417_024531,aa28d851-ba4d-4121-801f-003d80214512,0,1,2,X,In play- run(s),FF,1,2.0,3.5,1.64,95.7,86.8,,-1.19,50.0,5.27,-0.47,3.21,-8.32,9.22,4.93,-139.1,-3.05,-16.2,33.1,-14.24,45.6,4.8,24.0,2542,220,571974,,,,430945,,2,0,-1,top
2019-09-28,567167,9,657097,R,606466,L,83,Strikeout,6,1,190417_024626,31742dc7-97dc-429b-b243-04ec9fd6a768,0,0,2,S,Called Strike,CU,5,2.0,3.29,1.6,82.9,77.1,,-1.48,50.0,5.39,0.16,2.78,2.49,-1.7,3.17,-120.75,0.98,3.72,20.44,-34.72,7.2,9.6,24.0,2439,63,,430945,,,,,0,1,-3,top
2019-09-28,567167,9,657097,R,606466,L,83,Strikeout,6,2,190417_024647,db556d29-46e8-4f78-b334-0d9f30426d93,0,1,2,B,Ball,FF,11,2.0,3.61,1.6,96.0,87.0,,-1.42,50.0,5.28,-1.22,3.87,-5.52,8.5,2.53,-139.61,-1.05,-10.82,33.64,-15.52,32.4,3.6,24.0,2462,211,,430945,,,,,0,1,-3,top
2019-09-28,567167,9,657097,R,606466,L,83,Strikeout,6,3,190417_024708,c5dfa42d-4262-49a7-91b6-63e2eb622999,1,1,2,S,Swinging Strike,CU,8,2.0,3.47,1.6,82.1,75.5,,-1.47,50.0,5.41,0.23,2.19,1.45,-0.55,3.58,-119.45,-0.6,2.09,22.98,-32.97,4.8,9.6,24.0,2308,77,,430945,,,,,0,1,-3,top
2019-09-28,567167,9,657097,R,606466,L,83,Strikeout,6,4,190417_024746,7f194281-7d97-401a-82f0-ad6f4761a6f2,1,1,2,S,Foul,CH,7,2.0,3.47,1.6,85.9,78.5,,-1.25,50.0,5.26,-0.33,1.61,-9.73,3.2,5.36,-124.8,-3.46,-15.28,26.13,-27.15,27.6,8.4,24.0,2124,252,,430945,,,,,0,1,-3,top
2019-09-28,567167,9,657097,R,606466,L,83,Strikeout,6,5,190417_024818,26ccea65-133e-42c0-a4c8-df94ebbefbc7,1,2,2,B,Ball,CU,14,2.0,3.47,1.6,82.5,76.1,,-1.44,50.0,5.31,0.95,1.17,1.87,0.11,5.07,-119.91,-3.05,2.73,22.85,-32.01,6.0,9.6,24.0,2526,87,,430945,,,,,0,1,-3,top
2019-09-28,567167,9,657097,R,606466,L,83,Strikeout,6,6,190417_024840,beabb649-b12a-49d8-acc6-43db4dc84488,2,2,2,S,Swinging Strike,FF,11,2.0,3.47,1.6,96.4,87.7,,-1.38,50.0,5.2,-1.26,3.14,-7.7,8.87,3.11,-140.23,-3.07,-15.27,32.88,-14.59,43.2,4.8,24.0,2548,220,,430945,,,,,0,1,-3,top
2019-09-28,567169,7,657097,R,545121,L,61,Lineout,3,1,190418_184704,008eee8b-0fa5-4de0-a394-21acdf814130,0,0,2,S,Called Strike,CU,5,2.0,3.05,1.32,81.1,75.2,,-1.45,50.0,5.45,-0.0,2.13,4.63,-2.45,1.99,-117.99,-0.14,6.58,20.66,-35.65,10.8,10.8,24.0,2479,65,,605113,608348,,,,0,1,-4,top
2019-09-28,567169,7,657097,R,545121,L,61,Lineout,3,2,190418_184728,44e5c441-f306-48db-acad-cb1243244c6f,0,1,2,S,Foul,CH,11,2.0,3.26,1.51,85.6,78.6,,-1.53,50.0,5.26,-1.34,3.08,-9.28,4.49,3.42,-124.51,-0.28,-14.63,23.97,-25.09,28.8,7.2,24.0,2409,242,,605113,608348,,,,0,1,-4,top
2019-09-28,567169,7,657097,R,545121,L,61,Lineout,3,3,190418_184757,b7bba061-7959-4d9b-860d-6e84ee7d2d38,0,2,2,X,In play- out(s),FF,1,2.0,3.26,1.51,95.9,87.6,,-1.3,50.0,5.22,-0.34,3.22,-8.54,8.5,5.69,-139.48,-2.71,-16.85,30.98,-15.41,44.4,4.8,24.0,2555,223,,605113,608348,,,,0,1,-4,top
2019-09-28,565323,7,657097,R,608700,R,63,Walk,6,1,190420_224140,67cf4867-71ea-433a-bff0-1174c2ba37de,0,0,0,B,Ball,FF,14,2.0,3.35,1.57,94.2,86.0,,-1.1,50.0,5.22,1.77,1.85,-7.24,9.21,10.27,-136.55,-6.35,-13.69,29.72,-14.76,36.0,4.8,24.0,2342,215,,,,608700,,,0,0,-4,bottom
2019-09-28,565323,7,657097,R,608700,R,63,Walk,6,2,190420_224158,4460c611-5118-455b-8334-ed774da73eff,1,0,0,B,Ball,FF,11,2.0,3.42,1.57,89.9,81.6,,-1.29,50.0,5.42,-1.36,4.4,-7.51,7.7,2.35,-130.83,1.05,-12.93,29.35,-18.92,33.6,4.8,24.0,2216,222,,,,608700,,,0,0,-4,bottom
2019-09-28,565323,7,657097,R,608700,R,63,Walk,6,3,190420_224225,a7611644-ce25-47b3-88c3-8b1bac1c4562,2,0,0,S,Foul,FF,13,2.0,3.43,1.59,94.1,85.8,,-1.24,50.0,5.17,-0.3,1.5,-7.86,9.18,5.29,-136.72,-7.13,-14.84,30.89,-14.85,39.6,4.8,24.0,2466,220,,,,608700,,,0,0,-4,bottom
