Date,Game,Inning,Pitcher,Hand,Batter,Stand,AB_ID,Result,AB_Total,AB_Count,Pfx_ID,Play_ID,Balls,Strikes,Outs,Code,Pdes,Type,Zone,Con,SZ_Top,SZ_Bot,Start_Speed,End_Speed,Nasty_Factor,X0,Y0,Z0,PX,PZ,PfxX,PfxZ,VX0,VY0,VZ0,AX,AY,AZ,Break_Angle,Break_Length,Break_Y,Spin_Rate,Spin_Direction,Runner 1B,Runner 2B,Runner 3B,End 1B,End 2B,End 3B,Runs,Outs On Play,Run Diff,Half
2018-04-02,529460,1,448802,L,660162,R,0,Single,2,1,180402_230857,1fb655b3-f6d1-41d5-b642-e6c3661d8888,0,0,0,B,Ball,FF,12,2.0,3.28,1.44,89.6,81.9,74.21,0.95,50.0,5.92,1.19,3.24,2.27,9.23,-0.14,-130.43,-3.73,3.91,27.77,-16.3,13.2,3.6,24.0,2170,165,,,,660162,,,0,0,0,top
2018-04-02,529460,1,448802,L,660162,R,0,Single,2,2,180402_230915,ecfb9ca1-6dbe-4684-860e-f2543e90906b,1,0,0,D,In play- no out,FF,3,2.0,3.49,1.39,88.9,81.5,34.75,0.98,50.0,5.93,0.28,3.13,1.98,7.46,-2.44,-129.34,-3.34,3.35,26.39,-19.51,8.4,4.8,24.0,2199,166,,,,660162,,,0,0,0,top
2018-04-02,529460,1,448802,L,541645,R,1,Grounded Into DP,2,1,180402_231003,d4ac4557-95a4-4c9c-97c1-cae9c2fb2313,0,1,0,C,Called Strike,FF,6,2.0,3.45,1.81,89.8,82.1,41.55,0.83,50.0,5.82,0.27,2.75,0.85,7.74,-1.73,-130.65,-4.26,1.47,27.89,-18.81,3.6,4.8,24.0,2196,175,660162,,,,,,0,2,0,top
2018-04-02,529460,1,448802,L,541645,R,1,Grounded Into DP,2,2,180402_231027,6d5ea5df-e7f6-4bf2-aa38-5b8434f7cdc7,0,1,0,X,In play- out(s),FT,8,2.0,3.41,1.53,90.3,82.6,37.43,0.72,50.0,5.71,-0.18,1.83,4.67,6.28,-3.91,-131.26,-5.95,8.13,28.47,-21.25,18.0,6.0,24.0,2211,143,660162,,,,,,0,2,0,top
2018-04-02,529460,1,448802,L,547989,R,2,Strikeout,6,1,180402_231111,55dbbdd0-3750-41fe-9ca5-171ab88ce635,0,1,2,F,Foul,FF,4,2.0,3.36,1.38,89.9,81.8,53.0,0.69,50.0,5.78,-0.56,2.15,0.94,10.81,-3.53,-130.6,-6.69,1.62,28.97,-13.6,3.6,3.6,24.0,2305,177,,,,,,,0,1,0,top
2018-04-02,529460,1,448802,L,547989,R,2,Strikeout,6,2,180402_231136,8113ccf6-c505-434f-b253-3d2f9144c510,0,1,2,S,Swinging Strike,FT,12,2.0,3.36,1.38,90.5,82.4,30.82,0.92,50.0,5.89,1.71,3.02,8.7,1.36,-0.86,-131.69,-1.67,15.16,30.05,-29.8,26.4,8.4,24.0,1969,98,,,,,,,0,1,0,top
2018-04-02,529460,1,448802,L,547989,R,2,Strikeout,6,3,180402_231159,467e8a27-2784-4079-9bf7-01bdb5288c58,0,2,2,F,Foul,SL,13,2.0,3.36,1.38,83.5,77.3,60.58,0.71,50.0,5.96,-0.85,1.14,-0.86,-1.35,-3.49,-121.46,-4.45,-1.29,23.2,-34.2,3.6,9.6,24.0,2542,322,,,,,,,0,1,0,top
2018-04-02,529460,1,448802,L,547989,R,2,Strikeout,6,4,180402_231228,edb402f6-34cc-4670-8368-797fcc8a3d89,0,2,2,B,Ball,FF,13,2.0,3.59,1.65,90.5,83.3,14.07,0.52,50.0,5.76,-1.53,1.22,2.98,8.62,-6.35,-131.36,-8.51,5.23,26.63,-17.04,12.0,4.8,24.0,2378,163,,,,,,,0,1,0,top
2018-04-02,529460,1,448802,L,547989,R,2,Strikeout,6,5,180402_231247,1f413498-8fe9-415a-b9b5-06e55638fe18,1,2,2,B,Ball,SL,13,2.0,3.59,1.67,84.5,78.1,8.75,0.39,50.0,5.53,-2.83,-3.76,-2.84,3.64,-6.83,-121.83,-16.67,-4.22,26.38,-26.76,9.6,8.4,24.0,2607,249,,,,,,,0,1,0,top
2018-04-02,529460,1,448802,L,547989,R,2,Strikeout,6,6,180402_231318,3bfae383-bb68-425d-b4e3-ad4e782003cb,2,3,2,W,Swinging Strike (Blocked),SL,13,2.0,3.36,1.38,84.3,78.0,27.61,0.73,50.0,5.9,-0.6,0.46,-0.89,-0.92,-2.93,-122.42,-6.22,-1.36,23.75,-33.57,3.6,9.6,24.0,2710,320,,,,,,,0,1,0,top
