Date, Game, Inning, Pitcher, Hand, Batter, Stand, AB_ID, Result, AB_Total, AB_Count, Pfx_ID, Play_ID, Balls, Strikes, Outs, Code, Pdes, Type, Zone, Con, SZ_Top, SZ_Bot, Start_Speed, End_Speed, Nasty_Factor, X0, Y0, Z0, PX, PZ, PfxX, PfxZ, VX0, VY0, VZ0, AX, AY, AZ, Break_Angle, Break_Length, Break_Y, Spin_Rate, Spin_Direction, Runner 1B, Runner 2B, Runner 3B, End 1B, End 2B, End 3B, Runs, Outs On Play, Run Diff, Half
2017-05-29,490863,5,594772,R,475253,L,50,Single,2,1,170530_010950,4d979a46-25d3-4657-8b79-27ed001ea686,0,0,1,S,Called Strike,FF,11,2.0,3.63,2.03,87.4,80.7,67.13,-1.09,50.0,5.6,-0.86,2.79,-6.34,6.85,2.67,-127.15,-2.96,-10.49,23.53,-20.84,25.2,6.0,24.0,1812,226,434778,430832,,475253,434778,430832,0,0,-12,bottom
2017-05-29,490863,5,594772,R,475253,L,50,Single,2,2,170530_011016,671437cf-dbbb-41d3-9552-429a1932828f,0,1,1,X,In play- no out,SL,12,2.0,3.55,1.71,84.2,78.4,38.95,-0.65,50.0,5.91,0.72,2.74,2.52,1.74,2.55,-122.57,-1.68,3.9,20.53,-29.48,8.4,8.4,24.0,2216,108,434778,430832,,475253,434778,430832,0,0,-12,bottom
2017-05-29,490863,5,594772,R,431145,R,51,Strikeout,3,1,170530_011058,082ac9dc-1ba1-470f-b156-e776361a0392,0,0,1,S,Foul,SL,9,2.0,3.42,1.53,84.4,78.5,61.31,-0.75,50.0,5.83,0.32,2.12,1.86,1.54,2.02,-122.9,-2.92,2.88,21.55,-29.8,6.0,8.4,24.0,2240,104,475253,434778,430832,,,,0,1,-12,bottom
2017-05-29,490863,5,594772,R,431145,R,51,Strikeout,3,2,170530_011119,81a25a95-d93b-4102-a37b-a398ff17877f,0,1,1,S,Foul,FF,11,2.0,3.42,1.53,88.8,82.4,53.32,-0.75,50.0,5.86,-1.19,2.86,-5.46,5.3,0.71,-129.35,-3.2,-9.37,23.6,-23.08,21.6,6.0,24.0,1826,231,475253,434778,430832,,,,0,1,-12,bottom
2017-05-29,490863,5,594772,R,431145,R,51,Strikeout,3,3,170530_011147,f6901f96-b1ed-46ca-9192-d225f7e5b411,0,2,1,S,Swinging Strike,SL,3,2.0,3.44,1.52,83.3,77.1,39.85,-0.58,50.0,5.94,0.43,3.09,3.67,-0.47,1.28,-121.2,0.01,5.51,21.72,-32.87,9.6,8.4,24.0,2224,72,475253,434778,430832,,,,0,1,-12,bottom
2017-05-29,490863,5,594772,R,453064,R,52,Forceout,3,1,170530_011220,4a901246-2b7c-4730-8c17-9e05eb8391b7,0,0,2,S,Called Strike,SL,13,2.0,3.68,1.86,83.6,77.7,70.75,-0.6,50.0,5.95,-0.73,2.55,3.51,1.42,-1.41,-121.67,-2.0,5.33,20.98,-30.01,9.6,8.4,24.0,2235,97,,,,,,,0,1,-12,bottom
2017-05-29,490863,5,594772,R,453064,R,52,Forceout,3,2,170530_011243,a84dc704-513e-4ad0-b1c3-ea3a172f8831,0,1,2,S,Called Strike,CU,6,2.0,3.49,1.81,76.7,70.6,25.03,-0.66,50.0,5.98,0.5,2.59,3.37,-5.45,1.59,-111.46,1.43,4.23,20.48,-39.01,6.0,13.2,24.0,1647,30,,,,,,,0,1,-12,bottom
2017-05-29,490863,5,594772,R,453064,R,52,Forceout,3,3,170530_011308,73f516e3-acf7-40c7-a6b4-a80f365c1878,0,2,2,X,In play- out(s),SL,4,2.0,3.87,1.6,82.7,76.8,30.68,-0.58,50.0,5.92,-0.47,2.77,2.74,-1.2,-0.6,-120.4,-0.42,4.07,20.92,-33.96,7.2,9.6,24.0,2319,54,,,,,,,0,1,-12,bottom
2017-05-29,490863,6,594772,R,581527,R,57,Groundout,2,1,170530_012200,ac7c2652-2853-4303-98b6-98c4b4cf8f77,0,0,0,B,Ball,FF,14,2.0,3.3,1.64,88.4,81.8,75.27,-0.6,50.0,5.62,1.04,1.8,-7.14,5.88,6.55,-128.5,-5.35,-12.07,23.86,-22.23,25.2,6.0,24.0,1877,234,,,,,,,0,1,-11,bottom
2017-05-29,490863,6,594772,R,581527,R,57,Groundout,2,2,170530_012217,049217ea-f16e-4fa4-9661-c86a87b2bf4f,1,0,0,X,In play- out(s),FF,11,2.0,3.66,1.49,88.3,81.4,58.85,-0.88,50.0,5.67,-1.27,2.94,-5.88,6.15,0.94,-128.51,-2.67,-9.91,24.81,-21.81,24.0,6.0,24.0,1960,228,,,,,,,0,1,-11,bottom
