Date, Game, Inning, Pitcher, Hand, Batter, Stand, AB_ID, Result, AB_Total, AB_Count, Pfx_ID, Play_ID, Balls, Strikes, Outs, Code, Pdes, Type, Zone, Con, SZ_Top, SZ_Bot, Start_Speed, End_Speed, Nasty_Factor, X0, Y0, Z0, PX, PZ, PfxX, PfxZ, VX0, VY0, VZ0, AX, AY, AZ, Break_Angle, Break_Length, Break_Y, Spin_Rate, Spin_Direction, Runner 1B, Runner 2B, Runner 3B, End 1B, End 2B, End 3B, Runs, Outs On Play, Run Diff, Half
2019-09-03,566675,7,607188,R,506702,L,50,Groundout,6,1,190421_000125,b287daf7-51bd-4bc7-b2b1-2911efaece63,0,0,0,S,Foul,FF,3,2.0,3.31,1.51,94.2,86.0,,-0.86,50.0,6.12,0.34,2.88,-3.22,12.64,4.36,-136.96,-7.26,-6.11,30.55,-8.19,27.6,2.4,24.0,2234,192,,,,,,,0,1,-3,top
2019-09-03,566675,7,607188,R,506702,L,50,Groundout,6,2,190421_000146,c7d07e2c-4dbe-4f0a-80c7-e53d6b4a5d17,0,1,0,B,Ball,FF,12,2.0,3.32,1.51,93.5,84.9,,-0.9,50.0,6.33,0.13,4.17,-1.94,9.98,3.43,-135.97,-3.25,-3.61,31.38,-13.6,10.8,3.6,24.0,2063,188,,,,,,,0,1,-3,top
2019-09-03,566675,7,607188,R,506702,L,50,Groundout,6,3,190421_000201,e9650abc-058e-41b5-9124-590b485c9fc4,1,1,0,B,Ball,SL,11,2.0,3.3,1.51,81.6,74.0,,-1.27,50.0,6.29,-1.23,3.9,2.29,-1.03,-0.6,-118.53,1.65,3.22,25.04,-33.62,4.8,9.6,24.0,1957,75,,,,,,,0,1,-3,top
2019-09-03,566675,7,607188,R,506702,L,50,Groundout,6,4,190421_000222,4189d4ad-54b9-425f-8523-8c787651214a,2,1,0,S,Foul,FF,1,2.0,3.31,1.51,93.0,84.5,,-0.91,50.0,6.12,-0.66,2.77,-3.33,9.57,1.81,-135.27,-6.18,-6.12,31.61,-14.58,19.2,3.6,24.0,2112,199,,,,,,,0,1,-3,top
2019-09-03,566675,7,607188,R,506702,L,50,Groundout,6,5,190421_000244,31a95254-8da6-435c-9ee2-f518f393921b,2,1,0,S,Foul,FF,1,2.0,3.31,1.51,94.2,85.6,,-0.86,50.0,6.2,-0.34,3.26,-2.09,11.84,2.15,-136.88,-6.1,-3.94,31.65,-9.83,16.8,2.4,24.0,2217,189,,,,,,,0,1,-3,top
2019-09-03,566675,7,607188,R,506702,L,50,Groundout,6,6,190421_000309,ee41afc2-f900-44c5-8eb2-d8ae8c2eda7e,2,2,0,X,In play- out(s),FF,8,2.0,3.31,1.51,93.7,84.9,,-0.94,50.0,6.13,0.13,1.94,-4.35,10.09,4.38,-136.01,-8.67,-8.05,32.87,-13.47,24.0,3.6,24.0,2278,202,,,,,,,0,1,-3,top
2019-09-03,566675,7,607188,R,643217,L,51,Flyout,1,1,190421_000354,a9b3fe43-2256-4de9-b164-6fd82e01193e,0,0,1,X,In play- out(s),FF,2,2.0,3.22,1.49,93.4,84.1,,-0.89,50.0,6.2,-0.22,3.06,-4.11,9.72,3.2,-135.65,-5.65,-7.53,34.1,-14.35,22.8,3.6,24.0,2215,201,,,,,,,0,1,-3,top
2019-09-03,566675,7,607188,R,605141,R,52,Strikeout,5,1,190421_000424,a0c52fa5-0669-4fe9-9533-9c04b71a192a,0,0,2,S,Called Strike,FF,5,2.0,3.22,1.49,94.1,85.1,,-0.76,50.0,6.13,0.23,2.12,-3.31,11.43,3.81,-136.63,-8.73,-6.17,33.7,-10.84,21.6,3.6,24.0,2247,195,,,,,,,0,1,-3,top
2019-09-03,566675,7,607188,R,605141,R,52,Strikeout,5,2,190421_000439,4db14457-696d-49ee-a8c3-effbe914310a,0,1,2,B,Ball,SL,8,2.0,3.23,1.55,84.1,77.3,,-1.12,50.0,6.03,-0.08,1.61,0.44,2.92,2.38,-122.29,-4.9,0.66,24.41,-27.75,2.4,7.2,24.0,1883,163,,,,,,,0,1,-3,top
2019-09-03,566675,7,607188,R,605141,R,52,Strikeout,5,3,190421_000453,d0ac45d2-1140-426c-82cf-08464ed09d9c,1,1,2,B,Ball,SL,14,2.0,3.22,1.49,84.9,78.2,,-0.91,50.0,5.98,1.05,0.74,-0.52,2.72,4.93,-123.27,-6.99,-0.8,24.84,-27.99,0.0,7.2,24.0,1897,176,,,,,,,0,1,-3,top
2019-09-03,566675,7,607188,R,605141,R,52,Strikeout,5,4,190421_000509,1687c300-7687-4d78-b018-a614d0fde669,2,1,2,S,Called Strike,FF,14,2.0,3.22,1.49,93.9,86.2,,-0.85,50.0,6.01,0.1,1.37,-1.65,12.72,3.14,-136.32,-10.99,-3.12,28.95,-8.16,13.2,2.4,24.0,2197,186,,,,,,,0,1,-3,top
2019-09-03,566675,7,607188,R,605141,R,52,Strikeout,5,5,190421_000535,d4ccc24d-5860-41bc-8b05-d05ea43f4426,2,2,2,S,Swinging Strike,SL,14,2.0,3.33,1.58,84.5,78.4,,-1.03,50.0,6.01,0.01,1.0,1.25,1.34,2.13,-122.89,-5.98,1.92,23.04,-30.11,3.6,8.4,24.0,1998,117,,,,,,,0,1,-3,top
2019-09-03,566675,8,607188,R,456665,R,59,Double,7,1,190421_002752,248b46c0-3808-40a5-a759-f0a6d7813f0d,0,0,0,S,Called Strike,FF,7,2.0,3.25,1.55,93.0,84.3,,-0.87,50.0,6.11,-0.5,1.78,0.03,12.61,0.97,-134.98,-9.8,0.05,31.89,-9.11,1.2,2.4,24.0,2186,179,,,,,456665,,0,0,-1,top
2019-09-03,566675,8,607188,R,456665,R,59,Double,7,2,190421_002808,527f422f-2f72-44e3-913f-04041d078c37,0,1,0,S,Swinging Strike,FF,1,2.0,3.39,1.55,92.5,83.8,,-0.88,50.0,6.21,-0.33,3.26,-1.26,11.82,1.88,-134.52,-5.77,-2.28,31.77,-10.72,8.4,2.4,24.0,2209,185,,,,,456665,,0,0,-1,top
2019-09-03,566675,8,607188,R,456665,R,59,Double,7,3,190421_002825,cf89d6a4-8e7c-4aab-a3a8-c08baef98f92,0,2,0,B,Ball,FS,14,2.0,3.3,1.55,83.0,75.8,,-0.97,50.0,5.94,0.07,0.57,-9.53,4.04,5.4,-120.44,-7.18,-13.86,25.47,-26.3,25.2,8.4,24.0,1302,249,,,,,456665,,0,0,-1,top
2019-09-03,566675,8,607188,R,456665,R,59,Double,7,4,190421_002849,052636a2-c1c3-49fe-926e-1641c94dba25,1,2,0,B,Ball,FF,11,2.0,3.32,1.55,93.6,84.6,,-0.91,50.0,6.38,-0.63,4.87,-1.67,10.87,1.33,-136.13,-1.79,-3.1,32.77,-11.99,13.2,2.4,24.0,2201,187,,,,,456665,,0,0,-1,top
2019-09-03,566675,8,607188,R,456665,R,59,Double,7,5,190421_002908,2eb3f1f9-bc6e-4792-a822-a9981dd9c224,2,1,0,S,Foul,FF,1,2.0,3.39,1.55,93.6,85.0,,-0.82,50.0,6.19,-0.54,2.97,-0.94,11.68,1.08,-136.06,-6.68,-1.74,31.69,-10.42,7.2,2.4,24.0,2188,184,,,,,456665,,0,0,-1,top
