Date, Game, Inning, Pitcher, Hand, Batter, Stand, AB_ID, Result, AB_Total, AB_Count, Pfx_ID, Play_ID, Balls, Strikes, Outs, Code, Pdes, Type, Zone, Con, SZ_Top, SZ_Bot, Start_Speed, End_Speed, Nasty_Factor, X0, Y0, Z0, PX, PZ, PfxX, PfxZ, VX0, VY0, VZ0, AX, AY, AZ, Break_Angle, Break_Length, Break_Y, Spin_Rate, Spin_Direction, Runner 1B, Runner 2B, Runner 3B, End 1B, End 2B, End 3B, Runs, Outs On Play, Run Diff, Half
2017-05-05,490543,6,622097,R,446308,L,47,Flyout,2,1,170506_005436,39b1b82f-b673-43fb-a5a3-b00f55ef7bd7,0,0,0,B,Ball,FF,14,2.0,3.74,1.96,92.0,83.8,51.46,-0.97,50.0,5.83,0.47,0.1,-2.22,10.12,4.52,-133.15,-12.31,-3.97,30.28,-14.12,9.6,3.6,24.0,2175,191,,,,,,,0,1,-4,top
2017-05-05,490543,6,622097,R,446308,L,47,Flyout,2,2,170506_005502,b8f1f0e6-f70c-475b-871e-79e388eb9507,1,0,0,X,In play- out(s),FF,8,2.0,3.95,1.68,91.3,83.0,34.44,-1.24,50.0,5.82,-0.02,1.92,-2.8,9.6,4.13,-132.5,-7.25,-4.94,30.01,-15.22,13.2,3.6,24.0,2187,195,,,,,,,0,1,-4,top
2017-05-05,490543,6,622097,R,544931,R,48,Strikeout,6,1,170506_005526,cb97e3e0-35f8-4f2e-8fb4-93b6ece0eac2,0,0,1,S,Called Strike,FF,8,2.0,3.67,1.7,92.0,83.0,52.25,-0.86,50.0,5.96,0.22,2.12,-3.27,11.02,3.94,-133.36,-7.67,-5.82,31.98,-12.57,19.2,3.6,24.0,2178,196,,,,,,,0,1,-4,top
2017-05-05,490543,6,622097,R,544931,R,48,Strikeout,6,2,170506_005536,597e5bb0-2e45-4836-86e3-4ef823698b0f,0,1,1,B,Ball,FF,14,2.0,3.75,1.84,90.9,83.1,24.95,-0.73,50.0,5.96,1.76,1.03,-0.74,9.39,6.71,-131.53,-9.76,-1.29,28.07,-15.73,0.0,3.6,24.0,2270,179,,,,,,,0,1,-4,top
2017-05-05,490543,6,622097,R,544931,R,48,Strikeout,6,3,170506_005548,aee3cf04-1d39-43a7-96f9-4fce1be8a810,1,1,1,B,Ball,FF,14,2.0,3.72,1.82,91.1,83.0,39.71,-0.85,50.0,5.87,0.59,0.39,-1.88,9.86,4.38,-131.92,-11.35,-3.3,29.61,-14.9,7.2,3.6,24.0,2273,189,,,,,,,0,1,-4,top
2017-05-05,490543,6,622097,R,544931,R,48,Strikeout,6,4,170506_005609,0182c91a-a15f-42f8-814a-75b0dddbcebb,2,1,1,S,Swinging Strike,FF,6,2.0,3.59,1.65,91.5,82.9,32.71,-1.05,50.0,5.99,0.36,2.68,-1.9,9.26,4.33,-132.7,-5.62,-3.36,30.47,-15.79,8.4,3.6,24.0,2181,189,,,,,,,0,1,-4,top
2017-05-05,490543,6,622097,R,544931,R,48,Strikeout,6,5,170506_005624,494a7323-f929-41dd-b7eb-d4049ee6f429,2,2,1,B,Ball,CH,13,2.0,3.62,1.78,85.6,78.2,24.44,-1.16,50.0,6.17,-1.42,2.17,-6.43,2.97,1.41,-124.34,-4.17,-10.01,26.31,-27.55,19.2,8.4,24.0,1306,255,,,,,,,0,1,-4,top
2017-05-05,490543,6,622097,R,544931,R,48,Strikeout,6,6,170506_005640,f5a37323-d6a0-4cf7-a69e-8ba86cfd8c49,3,2,1,S,Called Strike,FF,4,2.0,3.66,1.83,92.1,83.6,43.64,-0.97,50.0,5.99,-0.65,2.63,-1.07,8.56,1.23,-133.61,-5.63,-1.93,30.64,-16.8,4.8,3.6,24.0,2176,187,,,,,,,0,1,-4,top
2017-05-05,490543,6,622097,R,607208,R,49,Strikeout,4,1,170506_005713,5954df2f-4727-4ebf-98b0-baa751740c93,0,0,2,B,Ball,FF,11,2.0,3.81,1.8,89.9,81.6,73.89,-0.97,50.0,6.13,-0.56,3.9,-0.51,9.92,1.21,-130.62,-2.8,-0.88,28.84,-15.13,2.4,3.6,24.0,2191,182,,,,,,,0,1,-4,top
2017-05-05,490543,6,622097,R,607208,R,49,Strikeout,4,2,170506_005728,e799cb37-5c0f-4b95-9459-d24f1a56566a,1,0,2,S,Foul,FF,11,2.0,3.53,1.65,90.8,82.5,55.81,-1.15,50.0,6.06,-0.93,3.03,-1.47,10.46,1.06,-131.79,-5.2,-2.57,29.24,-13.87,8.4,3.6,24.0,2273,188,,,,,,,0,1,-4,top
2017-05-05,490543,6,622097,R,607208,R,49,Strikeout,4,3,170506_005800,2a6d9eee-68ec-4130-84be-a6c06100c853,1,1,2,S,Swinging Strike,CH,13,2.0,3.53,1.65,86.2,78.5,19.96,-1.08,50.0,5.94,-0.1,0.64,-7.13,3.9,4.68,-124.98,-7.72,-11.16,27.63,-26.08,20.4,7.2,24.0,1294,252,,,,,,,0,1,-4,top
