Date, Game, Inning, Pitcher, Hand, Batter, Stand, AB_ID, Result, AB_Total, AB_Count, Pfx_ID, Play_ID, Balls, Strikes, Outs, Code, Pdes, Type, Zone, Con, SZ_Top, SZ_Bot, Start_Speed, End_Speed, Nasty_Factor, X0, Y0, Z0, PX, PZ, PfxX, PfxZ, VX0, VY0, VZ0, AX, AY, AZ, Break_Angle, Break_Length, Break_Y, Spin_Rate, Spin_Direction, Runner 1B, Runner 2B, Runner 3B, End 1B, End 2B, End 3B, Runs, Outs On Play, Run Diff, Half
2019-09-24,566664,7,656222,L,455139,R,47,Strikeout,5,1,190328_214407,02cbcbff-0369-4e8d-a6b4-f8b29d0ca2d7,0,0,0,S,Called Strike,FF,4,2.0,2.76,1.23,93.6,85.9,,0.53,50.0,5.96,-0.61,2.45,4.44,9.61,-4.62,-136.21,-6.83,8.36,29.28,-14.08,25.2,3.6,24.0,1937,156,,,,,,,0,1,-4,top
2019-09-24,566664,7,656222,L,455139,R,47,Strikeout,5,2,190328_214426,c5bf9bd7-ad58-4c9e-9181-246a43a55454,0,1,0,S,Swinging Strike,FF,5,2.0,3.06,1.4,93.2,85.2,,0.57,50.0,5.86,0.21,2.22,2.16,11.65,-1.72,-135.54,-7.78,4.01,29.72,-10.5,16.8,2.4,24.0,1987,169,,,,,,,0,1,-4,top
2019-09-24,566664,7,656222,L,455139,R,47,Strikeout,5,3,190328_214447,c06461e1-552b-40e5-af1e-49e656c5d65a,0,2,0,B,Ball,CH,12,2.0,2.77,1.29,88.7,81.2,,0.84,50.0,6.02,1.78,3.02,10.18,4.6,-0.99,-129.16,-2.86,17.15,27.53,-24.42,33.6,7.2,24.0,1907,113,,,,,,,0,1,-4,top
2019-09-24,566664,7,656222,L,455139,R,47,Strikeout,5,4,190328_214508,d48f0a4d-6ebe-4bde-9cf9-43fe8a04c6b5,1,1,0,S,Foul,FF,11,2.0,3.06,1.4,92.3,84.2,,0.38,50.0,5.88,-0.98,2.48,3.85,10.71,-4.92,-134.17,-6.61,7.0,29.74,-12.7,22.8,3.6,24.0,1997,162,,,,,,,0,1,-4,top
2019-09-24,566664,7,656222,L,455139,R,47,Strikeout,5,5,190328_214532,4fc23955-a483-4da3-8eb3-8018286cb52f,1,2,0,S,Called Strike,CH,8,2.0,2.77,1.18,87.8,80.5,,0.55,50.0,5.9,-0.1,2.01,10.41,6.95,-5.06,-127.67,-5.7,17.18,26.27,-20.71,36.0,7.2,24.0,2032,123,,,,,,,0,1,-4,top
2019-09-24,566664,7,656222,L,649557,R,48,Strikeout,6,1,190328_214603,a3567c36-e58c-49b3-aa49-93337cf6bbf9,0,0,1,S,Called Strike,CU,4,2.0,3.3,1.53,77.5,71.4,,0.53,50.0,6.29,-0.55,2.26,-5.52,-6.05,-0.82,-112.71,0.02,-7.07,21.34,-39.92,9.6,13.2,24.0,2642,315,,,,,,,0,1,-4,top
2019-09-24,566664,7,656222,L,649557,R,48,Strikeout,6,2,190328_214620,7ddcd02e-e2f9-41bb-be04-e731aff0d24d,0,1,1,S,Foul,CH,5,2.0,3.41,1.56,87.8,80.3,,0.51,50.0,5.97,0.06,2.6,9.22,6.21,-4.16,-127.9,-4.15,15.21,27.41,-21.93,32.4,7.2,24.0,1770,123,,,,,,,0,1,-4,top
2019-09-24,566664,7,656222,L,649557,R,48,Strikeout,6,3,190328_214642,4535851b-4d04-430a-92ba-7c3c26384656,0,2,1,B,Ball,FF,11,2.0,3.38,1.59,92.8,85.1,,0.38,50.0,6.07,-1.06,4.25,2.78,8.94,-4.81,-135.1,-1.94,5.16,28.4,-15.59,14.4,3.6,24.0,1855,165,,,,,,,0,1,-4,top
2019-09-24,566664,7,656222,L,649557,R,48,Strikeout,6,4,190328_214701,c94e61d6-ba2f-483d-ace5-d0511cbfb8fe,1,1,1,S,Foul,FF,12,2.0,3.4,1.57,93.9,86.0,,0.58,50.0,5.91,0.83,2.98,4.08,9.48,-0.76,-136.67,-5.28,7.74,29.53,-14.2,26.4,3.6,24.0,1873,156,,,,,,,0,1,-4,top
2019-09-24,566664,7,656222,L,649557,R,48,Strikeout,6,5,190328_214720,bcc2d42d-b78a-4370-8f32-8e4c492ede54,1,2,1,B,Ball,CH,14,2.0,3.4,1.65,89.5,81.7,,0.55,50.0,5.84,0.34,1.06,10.95,5.32,-4.18,-130.03,-7.71,18.6,29.25,-23.14,36.0,7.2,24.0,2053,113,,,,,,,0,1,-4,top
2019-09-24,566664,7,656222,L,649557,R,48,Strikeout,6,6,190328_214737,2d717995-719a-4443-b16a-940812d06956,2,2,1,S,Swinging Strike,FF,11,2.0,3.55,1.62,93.2,84.3,,0.44,50.0,5.98,-0.78,3.73,2.73,10.45,-4.18,-135.53,-3.58,5.02,32.39,-12.92,16.8,3.6,24.0,2106,167,,,,,,,0,1,-4,top
2019-09-24,566664,7,656222,L,545350,R,49,Single,6,1,190328_214810,aa2b5fa8-a9d5-4e02-9993-b2f10db8968c,0,0,2,S,Called Strike,FF,13,2.0,3.53,1.54,93.4,84.7,,0.39,50.0,5.84,-0.55,1.51,2.41,10.81,-3.31,-135.62,-9.22,4.43,32.6,-12.26,14.4,3.6,24.0,2153,168,,,,545350,,,0,0,-4,top
2019-09-24,566664,7,656222,L,545350,R,49,Single,6,2,190328_214829,dc58e765-d5fc-4d7c-ac44-f27f7e2b167e,0,1,2,S,Called Strike,CH,6,2.0,3.34,1.6,88.9,81.0,,0.57,50.0,6.02,0.27,2.63,10.75,5.62,-4.32,-129.31,-4.18,18.08,28.51,-22.71,36.0,7.2,24.0,1921,117,,,,545350,,,0,0,-4,top
2019-09-24,566664,7,656222,L,545350,R,49,Single,6,3,190328_214847,4c4eec3c-090b-438b-9c01-a1f059e23350,0,2,2,B,Ball,FF,11,2.0,3.31,1.6,94.1,85.2,,0.33,50.0,5.96,-1.3,3.3,2.46,10.48,-5.24,-136.83,-4.83,4.62,33.08,-12.51,14.4,3.6,24.0,2188,169,,,,545350,,,0,0,-4,top
2019-09-24,566664,7,656222,L,545350,R,49,Single,6,4,190328_214907,d3017747-0e7f-4542-b590-1723f7d78b8a,1,1,2,S,Foul,FF,5,2.0,3.55,1.63,93.8,84.8,,0.47,50.0,5.83,-0.06,2.78,4.46,10.68,-2.96,-136.36,-5.89,8.3,33.31,-12.31,28.8,3.6,24.0,2150,157,,,,545350,,,0,0,-4,top
2019-09-24,566664,7,656222,L,545350,R,49,Single,6,5,190328_214928,ca393e6b-e667-44c4-925c-5ac7eb5305d2,1,2,2,B,Ball,CH,14,2.0,3.34,1.59,88.7,80.7,,0.65,50.0,5.76,0.54,0.67,10.12,6.15,-3.58,-128.88,-8.56,16.8,29.95,-21.96,33.6,7.2,24.0,2010,117,,,,545350,,,0,0,-4,top
