Date, Game, Inning, Pitcher, Hand, Batter, Stand, AB_ID, Result, AB_Total, AB_Count, Pfx_ID, Play_ID, Balls, Strikes, Outs, Code, Pdes, Type, Zone, Con, SZ_Top, SZ_Bot, Start_Speed, End_Speed, Nasty_Factor, X0, Y0, Z0, PX, PZ, PfxX, PfxZ, VX0, VY0, VZ0, AX, AY, AZ, Break_Angle, Break_Length, Break_Y, Spin_Rate, Spin_Direction, Runner 1B, Runner 2B, Runner 3B, End 1B, End 2B, End 3B, Runs, Outs On Play, Run Diff, Half
2019-09-08,566731,6,624586,R,595281,L,50,Flyout,4,1,190901_191143,961bc988-3e78-44ed-b6ba-2690b4310688,0,0,0,S,Foul,FF,1,,3.35,1.58,92.7,85.3,,-1.6,50.0,6.26,-0.53,2.84,-7.86,8.24,5.59,-134.9,-5.96,-14.58,27.66,-16.91,37.2,4.8,24.0,1947,223,,,,,,,0,1,-3,bottom
2019-09-08,566731,6,624586,R,595281,L,50,Flyout,4,2,190901_191210,ad9853aa-91a9-46ec-8d87-9a396e6b98a0,0,1,0,B,Ball,FT,11,,3.52,1.58,94.7,86.8,,-1.45,50.0,6.35,-1.03,3.29,-11.23,3.73,5.11,-137.76,-3.73,-21.6,30.22,-24.99,38.4,7.2,24.0,1916,252,,,,,,,0,1,-3,bottom
2019-09-08,566731,6,624586,R,595281,L,50,Flyout,4,3,190901_191234,7eb67cea-021b-47cb-aabd-99498663aa02,1,1,0,B,Ball,SL,11,,3.22,1.44,84.7,79.9,,-1.94,50.0,6.23,-0.81,2.9,0.33,-3.2,2.68,-123.57,-0.65,0.53,18.37,-37.25,1.2,9.6,24.0,2470,10,,,,,,,0,1,-3,bottom
2019-09-08,566731,6,624586,R,595281,L,50,Flyout,4,4,190901_191257,d833ddbb-449a-413b-907c-71411c28fbd3,2,1,0,X,In play- out(s),FT,2,,3.35,1.58,93.7,86.0,,-1.44,50.0,6.27,0.03,3.01,-9.79,5.33,7.39,-136.25,-4.66,-18.44,29.15,-22.13,36.0,6.0,24.0,2051,241,,,,,,,0,1,-3,bottom
2019-09-08,566731,6,624586,R,663993,L,51,Strikeout,4,1,190901_191336,e2f7a3c0-bedb-48fb-945d-c76392a0e618,0,0,1,S,Called Strike,FT,13,,3.37,1.58,94.6,86.7,,-1.53,50.0,6.21,-0.71,2.22,-9.95,5.51,5.75,-137.48,-6.85,-19.05,30.23,-21.63,37.2,6.0,24.0,2130,242,,,,,,,0,1,-3,bottom
2019-09-08,566731,6,624586,R,663993,L,51,Strikeout,4,2,190901_191355,5854f3e4-8d16-4767-ac45-05e374fc8c66,0,1,1,S,Called Strike,CH,9,,3.41,1.63,89.9,82.3,,-1.55,50.0,6.14,0.53,1.87,-8.14,5.6,8.08,-130.5,-6.6,-14.01,27.84,-22.54,27.6,6.0,24.0,1449,235,,,,,,,0,1,-3,bottom
2019-09-08,566731,6,624586,R,663993,L,51,Strikeout,4,3,190901_191420,b99bc1a9-48fd-4264-9b0e-8571cf46ba3f,0,2,1,B,Ball,SL,14,,3.41,1.57,85.3,80.2,,-1.71,50.0,6.01,1.21,0.67,-0.89,-2.99,7.49,-124.02,-5.68,-1.41,20.93,-36.91,0.0,9.6,24.0,2563,358,,,,,,,0,1,-3,bottom
2019-09-08,566731,6,624586,R,663993,L,51,Strikeout,4,4,190901_191448,e309d78d-f669-4e97-8a87-d7695089be45,1,2,1,S,Swinging Strike,FT,5,,3.4,1.59,94.9,86.8,,-1.27,50.0,6.22,0.19,2.73,-10.05,6.47,7.54,-137.94,-5.88,-19.35,30.79,-19.72,39.6,6.0,24.0,2077,237,,,,,,,0,1,-3,bottom
2019-09-08,566731,6,624586,R,572287,R,52,Strikeout,4,1,190901_191519,a9c4b570-26e7-4ed8-84ed-846ff9ee1388,0,0,2,S,Swinging Strike,SL,14,,3.4,1.59,84.7,79.1,,-1.98,50.0,5.89,0.98,1.89,1.21,-0.3,6.86,-123.31,-3.13,1.9,21.32,-32.65,4.8,8.4,24.0,2542,75,,,,,,,0,1,-3,bottom
2019-09-08,566731,6,624586,R,572287,R,52,Strikeout,4,2,190901_191542,125c961e-c953-4f05-ab55-b1ef0146a8fe,0,1,2,S,Foul,SL,14,,3.4,1.59,85.1,79.6,,-2.04,50.0,5.9,0.13,1.39,1.89,-1.34,4.73,-123.88,-4.12,2.99,21.25,-34.29,6.0,8.4,24.0,2574,55,,,,,,,0,1,-3,bottom
