Date, Game, Inning, Pitcher, Hand, Batter, Stand, AB_ID, Result, AB_Total, AB_Count, Pfx_ID, Play_ID, Balls, Strikes, Outs, Code, Pdes, Type, Zone, Con, SZ_Top, SZ_Bot, Start_Speed, End_Speed, Nasty_Factor, X0, Y0, Z0, PX, PZ, PfxX, PfxZ, VX0, VY0, VZ0, AX, AY, AZ, Break_Angle, Break_Length, Break_Y, Spin_Rate, Spin_Direction, Runner 1B, Runner 2B, Runner 3B, End 1B, End 2B, End 3B, Runs, Outs On Play, Run Diff, Half
2019-09-18,566251,1,621086,R,669242,L,0,Groundout,7,1,190908_173656,379d1d24-1805-4fcf-b22c-6aa9f4a65cce,0,0,0,S,Called Strike,SI,7,2.0,3.16,1.5,91.3,84.2,,-1.65,50.0,5.86,-0.59,1.62,-9.23,5.24,5.94,-132.59,-6.81,-16.56,26.37,-22.77,32.4,6.0,24.0,2027,241,,,,,,,0,1,0,top
2019-09-18,566251,1,621086,R,669242,L,0,Groundout,7,2,190908_173713,77b166c5-326a-4894-88fd-6519d21ee84f,0,1,0,B,Ball,CH,13,2.0,3.08,1.45,85.2,78.8,,-1.77,50.0,5.73,-0.56,1.38,-8.41,1.75,5.64,-123.68,-4.63,-13.12,22.94,-29.44,21.6,8.4,24.0,1244,259,,,,,,,0,1,0,top
2019-09-18,566251,1,621086,R,669242,L,0,Groundout,7,3,190908_173725,93f42bb6-820a-45e3-b05a-c020107e5b5a,1,1,0,B,Ball,CH,11,2.0,3.01,1.43,83.8,77.5,,-1.76,50.0,5.89,-1.02,2.36,-7.12,-0.48,4.02,-121.78,-1.7,-10.78,21.92,-32.91,16.8,9.6,24.0,1308,274,,,,,,,0,1,0,top
2019-09-18,566251,1,621086,R,669242,L,0,Groundout,7,4,190908_173738,0a60133c-79e1-4a7f-874f-e5a5a30f282d,2,1,0,S,Swinging Strike,SI,14,2.0,3.06,1.43,90.2,83.0,,-1.55,50.0,5.8,0.18,1.39,-10.24,2.11,7.93,-130.78,-5.9,-17.83,26.3,-28.51,28.8,8.4,24.0,1829,260,,,,,,,0,1,0,top
2019-09-18,566251,1,621086,R,669242,L,0,Groundout,7,5,190908_173753,8dda0ff9-6040-43fa-8847-b87db0e2936e,2,1,0,S,Foul,CU,14,2.0,3.06,1.43,80.6,74.8,,-1.52,50.0,6.06,0.43,1.07,5.56,-4.48,2.85,-117.06,-3.24,7.74,21.48,-38.4,12.0,12.0,24.0,2357,51,,,,,,,0,1,0,top
2019-09-18,566251,1,621086,R,669242,L,0,Groundout,7,6,190908_173819,3450f013-f766-466d-bd70-507557b8320d,2,2,0,B,Ball,CU,14,2.0,2.94,1.28,82.3,76.4,,-1.28,50.0,5.92,1.97,-0.22,2.82,-2.99,6.8,-119.3,-6.7,4.06,22.96,-36.49,7.2,10.8,24.0,2419,45,,,,,,,0,1,0,top
2019-09-18,566251,1,621086,R,669242,L,0,Groundout,7,7,190908_173843,37c2f306-306c-439f-9a6b-05dcd0e4547b,3,2,0,X,In play- out(s),SI,5,2.0,3.06,1.43,91.4,84.4,,-1.55,50.0,5.81,0.0,2.2,-7.79,1.31,6.76,-132.76,-3.84,-14.02,26.12,-29.81,22.8,7.2,24.0,1738,261,,,,,,,0,1,0,top
2019-09-18,566251,1,621086,R,543939,L,1,Groundout,4,1,190908_173918,54f14fa5-e546-4ece-ba4e-cf5b469f2f97,0,0,1,S,Called Strike,CU,5,2.0,3.16,1.45,80.1,74.3,,-1.47,50.0,6.25,0.08,2.47,2.84,-3.11,2.71,-116.46,-0.8,3.93,20.36,-36.48,7.2,10.8,24.0,2296,46,,,,,,,0,1,0,top
2019-09-18,566251,1,621086,R,543939,L,1,Groundout,4,2,190908_173931,01834f29-6c04-486f-87c2-3418d51a60e8,0,1,1,B,Ball,SI,13,2.0,3.1,1.39,92.2,85.4,,-1.66,50.0,5.72,-0.14,1.12,-10.12,3.78,7.52,-133.75,-7.45,-18.54,25.78,-25.26,32.4,7.2,24.0,1854,251,,,,,,,0,1,0,top
2019-09-18,566251,1,621086,R,543939,L,1,Groundout,4,3,190908_173948,0a3e1cab-ca69-4d20-9a2d-630f42e6f873,1,1,1,S,Foul,FF,12,2.0,3.13,1.5,91.2,84.5,,-1.43,50.0,5.94,1.06,2.46,-4.29,6.65,8.0,-132.45,-5.29,-7.72,24.65,-20.2,16.8,4.8,24.0,1841,208,,,,,,,0,1,0,top
