Date, Game, Inning, Pitcher, Hand, Batter, Stand, AB_ID, Result, AB_Total, AB_Count, Pfx_ID, Play_ID, Balls, Strikes, Outs, Code, Pdes, Type, Zone, Con, SZ_Top, SZ_Bot, Start_Speed, End_Speed, Nasty_Factor, X0, Y0, Z0, PX, PZ, PfxX, PfxZ, VX0, VY0, VZ0, AX, AY, AZ, Break_Angle, Break_Length, Break_Y, Spin_Rate, Spin_Direction, Runner 1B, Runner 2B, Runner 3B, End 1B, End 2B, End 3B, Runs, Outs On Play, Run Diff, Half
2019-09-12,565150,9,656803,R,592200,R,75,Walk,6,1,190524_212712,db01a186-fb41-4f45-afa5-82bb057d4419,0,0,0,S,Called Strike,SL,4,,3.17,1.44,81.7,75.4,,-2.26,50.0,6.09,-0.31,2.36,1.02,0.08,4.28,-118.91,-1.92,1.47,22.41,-32.06,3.6,9.6,24.0,,90,608385,,,592200,608385,,0,0,-1,top
2019-09-12,565150,9,656803,R,592200,R,75,Walk,6,2,190524_212730,e0b2f596-c5d7-4cb5-b263-64bd8515dedb,0,1,0,B,Ball,SL,14,,3.17,1.49,82.4,76.0,,-2.06,50.0,5.95,0.5,0.44,0.45,-1.58,5.89,-119.62,-5.69,0.65,24.03,-34.45,2.4,9.6,24.0,1871,30,608385,,,592200,608385,,0,0,-1,top
2019-09-12,565150,9,656803,R,592200,R,75,Walk,6,3,190524_212752,ea38e75f-9a50-42df-9290-f79d91489af1,1,1,0,S,Called Strike,FF,8,,3.22,1.47,96.4,88.7,,-2.11,50.0,5.93,0.01,1.92,-5.51,10.47,7.86,-139.96,-9.07,-11.02,29.29,-11.25,36.0,3.6,24.0,2153,205,608385,,,592200,608385,,0,0,-1,top
2019-09-12,565150,9,656803,R,592200,R,75,Walk,6,4,190524_212811,70eb1803-1bb1-4246-8587-3532665d604d,1,2,0,B,Ball,FF,14,,3.17,1.49,95.6,88.2,,-1.89,50.0,5.89,1.16,1.49,-5.91,10.35,10.48,-138.66,-9.94,-11.63,27.97,-11.81,34.8,3.6,24.0,2083,207,608385,,,592200,608385,,0,0,-1,top
2019-09-12,565150,9,656803,R,592200,R,75,Walk,6,5,190524_212832,297fc787-a866-40b4-9c5d-e37711aa7471,2,2,0,B,Ball,FF,12,,3.17,1.49,96.8,89.2,,-1.92,50.0,6.02,1.06,2.64,-5.34,9.68,10.25,-140.5,-7.14,-10.77,28.86,-12.62,31.2,3.6,24.0,2178,205,608385,,,592200,608385,,0,0,-1,top
2019-09-12,565150,9,656803,R,592200,R,75,Walk,6,6,190524_212853,7f9de57d-cc7a-431b-9522-40d92afbbefd,3,2,0,B,Ball In Dirt,FF,14,,3.15,1.44,96.0,88.6,,-1.89,50.0,5.81,0.25,0.33,-4.6,10.36,7.55,-139.08,-12.96,-9.09,28.61,-11.71,27.6,3.6,24.0,2131,202,608385,,,592200,608385,,0,0,-1,top
2019-09-12,565150,9,656803,R,518618,L,76,Strikeout,5,1,190524_212928,75896506-0a99-4ca4-b16d-c8d4207b6159,0,0,0,S,Foul,FF,8,,3.22,1.6,95.2,87.7,,-2.07,50.0,5.93,-0.15,1.81,-5.16,10.26,7.09,-138.25,-9.06,-10.06,28.51,-12.16,31.2,3.6,24.0,2195,205,592200,608385,,,,,0,1,-1,top
2019-09-12,565150,9,656803,R,518618,L,76,Strikeout,5,2,190524_212951,8b7fdd8e-fa89-44a2-b64d-530ae242bc01,0,1,0,S,Called Strike,FF,4,,3.43,1.61,96.3,88.3,,-1.97,50.0,6.0,-0.25,2.22,-6.84,10.88,7.21,-139.74,-8.52,-13.59,29.97,-10.56,44.4,3.6,24.0,2098,210,592200,608385,,,,,0,1,-1,top
2019-09-12,565150,9,656803,R,518618,L,76,Strikeout,5,3,190524_213009,4534325b-3a35-4b79-9e24-b7e1e73b158a,0,1,0,S,Foul,FS,13,,3.37,1.6,86.8,81.0,,-2.11,50.0,6.03,-1.13,1.56,-5.49,0.55,4.27,-126.34,-4.97,-9.01,22.1,-31.28,14.4,8.4,24.0,,268,592200,608385,,,,,0,1,-1,top
2019-09-12,565150,9,656803,R,518618,L,76,Strikeout,5,4,190524_213041,2708b4d0-7e5d-4e05-b3c4-843b1569eb7a,0,1,0,S,Foul,FF,4,,3.32,1.6,95.8,88.1,,-1.9,50.0,5.95,-0.31,2.64,-6.1,9.79,6.58,-139.27,-6.78,-12.06,29.38,-12.83,37.2,3.6,24.0,2184,210,592200,608385,,,,,0,1,-1,top
