Date,Game,Inning,Pitcher,Hand,Batter,Stand,AB_ID,Result,AB_Total,AB_Count,Pfx_ID,Play_ID,Balls,Strikes,Outs,Code,Pdes,Type,Zone,Con,SZ_Top,SZ_Bot,Start_Speed,End_Speed,Nasty_Factor,X0,Y0,Z0,PX,PZ,PfxX,PfxZ,VX0,VY0,VZ0,AX,AY,AZ,Break_Angle,Break_Length,Break_Y,Spin_Rate,Spin_Direction,Runner 1B,Runner 2B,Runner 3B,End 1B,End 2B,End 3B,Runs,Outs On Play,Run Diff,Half
2017-04-28,490430,6,435400,R,606115,R,50,Double,8,1,170429_020458,37a443ff-6d6e-4a4d-a0e6-be334a458538,0,1,0,F,Foul,FF,12,2.0,3.75,1.54,92.1,83.5,61.54,-1.96,50.0,5.74,0.2,3.76,-6.34,11.89,7.85,-133.48,-3.17,-11.39,29.62,-10.79,39.6,3.6,24.0,2312,206,,,,,606115,,0,0,-2,bottom
2017-04-28,490430,6,435400,R,606115,R,50,Double,8,2,170429_020520,0b30f16e-b41c-4b0b-bd46-2926a90b6549,0,1,0,S,Swinging Strike,FF,11,2.0,3.75,1.54,92.6,84.4,68.48,-2.09,50.0,5.86,-0.87,3.76,-6.45,10.14,5.45,-134.34,-2.99,-11.81,28.68,-13.62,37.2,3.6,24.0,2394,212,,,,,606115,,0,0,-2,bottom
2017-04-28,490430,6,435400,R,606115,R,50,Double,8,3,170429_020543,bac937ee-0548-4291-8244-72c61159c609,0,2,0,F,Foul,FF,11,2.0,3.75,1.54,93.7,85.2,48.42,-1.97,50.0,5.82,-1.05,3.93,-5.73,10.65,4.44,-135.96,-2.79,-10.71,30.14,-12.26,37.2,3.6,24.0,2358,208,,,,,606115,,0,0,-2,bottom
2017-04-28,490430,6,435400,R,606115,R,50,Double,8,4,170429_020613,dc8d0aab-a431-4cfa-8aee-8dce20703b75,0,2,0,F,Foul,FF,3,2.0,3.75,1.54,95.1,85.9,47.07,-2.08,50.0,5.94,0.39,3.29,-6.59,13.32,9.01,-137.51,-5.92,-12.55,32.17,-6.82,51.6,2.4,24.0,2371,204,,,,,606115,,0,0,-2,bottom
2017-04-28,490430,6,435400,R,606115,R,50,Double,8,5,170429_020639,b0ab79bd-a63c-477a-ae36-64bb4011757f,0,2,0,F,Foul,FF,12,2.0,3.75,1.54,93.7,84.2,34.75,-1.68,50.0,6.02,0.44,3.95,-4.86,14.7,7.33,-135.69,-4.56,-8.94,33.23,-5.13,49.2,2.4,24.0,2441,196,,,,,606115,,0,0,-2,bottom
2017-04-28,490430,6,435400,R,606115,R,50,Double,8,6,170429_020708,060235b9-742d-45b9-9c80-ffce18343049,0,2,0,B,Ball,FC,14,2.0,3.57,1.73,85.0,78.5,27.33,-1.82,50.0,5.42,2.67,0.9,0.45,2.67,10.79,-123.09,-5.23,0.7,23.65,-28.06,4.8,7.2,24.0,2083,124,,,,,606115,,0,0,-2,bottom
2017-04-28,490430,6,435400,R,606115,R,50,Double,8,7,170429_020727,b612f2c4-3308-4003-bdbc-b9e18a14a439,1,2,0,B,Ball,FC,14,2.0,3.61,1.91,87.8,80.9,27.88,-2.19,50.0,5.36,1.7,1.86,0.32,3.92,9.69,-127.21,-3.71,0.52,24.81,-25.71,4.8,6.0,24.0,2205,152,,,,,606115,,0,0,-2,bottom
2017-04-28,490430,6,435400,R,606115,R,50,Double,8,8,170429_020748,05e80f16-0b40-4b62-aa22-ae73b2d07473,2,2,0,D,In play- no out,FF,7,2.0,3.75,1.54,93.4,85.1,41.04,-2.11,50.0,5.71,-0.46,2.03,-8.0,11.47,7.18,-135.37,-7.78,-14.84,29.73,-10.9,46.8,3.6,24.0,2449,215,,,,,606115,,0,0,-2,bottom
2017-04-28,490430,6,435400,R,570267,R,51,Home Run,1,1,170429_020850,05b6fb8f-3659-4af5-9ebb-5b2edd801b02,0,0,0,E,In play- run(s),FC,5,2.0,3.79,1.57,84.9,78.6,34.2,-2.3,50.0,5.5,0.04,2.77,-0.93,2.35,6.03,-123.42,-0.87,-1.45,21.93,-28.51,1.2,7.2,24.0,1989,188,,606115,,,,,2,0,-2,bottom
2017-04-28,490430,6,435400,R,542340,L,52,Groundout,2,1,170429_020955,aa5c55c0-bebe-489e-af7f-5f50ec156414,0,0,0,B,Ball,FF,13,2.0,3.38,1.84,91.4,83.9,78.5,-2.32,50.0,5.51,-1.28,1.67,-4.8,9.13,4.38,-132.62,-7.07,-8.59,27.05,-15.84,24.0,4.8,24.0,1931,209,,,,,,,0,1,-4,bottom
