Date, Game, Inning, Pitcher, Hand, Batter, Stand, AB_ID, Result, AB_Total, AB_Count, Pfx_ID, Play_ID, Balls, Strikes, Outs, Code, Pdes, Type, Zone, Con, SZ_Top, SZ_Bot, Start_Speed, End_Speed, Nasty_Factor, X0, Y0, Z0, PX, PZ, PfxX, PfxZ, VX0, VY0, VZ0, AX, AY, AZ, Break_Angle, Break_Length, Break_Y, Spin_Rate, Spin_Direction, Runner 1B, Runner 2B, Runner 3B, End 1B, End 2B, End 3B, Runs, Outs On Play, Run Diff, Half
2017-08-09,491798,6,457915,R,475582,R,54,Walk,4,1,170810_010203,159eab61-a386-481b-8687-9b072dfcd1b9,0,0,1,B,Ball,SL,12,2.0,3.86,1.9,87.6,80.2,81.32,-0.34,50.0,6.98,0.96,3.26,0.11,7.24,3.25,-127.2,-5.31,0.18,26.04,-20.31,2.4,4.8,24.0,1916,174,,506703,,475582,,,0,0,-5,bottom
2017-08-09,491798,6,457915,R,475582,R,54,Walk,4,2,170810_010220,ace3a9bf-3d0b-4e34-aec1-c7ff1c51dd19,1,0,1,B,Ball,FF,12,2.0,3.76,1.87,90.8,82.8,19.91,-0.12,50.0,6.95,1.62,2.96,-2.33,11.58,5.3,-131.58,-8.07,-4.08,28.18,-11.89,12.0,3.6,24.0,2061,189,,506703,,475582,,,0,0,-5,bottom
2017-08-09,491798,6,457915,R,475582,R,54,Walk,4,3,170810_010242,ba424d06-d7f0-4bc4-92eb-18ff3543c679,2,0,1,B,Ball,FF,12,2.0,3.65,1.87,91.9,83.1,27.07,-0.22,50.0,7.0,0.22,4.19,-2.45,13.54,1.98,-133.44,-5.85,-4.38,31.22,-7.99,22.8,2.4,24.0,2084,190,,506703,,475582,,,0,0,-5,bottom
2017-08-09,491798,6,457915,R,475582,R,54,Walk,4,4,170810_010304,5916008a-ead6-46ba-bac0-61280f16ea32,3,0,1,B,Ball,FF,14,2.0,3.7,1.9,91.2,83.0,22.09,-0.16,50.0,6.91,1.39,2.66,-0.59,12.36,4.24,-132.07,-9.07,-1.05,28.86,-10.41,1.2,2.4,24.0,2078,180,,506703,,475582,,,0,0,-5,bottom
2017-08-09,491798,6,457915,R,543685,R,55,Pop Out,5,1,170810_010348,d9685604-3a11-4f0f-a247-b2b9ff14ebe1,0,0,1,B,Ball,SL,11,2.0,3.44,1.64,87.9,80.4,56.74,-0.56,50.0,6.99,-0.33,4.01,3.76,8.09,-0.64,-127.79,-3.79,6.21,26.27,-18.79,16.8,4.8,24.0,1917,151,475582,,,,,,0,1,-5,bottom
2017-08-09,491798,6,457915,R,543685,R,55,Pop Out,5,2,170810_010410,a667e2a2-149d-486c-b64e-3fba4fd3edb4,1,0,1,S,Called Strike,SL,12,2.0,3.44,1.71,87.0,79.3,46.78,-0.33,50.0,6.93,0.74,2.99,2.73,8.12,1.79,-126.29,-5.95,4.39,26.95,-19.12,13.2,4.8,24.0,2025,155,475582,,,,,,0,1,-5,bottom
2017-08-09,491798,6,457915,R,543685,R,55,Pop Out,5,3,170810_010431,2c50e095-1032-48dd-b045-d725cfd61f52,1,1,1,S,Foul,FF,12,2.0,3.15,1.25,92.6,83.7,23.79,-0.18,50.0,6.83,0.19,3.73,-1.29,13.14,1.42,-134.34,-6.61,-2.34,31.45,-8.36,12.0,2.4,24.0,2047,185,475582,,,,,,0,1,-5,bottom
2017-08-09,491798,6,457915,R,543685,R,55,Pop Out,5,4,170810_010509,452683c6-4326-445a-993d-086f15ce06c8,1,1,1,S,Foul,FF,11,2.0,3.15,1.25,94.2,85.8,33.3,-0.45,50.0,6.85,-0.4,3.71,-3.4,12.79,1.33,-136.72,-7.02,-6.43,30.25,-7.98,32.4,2.4,24.0,2062,196,475582,,,,,,0,1,-5,bottom
2017-08-09,491798,6,457915,R,543685,R,55,Pop Out,5,5,170810_010559,a9531ade-ee47-4224-ba5f-f952a76b03e7,1,2,1,X,In play- out(s),SL,2,2.0,3.15,1.25,88.7,81.7,30.99,-0.42,50.0,6.89,0.13,2.92,1.6,8.35,0.89,-128.86,-6.59,2.7,25.25,-18.04,8.4,4.8,24.0,1888,166,475582,,,,,,0,1,-5,bottom
2017-08-09,491798,6,457915,R,446308,L,56,Walk,4,1,170810_010634,1f0f86b8-b762-4a08-9ac6-99955b024064,0,0,2,B,Ball,FF,14,2.0,3.79,2.0,89.2,82.0,38.26,-0.62,50.0,6.69,0.08,1.3,-0.49,10.7,1.95,-129.2,-11.04,-0.84,25.79,-14.0,1.2,3.6,24.0,1991,181,,,,446308,475582,506703,0,0,-5,bottom
