Date, Game, Inning, Pitcher, Hand, Batter, Stand, AB_ID, Result, AB_Total, AB_Count, Pfx_ID, Play_ID, Balls, Strikes, Outs, Code, Pdes, Type, Zone, Con, SZ_Top, SZ_Bot, Start_Speed, End_Speed, Nasty_Factor, X0, Y0, Z0, PX, PZ, PfxX, PfxZ, VX0, VY0, VZ0, AX, AY, AZ, Break_Angle, Break_Length, Break_Y, Spin_Rate, Spin_Direction, Runner 1B, Runner 2B, Runner 3B, End 1B, End 2B, End 3B, Runs, Outs On Play, Run Diff, Half
2018-04-26,529783,8,542924,L,429664,L,61,Strikeout,4,1,180427_002404,5cb4fcaf-e877-4d92-baf9-6c9f95c7c32a,0,0,1,S,Called Strike,FF,7,0.92,3.88,1.75,89.3,81.0,52.64,2.35,50.0,4.7,-0.42,2.31,8.23,9.92,-9.8,-129.57,-3.06,13.91,28.6,-15.41,36.0,4.8,24.0,2318,144,,,,,,,0,1,0,top
2018-04-26,529783,8,542924,L,429664,L,61,Strikeout,4,2,180427_002427,52026c19-248f-4422-bc0d-94ca14f3fc47,0,1,1,S,Foul,CU,8,0.91,3.6,1.55,73.6,67.1,23.34,2.49,50.0,4.87,0.16,1.7,-9.33,-6.68,-2.35,-106.99,2.85,-10.64,21.36,-39.79,15.6,14.4,24.0,2543,301,,,,,,,0,1,0,top
2018-04-26,529783,8,542924,L,429664,L,61,Strikeout,4,3,180427_002502,1dbeeac0-ca42-4027-bc97-308dd3653b6c,0,2,1,B,Ball,FF,11,0.91,3.9,1.81,89.4,81.2,39.05,2.31,50.0,4.99,-1.11,4.43,5.09,8.67,-10.43,-129.74,1.96,8.65,27.92,-17.44,20.4,4.8,24.0,2377,157,,,,,,,0,1,0,top
2018-04-26,529783,8,542924,L,429664,L,61,Strikeout,4,4,180427_002534,16b354ae-73ad-41ff-ada1-65dc589f350b,1,2,1,S,Called Strike,FF,13,0.91,3.91,1.82,89.6,81.9,50.54,2.39,50.0,4.65,-0.54,1.77,7.06,8.24,-9.88,-130.08,-3.89,12.09,27.31,-18.06,27.6,4.8,24.0,2377,143,,,,,,,0,1,0,top
2018-04-28,529811,5,542924,L,592387,R,41,Groundout,6,1,180428_214519,b5d87459-b1d5-4ec7-bc56-1c9f41c6857f,0,0,0,S,Called Strike,FF,7,0.9,3.52,1.58,88.3,80.2,52.9,2.35,50.0,4.78,-0.25,1.72,7.86,11.54,-9.12,-128.11,-5.13,13.0,27.6,-13.09,38.4,4.8,24.0,2286,148,,,,,,,0,1,-7,top
2018-04-28,529811,5,542924,L,592387,R,41,Groundout,6,2,180428_214541,8d65baef-0704-4bba-a83f-29bdbef3017b,0,1,0,S,Swinging Strike,CU,14,0.93,3.4,1.49,72.6,65.8,8.05,2.59,50.0,4.91,0.14,0.87,-9.63,-7.36,-2.46,-105.5,1.46,-10.55,22.58,-40.24,15.6,15.6,24.0,2497,303,,,,,,,0,1,-7,top
2018-04-28,529811,5,542924,L,592387,R,41,Groundout,6,3,180428_214610,09e6d2a4-8641-4a45-9359-81786b0a32d1,0,1,0,S,Foul,FF,11,0.88,3.4,1.49,88.5,81.1,45.54,2.17,50.0,4.89,-1.14,2.82,7.08,7.24,-10.74,-128.39,-1.33,11.88,25.16,-20.02,26.4,6.0,24.0,2184,141,,,,,,,0,1,-7,top
2018-04-28,529811,5,542924,L,592387,R,41,Groundout,6,4,180428_214638,41c09c06-d236-48e8-89bb-87a5000ecde2,0,2,0,B,Ball,CU,13,0.92,3.53,1.62,73.7,67.3,31.18,2.5,50.0,4.68,-1.2,-0.54,-5.73,-5.69,-6.18,-107.05,-1.69,-6.49,22.63,-38.62,10.8,14.4,24.0,2554,309,,,,,,,0,1,-7,top
2018-04-28,529811,5,542924,L,592387,R,41,Groundout,6,5,180428_214703,846cff4f-168f-42de-9f2f-7b8f6e9bef5e,1,2,0,B,Ball,FF,13,0.89,3.66,1.62,88.4,81.8,38.53,2.24,50.0,4.7,-1.19,1.19,7.97,8.01,-11.39,-128.31,-5.3,13.46,23.38,-18.65,30.0,6.0,24.0,2219,138,,,,,,,0,1,-7,top
2018-04-28,529811,5,542924,L,400085,L,42,Flyout,3,1,180428_214808,21ed0727-5e3d-488d-a8be-044a21eec899,0,0,1,S,Called Strike,FF,8,0.9,3.51,1.5,88.3,81.1,42.07,2.29,50.0,4.88,-0.12,2.03,7.54,9.64,-8.61,-128.3,-4.09,12.65,24.87,-16.0,33.6,4.8,24.0,2160,144,,,,,,,0,1,-7,top
