Date, Game, Inning, Pitcher, Hand, Batter, Stand, AB_ID, Result, AB_Total, AB_Count, Pfx_ID, Play_ID, Balls, Strikes, Outs, Code, Pdes, Type, Zone, Con, SZ_Top, SZ_Bot, Start_Speed, End_Speed, Nasty_Factor, X0, Y0, Z0, PX, PZ, PfxX, PfxZ, VX0, VY0, VZ0, AX, AY, AZ, Break_Angle, Break_Length, Break_Y, Spin_Rate, Spin_Direction, Runner 1B, Runner 2B, Runner 3B, End 1B, End 2B, End 3B, Runs, Outs On Play, Run Diff, Half
2019-08-26,566303,7,656257,R,614177,R,53,Walk,4,1,190601_043113,6a4fffd3-b7b2-49ea-8fa2-65571fac1b4d,0,0,2,B,Ball,FF,3,2.0,3.74,1.7,96.1,87.3,,-1.8,50.0,5.48,0.46,3.5,-4.99,10.06,7.99,-139.55,-3.2,-9.8,32.44,-12.41,31.2,3.6,24.0,2387,202,571976,,,614177,571976,,0,0,-3,bottom
2019-08-26,566303,7,656257,R,614177,R,53,Walk,4,2,190601_043149,715e180f-2aa2-4072-b108-a76800c30a65,1,0,2,B,Ball In Dirt,CU,14,2.0,3.79,1.76,81.6,75.2,,-2.03,50.0,5.26,1.15,0.87,7.7,0.7,5.09,-118.58,-3.61,10.92,23.46,-31.18,20.4,9.6,24.0,2824,92,571976,,,614177,571976,,0,0,-3,bottom
2019-08-26,566303,7,656257,R,614177,R,53,Walk,4,3,190601_043214,7d7529dc-aff0-42c3-972b-9954c821ee02,2,0,2,B,Ball In Dirt,FF,14,2.0,3.88,1.71,96.1,87.7,,-1.73,50.0,5.23,1.41,0.64,-8.58,10.03,11.68,-139.11,-10.31,-16.82,31.29,-12.53,44.4,4.8,24.0,2444,218,571976,,,614177,571976,,0,0,-3,bottom
2019-08-26,566303,7,656257,R,614177,R,53,Walk,4,4,190601_043249,15dbcceb-dd82-4c1f-b662-8376128ab1a2,3,0,2,B,Ball In Dirt,FF,14,2.0,3.74,1.71,94.5,86.1,,-1.81,50.0,5.16,0.71,0.31,-8.04,10.29,9.62,-136.71,-10.73,-15.19,30.71,-12.74,40.8,4.8,24.0,2466,216,571976,,,614177,571976,,0,0,-3,bottom
2019-08-26,566303,7,656257,R,592518,R,54,Strikeout,4,1,190601_043333,a601ed76-a4b7-4b0f-b6d6-23df8b4ae82f,0,0,2,S,Called Strike,FF,9,2.0,3.72,1.81,95.9,87.5,,-1.77,50.0,5.27,0.6,2.13,-6.92,9.96,8.99,-139.2,-6.32,-13.57,31.34,-12.63,39.6,3.6,24.0,2390,212,614177,571976,,,,571976,0,1,-3,bottom
2019-08-26,566303,7,656257,R,592518,R,54,Strikeout,4,2,190601_043358,2d622bc8-f9b6-47db-97c9-5dacf599cfae,0,1,2,B,Ball,CU,14,2.0,3.66,1.67,82.7,76.4,,-1.74,50.0,5.17,2.79,-1.5,6.1,-2.62,8.79,-119.78,-8.07,8.76,25.68,-35.94,15.6,10.8,24.0,2951,64,614177,571976,,,,571976,0,1,-3,bottom
2019-08-26,566303,7,656257,R,592518,R,54,Strikeout,4,3,190601_043445,1de921d5-9aff-4597-93fc-e1d46defb76e,1,1,2,S,Swinging Strike,CU,14,2.0,3.66,1.73,81.7,74.8,,-2.13,50.0,5.45,0.82,1.41,7.8,-4.26,4.53,-118.78,-1.25,11.01,25.25,-38.19,16.8,12.0,24.0,2850,63,614177,571976,,,,571976,0,1,-3,bottom
2019-08-26,566303,7,656257,R,592518,R,54,Strikeout,4,4,190601_043509,291e3adf-4415-4828-bfbf-716873dc0957,1,2,2,S,Swinging Strike,CU,14,2.0,3.66,1.73,83.0,76.2,,-1.82,50.0,5.42,1.6,1.67,9.13,-0.82,5.32,-120.56,-1.87,13.35,24.99,-33.37,22.8,9.6,24.0,2875,84,614177,571976,,,,571976,0,1,-3,bottom
2019-08-26,566305,9,656257,R,647304,L,69,Single,2,1,190603_013740,b72f4dca-291a-40a7-9f6c-aa2295069e73,0,0,0,S,Swinging Strike,FF,7,2.0,3.19,1.53,96.1,87.0,,-1.75,50.0,5.36,-0.25,1.64,-10.07,10.03,7.67,-139.42,-7.91,-19.64,34.03,-12.62,50.4,4.8,24.0,2379,224,,,,647304,,,0,0,8,bottom
2019-08-26,566305,9,656257,R,647304,L,69,Single,2,2,190603_013807,79ece4be-8786-4156-87b9-733ca640c9ac,0,1,0,X,In play- no out,FF,7,2.0,3.19,1.53,96.3,87.6,,-1.71,50.0,5.39,-0.28,1.61,-10.71,9.33,7.77,-139.73,-7.9,-21.07,32.9,-13.82,50.4,4.8,24.0,2497,228,,,,647304,,,0,0,8,bottom
2019-08-26,566305,9,656257,R,595978,R,70,Strikeout,5,1,190603_013843,5a065cf1-d773-46c7-89f4-a469f13fcbe2,0,0,0,S,Swinging Strike,FF,6,2.0,3.37,1.6,94.3,84.7,,-1.81,50.0,5.51,0.41,2.75,-8.48,11.56,8.88,-136.69,-5.44,-15.8,34.42,-10.63,48.0,3.6,24.0,2385,213,647304,,,,,,0,1,8,bottom
2019-08-26,566305,9,656257,R,595978,R,70,Strikeout,5,2,190603_013901,0299febc-4c40-4827-b5e9-dac3c6f84b1b,0,1,0,B,Ball,CU,14,2.0,3.5,1.66,82.5,75.3,,-1.92,50.0,5.54,1.71,2.35,9.71,-1.79,5.58,-119.72,-0.11,13.92,25.72,-34.75,22.8,10.8,24.0,3086,81,647304,,,,,,0,1,8,bottom
