Date, Game, Inning, Pitcher, Hand, Batter, Stand, AB_ID, Result, AB_Total, AB_Count, Pfx_ID, Play_ID, Balls, Strikes, Outs, Code, Pdes, Type, Zone, Con, SZ_Top, SZ_Bot, Start_Speed, End_Speed, Nasty_Factor, X0, Y0, Z0, PX, PZ, PfxX, PfxZ, VX0, VY0, VZ0, AX, AY, AZ, Break_Angle, Break_Length, Break_Y, Spin_Rate, Spin_Direction, Runner 1B, Runner 2B, Runner 3B, End 1B, End 2B, End 3B, Runs, Outs On Play, Run Diff, Half
2019-09-15,565712,1,622446,R,593160,R,3,Lineout,2,1,190413_232442,9f125d66-dfbd-4992-8190-02b733164d60,0,0,0,S,Called Strike,FF,2,2.0,3.33,1.54,93.6,85.8,,-2.03,50.0,6.41,0.14,2.93,-5.96,10.37,7.91,-135.99,-7.0,-11.2,28.92,-12.7,33.6,3.6,24.0,2336,207,,,,,,,0,1,0,bottom
2019-09-15,565712,1,622446,R,593160,R,3,Lineout,2,2,190413_232505,0c863cbe-11b5-427a-91b2-e86b7b95b23d,0,1,0,X,In play- out(s),FT,4,2.0,3.37,1.53,95.4,88.2,,-1.99,50.0,6.36,-0.41,2.17,-8.09,7.09,7.24,-138.74,-8.22,-15.94,28.05,-18.22,36.0,4.8,24.0,2335,229,,,,,,,0,1,0,bottom
2019-09-15,565712,1,622446,R,609275,L,4,Groundout,4,1,190413_232539,0e9523c6-ee0b-4f6c-ac7b-64647f13270b,0,0,1,S,Called Strike,CH,13,2.0,3.39,1.57,88.1,80.9,,-1.98,50.0,6.34,-0.8,1.88,-9.99,5.92,6.28,-128.09,-6.87,-16.59,26.46,-22.34,32.4,7.2,24.0,1758,240,,,,,,,0,1,0,bottom
2019-09-15,565712,1,622446,R,609275,L,4,Groundout,4,2,190413_232553,2ca1c2e7-b75e-4892-8b48-9a62c97f8913,0,1,1,B,Ball,FF,14,2.0,3.46,1.57,96.4,88.3,,-1.64,50.0,6.24,1.71,1.45,-5.87,9.75,11.34,-139.54,-10.87,-11.61,30.67,-12.9,31.2,3.6,24.0,2544,208,,,,,,,0,1,0,bottom
2019-09-15,565712,1,622446,R,609275,L,4,Groundout,4,3,190413_232607,a3536950-c7fa-4c96-bfa3-111094f7c8a7,1,1,1,B,Ball,CH,11,2.0,3.39,1.56,89.7,82.2,,-2.12,50.0,6.57,-1.83,3.86,-9.3,0.93,3.87,-130.71,-1.05,-16.06,27.97,-30.56,26.4,8.4,24.0,1824,264,,,,,,,0,1,0,bottom
2019-09-15,565712,1,622446,R,609275,L,4,Groundout,4,4,190413_232630,6965489e-b0f3-4986-849a-9999d62ef5bc,2,1,1,X,In play- out(s),FF,4,2.0,3.41,1.56,95.5,87.6,,-2.01,50.0,6.43,-0.43,2.75,-6.75,7.78,6.77,-138.96,-7.04,-13.22,30.73,-16.94,32.4,4.8,24.0,2364,220,,,,,,,0,1,0,bottom
2019-09-15,565712,1,622446,R,460086,L,5,Groundout,9,1,190413_232710,bf25d5c5-5e97-4327-ae34-93a2d10f02a7,0,0,2,B,Ball,CU,14,2.0,3.29,1.57,83.2,77.9,,-1.99,50.0,6.41,1.24,1.08,0.55,-2.42,7.58,-120.97,-5.32,0.82,21.12,-35.81,2.4,9.6,24.0,2445,26,,,,,,,0,1,0,bottom
2019-09-15,565712,1,622446,R,460086,L,5,Groundout,9,2,190413_232725,c6d92253-27cf-4fe5-bb5b-85fc15d01681,1,0,2,S,Foul,FT,11,2.0,3.41,1.56,96.1,88.3,,-2.12,50.0,6.43,-0.82,2.93,-8.36,7.82,6.59,-139.73,-6.65,-16.62,29.85,-16.63,40.8,4.8,24.0,2194,226,,,,,,,0,1,0,bottom
2019-09-15,565712,1,622446,R,460086,L,5,Groundout,9,3,190413_232748,b79f1bfc-051e-4c20-abda-42d77bb9a4b7,1,1,2,S,Foul,FF,6,2.0,3.41,1.56,96.6,88.3,,-1.81,50.0,6.29,0.59,2.46,-4.97,11.13,8.44,-140.35,-8.82,-9.91,32.06,-9.99,33.6,2.4,24.0,2501,201,,,,,,,0,1,0,bottom
2019-09-15,565712,1,622446,R,460086,L,5,Groundout,9,4,190413_232807,5092d01a-43d5-48ae-ba0b-19bb179e8133,1,1,2,S,Foul,FF,11,2.0,3.41,1.56,96.3,88.0,,-1.97,50.0,6.54,-0.42,4.2,-6.3,9.57,6.54,-140.19,-4.1,-12.53,31.8,-13.13,38.4,3.6,24.0,2466,211,,,,,,,0,1,0,bottom
2019-09-15,565712,1,622446,R,460086,L,5,Groundout,9,5,190413_232831,d14caa52-f2f8-41ab-99bf-d6e3c039d4a6,1,1,2,S,Foul,CU,12,2.0,3.41,1.56,81.5,76.0,,-2.01,50.0,6.56,0.08,3.77,5.8,0.72,3.13,-118.79,0.0,8.41,19.65,-31.13,15.6,9.6,24.0,2406,98,,,,,,,0,1,0,bottom
2019-09-15,565712,1,622446,R,460086,L,5,Groundout,9,6,190413_232851,c743c3d7-ad30-4521-be39-2a24e4883c32,1,1,2,S,Foul,FF,3,2.0,3.41,1.56,97.4,90.0,,-1.86,50.0,6.43,0.47,3.2,-6.42,8.81,8.91,-141.62,-6.57,-13.19,28.73,-14.06,37.2,3.6,24.0,2405,213,,,,,,,0,1,0,bottom
2019-09-15,565712,1,622446,R,460086,L,5,Groundout,9,7,190413_232916,2c2cb0b4-4bb3-4f41-a04b-c9c0330dcf4d,1,1,2,S,Foul,FF,12,2.0,3.41,1.56,97.1,89.3,,-1.7,50.0,6.39,0.73,3.66,-4.55,10.58,8.45,-141.31,-5.72,-9.26,30.15,-10.64,32.4,2.4,24.0,2403,199,,,,,,,0,1,0,bottom
2019-09-15,565712,1,622446,R,460086,L,5,Groundout,9,8,190413_232934,d5800bcc-565f-4d74-9467-67b820dc773f,1,2,2,B,Ball,CU,14,2.0,3.25,1.57,85.2,79.4,,-1.93,50.0,6.05,1.8,-2.73,1.05,-1.52,8.73,-123.21,-14.18,1.61,26.05,-34.5,4.8,9.6,24.0,,34,,,,,,,0,1,0,bottom
2019-09-15,565712,1,622446,R,460086,L,5,Groundout,9,9,190413_233007,a015316f-041e-4403-837f-11357c3529dc,2,2,2,X,In play- out(s),FT,7,2.0,3.41,1.58,97.2,89.2,,-1.9,50.0,6.33,-0.66,1.77,-9.89,7.69,7.03,-141.17,-9.75,-19.99,31.55,-16.62,44.4,4.8,24.0,2396,233,,,,,,,0,1,0,bottom
2019-09-15,565712,2,622446,R,624585,R,9,Pop Out,2,1,190413_234027,29c1b383-05ee-4855-a2a4-2cad43b64529,0,0,0,B,Ball,FT,13,2.0,3.44,1.53,94.0,86.9,,-2.02,50.0,6.4,-1.63,2.34,-9.23,6.17,4.31,-136.83,-7.23,-17.65,27.78,-20.38,37.2,6.0,24.0,2267,237,,,,,,,0,1,0,bottom
2019-09-15,565712,2,622446,R,624585,R,9,Pop Out,2,2,190413_234044,068ef602-53db-43e9-935f-ce251327b7d7,1,0,0,X,In play- out(s),FT,5,2.0,3.55,1.63,95.0,87.2,,-1.79,50.0,6.43,-0.15,2.83,-9.1,8.91,7.7,-138.05,-7.1,-17.63,29.44,-14.89,44.4,4.8,24.0,2227,225,,,,,,,0,1,0,bottom
2019-09-15,565712,2,622446,R,656811,L,10,Groundout,4,1,190413_234116,eb73bbe0-35f9-4cf8-89fc-eaac76d49d76,0,0,1,B,Ball,FT,3,2.0,3.29,1.6,95.8,87.8,,-1.89,50.0,6.46,0.4,3.42,-8.3,7.88,9.26,-139.17,-5.34,-16.33,30.24,-16.66,38.4,4.8,24.0,2237,224,,,,,,,0,1,0,bottom
2019-09-15,565712,2,622446,R,656811,L,10,Groundout,4,2,190413_234130,96f57511-7515-4e19-b474-440bfad800b0,1,0,1,S,Swinging Strike,CH,13,2.0,3.49,1.6,88.3,81.2,,-1.87,50.0,6.34,-0.09,1.3,-9.43,5.31,7.63,-128.21,-8.17,-15.72,26.27,-23.33,30.0,7.2,24.0,1806,242,,,,,,,0,1,0,bottom
2019-09-15,565712,2,622446,R,656811,L,10,Groundout,4,3,190413_234145,e3236561-1871-4248-82b1-d58d91057369,1,1,1,S,Called Strike,FF,1,2.0,3.41,1.6,94.2,86.4,,-1.9,50.0,6.44,-0.64,2.92,-8.27,10.07,6.32,-137.18,-7.16,-15.79,29.85,-12.96,44.4,4.8,24.0,2244,218,,,,,,,0,1,0,bottom
2019-09-15,565712,2,622446,R,656811,L,10,Groundout,4,4,190413_234200,38ce912f-9880-4b3e-9e4f-9197bf0c12e9,1,2,1,X,In play- out(s),FT,13,2.0,3.49,1.6,90.9,83.6,,-1.94,50.0,6.38,-0.88,2.13,-9.8,6.99,6.11,-132.13,-7.32,-17.38,27.34,-19.78,37.2,6.0,24.0,1885,235,,,,,,,0,1,0,bottom
