Date, Game, Inning, Pitcher, Hand, Batter, Stand, AB_ID, Result, AB_Total, AB_Count, Pfx_ID, Play_ID, Balls, Strikes, Outs, Code, Pdes, Type, Zone, Con, SZ_Top, SZ_Bot, Start_Speed, End_Speed, Nasty_Factor, X0, Y0, Z0, PX, PZ, PfxX, PfxZ, VX0, VY0, VZ0, AX, AY, AZ, Break_Angle, Break_Length, Break_Y, Spin_Rate, Spin_Direction, Runner 1B, Runner 2B, Runner 3B, End 1B, End 2B, End 3B, Runs, Outs On Play, Run Diff, Half
2019-08-20,567060,6,592145,L,514917,R,51,Flyout,6,1,190330_222154,223539b0-fd94-4333-9a67-b58da4c303f1,0,0,0,S,Foul,FF,2,2.0,3.23,1.52,94.3,85.8,,1.82,50.0,5.89,0.06,2.73,3.66,8.25,-6.03,-137.04,-5.45,6.92,31.89,-16.58,16.8,3.6,24.0,2522,159,,,,,,,0,1,-2,bottom
2019-08-20,567060,6,592145,L,514917,R,51,Flyout,6,2,190330_222216,b9fb371c-87c7-4f9a-b98a-4aed623e7c9f,0,1,0,B,Ball,FF,12,2.0,3.28,1.52,94.8,85.8,,1.89,50.0,5.89,0.18,3.95,4.68,7.23,-6.27,-137.77,-1.87,8.91,33.16,-18.4,21.6,4.8,24.0,2636,151,,,,,,,0,1,-2,bottom
2019-08-20,567060,6,592145,L,514917,R,51,Flyout,6,3,190330_222230,3c27f4de-17b1-4157-ab40-659fccfb267b,1,1,0,B,Ball,CU,12,2.0,3.16,1.52,75.9,68.3,,2.16,50.0,6.18,2.13,4.15,-6.95,-10.99,1.87,-109.9,6.18,-8.31,23.49,-45.32,10.8,15.6,24.0,2545,325,,,,,,,0,1,-2,bottom
2019-08-20,567060,6,592145,L,514917,R,51,Flyout,6,4,190330_222248,257caa4e-9900-45f2-9025-b888e9aa7166,2,1,0,B,Ball,FF,12,2.0,3.22,1.52,94.4,85.7,,1.97,50.0,5.86,0.81,4.02,4.89,7.53,-4.85,-137.28,-1.66,9.28,32.13,-17.89,24.0,4.8,24.0,2548,150,,,,,,,0,1,-2,bottom
2019-08-20,567060,6,592145,L,514917,R,51,Flyout,6,5,190330_222307,1284da80-53b3-461a-9702-89e77fa49140,3,1,0,S,Called Strike,FF,13,2.0,3.21,1.52,94.9,86.5,,1.82,50.0,5.64,-1.0,1.91,2.44,9.9,-8.51,-137.73,-7.69,4.66,31.55,-13.23,10.8,3.6,24.0,2589,171,,,,,,,0,1,-2,bottom
2019-08-20,567060,6,592145,L,514917,R,51,Flyout,6,6,190330_222331,0b03fb1f-6d75-43bd-97b2-6e714ed777b3,3,2,0,X,In play- out(s),FF,1,2.0,3.1,1.48,94.7,86.4,,1.87,50.0,5.82,-0.6,3.22,1.25,8.69,-7.14,-137.73,-4.2,2.4,31.45,-15.54,2.4,3.6,24.0,2569,177,,,,,,,0,1,-2,bottom
2019-08-20,567060,6,592145,L,596748,R,52,Pop Out,4,1,190330_222405,73261342-8fb0-4597-8de7-78a45fcf2188,0,0,1,S,Called Strike,CU,3,2.0,3.29,1.62,77.6,70.3,,2.05,50.0,6.09,0.32,2.81,-7.62,-9.55,-1.64,-112.66,2.79,-9.58,24.66,-44.18,13.2,14.4,24.0,2793,318,,,,,,,0,1,-2,bottom
2019-08-20,567060,6,592145,L,596748,R,52,Pop Out,4,2,190330_222420,27ce260f-2858-4a9d-8336-bc0ca2de15a9,0,1,1,B,Ball,SL,12,2.0,3.34,1.67,86.7,79.2,,2.25,50.0,5.88,2.72,3.43,-0.89,-0.68,1.45,-126.04,0.6,-1.43,26.2,-33.27,2.4,8.4,24.0,,301,,,,,,,0,1,-2,bottom
2019-08-20,567060,6,592145,L,596748,R,52,Pop Out,4,3,190330_222443,8a41b469-2542-4d67-8257-4ae828c9cfbf,1,1,1,S,Foul,CU,4,2.0,3.24,1.61,78.7,71.6,,1.89,50.0,6.01,-0.58,2.53,-6.18,-9.45,-3.74,-114.19,2.13,-8.02,24.38,-44.44,10.8,14.4,24.0,2784,322,,,,,,,0,1,-2,bottom
2019-08-20,567060,6,592145,L,596748,R,52,Pop Out,4,4,190330_222532,aa5562e7-08ea-4d6a-baf9-c08e45345909,1,2,1,X,In play- out(s),CU,13,2.0,3.21,1.54,76.4,69.5,,1.86,50.0,6.01,-0.88,1.46,-6.36,-9.0,-4.16,-110.86,0.1,-7.73,24.06,-43.12,10.8,14.4,24.0,2636,320,,,,,,,0,1,-2,bottom
2019-08-20,567060,6,592145,L,571437,R,53,Strikeout,5,1,190330_222656,85067e13-6d87-40c4-bedc-22c418c80be7,0,0,2,S,Called Strike,CU,9,2.0,3.79,1.88,75.6,68.9,,1.95,50.0,6.05,0.46,2.3,-5.74,-9.35,-1.59,-109.86,2.02,-6.88,22.84,-43.39,9.6,14.4,24.0,2529,325,,,,,,,0,1,-2,bottom
