Date,Game,Inning,Pitcher,Hand,Batter,Stand,AB_ID,Result,AB_Total,AB_Count,Pfx_ID,Play_ID,Balls,Strikes,Outs,Code,Pdes,Type,Zone,Con,SZ_Top,SZ_Bot,Start_Speed,End_Speed,Nasty_Factor,X0,Y0,Z0,PX,PZ,PfxX,PfxZ,VX0,VY0,VZ0,AX,AY,AZ,Break_Angle,Break_Length,Break_Y,Spin_Rate,Spin_Direction,Runner 1B,Runner 2B,Runner 3B,End 1B,End 2B,End 3B,Runs,Outs On Play,Run Diff,Half
2019-03-28,565895,8,544727,R,645302,R,57,Lineout,8,1,190328_192336,9b274e2f-eba8-437a-b4a7-80db2412d70b,0,0,0,B,Ball,SI,11,2.0,3.28,1.53,94.1,86.2,,-1.3,50.0,6.22,-0.98,2.94,-10.92,3.87,4.71,-136.72,-4.27,-20.69,29.92,-24.84,37.2,7.2,24.0,1990,251,,,,,,,0,1,2,bottom
2019-03-28,565895,8,544727,R,645302,R,57,Lineout,8,2,190328_192359,5c55d959-d637-474d-a1fd-787b5d5a5696,1,0,0,B,Ball,SL,13,2.0,3.24,1.5,86.5,80.1,,-1.68,50.0,6.12,-1.37,2.33,-0.51,1.98,0.95,-125.78,-3.63,-0.82,23.32,-28.98,1.2,7.2,24.0,2210,192,,,,,,,0,1,2,bottom
2019-03-28,565895,8,544727,R,645302,R,57,Lineout,8,3,190328_192424,7d9046e2-4373-4cef-a388-0db5e5292ae8,2,0,0,B,Ball,FF,12,2.0,3.28,1.51,94.9,86.9,,-1.16,50.0,6.02,1.01,2.47,-7.88,6.98,8.7,-137.66,-6.22,-15.16,29.8,-18.75,33.6,4.8,24.0,2093,227,,,,,,,0,1,2,bottom
2019-03-28,565895,8,544727,R,645302,R,57,Lineout,8,4,190328_192455,4b8e87ca-404e-4570-96e5-2a3141a5e3d7,3,1,0,C,Called Strike,SI,8,2.0,2.9,1.27,94.7,86.9,,-1.26,50.0,6.03,-0.17,1.67,-11.54,5.36,7.02,-137.37,-7.78,-22.1,29.8,-21.92,40.8,7.2,24.0,2100,246,,,,,,,0,1,2,bottom
2019-03-28,565895,8,544727,R,645302,R,57,Lineout,8,5,190328_192519,5d8ac869-d089-491b-9667-8870db87a656,3,2,0,F,Foul,SI,11,2.0,3.36,1.54,96.1,87.7,,-1.39,50.0,6.13,-1.22,2.96,-11.36,3.71,4.54,-139.65,-4.22,-22.36,32.49,-24.87,39.6,7.2,24.0,2124,252,,,,,,,0,1,2,bottom
2019-03-28,565895,8,544727,R,645302,R,57,Lineout,8,6,190328_192559,fb121b0b-d278-49f7-8a6d-1a854edb1c07,3,2,0,F,Foul,SI,13,2.0,3.36,1.54,95.8,87.8,,-1.2,50.0,5.97,-0.86,2.38,-9.84,4.11,4.46,-139.19,-5.49,-19.33,30.77,-24.1,36.0,6.0,24.0,2064,248,,,,,,,0,1,2,bottom
2019-03-28,565895,8,544727,R,645302,R,57,Lineout,8,7,190328_192635,0feadb3c-d34f-4a6b-a784-643f35ff7013,3,2,0,F,Foul,SL,6,2.0,3.36,1.54,86.4,80.0,,-1.28,50.0,6.12,0.64,2.61,-0.39,1.15,4.93,-125.75,-2.66,-0.63,23.4,-30.32,0.0,7.2,24.0,2161,169,,,,,,,0,1,2,bottom
2019-03-28,565895,8,544727,R,645302,R,57,Lineout,8,8,190328_192712,316b348b-c5e9-4ae9-833b-c3a3f0fb513f,3,2,0,X,In play- out(s),SI,2,2.0,3.28,1.49,96.4,88.4,,-1.17,50.0,6.05,-0.01,3.02,-9.83,4.43,6.73,-140.2,-4.17,-19.61,31.04,-23.34,37.2,6.0,24.0,2267,245,,,,,,,0,1,2,bottom
2019-03-28,565895,8,544727,R,594809,L,58,Hit By Pitch,5,1,190328_192743,c3381ca7-1823-47d1-86ab-f55135e59fd4,0,1,1,C,Called Strike,SL,5,2.0,2.91,1.45,86.8,79.4,,-1.37,50.0,6.12,-0.04,2.16,-0.43,0.38,3.46,-126.08,-3.47,-0.69,26.7,-31.57,0.0,8.4,24.0,2212,165,,,,594809,,,0,0,2,bottom
2019-03-28,565895,8,544727,R,594809,L,58,Hit By Pitch,5,2,190328_192809,c1d03280-02ea-49d7-ba3e-0291e3065ae6,0,2,1,C,Called Strike,FS,4,2.0,2.95,1.42,91.5,84.6,,-1.35,50.0,6.11,-0.42,2.61,-6.95,4.11,4.83,-133.04,-4.55,-12.57,25.81,-24.72,24.0,6.0,24.0,1664,239,,,,594809,,,0,0,2,bottom
2019-03-28,565895,8,544727,R,594809,L,58,Hit By Pitch,5,3,190328_192828,37b98ec0-7d90-4dff-9e9b-d3b802bf0675,0,2,1,F,Foul,FF,12,2.0,3.28,1.49,95.4,87.2,,-1.2,50.0,5.97,0.42,3.36,-7.62,8.0,7.14,-138.58,-4.12,-14.85,30.41,-16.59,37.2,4.8,24.0,2181,221,,,,594809,,,0,0,2,bottom
2019-03-28,565895,8,544727,R,594809,L,58,Hit By Pitch,5,4,190328_192856,24d15936-b55d-43b7-8e17-0592bddfbfc1,0,2,1,B,Ball,SL,11,2.0,2.95,1.42,87.4,80.1,,-1.43,50.0,6.16,-0.9,3.86,0.64,0.78,1.14,-127.14,0.38,1.04,25.72,-30.89,2.4,7.2,24.0,2156,142,,,,594809,,,0,0,2,bottom
2019-03-28,565895,8,544727,R,594809,L,58,Hit By Pitch,5,5,190328_192925,0f3c86bf-8275-4a8d-93b6-853ff0c473a2,2,2,1,H,Hit By Pitch,FF,12,2.0,3.28,1.49,95.8,87.9,,-0.96,50.0,5.96,1.72,3.24,-5.87,6.88,9.46,-139.19,-4.11,-11.57,29.99,-18.62,26.4,4.8,24.0,2165,216,,,,594809,,,0,0,2,bottom
2019-03-28,565895,8,544727,R,607208,R,59,Forceout,2,1,190328_193008,bdb29c70-f2c1-47cc-bf5e-47d59ffb5b8f,0,0,1,B,Ball,SI,13,2.0,3.26,1.55,94.6,86.3,,-1.31,50.0,5.88,-0.17,1.51,-9.9,2.4,6.54,-137.4,-6.71,-18.8,32.34,-27.62,31.2,7.2,24.0,2103,259,594809,,,607208,,,0,1,2,bottom
2019-03-28,565895,8,544727,R,607208,R,59,Forceout,2,2,190328_193037,30b59f4f-0eaf-4fdc-b91f-18f9d2613a0a,1,0,1,X,In play- out(s),FS,4,2.0,3.46,1.59,93.4,84.8,,-1.16,50.0,6.07,-0.57,2.35,-10.08,2.91,5.05,-135.75,-4.9,-18.62,32.61,-26.8,32.4,7.2,24.0,2091,255,594809,,,607208,,,0,1,2,bottom
2019-03-28,565895,8,544727,R,543685,R,60,Flyout,3,1,190328_193146,692b73fe-7ba5-497f-af75-4046faa0e6aa,0,0,2,B,Ball,SL,14,2.0,3.2,1.51,86.0,79.2,,-1.24,50.0,6.04,1.26,1.74,-0.02,5.43,6.18,-124.87,-5.84,-0.03,24.29,-23.57,2.4,6.0,24.0,2191,171,607208,,,,,,0,1,2,bottom
2019-03-28,565895,8,544727,R,543685,R,60,Flyout,3,2,190328_193242,5368f7ab-6287-4e29-9281-98a308b9a649,1,0,2,X,In play- out(s),SI,4,2.0,3.4,1.56,94.8,86.3,,-1.19,50.0,6.08,-0.53,2.55,-11.09,4.66,5.69,-137.66,-5.27,-21.17,32.05,-23.27,39.6,7.2,24.0,2230,248,607208,,,,,,0,1,2,bottom
2019-03-30,565896,8,544727,R,607208,R,67,Strikeout,5,1,190330_195638,1a29e983-325e-4b1d-842f-b65b18ab767e,0,1,0,C,Called Strike,FF,2,2.0,3.22,1.57,94.8,87.7,,-1.34,50.0,6.11,-0.13,3.02,-7.19,5.67,5.88,-137.9,-4.59,-14.01,27.17,-21.13,30.0,4.8,24.0,2049,231,,,,,,,0,1,4,bottom
