Date, Game, Inning, Pitcher, Hand, Batter, Stand, AB_ID, Result, AB_Total, AB_Count, Pfx_ID, Play_ID, Balls, Strikes, Outs, Code, Pdes, Type, Zone, Con, SZ_Top, SZ_Bot, Start_Speed, End_Speed, Nasty_Factor, X0, Y0, Z0, PX, PZ, PfxX, PfxZ, VX0, VY0, VZ0, AX, AY, AZ, Break_Angle, Break_Length, Break_Y, Spin_Rate, Spin_Direction, Runner 1B, Runner 2B, Runner 3B, End 1B, End 2B, End 3B, Runs, Outs On Play, Run Diff, Half
2018-07-11,530794,6,501697,R,544369,L,46,Flyout,3,1,180712_010457,ab534726-72a3-4a37-b410-99f104edb55a,0,0,1,S,Foul,FT,11,0.9,3.01,1.21,94.6,86.4,57.8,-1.76,50.0,5.66,-1.18,2.48,-10.8,1.97,5.38,-137.34,-3.36,-20.59,30.94,-28.41,33.6,7.2,24.0,1922,260,592450,,,,,,0,1,-6,top
2018-07-11,530794,6,501697,R,544369,L,46,Flyout,3,2,180712_010525,a4680e32-cb91-4625-9369-2707ccb3274e,0,1,1,B,Ball,FT,11,0.89,3.41,1.6,94.8,86.4,38.39,-1.65,50.0,5.69,-1.35,3.39,-10.86,4.54,4.63,-137.73,-1.93,-20.8,31.33,-23.47,39.6,6.0,24.0,2117,246,592450,,,,,,0,1,-6,top
2018-07-11,530794,6,501697,R,544369,L,46,Flyout,3,3,180712_010559,f7c23b0e-597d-49ba-b761-438515f3fc99,1,1,1,X,In play- out(s),CH,4,1.0,3.01,1.21,92.3,84.4,35.4,-1.43,50.0,5.67,-0.59,1.88,-10.46,3.94,5.8,-133.99,-5.27,-18.99,29.41,-25.02,34.8,7.2,24.0,2112,250,592450,,,,,,0,1,-6,top
2018-07-11,530794,6,501697,R,519317,R,47,Walk,5,1,180712_010628,df516b85-0cbf-4556-b06f-ba477a75188a,0,0,2,S,Called Strike,FF,9,0.9,4.15,1.79,96.0,87.5,61.06,-1.43,50.0,5.45,0.41,1.81,-8.05,7.89,7.92,-139.18,-6.95,-15.78,31.46,-16.71,37.2,4.8,24.0,2193,224,,,,519317,592450,,0,0,-6,top
2018-07-11,530794,6,501697,R,519317,R,47,Walk,5,2,180712_010644,472463e5-e735-49d4-8a2c-ceea048e68ba,0,1,2,B,Ball,SL,14,0.9,4.08,1.78,86.2,79.1,36.72,-1.32,50.0,5.73,0.31,1.43,-0.83,0.22,4.3,-125.17,-4.16,-1.32,25.83,-31.82,1.2,8.4,24.0,2305,294,,,,519317,592450,,0,0,-6,top
2018-07-11,530794,6,501697,R,519317,R,47,Walk,5,3,180712_010703,b85a25ef-9850-4d00-9b86-42195eb1e310,1,1,2,B,Ball,FF,14,0.9,4.03,1.74,95.9,87.8,61.21,-1.41,50.0,5.46,0.94,1.55,-7.36,8.13,9.07,-138.96,-7.79,-14.44,30.22,-16.23,34.8,4.8,24.0,2241,220,,,,519317,592450,,0,0,-6,top
2018-07-11,530794,6,501697,R,519317,R,47,Walk,5,4,180712_010725,d690e481-03f2-476d-92d0-971a6c1d8c07,2,1,2,B,Ball,SL,11,0.9,3.9,1.74,85.6,79.0,45.92,-1.5,50.0,5.97,-1.23,3.49,1.42,-1.26,0.2,-124.43,0.82,2.24,23.08,-34.17,3.6,8.4,24.0,2385,55,,,,519317,592450,,0,0,-6,top
2018-07-11,530794,6,501697,R,519317,R,47,Walk,5,5,180712_010748,c849b9f0-322e-4260-bf9b-075dda127b94,3,1,2,B,Ball,FF,14,0.9,3.98,1.79,97.1,89.1,41.64,-1.33,50.0,5.43,0.87,1.18,-7.83,7.38,8.98,-140.62,-8.73,-15.78,30.08,-17.3,36.0,4.8,24.0,2111,226,,,,519317,592450,,0,0,-6,top
2018-07-11,530794,6,501697,R,543305,L,48,Groundout,2,1,180712_010831,53fb6fca-e41c-428e-9b31-e4b528d1f272,0,0,2,S,Foul,SL,11,0.9,3.12,1.23,86.7,80.1,72.98,-1.57,50.0,5.76,-0.45,3.2,0.88,0.77,2.53,-126.12,-0.22,1.43,23.29,-30.92,3.6,7.2,24.0,2394,128,519317,592450,,,,,0,1,-6,top
2018-07-11,530794,6,501697,R,543305,L,48,Groundout,2,2,180712_010915,66b4d1c5-3def-400c-83eb-573d86a4d23f,0,1,2,X,In play- out(s),FT,11,0.87,3.12,1.23,95.8,87.8,50.41,-1.5,50.0,5.57,-0.71,2.64,-11.0,3.52,6.09,-139.18,-3.47,-21.64,30.22,-25.24,38.4,7.2,24.0,2145,252,519317,592450,,,,,0,1,-6,top
