Date, Game, Inning, Pitcher, Hand, Batter, Stand, AB_ID, Result, AB_Total, AB_Count, Pfx_ID, Play_ID, Balls, Strikes, Outs, Code, Pdes, Type, Zone, Con, SZ_Top, SZ_Bot, Start_Speed, End_Speed, Nasty_Factor, X0, Y0, Z0, PX, PZ, PfxX, PfxZ, VX0, VY0, VZ0, AX, AY, AZ, Break_Angle, Break_Length, Break_Y, Spin_Rate, Spin_Direction, Runner 1B, Runner 2B, Runner 3B, End 1B, End 2B, End 3B, Runs, Outs On Play, Run Diff, Half
2019-08-20,566887,12,622772,R,593428,R,95,Lineout,2,1,190523_030944,80a55ad6-7a07-41a7-9c24-049b92b9abcf,0,0,2,B,Ball,FF,14,2.0,3.22,1.45,96.6,88.4,,-2.53,50.0,5.91,0.87,1.04,-2.5,9.75,10.29,-140.1,-11.12,-4.96,32.38,-12.85,9.6,3.6,24.0,2224,188,519048,,,,,,0,1,-1,top
2019-08-20,566887,12,622772,R,593428,R,95,Lineout,2,2,190523_031008,464543a2-7f12-4d24-9366-fc2998b133e0,1,0,2,X,In play- out(s),FF,2,2.0,3.48,1.61,95.3,87.0,,-2.56,50.0,6.12,-0.04,3.35,-2.02,9.46,7.61,-138.82,-5.07,-3.93,32.4,-13.79,8.4,3.6,24.0,2205,187,519048,,,,,,0,1,-1,top
2019-08-20,566887,13,622772,R,646240,L,100,Lineout,1,1,190523_032430,af77e7cb-18eb-41a1-960a-837407fe5211,0,0,0,X,In play- out(s),SI,7,2.0,3.38,1.58,95.6,87.4,,-2.65,50.0,6.03,-0.49,1.65,-8.84,7.2,9.05,-138.88,-8.69,-17.22,31.94,-18.16,37.2,4.8,24.0,2074,231,,,,,,,0,1,0,top
2019-08-20,566887,13,622772,R,656308,R,101,Home Run,4,1,190523_032456,a07fdf2a-09fb-4bf4-aacc-d8604c200e53,0,0,1,S,Called Strike,FC,14,2.0,3.22,1.42,89.0,82.1,,-2.6,50.0,6.14,0.75,2.38,-2.19,4.09,9.31,-129.4,-4.7,-3.74,25.94,-25.22,4.8,6.0,24.0,2007,196,,,,,,,1,0,0,top
2019-08-20,566887,13,622772,R,656308,R,101,Home Run,4,2,190523_032512,d2bf0d19-2041-4d11-a881-1855a9f4b83d,0,1,1,B,Ball,FF,14,2.0,3.41,1.66,97.8,89.3,,-2.27,50.0,6.04,0.35,0.96,-3.44,9.02,8.57,-141.85,-11.74,-6.98,33.63,-13.87,16.8,3.6,24.0,2332,197,,,,,,,1,0,0,top
2019-08-20,566887,13,622772,R,656308,R,101,Home Run,4,3,190523_032529,138e6327-e090-4e54-8982-9e3fa2cc343c,1,1,1,S,Called Strike,FC,2,2.0,3.27,1.58,90.0,82.3,,-2.49,50.0,6.23,-0.22,3.01,-0.75,3.1,6.1,-130.98,-3.1,-1.29,28.94,-26.82,0.0,6.0,24.0,2249,179,,,,,,,1,0,0,top
2019-08-20,566887,13,622772,R,656308,R,101,Home Run,4,4,190523_032556,866b2f92-a734-4e46-804d-706b7621df6f,1,2,1,X,In play- run(s),FC,9,2.0,3.4,1.58,90.8,82.9,,-2.44,50.0,6.02,0.4,2.15,1.0,3.56,7.04,-132.06,-5.06,1.75,30.33,-25.95,7.2,6.0,24.0,2173,147,,,,,,,1,0,0,top
2019-08-20,566887,13,622772,R,543877,R,102,Single,5,1,190523_032635,c9661247-085b-4239-b491-595d8f68b747,0,0,1,S,Called Strike,FF,5,2.0,3.14,1.42,97.2,89.1,,-2.34,50.0,6.09,0.0,2.56,-1.58,9.3,7.11,-141.45,-7.49,-3.2,32.0,-13.32,6.0,3.6,24.0,2336,185,,,,543877,,,0,0,-1,top
2019-08-20,566887,13,622772,R,543877,R,102,Single,5,2,190523_032653,d0045b57-b30b-4de9-b88c-7bd0ae5512be,0,1,1,B,Ball,FC,14,2.0,3.28,1.55,92.2,85.2,,-2.34,50.0,5.91,0.41,0.31,-2.61,3.34,8.16,-133.95,-9.87,-4.74,28.55,-26.1,6.0,6.0,24.0,2225,215,,,,543877,,,0,0,-1,top
2019-08-20,566887,13,622772,R,543877,R,102,Single,5,3,190523_032720,92ee6106-8e0e-4c48-999b-6f7bfa8d1f2e,1,1,1,B,Ball,FF,14,2.0,3.28,1.55,97.8,89.8,,-2.37,50.0,5.99,0.72,0.78,-2.33,8.7,9.52,-141.86,-12.01,-4.76,32.12,-14.43,9.6,3.6,24.0,2400,189,,,,543877,,,0,0,-1,top
2019-08-20,566887,13,622772,R,543877,R,102,Single,5,4,190523_032746,efea435a-fb02-4378-858c-09ea963bf1ba,2,1,1,S,Foul,SI,13,2.0,3.22,1.54,97.8,89.5,,-2.4,50.0,5.89,-0.16,1.23,-9.48,6.73,9.72,-142.06,-9.77,-19.32,33.39,-18.46,39.6,4.8,24.0,2193,235,,,,543877,,,0,0,-1,top
2019-08-20,566887,13,622772,R,543877,R,102,Single,5,5,190523_032831,11dc1985-d46a-42cf-9e45-bd9da1b85f5d,2,2,1,X,In play- no out,SL,14,2.0,3.22,1.54,86.4,79.9,,-2.35,50.0,6.08,0.2,1.45,0.03,-2.86,6.3,-125.72,-4.09,0.06,25.54,-36.74,1.2,9.6,24.0,2373,14,,,,543877,,,0,0,-1,top
2019-08-20,566887,13,622772,R,598265,L,103,Grounded Into DP,3,1,190523_032920,560f2e80-f8c4-45b8-b73e-7e5a3d395a08,0,0,1,S,Called Strike,SL,7,2.0,3.17,1.29,85.1,78.1,,-2.76,50.0,6.08,-0.65,2.14,-1.0,-4.74,5.47,-123.75,-1.5,-1.55,26.16,-39.47,1.2,10.8,24.0,2401,356,543877,,,,,,0,2,-1,top
2019-08-20,566887,13,622772,R,598265,L,103,Grounded Into DP,3,2,190523_032941,1d1ed9b5-579b-46a5-9149-fd2df791182f,0,1,1,S,Swinging Strike,SI,5,2.0,3.42,1.61,96.0,87.0,,-2.43,50.0,5.92,-0.09,2.23,-9.0,6.77,9.61,-139.52,-6.66,-17.54,34.67,-18.97,36.0,4.8,24.0,2234,232,543877,,,,,,0,2,-1,top
2019-08-20,566887,13,622772,R,598265,L,103,Grounded Into DP,3,3,190523_033008,7544441f-4de5-4987-886a-116fad6d1c00,0,2,1,X,In play- out(s),SL,11,2.0,3.42,1.61,84.3,77.3,,-2.61,50.0,6.32,-0.87,2.55,1.28,-3.97,3.81,-122.67,-1.21,1.93,25.65,-38.18,3.6,10.8,24.0,2392,24,543877,,,,,,0,2,-1,top
2019-08-20,566714,8,622772,R,502054,R,60,Groundout,7,1,190721_200621,83b7a806-3a29-46a1-9d34-54c3432d1d5e,0,0,2,B,Ball,SI,11,2.0,3.28,1.52,96.0,87.9,,-2.43,50.0,6.33,-1.4,3.36,-10.35,4.67,6.56,-139.74,-4.01,-20.46,31.5,-22.95,38.4,6.0,24.0,2074,245,,,,,,,0,1,-2,bottom
2019-08-20,566714,8,622772,R,502054,R,60,Groundout,7,2,190721_200637,42868fc4-74ad-445b-aa06-e4ab3c77c8fa,1,0,2,S,Called Strike,SI,5,2.0,3.12,1.36,95.9,88.2,,-2.16,50.0,6.22,0.21,2.69,-9.9,5.74,10.1,-139.39,-5.96,-19.58,29.83,-20.82,38.4,6.0,24.0,2121,239,,,,,,,0,1,-2,bottom
2019-08-20,566714,8,622772,R,502054,R,60,Groundout,7,3,190721_200653,71cef6ec-f996-43f9-927f-01c242d34f0b,1,1,2,B,Ball,SI,11,2.0,3.22,1.55,96.9,88.8,,-2.3,50.0,6.33,-1.34,3.85,-9.73,4.05,6.2,-141.08,-2.61,-19.64,31.45,-24.0,37.2,6.0,24.0,2108,246,,,,,,,0,1,-2,bottom
