Date,Game,Inning,Pitcher,Hand,Batter,Stand,AB_ID,Result,AB_Total,AB_Count,Pfx_ID,Play_ID,Balls,Strikes,Outs,Code,Pdes,Type,Zone,Con,SZ_Top,SZ_Bot,Start_Speed,End_Speed,Nasty_Factor,X0,Y0,Z0,PX,PZ,PfxX,PfxZ,VX0,VY0,VZ0,AX,AY,AZ,Break_Angle,Break_Length,Break_Y,Spin_Rate,Spin_Direction,Runner 1B,Runner 2B,Runner 3B,End 1B,End 2B,End 3B,Runs,Outs On Play,Run Diff,Half
2017-04-03,490107,6,276542,R,553993,R,50,Strikeout,5,1,170403_221049,f71b78a7-fffd-4ae5-9281-1f80e76b068f,0,1,0,C,Called Strike,FF,5,2.0,3.24,1.56,94.5,85.3,43.54,-2.82,50.0,5.94,0.08,2.81,-8.03,13.25,10.62,-136.86,-7.07,-15.1,32.75,-7.26,54.0,3.6,24.0,2321,208,,594807,,,594807,,0,1,3,bottom
2017-04-03,490107,6,276542,R,553993,R,50,Strikeout,5,2,170403_221113,cf167f97-8a73-4cea-a10c-fdcc10294b78,0,2,0,C,Called Strike,SL,14,2.0,3.08,1.46,87.0,80.2,49.33,-2.99,50.0,5.75,0.89,2.18,1.2,4.3,9.33,-126.35,-3.88,1.94,24.79,-25.19,8.4,6.0,24.0,,149,,594807,,,594807,,0,1,3,bottom
2017-04-03,490107,6,276542,R,553993,R,50,Strikeout,5,3,170403_221143,72765907-d969-430c-b81d-8ebe65a75488,0,2,0,F,Foul,SL,8,2.0,3.88,1.56,87.6,80.5,27.25,-3.02,50.0,5.79,0.0,1.76,0.46,5.77,7.44,-127.29,-5.6,0.76,26.03,-22.7,4.8,6.0,24.0,2508,165,,594807,,,594807,,0,1,3,bottom
2017-04-03,490107,6,276542,R,553993,R,50,Strikeout,5,4,170403_221216,0048ca13-c8c9-40f7-b8ec-195c0f9b300a,0,2,0,F,Foul,FF,3,2.0,3.88,1.56,95.3,86.0,45.84,-2.72,50.0,5.96,0.46,3.23,-8.46,13.44,11.61,-138.01,-6.21,-16.17,33.39,-6.48,58.8,3.6,24.0,2429,208,,594807,,,594807,,0,1,3,bottom
2017-04-03,490107,6,276542,R,553993,R,50,Strikeout,5,5,170403_221302,d1668043-7267-4600-a551-61f205e98176,0,2,0,S,Swinging Strike,FF,3,2.0,3.88,1.56,95.4,85.6,52.37,-2.56,50.0,6.12,0.67,3.08,-6.64,12.89,11.08,-138.18,-6.83,-12.63,35.61,-7.67,45.6,2.4,24.0,2347,202,,594807,,,594807,,0,1,3,bottom
2017-04-03,490107,6,276542,R,594988,L,51,Strikeout,4,1,170403_221411,26dbec29-6b30-4f28-9632-cf3389246fa2,0,0,1,S,Swinging Strike,FF,2,2.0,3.77,1.54,95.3,85.1,51.12,-2.59,50.0,5.99,-0.13,3.04,-8.4,13.44,9.58,-138.14,-6.73,-15.87,37.03,-6.78,57.6,3.6,24.0,2319,209,,594807,,,594807,,0,1,3,bottom
2017-04-03,490107,6,276542,R,594988,L,51,Strikeout,4,2,170403_221439,b7c91fcb-e0b9-419c-8aa5-6ff723064e0f,0,1,1,B,Ball,SL,14,2.0,3.46,1.83,86.5,78.6,46.21,-2.78,50.0,5.92,0.78,2.14,1.45,6.03,8.32,-125.63,-4.73,2.28,28.64,-22.67,9.6,6.0,24.0,2346,154,,594807,,,594807,,0,1,3,bottom
2017-04-03,490107,6,276542,R,594988,L,51,Strikeout,4,3,170403_221514,840b3df1-864b-4617-942e-4883790f82c5,1,1,1,S,Swinging Strike,CH,13,2.0,3.77,1.54,84.8,76.5,54.82,-2.98,50.0,5.8,-1.28,1.83,-10.03,10.11,7.24,-123.03,-6.06,-15.14,27.94,-16.91,36.0,6.0,24.0,1568,223,,594807,,,594807,,0,1,3,bottom
2017-04-03,490107,6,276542,R,594988,L,51,Strikeout,4,4,170403_221545,970306af-ad80-4acb-9a7b-7bc23d658557,1,2,1,S,Swinging Strike,FF,5,2.0,3.77,1.54,96.0,85.8,31.71,-2.73,50.0,5.99,-0.15,2.72,-6.42,14.36,9.27,-139.08,-8.06,-12.31,37.23,-4.64,55.2,2.4,24.0,2333,200,,594807,,,594807,,0,1,3,bottom
2017-04-03,490107,6,276542,R,446359,R,52,Lineout,1,1,170403_221623,ece03cdb-2780-495a-a3b0-21ed9021c108,0,0,2,X,In play- out(s),FF,11,2.0,3.73,1.5,94.8,84.0,64.87,-2.74,50.0,6.09,-0.3,3.59,-7.5,16.53,9.13,-137.38,-6.44,-13.92,38.61,-1.49,74.4,2.4,24.0,2324,201,,594807,,,,,0,1,3,bottom
2017-04-07,490162,7,276542,R,150029,R,54,Strikeout,3,1,170407_213145,4f83a2a2-c194-4a66-9c8c-be69c892778e,0,1,0,C,Called Strike,FF,1,2.0,3.85,1.74,93.3,83.6,66.74,-2.48,50.0,6.13,-0.59,3.27,-9.53,10.96,8.26,-135.34,-5.28,-17.35,34.69,-12.23,48.0,4.8,24.0,2310,218,,,,,,,0,1,-6,top
2017-04-07,490162,7,276542,R,150029,R,54,Strikeout,3,2,170407_213207,6ad55dcf-b363-4362-b1c0-8a794f098a40,0,2,0,F,Foul,FF,12,2.0,3.54,1.54,94.6,85.4,50.09,-2.36,50.0,5.91,0.84,2.75,-7.97,13.79,11.41,-136.9,-7.36,-15.0,32.66,-6.24,57.6,3.6,24.0,2175,206,,,,,,,0,1,-6,top
2017-04-07,490162,7,276542,R,150029,R,54,Strikeout,3,3,170407_213236,4619e4f6-1fe2-4ef2-99f3-b68383772efe,0,3,0,C,Called Strike,FT,3,2.0,3.59,1.61,93.6,83.8,57.75,-2.18,50.0,5.99,0.65,3.24,-9.65,8.5,10.83,-135.8,-4.16,-17.64,35.53,-16.64,39.6,4.8,24.0,2220,225,,,,,,,0,1,-6,top
2017-04-07,490162,7,276542,R,543685,R,55,Walk,4,1,170407_213315,cf9d0b0b-9d63-4ce5-bf11-c50402dc545f,0,0,1,B,Ball,SL,14,2.0,3.25,1.67,85.1,75.3,53.76,-2.56,50.0,5.84,1.77,1.94,-0.91,6.06,10.62,-122.98,-4.45,-1.34,33.14,-23.25,3.6,7.2,24.0,2303,169,,,,543685,,,0,0,-6,top
2017-04-07,490162,7,276542,R,543685,R,55,Walk,4,2,170407_213338,d0bcf198-0132-4c8d-9c13-d8da8cc927ec,1,0,1,B,Ball,SL,14,2.0,3.24,1.42,86.0,77.7,45.79,-2.5,50.0,5.93,1.18,2.14,0.83,5.28,8.73,-124.66,-4.35,1.28,29.32,-24.02,7.2,7.2,24.0,2309,155,,,,543685,,,0,0,-6,top
2017-04-07,490162,7,276542,R,543685,R,55,Walk,4,3,170407_213401,99ea123a-77cc-4876-9375-80aeff9b2ad9,2,0,1,B,Ball,FF,12,2.0,3.24,1.58,94.2,85.8,61.83,-2.54,50.0,5.78,0.75,3.38,-6.18,8.12,11.05,-136.72,-3.36,-11.67,30.69,-16.84,27.6,4.8,24.0,2187,211,,,,543685,,,0,0,-6,top
2017-04-07,490162,7,276542,R,543685,R,55,Walk,4,4,170407_213422,dc917e55-29e2-449a-a96e-2c00be5c1dc3,3,0,1,B,Ball,FF,14,2.0,3.27,1.63,92.8,84.4,65.92,-2.31,50.0,5.75,0.81,1.14,-6.86,9.35,10.6,-134.39,-9.31,-12.46,30.74,-15.18,30.0,4.8,24.0,2135,213,,,,543685,,,0,0,-6,top
2017-04-07,490162,7,276542,R,446308,L,56,Grounded Into DP,5,1,170407_213502,4d1e7526-6276-4008-989c-17979c378cb9,0,1,1,C,Called Strike,FF,4,2.0,3.83,1.76,93.0,82.4,50.36,-2.51,50.0,5.96,-0.39,2.64,-3.48,13.4,6.75,-134.81,-7.16,-6.2,37.93,-8.3,22.8,2.4,24.0,2154,190,543685,,,,,,0,2,-6,top
2017-04-07,490162,7,276542,R,446308,L,56,Grounded Into DP,5,2,170407_213526,8bced97e-8719-4577-ac6d-5cf14002eff4,0,1,1,B,Ball,FF,13,2.0,3.79,1.56,93.4,84.5,39.44,-2.64,50.0,5.88,-1.32,1.61,-6.47,9.83,5.76,-135.46,-8.71,-11.88,32.92,-14.13,33.6,4.8,24.0,2148,212,543685,,,,,,0,2,-6,top
2017-04-07,490162,7,276542,R,446308,L,56,Grounded Into DP,5,3,170407_213551,0e8234e2-ae1a-445c-b5b3-c1d7384c7fed,1,2,1,C,Called Strike,CH,11,2.0,3.76,1.78,83.3,75.6,49.37,-2.76,50.0,5.98,-0.91,2.86,-10.47,8.31,7.64,-120.88,-3.22,-15.36,25.38,-19.99,33.6,7.2,24.0,1358,229,543685,,,,,,0,2,-6,top
2017-04-07,490162,7,276542,R,446308,L,56,Grounded Into DP,5,4,170407_213616,66ee7d24-f67c-4d2e-a604-cd404e2b5ed7,1,2,1,B,Ball,CH,13,2.0,3.81,1.74,83.1,75.2,53.21,-2.61,50.0,5.94,-1.29,2.22,-10.03,10.73,6.21,-120.65,-5.33,-14.59,26.26,-16.56,37.2,6.0,24.0,1395,221,543685,,,,,,0,2,-6,top
2017-04-07,490162,7,276542,R,446308,L,56,Grounded Into DP,5,5,170407_213643,4438c546-b449-4395-9d0e-027d50e65868,2,2,1,X,In play- out(s),FF,7,2.0,3.77,1.8,92.5,84.0,51.85,-2.45,50.0,5.95,-0.47,1.91,-8.33,9.3,8.09,-134.24,-7.77,-15.08,31.28,-15.34,37.2,4.8,24.0,2216,220,543685,,,,,,0,2,-6,top
