Date,Game,Inning,Pitcher,Hand,Batter,Stand,AB_ID,Result,AB_Total,AB_Count,Pfx_ID,Play_ID,Balls,Strikes,Outs,Code,Pdes,Type,Zone,Con,SZ_Top,SZ_Bot,Start_Speed,End_Speed,Nasty_Factor,X0,Y0,Z0,PX,PZ,PfxX,PfxZ,VX0,VY0,VZ0,AX,AY,AZ,Break_Angle,Break_Length,Break_Y,Spin_Rate,Spin_Direction,Runner 1B,Runner 2B,Runner 3B,End 1B,End 2B,End 3B,Runs,Outs On Play,Run Diff,Half
2018-03-30,529417,9,641729,R,543281,R,75,Walk,5,1,180330_203227,34400c0e-0694-4f08-8863-1aae78b35399,0,0,2,B,Ball,SL,14,2.0,3.44,1.59,81.6,75.2,62.33,-3.02,50.0,5.63,0.13,1.51,2.58,-0.66,6.58,-118.64,-2.57,3.67,23.35,-33.11,8.4,9.6,24.0,2367,76,,474568,,543281,474568,,0,0,-2,top
2018-03-30,529417,9,641729,R,543281,R,75,Walk,5,2,180330_203246,2ec84875-f583-437a-92c5-9c1cfc0be081,1,1,2,W,Swinging Strike (Blocked),SL,14,2.0,3.45,1.43,83.5,77.0,36.7,-3.0,50.0,5.47,0.86,0.48,2.03,-0.6,8.58,-121.15,-4.98,3.01,24.51,-33.06,7.2,9.6,24.0,2332,71,,474568,,543281,474568,,0,0,-2,top
2018-03-30,529417,9,641729,R,543281,R,75,Walk,5,3,180330_203313,f508dee5-4d71-4874-af19-118d073e1c3e,1,1,2,B,Ball,FF,14,2.0,3.47,1.61,95.7,86.6,23.99,-2.61,50.0,5.37,2.03,1.87,-5.85,11.26,14.68,-138.45,-7.59,-11.23,33.91,-10.54,32.4,3.6,24.0,2529,200,,474568,,543281,474568,,0,0,-2,top
2018-03-30,529417,9,641729,R,543281,R,75,Walk,5,4,180330_203335,adc80d40-9cac-4af4-b74e-c5a04222a532,2,1,2,B,Ball,SL,14,2.0,3.44,1.6,84.2,76.7,8.75,-2.83,50.0,5.51,1.41,1.15,1.67,2.5,9.63,-122.08,-4.52,2.48,27.13,-28.46,8.4,8.4,24.0,2397,123,,474568,,543281,474568,,0,0,-2,top
2018-03-30,529417,9,641729,R,543281,R,75,Walk,5,5,180330_203356,b56b02d3-46c4-488c-81f8-c50836232381,3,1,2,B,Ball,FF,12,2.0,3.45,1.6,94.5,85.4,52.17,-2.89,50.0,5.44,0.84,3.17,-5.47,10.75,11.96,-137.06,-3.91,-10.3,33.28,-11.93,30.0,3.6,24.0,2416,200,,474568,,543281,474568,,0,0,-2,top
2018-03-30,529417,9,641729,R,570256,L,76,Catcher Interference,5,1,180330_203439,3f606c83-4b14-4fd3-9ac6-2c4eac13bad1,0,0,2,B,Ball,FF,14,2.0,3.85,1.91,95.1,86.2,44.2,-2.49,50.0,5.48,2.22,2.07,-5.55,10.83,14.7,-137.66,-7.09,-10.56,33.07,-11.58,27.6,3.6,24.0,2375,200,543281,474568,,570256,543281,474568,0,0,-2,top
2018-03-30,529417,9,641729,R,570256,L,76,Catcher Interference,5,2,180330_203507,c2846bc2-b170-45a5-a7a9-740daec1bc39,1,0,2,B,Ball,CH,14,2.0,3.73,1.87,88.3,80.2,39.29,-2.6,50.0,5.41,1.15,1.15,-10.33,3.97,12.79,-127.83,-5.6,-16.92,28.76,-25.66,27.6,7.2,24.0,2011,248,543281,474568,,570256,543281,474568,0,0,-2,top
2018-03-30,529417,9,641729,R,570256,L,76,Catcher Interference,5,3,180330_203551,3152c382-3128-48bb-ae73-33fb1bb34ca2,2,0,2,B,Ball,FF,12,2.0,3.73,1.87,95.5,86.8,47.54,-2.71,50.0,5.48,1.25,3.02,-6.2,10.52,13.02,-138.49,-4.55,-11.98,32.19,-11.84,34.8,3.6,24.0,2419,204,543281,474568,,570256,543281,474568,0,0,-2,top
2018-03-30,529417,9,641729,R,570256,L,76,Catcher Interference,5,4,180330_203612,80703a95-2611-4a95-be5f-db0671f8679f,3,1,2,C,Called Strike,FF,5,2.0,3.75,1.85,94.5,85.7,23.6,-2.93,50.0,5.53,0.14,3.07,-7.03,10.84,10.76,-137.15,-4.49,-13.31,31.98,-11.64,40.8,3.6,24.0,2491,208,543281,474568,,570256,543281,474568,0,0,-2,top
2018-03-30,529417,9,641729,R,570256,L,76,Catcher Interference,5,5,180330_203632,6d8652d2-b7f7-47b1-bce6-179b116ced8b,3,2,2,F,Foul,FF,8,2.0,3.73,1.65,95.4,86.6,26.3,-2.72,50.0,5.42,-0.05,2.04,-7.58,10.7,9.96,-138.49,-7.11,-14.63,32.76,-11.53,43.2,3.6,24.0,2490,212,543281,474568,,570256,543281,474568,0,0,-2,top
2018-03-30,529417,9,641729,R,605137,L,77,Single,2,1,180330_203713,4661b9f9-0a2e-4ac6-a9f3-0a3cbe243697,0,0,2,S,Swinging Strike,CH,7,2.0,3.48,1.54,88.0,80.0,63.38,-2.97,50.0,5.34,-0.54,1.85,-9.85,3.17,9.32,-127.92,-3.41,-16.16,28.85,-26.98,27.6,7.2,24.0,1997,251,570256,543281,474568,,605137,570256,2,0,-2,top
2018-03-30,529417,9,641729,R,605137,L,77,Single,2,2,180330_203736,654db419-5e4e-4b15-8410-33fd92eb193e,0,1,2,E,In play- run(s),CH,4,2.0,3.48,1.54,88.9,81.4,37.99,-2.94,50.0,5.4,-0.69,2.31,-10.36,3.98,9.16,-129.32,-2.9,-17.53,27.04,-25.44,31.2,7.2,24.0,2091,247,570256,543281,474568,,605137,570256,2,0,-2,top
2018-03-30,529417,9,641729,R,572816,L,78,Lineout,1,1,180330_203841,f9791a11-9ff3-4ad9-a3fa-2fce35bd53b2,0,0,2,X,In play- out(s),FF,4,2.0,3.31,1.39,94.9,85.3,52.66,-2.94,50.0,5.58,-0.56,2.54,-6.16,11.11,8.57,-137.73,-6.15,-11.63,35.29,-11.19,37.2,3.6,24.0,2514,205,,605137,570256,,,,0,1,-4,top
2018-03-30,529417,10,641729,R,516782,R,87,Walk,5,1,180330_210944,d5a32bbd-50ba-4fa5-9c56-2c3db8ddc58a,0,0,0,B,Ball,FF,14,2.0,3.52,1.59,92.9,84.2,33.68,-2.83,50.0,5.44,1.68,2.34,-5.4,11.61,13.79,-134.44,-6.1,-9.81,31.1,-11.07,27.6,3.6,24.0,2413,198,,,,516782,,,0,0,0,top
2018-03-30,529417,10,641729,R,516782,R,87,Walk,5,2,180330_210944,69487eb6-d901-469f-92e3-d71210872eba,1,0,0,S,Swinging Strike,CH,8,2.0,3.36,1.37,84.7,78.0,29.13,-2.83,50.0,5.43,-0.19,1.69,-6.1,1.82,8.35,-123.15,-3.06,-9.39,23.97,-29.37,14.4,8.4,24.0,1750,252,,,,516782,,,0,0,0,top
2018-03-30,529417,10,641729,R,516782,R,87,Walk,5,3,180330_210944,ec04888d-9f30-40e7-bece-c05b767612bf,1,1,0,B,Ball,CH,13,2.0,3.57,1.59,87.5,79.2,34.28,-2.98,50.0,5.28,-0.68,0.81,-8.96,3.96,8.61,-127.07,-5.95,-14.39,30.23,-25.81,25.2,7.2,24.0,2061,247,,,,516782,,,0,0,0,top
2018-03-30,529417,10,641729,R,516782,R,87,Walk,5,4,180330_210944,6a66e6ba-4ede-4007-90ef-de3ab3ba3f7a,2,1,0,B,Ball,FF,11,2.0,3.59,1.66,93.8,84.6,61.2,-2.95,50.0,5.49,-0.84,3.56,-4.56,11.74,7.22,-136.42,-3.25,-8.47,33.94,-10.35,31.2,2.4,24.0,2459,197,,,,516782,,,0,0,0,top
2018-03-30,529417,10,641729,R,516782,R,87,Walk,5,5,180330_210944,862949ea-8320-4121-84d5-93a259a24057,3,1,0,B,Ball,FF,11,2.0,3.53,1.62,92.8,83.5,46.92,-2.86,50.0,5.48,-0.44,3.59,-5.28,11.28,8.22,-134.89,-2.8,-9.58,33.62,-11.72,31.2,3.6,24.0,2442,200,,,,516782,,,0,0,0,top
2018-03-30,529417,10,641729,R,465041,R,88,Flyout,5,1,180330_210648,3c4dcc0f-9d60-4c9d-890a-98e92b2d435d,0,1,0,C,Called Strike,FF,8,2.0,3.35,1.56,93.2,84.9,46.53,-2.74,50.0,5.42,-0.12,1.79,-5.87,11.63,9.01,-135.27,-7.67,-10.84,30.44,-10.69,36.0,3.6,24.0,2384,203,516782,,,516782,,,0,1,0,top
2018-03-30,529417,10,641729,R,465041,R,88,Flyout,5,2,180330_210716,47c9f7a2-1c42-4841-ae34-240e61b21f5e,0,2,0,C,Called Strike,FF,8,2.0,3.32,1.53,95.4,86.8,24.42,-2.64,50.0,5.42,-0.08,2.01,-6.65,11.91,9.34,-138.47,-7.64,-12.85,32.11,-9.14,44.4,3.6,24.0,2487,206,516782,,,516782,,,0,1,0,top
2018-03-30,529417,10,641729,R,465041,R,88,Flyout,5,3,180330_210834,f429dee1-c3b5-4043-89a4-0d88e0e7a519,0,2,0,X,In play- out(s),FF,12,2.0,3.16,1.36,93.1,85.1,54.56,-2.59,50.0,5.48,0.9,2.83,-5.35,10.88,11.18,-135.17,-4.82,-9.91,29.3,-12.03,30.0,3.6,24.0,2421,201,516782,,,516782,,,0,1,0,top
2018-04-01,529441,9,641729,R,543281,R,71,Pop Out,3,1,180402_010022,ec433998-2188-43e4-ba45-00e1f8159c32,0,1,0,F,Foul,FF,5,2.0,3.45,1.43,94.5,86.0,40.5,-2.72,50.0,5.35,0.17,2.16,-6.19,10.59,9.98,-137.26,-6.42,-11.76,31.61,-12.06,34.8,3.6,24.0,2430,206,,,,,,,0,1,-4,top
