Date, Game, Inning, Pitcher, Hand, Batter, Stand, AB_ID, Result, AB_Total, AB_Count, Pfx_ID, Play_ID, Balls, Strikes, Outs, Code, Pdes, Type, Zone, Con, SZ_Top, SZ_Bot, Start_Speed, End_Speed, Nasty_Factor, X0, Y0, Z0, PX, PZ, PfxX, PfxZ, VX0, VY0, VZ0, AX, AY, AZ, Break_Angle, Break_Length, Break_Y, Spin_Rate, Spin_Direction, Runner 1B, Runner 2B, Runner 3B, End 1B, End 2B, End 3B, Runs, Outs On Play, Run Diff, Half
2019-09-12,566864,8,641729,R,666971,R,50,Pop Out,3,1,190328_215354,1dcf78db-9b23-4a73-9065-13cd63a5e68a,0,0,0,S,Called Strike,FF,7,2.0,3.66,1.77,95.5,86.9,,-2.56,50.0,5.38,-0.41,2.19,-7.96,11.05,8.72,-138.66,-6.75,-15.44,32.04,-10.74,48.0,3.6,24.0,2605,213,,,,,,,0,1,0,bottom
2019-09-12,566864,8,641729,R,666971,R,50,Pop Out,3,2,190328_215411,ef03a993-5594-4d03-97b9-9389340a25f6,0,1,0,B,Ball,SL,14,2.0,3.72,1.74,85.3,78.2,,-2.73,50.0,5.33,1.22,1.83,3.62,1.33,8.5,-123.87,-2.36,5.6,25.92,-30.12,13.2,8.4,24.0,2470,103,,,,,,,0,1,0,bottom
2019-09-12,566864,8,641729,R,666971,R,50,Pop Out,3,3,190328_215431,5d356e74-2390-4525-91ca-c1002d3ef009,1,1,0,X,In play- out(s),FF,11,2.0,3.4,1.55,95.6,87.0,,-2.61,50.0,5.41,-1.06,2.56,-7.41,10.07,6.89,-138.96,-5.49,-14.44,32.3,-12.57,43.2,3.6,24.0,2582,214,,,,,,,0,1,0,bottom
2019-09-12,566864,8,641729,R,607680,R,51,Lineout,1,1,190328_215504,47098b91-2d5d-4b99-b309-9fca21bb50f8,0,0,1,X,In play- out(s),FF,9,2.0,3.44,1.59,95.7,87.1,,-2.56,50.0,5.31,0.44,2.0,-6.72,9.72,10.6,-138.81,-6.63,-13.06,32.14,-13.28,36.0,3.6,24.0,2613,211,,,,,,,0,1,0,bottom
2019-09-12,566864,8,641729,R,642133,L,52,Walk,5,1,190328_215537,e0eed6c6-11f0-4511-a293-4efae54131a0,0,0,2,B,Ball,FF,13,2.0,3.86,1.88,95.8,87.1,,-2.64,50.0,5.4,-1.36,2.11,-7.03,10.57,6.01,-139.16,-6.92,-13.71,32.71,-11.55,43.2,3.6,24.0,2634,212,,,,642133,,,0,0,0,bottom
2019-09-12,566864,8,641729,R,642133,L,52,Walk,5,2,190328_215553,ed54e858-8635-4d03-bcb2-d098956b42e3,1,0,2,B,Ball,FF,13,2.0,3.9,1.98,94.8,86.5,,-2.82,50.0,5.1,-1.52,0.71,-8.38,10.01,6.49,-137.69,-9.5,-16.01,31.77,-13.04,43.2,4.8,24.0,2604,220,,,,642133,,,0,0,0,bottom
2019-09-12,566864,8,641729,R,642133,L,52,Walk,5,3,190328_215615,a2f5c877-5d5b-43bf-bfd8-2900d610f94b,2,0,2,B,Ball,FF,14,2.0,3.84,1.85,95.6,86.9,,-2.39,50.0,5.26,0.65,0.94,-8.67,11.1,11.37,-138.47,-9.83,-16.75,32.24,-10.72,48.0,3.6,24.0,2675,216,,,,642133,,,0,0,0,bottom
2019-09-12,566864,8,641729,R,642133,L,52,Walk,5,4,190328_215635,02f3c270-53b2-4811-a82f-df649a346f35,3,0,2,S,Called Strike,FF,13,2.0,3.68,1.87,94.7,85.8,,-2.78,50.0,5.22,-1.22,1.61,-8.06,9.89,7.07,-137.6,-7.29,-15.31,33.27,-13.4,42.0,4.8,24.0,2569,218,,,,642133,,,0,0,0,bottom
2019-09-12,566864,8,641729,R,642133,L,52,Walk,5,5,190328_215655,5fc6489c-7259-4bbe-871e-131d6f13b9b6,3,1,2,B,Ball,FF,13,2.0,3.8,1.85,94.2,85.4,,-2.53,50.0,5.17,-0.76,0.8,-8.51,10.37,7.74,-136.7,-9.4,-15.94,32.8,-12.73,43.2,4.8,24.0,2562,218,,,,642133,,,0,0,0,bottom
2019-09-12,566864,8,641729,R,643376,R,53,Strikeout,5,1,190328_215730,6ab1e721-2b8c-45d7-ba2f-3f297e328eb8,0,0,2,S,Called Strike,FF,14,2.0,3.78,1.86,95.8,86.9,,-2.45,50.0,5.34,0.73,2.21,-8.13,9.42,11.59,-138.9,-6.03,-15.78,32.91,-13.89,40.8,4.8,24.0,2568,217,642133,,,,,,0,1,0,bottom
2019-09-12,566864,8,641729,R,643376,R,53,Strikeout,5,2,190328_215748,4ebc2015-427f-465f-a3e6-ead8be815e36,0,1,2,B,Ball,FF,13,2.0,3.67,1.77,95.7,86.9,,-2.52,50.0,5.28,-0.9,1.58,-7.39,9.74,7.06,-139.0,-7.7,-14.36,33.38,-13.27,39.6,3.6,24.0,2632,216,642133,,,,,,0,1,0,bottom
2019-09-12,566864,8,641729,R,643376,R,53,Strikeout,5,3,190328_215807,8e533b75-78d4-42ac-87b8-2cda073ec819,1,1,2,S,Called Strike,FF,14,2.0,3.56,1.73,94.0,85.3,,-2.44,50.0,5.28,0.74,2.26,-8.43,9.6,11.46,-136.43,-5.45,-15.78,32.08,-14.22,40.8,4.8,24.0,2583,217,642133,,,,,,0,1,0,bottom
2019-09-12,566864,8,641729,R,643376,R,53,Strikeout,5,4,190328_215827,8f5d876f-ba28-407a-9e9b-79ef315a7d82,1,1,2,S,Foul,FF,5,2.0,3.47,1.59,94.7,85.8,,-2.46,50.0,5.45,-0.21,2.82,-8.12,9.58,8.94,-137.56,-4.54,-15.43,32.72,-13.96,42.0,4.8,24.0,2598,217,642133,,,,,,0,1,0,bottom
2019-09-12,566864,8,641729,R,643376,R,53,Strikeout,5,5,190328_215855,72dc5599-1c40-445a-83f6-1ec220ff9c84,1,2,2,S,Swinging Strike,FF,11,2.0,3.47,1.59,94.6,85.1,,-2.27,50.0,5.56,-0.55,3.91,-7.9,10.7,7.4,-137.53,-2.22,-14.91,34.71,-11.98,45.6,3.6,24.0,2608,213,642133,,,,,,0,1,0,bottom
