Date, Game, Inning, Pitcher, Hand, Batter, Stand, AB_ID, Result, AB_Total, AB_Count, Pfx_ID, Play_ID, Balls, Strikes, Outs, Code, Pdes, Type, Zone, Con, SZ_Top, SZ_Bot, Start_Speed, End_Speed, Nasty_Factor, X0, Y0, Z0, PX, PZ, PfxX, PfxZ, VX0, VY0, VZ0, AX, AY, AZ, Break_Angle, Break_Length, Break_Y, Spin_Rate, Spin_Direction, Runner 1B, Runner 2B, Runner 3B, End 1B, End 2B, End 3B, Runs, Outs On Play, Run Diff, Half
2019-09-25,565800,7,523260,R,572233,R,54,Home Run,6,1,190330_044424,02ce6d82-0ce1-4f09-aa5d-74ccdfa9f23e,0,0,2,S,Called Strike,KC,2,2.0,3.33,1.6,84.5,77.6,,-1.62,50.0,6.05,0.19,2.88,4.46,-7.77,2.97,-122.79,1.43,6.79,25.0,-44.0,9.6,12.0,24.0,2926,33,488671,605113,,,,,3,0,3,top
2019-09-25,565800,7,523260,R,572233,R,54,Home Run,6,2,190330_044450,1fc5e578-c93a-44da-b61c-035cf9112e9b,0,1,2,S,Foul,FF,8,2.0,3.31,1.67,97.7,89.4,,-1.43,50.0,5.43,0.18,1.98,-7.33,8.67,7.17,-141.94,-7.09,-14.98,32.1,-14.46,39.6,3.6,24.0,2109,219,488671,605113,,,,,3,0,3,top
2019-09-25,565800,7,523260,R,572233,R,54,Home Run,6,3,190330_044521,6164607c-699d-481f-a1bc-3d180a0791e2,0,2,2,B,Ball In Dirt,KC,14,2.0,3.33,1.6,87.7,80.9,,-1.54,50.0,5.61,1.41,0.64,3.61,-7.28,6.24,-127.42,-3.69,5.9,27.63,-44.06,8.4,10.8,24.0,3024,30,488671,605113,,,,,3,0,3,top
2019-09-25,565800,7,523260,R,572233,R,54,Home Run,6,4,190330_044558,ba10702c-39ba-4102-bede-a5f604c8e1ab,1,2,2,B,Ball In Dirt,CH,14,2.0,3.33,1.62,86.9,79.6,,-1.29,50.0,5.42,0.8,0.59,-11.28,6.13,8.85,-126.1,-7.53,-18.13,26.18,-22.33,34.8,7.2,24.0,2209,242,488671,605113,,,,,3,0,3,top
2019-09-25,565800,7,523260,R,572233,R,54,Home Run,6,5,190330_044633,2988a317-2a4a-4890-9ffe-501cd14d8e18,2,2,2,B,Ball,FF,12,2.0,3.32,1.57,97.5,89.1,,-1.38,50.0,5.46,1.17,2.68,-5.07,8.5,8.97,-141.74,-5.12,-10.3,32.42,-14.88,27.6,3.6,24.0,2129,206,488671,605113,,,,,3,0,3,top
2019-09-25,565800,7,523260,R,572233,R,54,Home Run,6,6,190330_044711,7f5f7718-f337-4d32-a617-9ac4b425c397,3,2,2,X,In play- run(s),KC,8,2.0,3.44,1.5,86.8,79.7,,-1.74,50.0,5.7,0.23,2.08,5.2,-5.81,3.23,-126.21,-0.64,8.34,26.9,-41.5,12.0,10.8,24.0,3065,44,488671,605113,,,,,3,0,3,top
2019-09-25,565800,7,523260,R,502481,L,55,Groundout,3,1,190330_044752,1b51a270-465e-46d8-98cc-69345d670447,0,0,2,B,Ball,FF,14,2.0,3.31,1.71,96.3,87.9,,-1.44,50.0,5.43,1.5,2.07,-6.95,9.91,10.63,-139.67,-6.97,-13.74,31.22,-12.58,38.4,3.6,24.0,2204,211,,,,,,,0,1,0,top
2019-09-25,565800,7,523260,R,502481,L,55,Groundout,3,2,190330_044813,c353f941-ab4c-4e4c-97d0-44b6b6a14bf8,1,0,2,B,Ball,KC,13,2.0,3.4,1.62,85.8,78.5,,-1.95,50.0,5.64,-0.86,0.93,6.54,-5.15,0.57,-124.61,-3.33,10.17,27.61,-40.19,14.4,10.8,24.0,3086,50,,,,,,,0,1,0,top
2019-09-25,565800,7,523260,R,502481,L,55,Groundout,3,3,190330_044844,eb937a68-9964-4f3f-ac8c-561c4569918a,2,0,2,X,In play- out(s),FF,6,2.0,3.42,1.65,96.4,88.1,,-1.65,50.0,5.38,0.35,2.29,-6.33,8.8,7.81,-140.12,-5.92,-12.59,31.48,-14.67,34.8,3.6,24.0,2003,213,,,,,,,0,1,0,top
2019-09-25,565800,8,523260,R,500871,L,62,Flyout,5,1,190330_051350,efd9de9f-b68f-4d4e-8692-e262e859cc4e,0,0,0,B,Ball,FF,14,2.0,3.42,1.7,96.0,87.8,,-1.5,50.0,5.35,0.01,0.91,-8.87,8.64,7.34,-139.28,-9.46,-17.43,31.36,-15.2,42.0,4.8,24.0,2105,226,,,,,,,0,1,1,top
2019-09-25,565800,8,523260,R,500871,L,62,Flyout,5,2,190330_051408,1ca6a0bc-4a5d-4fcb-ad77-54be726ee8db,1,0,0,S,Called Strike,FF,9,2.0,3.17,1.67,96.2,87.7,,-1.65,50.0,5.36,0.25,2.07,-8.24,8.12,8.16,-139.61,-6.12,-16.23,31.97,-16.18,39.6,4.8,24.0,2116,224,,,,,,,0,1,1,top
2019-09-25,565800,8,523260,R,500871,L,62,Flyout,5,3,190330_051432,8019d314-41e8-4878-a148-98c851be7732,1,1,0,B,Ball,FT,13,2.0,2.98,1.57,97.1,89.1,,-1.59,50.0,5.26,-0.08,0.96,-9.36,7.21,7.59,-141.02,-8.82,-18.89,31.27,-17.62,42.0,4.8,24.0,2131,233,,,,,,,0,1,1,top
2019-09-25,565800,8,523260,R,500871,L,62,Flyout,5,4,190330_051457,58cb8bb2-d5fc-4782-815e-9e29dd3ddb52,2,1,0,B,Ball,CH,11,2.0,2.99,1.62,86.6,79.6,,-1.78,50.0,5.65,-1.01,3.42,-9.82,4.64,5.08,-125.98,-0.61,-15.88,24.08,-24.67,31.2,7.2,24.0,1959,242,,,,,,,0,1,1,top
2019-09-25,565800,8,523260,R,500871,L,62,Flyout,5,5,190330_051526,8d8ecb32-83b3-4fe8-9736-53b3615aa7ca,3,1,0,X,In play- out(s),FF,13,2.0,2.93,1.46,95.4,88.0,,-1.6,50.0,5.35,-0.32,1.5,-6.46,8.8,5.83,-138.71,-7.88,-12.7,28.47,-14.89,34.8,3.6,24.0,2058,215,,,,,,,0,1,1,top
2019-09-25,565800,8,523260,R,444482,L,63,Single,3,1,190330_051601,03e32516-e358-4452-ad4e-241c62cafe7b,0,0,1,B,Ball,FF,14,2.0,3.51,1.64,97.9,89.9,,-1.4,50.0,5.23,1.07,0.8,-6.92,9.0,9.49,-141.91,-9.99,-14.19,30.83,-13.71,37.2,3.6,24.0,2141,216,,,,444482,,,0,0,1,top
2019-09-25,565800,8,523260,R,444482,L,63,Single,3,2,190330_051627,4fbbb827-bbaf-4bd4-9da1-3611ee803c43,1,0,1,B,Ball,FF,14,2.0,3.42,1.77,97.9,89.0,,-1.58,50.0,5.23,0.66,1.27,-7.44,8.98,8.97,-142.02,-8.58,-15.1,34.41,-13.96,39.6,3.6,24.0,2157,218,,,,444482,,,0,0,1,top
2019-09-25,565800,8,523260,R,444482,L,63,Single,3,3,190330_051654,30f96b2e-2161-4059-8cf9-b6a58900b14c,2,0,1,X,In play- no out,FF,9,2.0,3.41,1.56,97.1,88.3,,-1.52,50.0,5.31,0.42,1.71,-5.04,9.6,7.2,-141.03,-7.66,-10.08,33.94,-12.96,30.0,3.6,24.0,2088,205,,,,444482,,,0,0,1,top
2019-09-25,565800,8,523260,R,430945,R,64,Double,5,1,190330_051747,92c648f9-32f0-4fee-a64a-f58f849e2ef9,0,0,1,S,Called Strike,FF,8,2.0,3.57,1.86,97.6,88.9,,-1.56,50.0,5.35,-0.09,1.83,-6.9,9.63,6.61,-141.73,-7.56,-13.99,33.27,-12.64,40.8,3.6,24.0,2168,214,444482,,,,430945,444482,0,0,1,top
2019-09-25,565800,8,523260,R,430945,R,64,Double,5,2,190330_051818,1004556f-bf1e-435c-88b4-e2f82a6e52e8,0,1,1,S,Foul,FF,4,2.0,3.57,1.59,97.1,88.1,,-1.62,50.0,5.44,-0.41,2.6,-7.39,8.55,6.02,-141.1,-5.2,-14.79,34.4,-15.06,39.6,4.8,24.0,2110,219,444482,,,,430945,444482,0,0,1,top
2019-09-25,565800,8,523260,R,430945,R,64,Double,5,3,190330_051901,6521c8c7-b9d4-4cd1-9500-06d5172a3a79,0,1,1,S,Foul,FF,4,2.0,3.6,1.59,97.7,89.2,,-1.41,50.0,5.48,-0.42,2.81,-7.08,8.72,5.37,-142.07,-4.91,-14.47,32.7,-14.36,40.8,3.6,24.0,2227,217,444482,,,,430945,444482,0,0,1,top
2019-09-25,565800,8,523260,R,430945,R,64,Double,5,4,190330_051935,21ee0914-6ef3-468b-ba5c-885a95b439f6,0,1,1,S,Foul,FF,11,2.0,3.64,1.59,98.5,89.9,,-1.64,50.0,5.52,-0.77,3.59,-7.05,8.83,5.05,-143.36,-3.02,-14.66,33.4,-13.81,43.2,3.6,24.0,2242,216,444482,,,,430945,444482,0,0,1,top
2019-09-25,565800,8,523260,R,430945,R,64,Double,5,5,190330_052009,1eb50111-dde6-449a-b4fa-c9cf784f75fb,0,2,1,X,In play- no out,CH,4,2.0,3.81,1.59,85.9,78.4,,-1.58,50.0,5.54,-0.42,2.37,-10.3,4.09,6.14,-124.85,-2.58,-16.2,26.0,-25.74,30.0,8.4,24.0,1909,247,444482,,,,430945,444482,0,0,1,top
2019-09-25,565800,8,523260,R,606466,L,66,Forceout,1,1,190330_052301,f8083fad-6417-4888-aa7a-7b1585d4eb96,0,0,1,X,In play- run(s),FF,2,2.0,3.52,1.76,97.9,88.9,,-1.63,50.0,5.51,-0.05,2.95,-6.26,8.42,6.71,-142.26,-4.51,-12.75,34.26,-15.01,34.8,3.6,24.0,2175,214,571875,,,,,430945,1,1,1,top
2019-09-25,565800,8,523260,R,605113,R,67,Groundout,4,1,190330_052430,5f3e6351-bd5f-4692-9c64-0bbabb178811,0,0,2,S,Foul,FF,5,2.0,3.58,1.59,97.2,88.4,,-1.52,50.0,5.42,-0.04,2.83,-7.28,7.76,6.74,-141.27,-4.25,-14.64,33.6,-16.57,37.2,4.8,24.0,2109,221,,,430945,,,,0,1,0,top
2019-09-25,565800,8,523260,R,605113,R,67,Groundout,4,2,190330_052506,2d71c6cd-872f-4efd-86e9-4877b62bc89e,0,1,2,S,Called Strike,FF,14,2.0,3.62,1.88,97.7,90.2,,-1.49,50.0,5.4,0.88,2.5,-5.68,8.91,8.76,-141.97,-5.75,-11.74,28.81,-13.76,33.6,3.6,24.0,2078,209,,,430945,,,,0,1,0,top
2019-09-25,565800,8,523260,R,605113,R,67,Groundout,4,3,190330_052537,aa2282ee-951b-4efe-bceb-aa8ee1a7fed6,0,1,2,S,Foul,FF,11,2.0,3.62,1.87,97.8,89.8,,-1.59,50.0,5.53,-0.42,4.37,-5.42,8.2,5.27,-142.36,-0.57,-11.2,30.44,-15.22,33.6,3.6,24.0,1993,210,,,430945,,,,0,1,0,top
2019-09-25,565800,8,523260,R,605113,R,67,Groundout,4,4,190330_052621,724dfc3f-ac28-4051-a77b-fffb289cc7a9,0,2,2,X,In play- out(s),KC,6,2.0,3.7,1.85,87.1,80.5,,-1.9,50.0,5.62,0.46,2.34,5.59,-3.14,4.1,-126.66,-0.76,9.11,24.88,-37.3,14.4,9.6,24.0,2961,63,,,430945,,,,0,1,0,top
2019-09-25,565803,6,523260,R,474832,L,40,Home Run,1,1,190402_034918,f7e2c601-3967-445d-a5e5-44689380316a,0,0,0,X,In play- run(s),FF,8,2.0,3.55,1.63,96.9,89.0,,-1.47,50.0,5.42,0.04,1.95,-6.25,8.26,6.48,-140.85,-6.9,-12.62,30.3,-15.49,33.6,3.6,24.0,2130,216,,,,,,,1,0,2,top
2019-09-25,565803,6,523260,R,446334,R,41,Groundout,4,1,190402_035013,4b0239ae-b04a-4d9f-9f95-135403991f5c,0,0,0,B,Ball,KC,1,2.0,3.7,1.63,86.6,79.7,,-1.74,50.0,5.96,-0.64,3.31,3.77,-6.73,1.54,-125.83,2.05,6.06,24.84,-43.0,8.4,10.8,24.0,2896,32,,,,,,,0,1,1,top
2019-09-25,565803,6,523260,R,446334,R,41,Groundout,4,2,190402_035031,b081633c-e4aa-4b86-90a6-855d24de2410,1,0,0,S,Called Strike,FF,8,2.0,3.56,1.64,98.0,89.8,,-1.44,50.0,5.47,-0.06,1.95,-5.78,8.92,5.99,-142.45,-7.46,-11.9,32.02,-13.81,34.8,3.6,24.0,2245,211,,,,,,,0,1,1,top
2019-09-25,565803,6,523260,R,446334,R,41,Groundout,4,3,190402_035050,0d691980-6be8-48ff-a593-5dc9e3be3450,1,1,0,S,Foul,KC,7,2.0,3.41,1.56,87.7,80.9,,-1.79,50.0,5.88,-0.29,2.1,3.32,-8.07,2.69,-127.54,-0.48,5.47,26.33,-45.45,7.2,10.8,24.0,3078,24,,,,,,,0,1,1,top
