Date, Game, Inning, Pitcher, Hand, Batter, Stand, AB_ID, Result, AB_Total, AB_Count, Pfx_ID, Play_ID, Balls, Strikes, Outs, Code, Pdes, Type, Zone, Con, SZ_Top, SZ_Bot, Start_Speed, End_Speed, Nasty_Factor, X0, Y0, Z0, PX, PZ, PfxX, PfxZ, VX0, VY0, VZ0, AX, AY, AZ, Break_Angle, Break_Length, Break_Y, Spin_Rate, Spin_Direction, Runner 1B, Runner 2B, Runner 3B, End 1B, End 2B, End 3B, Runs, Outs On Play, Run Diff, Half
2019-08-18,565282,7,669270,R,425877,R,57,Strikeout,5,1,190817_011855,1cc8a669-2751-4b3f-9248-27be1caba95d,0,0,0,S,Foul,FF,2,,3.4,1.64,96.2,88.2,,-1.7,50.0,6.15,-0.12,3.08,-3.97,10.74,5.81,-140.03,-6.55,-7.9,30.95,-10.81,28.8,2.4,24.0,2333,198,,,,,,,0,1,-9,top
2019-08-18,565282,7,669270,R,425877,R,57,Strikeout,5,2,190817_011914,41eb1d32-40cf-4bbb-9822-9f9c7cc3204d,0,1,0,S,Called Strike,SL,9,,3.44,1.63,86.6,79.6,,-2.31,50.0,6.11,0.4,2.0,-0.42,2.53,6.89,-125.92,-4.56,-0.68,25.86,-28.12,1.2,7.2,24.0,2260,167,,,,,,,0,1,-9,top
2019-08-18,565282,7,669270,R,425877,R,57,Strikeout,5,3,190817_011926,bcad34cc-caab-4030-a40d-8a19c691df96,0,2,0,B,Ball,FF,12,,3.39,1.71,98.2,89.9,,-1.31,50.0,6.42,1.26,4.79,-7.62,8.69,10.05,-142.74,-2.09,-15.79,31.66,-14.17,43.2,3.6,24.0,2302,217,,,,,,,0,1,-9,top
2019-08-18,565282,7,669270,R,425877,R,57,Strikeout,5,4,190817_011942,ece3f10c-6000-49a4-b6b3-b3c6dcdc9bff,1,2,0,B,Ball,FF,11,,3.4,1.62,96.0,87.8,,-1.95,50.0,6.12,-1.14,4.25,-7.31,9.44,4.86,-139.82,-2.74,-14.48,31.24,-13.48,43.2,3.6,24.0,2225,216,,,,,,,0,1,-9,top
2019-08-18,565282,7,669270,R,425877,R,57,Strikeout,5,5,190817_012000,9e5d2fd8-14e7-48e8-922f-ab963643d012,2,2,0,S,Swinging Strike,FT,1,,3.47,1.66,97.3,89.5,,-1.72,50.0,6.09,-0.36,3.14,-7.08,8.42,6.39,-141.65,-5.6,-14.47,30.44,-14.96,39.6,3.6,24.0,2310,218,,,,,,,0,1,-9,top
2019-08-18,565282,7,669270,R,543939,L,58,Home Run,1,1,190817_012049,32bd8839-adca-4ac0-b0eb-8d497ae0e232,0,0,1,X,In play- run(s),FF,8,,3.03,1.45,98.3,89.4,,-1.69,50.0,6.14,0.15,1.69,-4.24,9.93,6.73,-142.7,-10.4,-8.68,35.07,-11.84,26.4,3.6,24.0,2325,201,,,,,,,1,0,-9,top
2019-08-18,565282,7,669270,R,425794,R,59,Flyout,1,1,190817_012130,81c42dfd-3f38-4dc4-bee2-47c1cf4a02b9,0,0,1,X,In play- out(s),FF,11,,3.52,1.73,97.8,89.5,,-1.8,50.0,6.3,-0.91,3.8,-5.67,7.36,4.57,-142.56,-4.01,-11.67,32.84,-17.04,31.2,3.6,24.0,2217,216,,,,,,,0,1,-10,top
2019-08-18,565282,7,669270,R,451594,L,60,Double,6,1,190817_012213,3501631b-0dba-45c9-8a84-e570beb80481,0,0,2,S,Called Strike,SL,8,,3.38,1.65,87.3,80.2,,-2.35,50.0,6.11,0.11,2.22,-0.31,1.68,6.27,-127.0,-3.88,-0.5,26.34,-29.44,1.2,7.2,24.0,2214,159,,,,,451594,,0,0,-10,top
2019-08-18,565282,7,669270,R,451594,L,60,Double,6,2,190817_012228,866af0d8-baed-4efe-89b7-14337cf3ffe3,0,1,2,S,Called Strike,FT,3,,3.5,1.82,89.4,82.7,,-1.97,50.0,6.18,0.25,3.03,-6.01,4.23,7.77,-130.16,-3.34,-10.43,24.63,-24.83,19.2,6.0,24.0,1502,232,,,,,451594,,0,0,-10,top
2019-08-18,565282,7,669270,R,451594,L,60,Double,6,3,190817_012242,be66885a-a19c-4527-8a69-de9880f18ff6,0,2,2,B,Ball,FT,11,,3.63,1.79,97.5,89.0,,-1.67,50.0,6.23,-0.26,3.81,-7.44,5.96,6.65,-141.77,-3.16,-15.12,32.79,-20.06,33.6,4.8,24.0,2227,229,,,,,451594,,0,0,-10,top
2019-08-18,565282,7,669270,R,451594,L,60,Double,6,4,190817_012258,0eac016f-7dab-458a-89c4-e7ca25f47b9c,1,2,2,B,Ball,FT,12,,3.49,1.7,95.1,87.0,,-1.91,50.0,6.08,0.09,4.01,-7.06,6.18,7.96,-138.31,-1.97,-13.7,30.3,-20.18,30.0,4.8,24.0,2245,225,,,,,451594,,0,0,-10,top
