Date, Game, Inning, Pitcher, Hand, Batter, Stand, AB_ID, Result, AB_Total, AB_Count, Pfx_ID, Play_ID, Balls, Strikes, Outs, Code, Pdes, Type, Zone, Con, SZ_Top, SZ_Bot, Start_Speed, End_Speed, Nasty_Factor, X0, Y0, Z0, PX, PZ, PfxX, PfxZ, VX0, VY0, VZ0, AX, AY, AZ, Break_Angle, Break_Length, Break_Y, Spin_Rate, Spin_Direction, Runner 1B, Runner 2B, Runner 3B, End 1B, End 2B, End 3B, Runs, Outs On Play, Run Diff, Half
2019-09-10,565565,9,670167,R,624585,R,68,Home Run,5,1,190810_012759,e5f42746-5b16-4745-8ab9-49d79df3e8c4,0,0,0,B,Ball,FF,1,2.0,3.58,1.8,91.7,84.7,,-3.45,50.0,4.17,-0.35,3.54,-2.78,3.13,9.16,-133.42,3.34,-5.07,25.5,-26.47,7.2,6.0,24.0,1992,206,,,,,,,1,0,4,top
2019-09-10,565565,9,670167,R,624585,R,68,Home Run,5,2,190810_012814,e1bcebf7-75e4-456e-8ed4-b153096dfe86,1,0,0,S,Swinging Strike,FF,9,2.0,3.62,1.74,90.2,83.3,,-3.34,50.0,3.92,0.45,2.07,-2.69,4.44,10.76,-131.04,-0.12,-4.74,24.72,-24.36,6.0,6.0,24.0,2039,198,,,,,,,1,0,4,top
2019-09-10,565565,9,670167,R,624585,R,68,Home Run,5,3,190810_012832,84f8dffa-d762-4abc-b60d-f3ee36ebdf72,1,1,0,B,Ball,FF,14,2.0,3.62,1.69,92.8,86.0,,-3.08,50.0,4.08,1.52,1.97,-4.82,4.23,13.97,-134.57,-1.11,-8.98,24.74,-24.29,14.4,6.0,24.0,2138,219,,,,,,,1,0,4,top
2019-09-10,565565,9,670167,R,624585,R,68,Home Run,5,4,190810_012849,4aebe1fd-f6f7-4b03-82d9-77cba98cd447,2,1,0,B,Ball,FF,13,2.0,3.62,1.74,91.0,84.6,,-3.54,50.0,3.9,-1.79,2.54,-3.32,4.28,5.77,-132.61,1.05,-6.03,23.3,-24.42,12.0,6.0,24.0,2050,211,,,,,,,1,0,4,top
2019-09-10,565565,9,670167,R,624585,R,68,Home Run,5,5,190810_012911,3ebf3ed7-adea-4b7d-8dc0-2783c8baf8b7,3,1,0,X,In play- run(s),FF,7,2.0,3.62,1.74,90.1,83.2,,-3.31,50.0,3.94,-0.47,2.34,-2.55,3.56,8.24,-131.15,0.83,-4.48,25.15,-25.92,6.0,6.0,24.0,1989,203,,,,,,,1,0,4,top
2019-09-10,565565,9,670167,R,596144,R,69,Lineout,4,1,190810_012947,c49819ac-910f-499c-9dc9-f99986af9174,0,0,0,S,Called Strike,FF,9,2.0,3.25,1.58,92.0,85.3,,-3.25,50.0,4.06,0.57,1.75,-3.07,3.36,11.22,-133.74,-1.26,-5.64,24.97,-26.0,8.4,6.0,24.0,1992,210,,,,,,,0,1,3,top
2019-09-10,565565,9,670167,R,596144,R,69,Lineout,4,2,190810_013000,89e60eee-373d-4b2d-918b-440644923792,0,1,0,B,Ball,CU,14,2.0,3.3,1.54,78.6,72.8,,-3.28,50.0,4.01,1.68,1.74,8.34,3.09,8.75,-114.12,1.1,11.05,20.05,-28.07,24.0,9.6,24.0,2523,109,,,,,,,0,1,3,top
2019-09-10,565565,9,670167,R,596144,R,69,Lineout,4,3,190810_013015,64a79899-2486-4667-b601-cf60a67ffe24,1,1,0,S,Foul,FT,1,2.0,3.3,1.55,89.5,82.8,,-3.26,50.0,4.14,-0.32,2.87,-7.28,2.78,10.04,-130.18,2.0,-12.67,23.78,-27.34,21.6,7.2,24.0,2045,243,,,,,,,0,1,3,top
2019-09-10,565565,9,670167,R,596144,R,69,Lineout,4,4,190810_013036,57ec8c47-ca07-4296-bfc1-9484fd578ca6,1,2,0,X,In play- out(s),CU,11,2.0,3.3,1.55,79.9,73.7,,-3.52,50.0,4.22,-1.05,2.69,7.75,2.47,3.38,-116.23,2.73,10.68,20.44,-28.77,21.6,8.4,24.0,2533,110,,,,,,,0,1,3,top
2019-09-10,565565,9,670167,R,656811,L,70,Single,3,1,190810_013105,74801c19-c7b7-4436-8dc9-a59d05618902,0,0,1,S,Called Strike,FF,9,2.0,3.47,1.67,92.5,85.5,,-3.2,50.0,4.2,0.57,1.91,-3.59,4.31,11.31,-134.45,-1.56,-6.64,26.32,-24.19,10.8,6.0,24.0,2051,209,,,,656811,,,0,0,3,top
