Date,Game,Inning,Pitcher,Hand,Batter,Stand,AB_ID,Result,AB_Total,AB_Count,Pfx_ID,Play_ID,Balls,Strikes,Outs,Code,Pdes,Type,Zone,Con,SZ_Top,SZ_Bot,Start_Speed,End_Speed,Nasty_Factor,X0,Y0,Z0,PX,PZ,PfxX,PfxZ,VX0,VY0,VZ0,AX,AY,AZ,Break_Angle,Break_Length,Break_Y,Spin_Rate,Spin_Direction,Runner 1B,Runner 2B,Runner 3B,End 1B,End 2B,End 3B,Runs,Outs On Play,Run Diff,Half
2018-03-30,529429,1,456501,R,621035,R,3,Pop Out,2,1,180331_021721,ddfe9c5a-0665-4314-b3f0-0b9b5263fbec,0,1,0,C,Called Strike,SL,6,2.0,3.43,1.55,86.6,80.2,58.96,-2.21,50.0,5.78,0.52,2.39,-3.15,5.9,7.83,-125.84,-3.95,-5.11,22.74,-22.61,9.6,6.0,24.0,2379,202,,,,,,,0,1,0,bottom
2018-03-30,529429,1,456501,R,621035,R,3,Pop Out,2,2,180331_021737,1e488cff-f95b-4137-a46e-840618a5a649,0,1,0,X,In play- out(s),SL,4,2.0,3.51,1.63,79.4,73.8,25.05,-2.3,50.0,5.94,-0.49,2.63,1.42,-0.24,3.71,-115.53,-0.5,1.95,19.22,-32.51,4.8,9.6,24.0,2353,86,,,,,,,0,1,0,bottom
2018-03-30,529429,1,456501,R,608369,L,4,Lineout,6,1,180331_021816,d631a528-646b-418a-9259-6e2ea3971bec,0,1,1,C,Called Strike,FT,7,2.0,3.7,1.72,89.8,82.2,43.66,-2.25,50.0,5.65,-0.3,2.09,-11.52,4.77,8.85,-130.28,-4.49,-19.81,27.15,-23.97,36.0,7.2,24.0,2238,247,,,,,,,0,1,0,bottom
2018-03-30,529429,1,456501,R,608369,L,4,Lineout,6,2,180331_021829,71a543fd-d562-4cce-b315-ed5abd76af95,0,1,1,B,Ball,CH,13,2.0,3.66,1.63,82.6,76.0,21.59,-2.33,50.0,5.47,-0.31,0.89,-10.0,3.16,7.86,-119.88,-5.04,-14.58,22.79,-27.57,25.2,8.4,24.0,1453,253,,,,,,,0,1,0,bottom
2018-03-30,529429,1,456501,R,608369,L,4,Lineout,6,3,180331_021846,73a64cd7-9068-4cc6-9691-7b49f17b93c5,1,1,1,S,Swinging Strike,CH,13,2.0,3.56,1.7,82.2,75.6,40.09,-2.31,50.0,5.57,-0.34,1.66,-7.25,0.59,6.87,-119.34,-2.58,-10.46,22.81,-31.33,16.8,9.6,24.0,1450,266,,,,,,,0,1,0,bottom
2018-03-30,529429,1,456501,R,608369,L,4,Lineout,6,4,180331_021906,1bc914aa-aa28-4a20-9631-de7a735b730e,1,2,1,B,Ball,CH,13,2.0,3.6,1.63,83.1,76.3,32.57,-2.11,50.0,5.4,-0.64,0.6,-9.34,2.57,6.4,-120.56,-5.44,-13.73,23.65,-28.39,22.8,8.4,24.0,1478,256,,,,,,,0,1,0,bottom
2018-03-30,529429,1,456501,R,608369,L,4,Lineout,6,5,180331_021932,44b13522-4f90-43b7-9d18-93fd97bbd845,2,2,1,B,Ball,SL,14,2.0,3.43,1.59,84.1,77.5,11.28,-1.96,50.0,5.56,1.32,1.15,2.06,3.6,7.28,-122.01,-5.1,3.12,23.52,-26.74,8.4,7.2,24.0,2479,136,,,,,,,0,1,0,bottom
2018-03-30,529429,1,456501,R,608369,L,4,Lineout,6,6,180331_021949,1d040814-9c57-4ae3-a637-c203d9637aa3,3,2,1,X,In play- out(s),FF,2,2.0,3.6,1.68,90.3,82.2,23.57,-2.01,50.0,5.66,0.08,3.16,-6.97,9.83,7.73,-131.06,-3.53,-12.09,28.28,-15.12,33.6,4.8,24.0,2384,212,,,,,,,0,1,0,bottom
2018-03-30,529429,1,456501,R,624577,R,5,Flyout,7,1,180331_022022,eb4eca51-d5ad-4b52-bc2c-fc8e3fbf0795,0,0,2,B,Ball,FT,11,2.0,3.62,1.78,90.4,82.4,23.18,-2.11,50.0,5.71,-1.49,2.73,-10.25,6.08,5.04,-131.3,-3.54,-17.83,28.61,-21.6,37.2,6.0,24.0,2225,238,,,,,,,0,1,0,bottom
2018-03-30,529429,1,456501,R,624577,R,5,Flyout,7,2,180331_022036,3bdb1cf9-23d8-44db-9596-2bd3726985f3,1,0,2,B,Ball,FT,13,2.0,3.68,1.82,91.1,82.9,70.13,-2.12,50.0,5.52,-1.15,1.66,-10.4,7.49,6.02,-132.15,-6.41,-18.29,29.58,-19.01,39.6,6.0,24.0,2243,234,,,,,,,0,1,0,bottom
