Date, Game, Inning, Pitcher, Hand, Batter, Stand, AB_ID, Result, AB_Total, AB_Count, Pfx_ID, Play_ID, Balls, Strikes, Outs, Code, Pdes, Type, Zone, Con, SZ_Top, SZ_Bot, Start_Speed, End_Speed, Nasty_Factor, X0, Y0, Z0, PX, PZ, PfxX, PfxZ, VX0, VY0, VZ0, AX, AY, AZ, Break_Angle, Break_Length, Break_Y, Spin_Rate, Spin_Direction, Runner 1B, Runner 2B, Runner 3B, End 1B, End 2B, End 3B, Runs, Outs On Play, Run Diff, Half
2019-09-11,567362,1,592351,R,594011,L,3,Hit By Pitch,1,1,190331_171513,a467b272-11ba-42d1-a564-84c54507f27f,0,0,0,B,Hit By Pitch,FF,,2.0,3.359,1.7,95.0,87.2,,-1.57,50.0,5.92,1.35,0.36,-6.55,9.56,10.25,-137.4,-12.56,-12.55,29.62,-13.84,32.4,3.6,24.0,1987,213,,,,594011,,,0,0,0,bottom
2019-09-11,567362,1,592351,R,605119,R,4,Strikeout,5,1,190331_171611,79eda651-a637-4374-9059-7c51a23150df,0,0,0,S,Called Strike,FF,,2.0,3.359,1.7,96.1,88.4,,-1.67,50.0,6.02,0.31,1.99,-5.37,8.86,7.42,-139.59,-8.49,-10.66,29.59,-14.58,28.8,3.6,24.0,1962,209,594011,,,,594011,,0,1,0,bottom
2019-09-11,567362,1,592351,R,605119,R,4,Strikeout,5,2,190331_171636,4953040f-c74f-4ec3-a572-9fc6f7a40913,0,1,0,B,Ball,FF,,2.0,3.359,1.7,96.0,89.1,,-1.42,50.0,6.04,1.45,1.25,-6.22,8.12,10.18,-139.18,-10.37,-12.39,26.75,-16.0,30.0,4.8,24.0,2124,215,594011,,,,594011,,0,1,0,bottom
2019-09-11,567362,1,592351,R,605119,R,4,Strikeout,5,3,190331_171716,b55c960a-e5f8-4d3a-98dd-236f54c33f3f,1,1,0,B,Ball,SL,,2.0,3.359,1.7,88.3,82.2,,-1.59,50.0,6.31,1.01,1.53,2.07,3.64,5.95,-128.32,-7.05,3.5,23.58,-26.03,9.6,7.2,24.0,2393,138,594011,,,,594011,,0,1,0,bottom
2019-09-11,567362,1,592351,R,605119,R,4,Strikeout,5,4,190331_171741,34c5f3a6-2a32-404e-a0eb-bedde25556d6,2,1,0,S,Called Strike,SL,,2.0,3.359,1.7,88.4,82.2,,-1.81,50.0,6.38,-0.3,1.81,2.31,4.29,3.08,-128.58,-6.8,3.91,23.6,-24.9,9.6,6.0,24.0,2218,144,594011,,,,594011,,0,1,0,bottom
2019-09-11,567362,1,592351,R,605119,R,4,Strikeout,5,5,190331_171813,a9148211-5634-4b94-a395-06a8a6e9abb1,2,2,0,S,Swinging Strike (Blocked),SL,,2.0,3.359,1.7,88.7,82.0,,-1.53,50.0,6.27,1.06,0.48,2.67,4.2,5.71,-128.73,-9.78,4.48,26.14,-25.11,12.0,7.2,24.0,2353,133,594011,,,,594011,,0,1,0,bottom
2019-09-11,567362,1,592351,R,435522,L,5,Strikeout,4,1,190331_171901,d238c5cc-2ed5-4754-96f8-107fc8f9d7af,0,0,1,S,Swinging Strike,SL,,2.0,3.359,1.7,88.7,81.3,,-1.48,50.0,6.46,0.78,1.99,-0.36,4.14,5.85,-128.74,-6.37,-0.61,27.13,-25.24,1.2,6.0,24.0,2270,173,,594011,,,,,0,1,0,bottom
2019-09-11,567362,1,592351,R,435522,L,5,Strikeout,4,2,190331_171925,4ec03296-6626-4ac2-8f97-2f3e196895e8,0,1,1,S,Foul,FF,,2.0,3.359,1.7,96.4,87.9,,-1.57,50.0,6.16,-0.19,2.03,-7.17,9.26,6.37,-139.93,-8.88,-14.16,32.65,-13.87,38.4,3.6,24.0,2115,217,,594011,,,,,0,1,0,bottom
2019-09-11,567362,1,592351,R,435522,L,5,Strikeout,4,3,190331_172028,c7f0ba12-56ff-4593-9fac-a5dda40a6342,0,2,1,S,Swinging Strike (Blocked),SL,,2.0,3.359,1.7,88.9,82.2,,-1.69,50.0,6.28,0.33,0.26,-1.22,5.63,5.56,-128.92,-10.9,-2.06,25.83,-22.67,2.4,6.0,24.0,2308,187,,594011,,,,,0,1,0,bottom
2019-09-11,567362,1,592351,R,516770,R,6,Groundout,2,1,190331_172120,a4db6ed0-d29a-41f0-bd3f-d47f2f874173,0,0,2,B,Ball,SL,,2.0,3.359,1.7,86.7,79.1,,-1.68,50.0,6.65,-0.26,4.08,2.64,2.5,2.69,-126.09,-0.7,4.23,26.88,-28.17,9.6,7.2,24.0,2333,130,,,,,,,0,1,0,bottom
