Date, Game, Inning, Pitcher, Hand, Batter, Stand, AB_ID, Result, AB_Total, AB_Count, Pfx_ID, Play_ID, Balls, Strikes, Outs, Code, Pdes, Type, Zone, Con, SZ_Top, SZ_Bot, Start_Speed, End_Speed, Nasty_Factor, X0, Y0, Z0, PX, PZ, PfxX, PfxZ, VX0, VY0, VZ0, AX, AY, AZ, Break_Angle, Break_Length, Break_Y, Spin_Rate, Spin_Direction, Runner 1B, Runner 2B, Runner 3B, End 1B, End 2B, End 3B, Runs, Outs On Play, Run Diff, Half
2018-03-31,529439,6,656547,R,571912,R,48,Single,3,1,180331_215138,5c059bfe-d50d-43f7-87ad-6020a5a8f705,0,0,2,S,Called Strike,FF,12,2.0,3.33,1.5,91.2,83.6,61.13,-0.82,50.0,6.09,0.8,2.61,-0.59,10.04,4.46,-132.55,-6.4,-1.05,27.74,-14.27,0.0,3.6,24.0,2263,180,,607680,,571912,,,1,0,0,bottom
2018-03-31,529439,6,656547,R,571912,R,48,Single,3,2,180331_215208,70503b19-4df8-4572-b4db-e2af85c3cd27,0,1,2,B,Ball,FC,14,2.0,3.33,1.51,87.1,80.7,46.67,-1.11,50.0,6.02,0.33,1.24,3.34,2.36,2.52,-126.7,-6.32,5.45,24.56,-28.32,10.8,7.2,24.0,2446,115,,607680,,571912,,,1,0,0,bottom
2018-03-31,529439,6,656547,R,571912,R,48,Single,3,3,180331_215235,5ba2b385-9aa2-4257-9542-562c97f715d9,1,1,2,X,In play- run(s),CU,5,2.0,3.12,1.3,76.1,69.1,9.31,-1.15,50.0,6.34,0.01,2.05,7.79,-7.87,0.35,-110.54,0.38,9.41,23.93,-41.69,13.2,14.4,24.0,2870,46,,607680,,571912,,,1,0,0,bottom
2018-03-31,529439,6,656547,R,547912,R,49,Strikeout,4,1,180331_215326,218aa994-ba44-45cc-b554-f44b4897bd5c,0,0,2,S,Foul Bunt,FC,14,2.0,3.45,1.28,88.5,81.6,61.5,-0.98,50.0,6.01,1.25,1.95,2.76,4.81,4.76,-128.76,-5.59,4.65,26.1,-24.09,12.0,6.0,24.0,2408,142,571912,,,,,,0,1,-1,bottom
2018-03-31,529439,6,656547,R,547912,R,49,Strikeout,4,2,180331_215353,bc60af5a-bcfc-4beb-833d-8084d43720f3,0,1,2,B,Ball,FF,11,2.0,2.81,1.24,91.0,83.1,57.4,-1.1,50.0,6.03,-0.8,3.12,-0.7,10.13,1.02,-132.42,-4.87,-1.24,28.69,-14.22,3.6,3.6,24.0,2389,183,571912,,,,,,0,1,-1,bottom
2018-03-31,529439,6,656547,R,547912,R,49,Strikeout,4,3,180331_215415,1441d3b7-1d51-4dc5-8f0b-ecec3f5cf818,1,1,2,S,Swinging Strike,FC,14,2.0,3.36,1.2,86.3,79.5,61.42,-1.09,50.0,5.92,0.93,1.31,3.71,0.86,3.82,-125.47,-5.18,5.91,25.75,-30.81,12.0,8.4,24.0,2470,94,571912,,,,,,0,1,-1,bottom
2018-03-31,529439,6,656547,R,547912,R,49,Strikeout,4,4,180331_215445,5cc0fb78-55f1-469d-aeef-fa55ccd255c0,1,2,2,S,Called Strike,FF,6,2.0,3.22,1.44,91.3,83.5,29.79,-0.93,50.0,5.86,0.46,2.17,-2.26,10.8,4.41,-132.81,-7.19,-4.02,28.91,-12.92,12.0,3.6,24.0,2361,189,571912,,,,,,0,1,-1,bottom
2018-04-03,529468,6,656547,R,460576,R,43,Strikeout,3,1,180403_221717,4b1dd5ab-93bc-4ff9-ab09-d2875e87d8c7,0,0,0,S,Swinging Strike,FC,2,2.0,3.44,1.45,86.1,78.4,42.78,-1.32,50.0,6.21,-0.14,3.07,5.57,3.86,1.12,-125.19,-2.43,8.76,27.36,-26.09,19.2,7.2,24.0,2295,123,,,,,,,0,1,3,top
2018-04-03,529468,6,656547,R,460576,R,43,Strikeout,3,2,180403_221735,f9eff025-b6da-47a6-95a0-734cce732f03,0,1,0,S,Called Strike,FF,9,2.0,3.53,1.63,91.1,83.1,37.6,-1.09,50.0,6.06,0.48,2.0,-0.14,10.57,4.14,-132.41,-8.02,-0.25,29.67,-13.51,2.4,3.6,24.0,2257,177,,,,,,,0,1,3,top
2018-04-03,529468,6,656547,R,460576,R,43,Strikeout,3,3,180403_221754,283ed6a7-c0be-443a-8952-15d8fdebad94,0,2,0,S,Called Strike,FF,1,2.0,3.53,1.54,89.5,80.7,33.55,-1.07,50.0,6.12,-0.29,3.1,0.23,10.48,1.92,-130.16,-4.89,0.39,31.21,-14.47,3.6,3.6,24.0,2197,177,,,,,,,0,1,3,top
