Date, Game, Inning, Pitcher, Hand, Batter, Stand, AB_ID, Result, AB_Total, AB_Count, Pfx_ID, Play_ID, Balls, Strikes, Outs, Code, Pdes, Type, Zone, Con, SZ_Top, SZ_Bot, Start_Speed, End_Speed, Nasty_Factor, X0, Y0, Z0, PX, PZ, PfxX, PfxZ, VX0, VY0, VZ0, AX, AY, AZ, Break_Angle, Break_Length, Break_Y, Spin_Rate, Spin_Direction, Runner 1B, Runner 2B, Runner 3B, End 1B, End 2B, End 3B, Runs, Outs On Play, Run Diff, Half
2019-08-25,567553,9,663855,R,519058,L,81,Strikeout,4,1,190330_034834,f63642d1-4bde-49e1-b89c-3bae5c6177a4,0,0,0,B,Ball,SI,13,2.0,3.67,1.77,99.0,91.0,,-2.11,50.0,5.97,-0.32,1.5,-9.03,6.37,8.44,-143.66,-9.4,-18.96,31.81,-18.81,39.6,4.8,24.0,1942,236,,,,,,,0,1,4,bottom
2019-08-25,567553,9,663855,R,519058,L,81,Strikeout,4,2,190330_034852,09512dca-2ad9-44e7-9292-5db9db609533,1,0,0,S,Called Strike,SL,4,2.0,3.5,1.67,84.0,77.3,,-2.41,50.0,6.09,-0.67,2.23,4.15,-0.97,2.9,-122.2,-2.33,6.27,24.4,-33.64,10.8,9.6,24.0,2581,76,,,,,,,0,1,4,bottom
2019-08-25,567553,9,663855,R,519058,L,81,Strikeout,4,3,190330_034911,cdf92204-0d86-4366-9478-115f7743052e,1,1,0,S,Foul,SL,5,2.0,3.53,1.54,83.0,76.3,,-2.2,50.0,6.17,-0.15,2.34,5.3,-3.28,3.26,-120.71,-1.32,7.77,24.6,-36.98,13.2,10.8,24.0,2398,60,,,,,,,0,1,4,bottom
2019-08-25,567553,9,663855,R,519058,L,81,Strikeout,4,4,190330_034948,f4ea88d5-cb09-434a-abdb-a77769a1b141,1,2,0,S,Swinging Strike,CH,14,2.0,3.64,1.78,89.3,81.9,,-2.24,50.0,5.83,1.27,1.2,-3.5,-0.02,10.11,-129.47,-5.49,-5.92,28.14,-32.21,7.2,8.4,24.0,1458,284,,,,,,,0,1,4,bottom
2019-08-25,567553,9,663855,R,518735,L,82,Strikeout,3,1,190330_035020,7de15c9a-a693-4c73-84bb-0d966ac286c2,0,0,1,S,Called Strike,SI,9,2.0,3.28,1.79,100.1,91.7,,-2.03,50.0,6.05,0.49,1.94,-10.17,6.92,11.02,-145.13,-8.76,-21.75,33.12,-17.38,44.4,4.8,24.0,2013,235,,,,,,,0,1,4,bottom
2019-08-25,567553,9,663855,R,518735,L,82,Strikeout,3,2,190330_035041,a3d98f47-204a-4e6d-84cc-b2e13ab44128,0,1,1,S,Foul,SI,13,2.0,3.19,1.56,100.7,92.2,,-2.03,50.0,5.77,-0.15,1.27,-10.07,7.21,9.18,-146.0,-10.11,-21.77,33.77,-16.58,46.8,4.8,24.0,2135,235,,,,,,,0,1,4,bottom
2019-08-25,567553,9,663855,R,518735,L,82,Strikeout,3,3,190330_035114,24329e20-ee19-4889-9b77-bb01f0582a88,0,2,1,S,Swinging Strike,CH,4,2.0,3.3,1.56,89.4,81.7,,-2.36,50.0,5.93,-0.54,2.69,-2.24,-0.48,5.41,-129.89,-1.87,-3.81,28.24,-32.99,4.8,8.4,24.0,,289,,,,,,,0,1,4,bottom
2019-08-25,567553,9,663855,R,606115,R,83,Lineout,2,1,190330_035146,3792134e-fa1e-4c20-be8a-3f966b2396d9,0,0,2,B,Ball,SL,14,2.0,3.81,1.82,84.2,77.8,,-2.32,50.0,5.98,1.28,1.91,7.52,-4.73,6.32,-122.44,-1.7,11.38,24.85,-39.34,16.8,10.8,24.0,2313,60,,,,,,,0,1,4,bottom
2019-08-25,567553,9,663855,R,606115,R,83,Lineout,2,2,190330_035211,f4e5fdfb-ddfc-4359-a18c-d86e4e0b9f14,1,0,2,X,In play- out(s),SI,2,2.0,3.58,1.54,100.2,91.7,,-2.21,50.0,6.08,-0.07,2.8,-9.52,6.23,9.7,-145.34,-6.15,-20.42,32.99,-18.81,42.0,4.8,24.0,1947,236,,,,,,,0,1,4,bottom
2019-08-25,567555,8,663855,R,518735,L,66,Groundout,4,1,190331_204518,9eaa56b5-5d88-41cd-94f5-fe0a1248dbf1,0,0,2,B,Ball,SL,11,2.0,2.89,1.41,82.7,76.5,,-2.29,50.0,6.14,-0.7,4.06,4.48,-0.68,2.41,-120.34,1.99,6.64,21.36,-33.19,12.0,9.6,24.0,2160,86,,,,,,,0,1,1,bottom
2019-08-25,567555,8,663855,R,518735,L,66,Groundout,4,2,190331_204534,2c28d974-20f7-485c-8ad8-a8b26418bacb,1,0,2,S,Swinging Strike,SI,9,2.0,3.41,1.56,97.6,89.5,,-1.89,50.0,5.88,0.39,1.71,-10.17,6.34,10.07,-141.64,-8.21,-20.7,31.68,-19.27,40.8,6.0,24.0,1984,238,,,,,,,0,1,1,bottom
2019-08-25,567555,8,663855,R,518735,L,66,Groundout,4,3,190331_204553,5829da7b-8653-46de-9ff3-b34bf4fb8097,1,1,2,S,Swinging Strike,SL,14,2.0,3.41,1.56,83.4,77.0,,-2.05,50.0,6.0,1.64,2.13,6.48,-1.12,6.82,-121.27,-2.19,9.65,23.93,-33.84,18.0,9.6,24.0,2360,80,,,,,,,0,1,1,bottom
2019-08-25,567555,8,663855,R,518735,L,66,Groundout,4,4,190331_204616,db31a6fc-a11e-4143-bbec-0f8a6eef639a,1,2,2,X,In play- out(s),CH,8,2.0,3.41,1.56,90.1,83.4,,-2.14,50.0,5.94,0.06,2.03,-4.17,-2.5,7.1,-131.07,-3.1,-7.3,26.01,-36.56,9.6,8.4,24.0,,308,,,,,,,0,1,1,bottom
2019-08-25,567555,9,663855,R,592325,L,71,Double,3,1,190331_210212,e79bd8ad-b802-4908-810c-8b4912cae72f,0,0,0,S,Called Strike,SI,5,2.0,3.14,1.62,98.3,90.1,,-2.07,50.0,5.97,-0.11,2.7,-8.74,6.54,8.75,-142.82,-5.95,-18.11,31.83,-18.62,39.6,4.8,24.0,2055,232,,,,,592325,,0,0,1,bottom
2019-08-25,567555,9,663855,R,592325,L,71,Double,3,2,190331_210228,3024ab9c-6249-42df-9451-ee0b0ef0f04f,0,1,0,S,Swinging Strike,SI,11,2.0,3.32,1.51,98.3,89.6,,-1.92,50.0,6.25,-0.25,3.7,-7.45,6.47,7.43,-142.76,-3.85,-15.35,33.16,-18.84,34.8,4.8,24.0,1999,226,,,,,592325,,0,0,1,bottom
2019-08-25,567555,9,663855,R,592325,L,71,Double,3,3,190331_210253,30837fe9-2467-49e1-bca2-c3cfc3286a3d,0,2,0,X,In play- no out,SI,5,2.0,3.32,1.51,98.9,90.1,,-1.65,50.0,6.3,0.03,2.52,-6.24,7.33,7.04,-143.61,-7.72,-12.98,34.54,-16.92,31.2,4.8,24.0,2061,219,,,,,592325,,0,0,1,bottom
