Date,Game,Inning,Pitcher,Hand,Batter,Stand,AB_ID,Result,AB_Total,AB_Count,Pfx_ID,Play_ID,Balls,Strikes,Outs,Code,Pdes,Type,Zone,Con,SZ_Top,SZ_Bot,Start_Speed,End_Speed,Nasty_Factor,X0,Y0,Z0,PX,PZ,PfxX,PfxZ,VX0,VY0,VZ0,AX,AY,AZ,Break_Angle,Break_Length,Break_Y,Spin_Rate,Spin_Direction,Runner 1B,Runner 2B,Runner 3B,End 1B,End 2B,End 3B,Runs,Outs On Play,Run Diff,Half
2017-04-12,490228,1,656756,L,519306,R,0,Strikeout,4,1,170412_171057,defeaf08-1def-4040-aad4-c967b45d72f7,0,1,0,F,Foul,FF,6,2.0,3.92,1.63,92.2,83.3,54.0,0.41,50.0,6.81,0.47,2.47,3.67,14.46,-1.09,-133.64,-10.2,6.56,31.68,-6.3,36.0,2.4,24.0,2392,164,,,,,,,0,1,0,top
2017-04-12,490228,1,656756,L,519306,R,0,Strikeout,4,2,170412_171119,baab7a36-d243-4a35-b2e5-a02026424989,0,2,0,C,Called Strike,FF,7,2.0,3.77,1.83,93.5,85.6,48.72,0.23,50.0,6.76,-0.53,1.97,0.11,11.34,-2.08,-135.54,-10.76,0.2,29.1,-11.04,1.2,2.4,24.0,2285,180,,,,,,,0,1,0,top
2017-04-12,490228,1,656756,L,519306,R,0,Strikeout,4,3,170412_171136,d22bb818-da7c-475d-8079-9a96356bc5dd,0,2,0,F,Foul,CU,9,2.0,3.92,1.63,81.7,74.5,42.76,0.32,50.0,6.96,0.53,1.66,-0.88,-1.14,0.75,-118.55,-5.06,-1.24,25.78,-33.78,2.4,9.6,24.0,2513,344,,,,,,,0,1,0,top
2017-04-12,490228,1,656756,L,519306,R,0,Strikeout,4,4,170412_171157,43b01bd2-aa64-484f-a388-fb5537473e9f,0,2,0,S,Swinging Strike,FF,6,2.0,3.58,1.63,93.1,84.7,30.22,0.34,50.0,6.79,0.28,2.34,-1.05,13.34,0.2,-134.88,-10.38,-1.94,30.3,-7.69,10.8,2.4,24.0,2440,185,,,,,,,0,1,0,top
2017-04-12,490228,1,656756,L,595281,L,1,Strikeout,5,1,170412_171233,4c4f5ed2-2e2b-45e2-a5a1-550482c57dad,0,0,1,S,Swinging Strike,FF,11,2.0,3.5,1.56,92.8,84.3,79.23,0.22,50.0,6.94,-0.72,3.78,-0.71,12.66,-2.25,-134.75,-6.69,-1.3,30.51,-9.0,9.6,2.4,24.0,2321,185,,,,,,,0,1,0,top
2017-04-12,490228,1,656756,L,595281,L,1,Strikeout,5,2,170412_171247,1ceb7354-debe-48fa-8a6c-688f4c9be077,0,1,1,B,Ball,CU,12,2.0,3.79,1.56,80.6,73.2,40.78,0.3,50.0,7.11,0.37,3.62,-0.93,-0.65,0.43,-116.92,-0.82,-1.28,24.43,-33.06,2.4,9.6,24.0,2422,334,,,,,,,0,1,0,top
2017-04-12,490228,1,656756,L,595281,L,1,Strikeout,5,3,170412_171260,c8c7eef4-c3ac-4b90-867f-1a4473cbf484,1,2,1,C,Called Strike,CU,2,2.0,3.79,1.56,79.6,72.7,26.0,0.18,50.0,7.01,-0.09,3.32,-1.36,-3.04,-0.21,-115.57,-0.42,-1.83,23.19,-36.25,2.4,10.8,24.0,2424,341,,,,,,,0,1,0,top
2017-04-12,490228,1,656756,L,595281,L,1,Strikeout,5,4,170412_171314,a0fc2174-f741-46b1-b4cf-8f9a115a5561,1,2,1,F,Foul,SL,13,2.0,3.79,1.56,85.7,78.4,30.45,0.57,50.0,6.8,-0.04,1.56,1.35,2.7,-1.93,-124.31,-7.1,2.1,26.4,-27.98,3.6,7.2,24.0,2613,131,,,,,,,0,1,0,top
2017-04-12,490228,1,656756,L,595281,L,1,Strikeout,5,5,170412_171336,788c129b-7016-48e1-afcc-c40716923b97,1,2,1,S,Swinging Strike,SL,13,2.0,3.79,1.56,85.1,79.6,37.8,0.13,50.0,6.67,-0.74,0.56,-2.22,0.67,-1.42,-123.63,-8.65,-3.47,21.93,-31.12,6.0,8.4,24.0,2639,291,,,,,,,0,1,0,top
2017-04-12,490228,1,656756,L,446334,R,2,Walk,6,1,170412_171410,11315209-321c-438b-b59b-bfa78e97d63f,0,1,2,C,Called Strike,FF,5,2.0,3.92,1.87,92.4,83.6,43.8,0.24,50.0,6.85,0.18,2.78,2.42,13.19,-0.97,-133.84,-9.1,4.35,31.33,-8.46,21.6,2.4,24.0,2346,168,,,,446334,,,0,0,0,top
2017-04-12,490228,1,656756,L,446334,R,2,Walk,6,2,170412_171423,b2a5835c-cb03-45a6-92ae-dc0ffcf4676a,0,2,2,C,Called Strike,FF,13,2.0,3.81,1.94,94.0,84.8,62.91,0.12,50.0,6.68,-0.8,1.74,4.88,14.27,-4.16,-135.86,-12.08,9.02,32.92,-5.81,43.2,2.4,24.0,2407,159,,,,446334,,,0,0,0,top
2017-04-12,490228,1,656756,L,446334,R,2,Walk,6,3,170412_171443,017afdad-8e50-450b-8c82-cdd9918f4d74,0,2,2,B,Ball,FT,14,2.0,3.83,1.89,94.2,85.0,55.31,0.28,50.0,6.8,1.18,2.57,7.05,12.64,-0.05,-136.5,-9.74,13.11,33.87,-8.66,50.4,3.6,24.0,2429,146,,,,446334,,,0,0,0,top
2017-04-12,490228,1,656756,L,446334,R,2,Walk,6,4,170412_171458,c0fd7546-2366-40d1-9c6f-b08fa320ca14,1,2,2,B,Ball,SL,13,2.0,3.73,1.88,86.9,79.8,46.58,0.26,50.0,6.54,-1.04,-0.65,-2.24,5.14,-2.5,-125.71,-12.95,-3.56,27.02,-24.0,8.4,7.2,24.0,2621,224,,,,446334,,,0,0,0,top
