Date, Game, Inning, Pitcher, Hand, Batter, Stand, AB_ID, Result, AB_Total, AB_Count, Pfx_ID, Play_ID, Balls, Strikes, Outs, Code, Pdes, Type, Zone, Con, SZ_Top, SZ_Bot, Start_Speed, End_Speed, Nasty_Factor, X0, Y0, Z0, PX, PZ, PfxX, PfxZ, VX0, VY0, VZ0, AX, AY, AZ, Break_Angle, Break_Length, Break_Y, Spin_Rate, Spin_Direction, Runner 1B, Runner 2B, Runner 3B, End 1B, End 2B, End 3B, Runs, Outs On Play, Run Diff, Half
2019-09-09,565704,1,605347,R,544725,L,0,Strikeout,4,1,190331_181436,8315564d-f4e4-4796-af8b-7dc00e0d2c44,0,0,0,B,Ball,FT,11,2.0,3.2,1.62,92.8,85.3,,-1.81,50.0,5.77,-1.82,2.43,-10.87,4.78,3.73,-135.06,-4.56,-20.13,28.75,-23.32,38.4,7.2,24.0,1780,247,,,,,,,0,1,0,top
2019-09-09,565704,1,605347,R,544725,L,0,Strikeout,4,2,190331_181455,f9d984d0-20e3-4788-9aaf-5199ddbee14e,1,0,0,S,Foul,FT,13,2.0,3.23,1.48,91.6,84.3,,-1.53,50.0,5.69,-0.15,1.2,-10.25,3.36,7.13,-132.99,-6.83,-18.43,27.4,-26.13,32.4,7.2,24.0,1519,253,,,,,,,0,1,0,top
2019-09-09,565704,1,605347,R,544725,L,0,Strikeout,4,3,190331_181512,a555a847-1de7-4c3c-a86b-1eb557a25a0e,1,1,0,S,Swinging Strike,KC,13,2.0,3.26,1.48,79.7,73.9,,-1.8,50.0,6.03,-0.23,1.14,4.48,-6.91,2.26,-116.03,-2.12,6.09,22.1,-41.58,8.4,13.2,24.0,2389,34,,,,,,,0,1,0,top
2019-09-09,565704,1,605347,R,544725,L,0,Strikeout,4,4,190331_181529,e358a3fd-c6c7-4ce6-833d-3541ca069b6f,1,2,0,S,Swinging Strike,KC,14,2.0,3.26,1.48,80.0,74.2,,-1.68,50.0,5.93,0.8,1.12,5.94,-6.92,3.91,-116.38,-1.97,8.13,22.29,-41.64,12.0,13.2,24.0,2427,42,,,,,,,0,1,0,top
2019-09-09,565704,1,605347,R,660162,L,1,Strikeout,3,1,190331_181603,15ebc67d-e476-4674-a4a9-04dabe55d5f1,0,0,1,S,Called Strike,FF,14,2.0,3.35,1.5,92.8,85.3,,-1.62,50.0,5.72,0.19,1.45,-6.98,9.62,7.23,-134.84,-8.7,-12.92,27.98,-14.38,36.0,4.8,24.0,2010,215,,,,,,,0,1,0,top
2019-09-09,565704,1,605347,R,660162,L,1,Strikeout,3,2,190331_181617,6698e737-968d-42fa-bc08-1cd5b047615b,0,1,1,S,Called Strike,FT,4,2.0,3.41,1.5,92.6,84.7,,-1.63,50.0,5.83,-0.27,2.71,-11.99,4.74,7.73,-134.54,-3.87,-21.98,29.26,-23.49,39.6,7.2,24.0,1959,248,,,,,,,0,1,0,top
2019-09-09,565704,1,605347,R,660162,L,1,Strikeout,3,3,190331_181634,967ca502-f348-4ad2-b6a1-b96ec4b8bebf,0,2,1,S,Swinging Strike,KC,14,2.0,3.47,1.59,81.9,76.2,,-1.65,50.0,5.99,0.64,0.96,1.13,-4.89,5.05,-119.18,-3.52,1.62,22.3,-39.23,3.6,10.8,24.0,2537,19,,,,,,,0,1,0,top
2019-09-09,565704,1,605347,R,547989,R,2,Flyout,8,1,190331_181713,937ddb81-71f2-4bdc-977e-2783516dc824,0,0,2,B,Ball,FF,14,2.0,3.46,1.51,92.6,85.6,,-1.53,50.0,5.7,0.43,1.2,-7.31,8.92,7.77,-134.57,-9.07,-13.54,26.57,-15.66,34.8,4.8,24.0,2058,218,,,,,,,0,1,0,top
2019-09-09,565704,1,605347,R,547989,R,2,Flyout,8,2,190331_181729,40baae00-0a73-4a77-a3ca-f9953f1ec91f,1,0,2,S,Called Strike,FT,13,2.0,3.46,1.54,93.3,85.6,,-1.67,50.0,5.79,-1.21,2.39,-10.03,5.79,4.74,-135.75,-5.13,-18.75,29.2,-21.36,38.4,6.0,24.0,1879,240,,,,,,,0,1,0,top
2019-09-09,565704,1,605347,R,547989,R,2,Flyout,8,3,190331_181751,0389e3e6-2351-4483-b5bc-d445876789cf,1,1,2,B,Ball,CH,11,2.0,3.4,1.48,87.8,80.5,,-1.9,50.0,5.85,-1.76,2.95,-9.02,7.05,3.32,-127.77,-3.24,-14.93,26.05,-20.51,33.6,6.0,24.0,1961,231,,,,,,,0,1,0,top
2019-09-09,565704,1,605347,R,547989,R,2,Flyout,8,4,190331_181809,08fde1f4-9b51-4f96-9979-fa56585d4cc3,2,1,2,S,Called Strike,KC,6,2.0,3.37,1.45,80.3,74.4,,-1.57,50.0,6.2,0.6,2.57,3.65,-7.1,3.92,-116.85,0.71,5.06,21.57,-42.01,7.2,12.0,24.0,2508,31,,,,,,,0,1,0,top
2019-09-09,565704,1,605347,R,547989,R,2,Flyout,8,5,190331_181828,5424ec10-7631-40b2-9f09-58e850a1d052,2,2,2,B,Ball,KC,14,2.0,3.43,1.51,81.0,74.9,,-1.5,50.0,6.04,1.68,0.54,1.12,-7.24,7.04,-117.65,-3.62,1.56,23.65,-42.26,3.6,12.0,24.0,2444,15,,,,,,,0,1,0,top
